GeneSymbol,Type,Degree,DegreeCentrality,BetweennessCentrality,DatasetCount,Neighbors,ImportanceScore
CREB5,seed,0,0.0,0.0,2,[],0.0
PJA2,seed,0,0.0,0.0,1,[],0.0
VPS26A,seed,0,0.0,0.0,1,[],0.0
MYH1,seed,0,0.0,0.0,1,[],0.0
S100P,seed,0,0.0,0.0,1,[],0.0
POTEKP,seed,0,0.0,0.0,1,[],0.0
RNF149,seed,0,0.0,0.0,1,[],0.0
CCPG1,seed,0,0.0,0.0,1,[],0.0
H2AC6,seed,0,0.0,0.0,1,[],0.0
PDX1,seed,0,0.0,0.0,1,[],0.0
RPL3,seed,0,0.0,0.0,1,[],0.0
SDCBP,seed,0,0.0,0.0,1,[],0.0
SRGN,seed,0,0.0,0.0,1,[],0.0
NSDHL,seed,0,0.0,0.0,1,[],0.0
GDI2,seed,0,0.0,0.0,1,[],0.0
DYNC1H1,seed,0,0.0,0.0,1,[],0.0
XKR8,seed,0,0.0,0.0,1,[],0.0
FRAT1,seed,0,0.0,0.0,1,[],0.0
INSIG1,seed,0,0.0,0.0,1,[],0.0
RPGR,seed,0,0.0,0.0,1,[],0.0
CMTM6,seed,0,0.0,0.0,1,[],0.0
SNRPD2,seed,0,0.0,0.0,1,[],0.0
SCN2A,seed,0,0.0,0.0,1,[],0.0
CLIC1,seed,0,0.0,0.0,1,[],0.0
PAPOLA,seed,0,0.0,0.0,1,[],0.0
EVI2A,seed,0,0.0,0.0,1,[],0.0
ST14,seed,0,0.0,0.0,1,[],0.0
CAPZA2,seed,0,0.0,0.0,2,[],0.0
HSH2D,seed,0,0.0,0.0,1,[],0.0
CAB39,seed,0,0.0,0.0,1,[],0.0
CACNA1A,seed,0,0.0,0.0,1,[],0.0
GNA13,seed,0,0.0,0.0,1,[],0.0
PPM1B,seed,0,0.0,0.0,1,[],0.0
HEATR1,seed,0,0.0,0.0,1,[],0.0
TAX1BP1,seed,0,0.0,0.0,1,[],0.0
ADD3,seed,0,0.0,0.0,1,[],0.0
SKI,seed,0,0.0,0.0,1,[],0.0
VPS4B,seed,0,0.0,0.0,1,[],0.0
ISG15,seed,0,0.0,0.0,1,[],0.0
RGS2,seed,0,0.0,0.0,1,[],0.0
AQP9,seed,0,0.0,0.0,1,[],0.0
BTG1,seed,0,0.0,0.0,1,[],0.0
RPS15A,seed,0,0.0,0.0,2,[],0.0
ATP6V1A,seed,0,0.0,0.0,1,[],0.0
VNN2,seed,0,0.0,0.0,2,[],0.0
FAM117B,seed,0,0.0,0.0,1,[],0.0
MMP9,seed,0,0.0,0.0,1,[],0.0
REEP5,seed,0,0.0,0.0,1,[],0.0
CD52,seed,0,0.0,0.0,1,[],0.0
ARPC5,seed,0,0.0,0.0,1,[],0.0
PELI1,seed,0,0.0,0.0,1,[],0.0
MME,seed,0,0.0,0.0,1,[],0.0
RAB8B,seed,0,0.0,0.0,1,[],0.0
RELN,seed,0,0.0,0.0,1,[],0.0
GABRB3,seed,0,0.0,0.0,1,[],0.0
SGK1,seed,0,0.0,0.0,1,[],0.0
MATK,seed,0,0.0,0.0,1,[],0.0
SF3B1,seed,0,0.0,0.0,1,[],0.0
IL1R2,seed,0,0.0,0.0,1,[],0.0
ARGLU1,seed,0,0.0,0.0,1,[],0.0
BAZ2B,seed,0,0.0,0.0,1,[],0.0
SFTPD,seed,0,0.0,0.0,1,[],0.0
H4C3,seed,0,0.0,0.0,1,[],0.0
ETS1,seed,0,0.0,0.0,1,[],0.0
OXCT1,seed,0,0.0,0.0,1,[],0.0
ESR1,seed,0,0.0,0.0,1,[],0.0
DCP2,seed,0,0.0,0.0,1,[],0.0
GCA,seed,0,0.0,0.0,1,[],0.0
SPTLC1,seed,0,0.0,0.0,1,[],0.0
PRKAR1A,seed,0,0.0,0.0,1,[],0.0
RS1,seed,0,0.0,0.0,1,[],0.0
AIRE,seed,0,0.0,0.0,1,[],0.0
SLC6A6,seed,0,0.0,0.0,1,[],0.0
FBXL5,seed,0,0.0,0.0,1,[],0.0
MARCHF7,seed,0,0.0,0.0,1,[],0.0
CLK1,seed,0,0.0,0.0,1,[],0.0
NIN,seed,0,0.0,0.0,1,[],0.0
ITM2B,seed,0,0.0,0.0,1,[],0.0
LY96,seed,0,0.0,0.0,1,[],0.0
ACTR2,seed,0,0.0,0.0,1,[],0.0
SGCD,seed,0,0.0,0.0,1,[],0.0
EEF1A1,seed,0,0.0,0.0,1,[],0.0
SNHG29,seed,0,0.0,0.0,1,[],0.0
G3BP2,seed,0,0.0,0.0,1,[],0.0
PXDN,seed,0,0.0,0.0,1,[],0.0
NOL10,seed,0,0.0,0.0,1,[],0.0
CMTM2,seed,0,0.0,0.0,1,[],0.0
CAT,seed,1,0.004166666666666667,0.0,1,['SOD1'],0.004166666666666667
WDFY1,seed,0,0.0,0.0,1,[],0.0
CD46,seed,0,0.0,0.0,1,[],0.0
CD302,seed,0,0.0,0.0,1,[],0.0
ARHGAP30,seed,0,0.0,0.0,1,[],0.0
RPL27,seed,0,0.0,0.0,1,[],0.0
YPEL5,seed,0,0.0,0.0,2,[],0.0
LMBRD1,seed,0,0.0,0.0,1,[],0.0
ABCA1,seed,0,0.0,0.0,1,[],0.0
METTL1,seed,0,0.0,0.0,1,[],0.0
PPP3R1,seed,7,0.029166666666666667,0.00805439330543933,1,"['BAD', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'TARDBP', 'SOD1', 'PPP3R2']",0.037221059972105994
TMED5,seed,0,0.0,0.0,1,[],0.0
AZIN1,seed,0,0.0,0.0,1,[],0.0
BNIP2,seed,0,0.0,0.0,1,[],0.0
HMGN4,seed,0,0.0,0.0,1,[],0.0
TRAM1,seed,0,0.0,0.0,1,[],0.0
