node1,node2,node1_type,node2_type,combined_score
CAT,SOD1,seed,neighbor,0.92
PPP3R1,BAD,seed,neighbor,0.9
PPP3R1,PPP3CA,seed,neighbor,0.999
PPP3R1,PPP3CB,seed,neighbor,0.999
PPP3R1,PPP3CC,seed,neighbor,0.999
PPP3R1,TARDBP,seed,neighbor,0.909
PPP3R1,SOD1,seed,neighbor,0.916
PPP3R1,PPP3R2,seed,neighbor,0.944
PSMD7,ADRM1,seed,neighbor,0.999
PSMD7,PRKN,seed,neighbor,0.801
PSMD7,PSMA1,seed,neighbor,0.999
PSMD7,PSMA2,seed,neighbor,0.999
PSMD7,PSMA3,seed,neighbor,0.999
PSMD7,PSMA4,seed,neighbor,0.999
PSMD7,PSMA5,seed,neighbor,0.999
PSMD7,PSMA6,seed,neighbor,0.998
PSMD7,PSMA7,seed,neighbor,0.997
PSMD7,PSMA8,seed,neighbor,0.964
PSMD7,PSMB1,seed,neighbor,0.999
PSMD7,PSMB2,seed,neighbor,0.999
PSMD7,PSMB3,seed,neighbor,0.999
PSMD7,PSMB4,seed,neighbor,0.999
PSMD7,PSMB5,seed,neighbor,0.995
PSMD7,PSMB6,seed,neighbor,0.993
PSMD7,PSMB7,seed,neighbor,0.999
PSMD7,PSMC1,seed,neighbor,0.999
PSMD7,PSMC2,seed,neighbor,0.999
PSMD7,PSMC3,seed,neighbor,0.999
PSMD7,PSMC4,seed,neighbor,0.999
PSMD7,PSMC5,seed,neighbor,0.999
PSMD7,PSMC6,seed,neighbor,0.999
PSMD7,PSMD1,seed,neighbor,0.999
PSMD7,PSMD11,seed,neighbor,0.999
PSMD7,PSMD12,seed,neighbor,0.999
PSMD7,PSMD14,seed,neighbor,0.999
PSMD7,PSMD2,seed,neighbor,0.999
PSMD7,PSMD3,seed,neighbor,0.999
PSMD7,PSMD4,seed,neighbor,0.999
PSMD7,PSMD8,seed,neighbor,0.999
PSMD7,SOD1,seed,neighbor,0.725
PSMD7,VCP,seed,neighbor,0.775
PSMD7,PSMD9,seed,neighbor,0.961
