Gene_Symbol,direction,present_in_Q1,present_in_Q2,Q2_sources
A1BG,UP,True,True,pathway_enrichment
ABCA1,UP,False,True,SetA_multiomics_UP
ACTR1B,UP,True,True,pathway_enrichment
ACTR2,UP,True,True,pathway_enrichment
ADAM10,UP,True,True,pathway_enrichment
ADGRE5,UP,True,True,pathway_enrichment
AHSG,UP,True,True,pathway_enrichment
ALAD,UP,True,True,pathway_enrichment
ALDH3B1,UP,True,True,pathway_enrichment
ALOX5,UP,True,True,pathway_enrichment
AMPD3,UP,True,True,pathway_enrichment
ANO6,UP,True,True,pathway_enrichment
ANP32A,UP,False,True,SetA_multiomics_UP
ANPEP,UP,True,False,
ANXA2,UP,True,True,pathway_enrichment
APEH,UP,True,False,
APRT,UP,True,True,pathway_enrichment
ARG1,UP,True,True,pathway_enrichment
ARHGAP45,UP,True,True,pathway_enrichment
ARHGAP9,UP,True,True,pathway_enrichment
ARPC1B,UP,False,True,SetA_multiomics_UP
ARPC5,UP,True,True,pathway_enrichment
ARSB,UP,True,True,pathway_enrichment
ASAH1,UP,True,True,SetA_multiomics_UP+pathway_enrichment
ATG7,UP,True,True,pathway_enrichment
ATIC,UP,False,True,SetA_multiomics_UP
ATP11B,UP,True,True,pathway_enrichment
ATP6V1D,UP,True,True,pathway_enrichment
ATP8A1,UP,True,True,pathway_enrichment
B2M,UP,True,True,pathway_enrichment
BIN2,UP,True,True,pathway_enrichment
BLVRA,UP,False,True,SetA_multiomics_UP
BPI,UP,True,True,pathway_enrichment
BST2,UP,True,True,pathway_enrichment
C1S,UP,False,True,SetA_multiomics_UP
C2orf88,UP,False,True,SetA_multiomics_UP
C3,UP,True,True,SetA_multiomics_UP+network_hub+pathway_enrichment
C3AR1,UP,True,True,pathway_enrichment
C5AR1,UP,True,True,pathway_enrichment
C6orf120,UP,True,True,pathway_enrichment
CAB39,UP,True,True,pathway_enrichment
CAMP,UP,True,True,pathway_enrichment
CAND1,UP,True,True,pathway_enrichment
CAP1,UP,True,True,pathway_enrichment
CAT,UP,True,True,pathway_enrichment
CCT2,UP,True,True,pathway_enrichment
CCT8,UP,True,True,pathway_enrichment
CD14,UP,True,True,pathway_enrichment
CD163,UP,False,True,SetA_multiomics_UP
CD177,UP,True,True,pathway_enrichment
CD36,UP,True,True,pathway_enrichment
CD44,UP,True,True,pathway_enrichment
CD47,UP,True,True,pathway_enrichment
CD53,UP,True,True,SetA_multiomics_UP+pathway_enrichment
CD55,UP,True,True,pathway_enrichment
CD63,UP,True,True,pathway_enrichment
CD68,UP,True,True,pathway_enrichment
CFI,UP,False,True,SetA_multiomics_UP
CHI3L1,UP,True,True,pathway_enrichment
CHIT1,UP,True,True,pathway_enrichment
CKAP4,UP,True,True,pathway_enrichment
CMTM6,UP,True,True,pathway_enrichment
CNN2,UP,True,True,pathway_enrichment
CP,UP,False,True,SetA_multiomics_UP+network_hub
CPM,UP,False,True,SetA_multiomics_UP
CPNE1,UP,True,True,pathway_enrichment
CPPED1,UP,True,True,pathway_enrichment
CR1,UP,True,True,pathway_enrichment
CREG1,UP,True,True,pathway_enrichment
CST3,UP,True,True,pathway_enrichment
CSTB,UP,True,True,pathway_enrichment
CTSA,UP,True,True,pathway_enrichment
CTSB,UP,True,True,pathway_enrichment
CTSC,UP,True,True,pathway_enrichment
CTSG,UP,True,True,pathway_enrichment
CTSS,UP,True,True,pathway_enrichment
CTSZ,UP,True,True,pathway_enrichment
CXCR1,UP,True,True,pathway_enrichment
CXCR2,UP,True,True,pathway_enrichment
CYB5R3,UP,True,True,pathway_enrichment
CYBA,UP,True,True,pathway_enrichment
