Gene_Symbol,direction,source
A1BG,UP,pathway_enrichment
ACTR1B,UP,pathway_enrichment
ACTR2,UP,pathway_enrichment
ADAM10,UP,pathway_enrichment
ADGRE5,UP,pathway_enrichment
AHSG,UP,pathway_enrichment
ALAD,UP,pathway_enrichment
ALDH3B1,UP,pathway_enrichment
ALOX5,UP,pathway_enrichment
AMPD3,UP,pathway_enrichment
ANO6,UP,pathway_enrichment
ANPEP,UP,pathway_enrichment
ANXA2,UP,pathway_enrichment
APEH,UP,pathway_enrichment
APRT,UP,pathway_enrichment
ARG1,UP,pathway_enrichment
ARHGAP45,UP,pathway_enrichment
ARHGAP9,UP,pathway_enrichment
ARPC5,UP,pathway_enrichment
ARSB,UP,pathway_enrichment
ASAH1,UP,pathway_enrichment
ATG7,UP,pathway_enrichment
ATP11B,UP,pathway_enrichment
ATP6V1D,UP,pathway_enrichment
ATP8A1,UP,pathway_enrichment
B2M,UP,pathway_enrichment
BIN2,UP,pathway_enrichment
BPI,UP,pathway_enrichment
BST2,UP,pathway_enrichment
C3,UP,pathway_enrichment
C3AR1,UP,pathway_enrichment
C5AR1,UP,pathway_enrichment
C6orf120,UP,pathway_enrichment
CAB39,UP,pathway_enrichment
CAMP,UP,pathway_enrichment
CAND1,UP,pathway_enrichment
CAP1,UP,pathway_enrichment
CAT,UP,pathway_enrichment
CCT2,UP,pathway_enrichment
CCT8,UP,pathway_enrichment
CD14,UP,pathway_enrichment
CD177,UP,pathway_enrichment
CD36,UP,pathway_enrichment
CD44,UP,pathway_enrichment
CD47,UP,pathway_enrichment
CD53,UP,pathway_enrichment
CD55,UP,pathway_enrichment
CD63,UP,pathway_enrichment
CD68,UP,pathway_enrichment
CHI3L1,UP,pathway_enrichment
CHIT1,UP,pathway_enrichment
CKAP4,UP,pathway_enrichment
CMTM6,UP,pathway_enrichment
CNN2,UP,pathway_enrichment
CPNE1,UP,pathway_enrichment
CPPED1,UP,pathway_enrichment
CR1,UP,pathway_enrichment
CREG1,UP,pathway_enrichment
CST3,UP,pathway_enrichment
CSTB,UP,pathway_enrichment
CTSA,UP,pathway_enrichment
CTSB,UP,pathway_enrichment
CTSC,UP,pathway_enrichment
CTSG,UP,pathway_enrichment
CTSS,UP,pathway_enrichment
CTSZ,UP,pathway_enrichment
CXCR1,UP,pathway_enrichment
CXCR2,UP,pathway_enrichment
CYB5R3,UP,pathway_enrichment
CYBA,UP,pathway_enrichment
CYBB,UP,pathway_enrichment
CYFIP1,UP,pathway_enrichment
DEGS1,UP,pathway_enrichment
DERA,UP,pathway_enrichment
DNAJC3,UP,pathway_enrichment
DOCK2,UP,pathway_enrichment
DSC1,UP,pathway_enrichment
DSG1,UP,pathway_enrichment
DSP,UP,pathway_enrichment
DYNLL1,UP,pathway_enrichment
EEF1A1,UP,pathway_enrichment
ELANE,UP,pathway_enrichment
ENPP4,UP,pathway_enrichment
EPX,UP,pathway_enrichment
ERP44,UP,pathway_enrichment
FABP5,UP,pathway_enrichment
FCER1G,UP,pathway_enrichment
FCGR2A,UP,pathway_enrichment
FGL2,UP,pathway_enrichment
FRK,UP,pathway_enrichment
FTH1,UP,pathway_enrichment
FTL,UP,pathway_enrichment
FUCA2,UP,pathway_enrichment
GCA,UP,pathway_enrichment
GDI2,UP,pathway_enrichment
GGH,UP,pathway_enrichment
GLB1,UP,pathway_enrichment
GLIPR1,UP,pathway_enrichment
GM2A,UP,pathway_enrichment
GMFG,UP,pathway_enrichment
GNS,UP,pathway_enrichment
GOLGA7,UP,pathway_enrichment
GSDMD,UP,pathway_enrichment
GSN,UP,pathway_enrichment
GSTP1,UP,pathway_enrichment
GUSB,UP,pathway_enrichment
HBB,UP,pathway_enrichment
