Gene_Symbol,direction,source,n_down_sources
BCO2,DOWN,LCM_meta_DOWN+SetA_multiomics_DOWN,2
FOXRED1,DOWN,LCM_meta_DOWN+SetA_multiomics_DOWN,2
MPZ,DOWN,discordant_LOW_CTX+discordant_LOW_SC,2
MRPL37,DOWN,LCM_meta_DOWN+SetA_multiomics_DOWN,2
TTLL1,DOWN,LCM_meta_DOWN+SetA_multiomics_DOWN,2
ACP2,DOWN,LCM_meta_DOWN,1
ALDH5A1,DOWN,SetA_multiomics_DOWN,1
ALKBH6,DOWN,LCM_meta_DOWN,1
ACTR1A,DOWN,LCM_meta_DOWN,1
AHSA1,DOWN,LCM_meta_DOWN,1
ACAD8,DOWN,LCM_meta_DOWN,1
ANKRD6,DOWN,LCM_meta_DOWN,1
ANO3,DOWN,LCM_meta_DOWN,1
ANO5,DOWN,LCM_meta_DOWN,1
ANO4,DOWN,LCM_meta_DOWN,1
AP2A1,DOWN,LCM_meta_DOWN,1
ARHGAP35,DOWN,LCM_meta_DOWN,1
ARHGEF25,DOWN,LCM_meta_DOWN,1
ASPHD2,DOWN,LCM_meta_DOWN,1
ATP11C,DOWN,LCM_meta_DOWN,1
B3GALT5,DOWN,LCM_meta_DOWN,1
BDH1,DOWN,SetA_multiomics_DOWN,1
AMER1,DOWN,LCM_meta_DOWN,1
AMN1,DOWN,LCM_meta_DOWN,1
C1orf216,DOWN,LCM_meta_DOWN,1
C6orf136,DOWN,LCM_meta_DOWN,1
C8orf34,DOWN,LCM_meta_DOWN,1
CADM3,DOWN,LCM_meta_DOWN,1
CAMK1D,DOWN,LCM_meta_DOWN,1
CAPN5,DOWN,LCM_meta_DOWN,1
CBL,DOWN,LCM_meta_DOWN,1
CC2D1B,DOWN,LCM_meta_DOWN,1
CCDC85B,DOWN,LCM_meta_DOWN,1
CCM2,DOWN,LCM_meta_DOWN,1
CCSER1,DOWN,LCM_meta_DOWN,1
CDC20B,DOWN,LCM_meta_DOWN,1
CDC34,DOWN,LCM_meta_DOWN,1
CDC37,DOWN,LCM_meta_DOWN,1
CDK5,DOWN,LCM_meta_DOWN,1
CDK7,DOWN,LCM_meta_DOWN,1
CDKN3,DOWN,LCM_meta_DOWN,1
CFAP46,DOWN,LCM_meta_DOWN,1
CFB,DOWN,discordant_LOW_CTX,1
CHD4,DOWN,LCM_meta_DOWN,1
CLCN5,DOWN,LCM_meta_DOWN,1
CLDN1,DOWN,LCM_meta_DOWN,1
CLTCL1,DOWN,LCM_meta_DOWN,1
CLYBL,DOWN,LCM_meta_DOWN,1
COL5A3,DOWN,discordant_LOW_CTX,1
COPS7A,DOWN,LCM_meta_DOWN,1
CORO2A,DOWN,LCM_meta_DOWN,1
COX5A,DOWN,SetA_multiomics_DOWN,1
BPHL,DOWN,SetA_multiomics_DOWN,1
BRINP3,DOWN,LCM_meta_DOWN,1
ACADVL,DOWN,LCM_meta_DOWN,1
CSGALNACT1,DOWN,LCM_meta_DOWN,1
DBT,DOWN,discordant_LOW_SC,1
DCXR,DOWN,LCM_meta_DOWN,1
DCTPP1,DOWN,LCM_meta_DOWN,1
DNAJC11,DOWN,LCM_meta_DOWN,1
DPM2,DOWN,LCM_meta_DOWN,1
ECEL1,DOWN,LCM_meta_DOWN,1
