Gene_Symbol,direction,source,n_up_sources
C3,UP,SetA_multiomics_UP+network_hub+pathway_enrichment,3
CYBB,UP,SetA_multiomics_UP+network_hub+pathway_enrichment,3
ITGB2,UP,SetA_multiomics_UP+network_hub+pathway_enrichment,3
PTPRC,UP,SetA_multiomics_UP+network_hub+pathway_enrichment,3
CP,UP,SetA_multiomics_UP+network_hub,2
ASAH1,UP,SetA_multiomics_UP+pathway_enrichment,2
SERPINA3,UP,SetA_multiomics_UP+pathway_enrichment,2
HLA-DRA,UP,SetA_multiomics_UP+network_hub,2
CD53,UP,SetA_multiomics_UP+pathway_enrichment,2
IQGAP1,UP,SetA_multiomics_UP+pathway_enrichment,2
ABCA1,UP,SetA_multiomics_UP,1
ACTR1B,UP,pathway_enrichment,1
ACTR2,UP,pathway_enrichment,1
ADAM10,UP,pathway_enrichment,1
TMBIM1,UP,pathway_enrichment,1
SERPINA1,UP,pathway_enrichment,1
SERPINB1,UP,pathway_enrichment,1
SIRPA,UP,pathway_enrichment,1
SLC2A3,UP,pathway_enrichment,1
SLC39A14,UP,SetA_multiomics_UP,1
SLCO4C1,UP,pathway_enrichment,1
SLPI,UP,pathway_enrichment,1
STING1,UP,pathway_enrichment,1
STK10,UP,pathway_enrichment,1
STOM,UP,pathway_enrichment,1
SVIP,UP,pathway_enrichment,1
SYPL1,UP,SetA_multiomics_UP,1
TCIRG1,UP,pathway_enrichment,1
AHSG,UP,pathway_enrichment,1
ATG7,UP,pathway_enrichment,1
ATIC,UP,SetA_multiomics_UP,1
ATP11B,UP,pathway_enrichment,1
ATP6V1D,UP,pathway_enrichment,1
ATP8A1,UP,pathway_enrichment,1
B2M,UP,pathway_enrichment,1
BIN2,UP,pathway_enrichment,1
BLVRA,UP,SetA_multiomics_UP,1
BPI,UP,pathway_enrichment,1
BST2,UP,pathway_enrichment,1
C1S,UP,SetA_multiomics_UP,1
C2orf88,UP,SetA_multiomics_UP,1
C3AR1,UP,pathway_enrichment,1
C5AR1,UP,pathway_enrichment,1
C6orf120,UP,pathway_enrichment,1
CAB39,UP,pathway_enrichment,1
CAMP,UP,pathway_enrichment,1
CAND1,UP,pathway_enrichment,1
CAP1,UP,pathway_enrichment,1
CAT,UP,pathway_enrichment,1
CCT2,UP,pathway_enrichment,1
CCT8,UP,pathway_enrichment,1
CD14,UP,pathway_enrichment,1
CD163,UP,SetA_multiomics_UP,1
CD177,UP,pathway_enrichment,1
CD36,UP,pathway_enrichment,1
CD44,UP,pathway_enrichment,1
CD47,UP,pathway_enrichment,1
CD55,UP,pathway_enrichment,1
CD63,UP,pathway_enrichment,1
CD68,UP,pathway_enrichment,1
CFI,UP,SetA_multiomics_UP,1
CHI3L1,UP,pathway_enrichment,1
CHIT1,UP,pathway_enrichment,1
CKAP4,UP,pathway_enrichment,1
CMTM6,UP,pathway_enrichment,1
CNN2,UP,pathway_enrichment,1
CPM,UP,SetA_multiomics_UP,1
CPNE1,UP,pathway_enrichment,1
CPPED1,UP,pathway_enrichment,1
CR1,UP,pathway_enrichment,1
CREG1,UP,pathway_enrichment,1
CST3,UP,pathway_enrichment,1
CSTB,UP,pathway_enrichment,1
CTSA,UP,pathway_enrichment,1
CTSB,UP,pathway_enrichment,1
CTSC,UP,pathway_enrichment,1
CTSG,UP,pathway_enrichment,1
CTSS,UP,pathway_enrichment,1
CTSZ,UP,pathway_enrichment,1
CXCR1,UP,pathway_enrichment,1
CXCR2,UP,pathway_enrichment,1
CYB5R3,UP,pathway_enrichment,1
CYBA,UP,pathway_enrichment,1
CYFIP1,UP,pathway_enrichment,1
DEGS1,UP,pathway_enrichment,1
DERA,UP,pathway_enrichment,1
DNAJC3,UP,pathway_enrichment,1
DOCK2,UP,pathway_enrichment,1
DSC1,UP,pathway_enrichment,1
DSG1,UP,pathway_enrichment,1
DSP,UP,pathway_enrichment,1
DYNLL1,UP,pathway_enrichment,1
EEF1A1,UP,pathway_enrichment,1
ELANE,UP,pathway_enrichment,1
ENPP4,UP,pathway_enrichment,1
EPX,UP,pathway_enrichment,1
ERP44,UP,pathway_enrichment,1
FABP5,UP,pathway_enrichment,1
FCER1G,UP,pathway_enrichment,1
FCGR2A,UP,pathway_enrichment,1
FGL2,UP,pathway_enrichment,1
FRK,UP,pathway_enrichment,1
FTH1,UP,pathway_enrichment,1
FTL,UP,pathway_enrichment,1
FUCA2,UP,pathway_enrichment,1
GBP2,UP,SetA_multiomics_UP,1
GCA,UP,pathway_enrichment,1
GCLM,UP,SetA_multiomics_UP,1
GDI2,UP,pathway_enrichment,1
GGH,UP,pathway_enrichment,1
GLB1,UP,pathway_enrichment,1
GLIPR1,UP,pathway_enrichment,1
GM2A,UP,pathway_enrichment,1
GMFG,UP,pathway_enrichment,1
GNS,UP,pathway_enrichment,1
GOLGA7,UP,pathway_enrichment,1
GSDMD,UP,pathway_enrichment,1
GSN,UP,pathway_enrichment,1
GSTP1,UP,pathway_enrichment,1
GUSB,UP,pathway_enrichment,1
HBB,UP,pathway_enrichment,1
HEXB,UP,pathway_enrichment,1
HLA-B,UP,pathway_enrichment,1
HLA-DRB5,UP,SetA_multiomics_UP,1
HMGB1,UP,pathway_enrichment,1
HP,UP,pathway_enrichment,1
HSP90AA1,UP,pathway_enrichment,1
HSP90AB1,UP,pathway_enrichment,1
HSPA1A,UP,pathway_enrichment,1
HSPA1B,UP,pathway_enrichment,1
HSPA8,UP,pathway_enrichment,1
HVCN1,UP,pathway_enrichment,1
IGF2R,UP,pathway_enrichment,1
ALAD,UP,pathway_enrichment,1
IQGAP2,UP,pathway_enrichment,1
ITGAL,UP,pathway_enrichment,1
ITGAM,UP,pathway_enrichment,1
ITGAV,UP,pathway_enrichment,1
ITGAX,UP,pathway_enrichment,1
YPEL5,UP,pathway_enrichment,1
JUP,UP,pathway_enrichment,1
KPNB1,UP,pathway_enrichment,1
KRT1,UP,pathway_enrichment,1
LAMP2,UP,pathway_enrichment,1
LAMTOR3,UP,pathway_enrichment,1
LCN2,UP,pathway_enrichment,1
LCP1,UP,SetA_multiomics_UP,1
LCP2,UP,SetA_multiomics_UP,1
LGALS3,UP,pathway_enrichment,1
LRG1,UP,pathway_enrichment,1
LTA4H,UP,pathway_enrichment,1
LTF,UP,pathway_enrichment,1
LYZ,UP,pathway_enrichment,1
MAGT1,UP,pathway_enrichment,1
MAPK1,UP,pathway_enrichment,1
MAPK14,UP,pathway_enrichment,1
MGAM,UP,pathway_enrichment,1
MME,UP,pathway_enrichment,1
MMP8,UP,pathway_enrichment,1
MMP9,UP,pathway_enrichment,1
MNDA,UP,pathway_enrichment,1
MOSPD2,UP,pathway_enrichment,1
MPO,UP,pathway_enrichment,1
NCKAP1L,UP,pathway_enrichment,1
NDUFC2,UP,pathway_enrichment,1
NEU1,UP,pathway_enrichment,1
NFAM1,UP,pathway_enrichment,1
NPC2,UP,pathway_enrichment,1
NRAS,UP,pathway_enrichment,1
OLR1,UP,pathway_enrichment,1
ORM1,UP,pathway_enrichment,1
ORM2,UP,pathway_enrichment,1
OSBPL11,UP,SetA_multiomics_UP,1
OSTF1,UP,pathway_enrichment,1
PADI2,UP,pathway_enrichment,1
PAFAH1B2,UP,pathway_enrichment,1
PDXK,UP,pathway_enrichment,1
PECAM1,UP,pathway_enrichment,1
PGM2,UP,pathway_enrichment,1
PGRMC1,UP,pathway_enrichment,1
PIGR,UP,pathway_enrichment,1
PLD1,UP,pathway_enrichment,1
PLEKHO2,UP,pathway_enrichment,1
PPBP,UP,pathway_enrichment,1
PRCP,UP,pathway_enrichment,1
PRDX4,UP,pathway_enrichment,1
