moa_term,count_top50,count_all,enrichment_ratio
Glycosylation inhibitor,1,2,134.96
Testosterone receptor antagonist,1,3,89.9733
Adenosylhomocysteinase inhibitor,1,4,67.48
Glutamate receptor modulator,1,5,53.984
Mineralocorticoid receptor antagonist,1,6,44.9867
Polar auxin transport inhibitor,1,6,44.9867
Non-nucleoside reverse transcriptase inhibitor,1,7,38.56
Ribonucleotide reductase inhibitor,1,8,33.74
CFTR channel agonist,1,8,33.74
Protein synthesis inhibitor,6,81,19.9941
Glucocorticoid receptor antagonist,1,19,14.2063
Ribonucleoside reductase inhibitor,2,39,13.8421
Purine antagonist,1,21,12.8533
Progesterone receptor antagonist,1,21,12.8533
Androgen receptor agonist,1,22,12.2691
Calmodulin inhibitor,1,22,12.2691
Progesterone receptor agonist,3,75,10.7968
PIM inhibitor,1,25,10.7968
SIRT inhibitor,1,30,8.9973
CC chemokine receptor antagonist,1,36,7.4978
CDC inhibitor,1,36,7.4978
Bacterial DNA inhibitor,1,43,6.2772
RNA polymerase inhibitor,1,44,6.1345
Immunosuppressant,1,47,5.743
Retinoid receptor agonist,2,96,5.6233
Androgen receptor antagonist,1,51,5.2925
DNA inhibitor,4,204,5.2925
Rho associated kinase inhibitor,1,58,4.6538
Bacterial cell wall synthesis inhibitor,1,66,4.0897
RAF inhibitor,2,158,3.4167
PARP inhibitor,1,83,3.252
Protein kinase inhibitor,1,84,3.2133
Adrenergic receptor antagonist,2,176,3.0673
Estrogen receptor agonist,1,92,2.9339
GSK inhibitor,1,105,2.5707
MAP kinase inhibitor,1,105,2.5707
Topoisomerase inhibitor,2,218,2.4763
CDK inhibitor,2,258,2.0924
PLK inhibitor,1,134,2.0143
Histamine receptor antagonist,1,135,1.9994
Phosphodiesterase inhibitor,1,143,1.8876
Dopamine receptor antagonist,1,275,0.9815
MTOR inhibitor,1,280,0.964
PI3K inhibitor,1,356,0.7582
Vesicular monoamine transporter inhibitor,0,18,0.0
Anti-pneumocystis agent,0,5,0.0
Tubulin inhibitor,0,275,0.0
ATM kinase inhibitor,0,42,0.0
Estrogen receptor antagonist,0,64,0.0
Breast cancer resistance protein inhibitor,0,13,0.0
Anti-inflammatory agent,0,3,0.0
Aurora kinase inhibitor,0,188,0.0
Imidazoline receptor agonist,0,18,0.0
Syk inhibitor,0,75,0.0
KIT inhibitor,0,182,0.0
Bcr-Abl inhibitor,0,139,0.0
Ephrin inhibitor,0,61,0.0
PDGFR inhibitor,0,242,0.0
Src inhibitor,0,137,0.0
Tyrosine kinase inhibitor,0,135,0.0
FGFR inhibitor,0,109,0.0
BCL inhibitor,0,86,0.0
VEGFR inhibitor,0,332,0.0
Carnitine palmitoyltransferase inhibitor,0,15,0.0
MCL1 inhibitor,0,35,0.0
Mitochondrial inhibitor,0,31,0.0
Phosphatase inhibitor,0,10,0.0
Aryl hydrocarbon receptor agonist,0,5,0.0
Potassium channel activator,0,26,0.0
LIM kinase activator,0,10,0.0
Rho associated kinase activator,0,10,0.0
Dopamine receptor agonist,0,85,0.0
Serotonin receptor antagonist,0,243,0.0
DNA repair enzyme inhibitor,0,7,0.0
Nedd activating enzyme inhibitor,0,20,0.0
TGF-beta receptor inhibitor,0,51,0.0
Serine/threonine kinase inhibitor,0,22,0.0
BTK inhibitor,0,90,0.0
Cytoplasmic tyrosine protein kinase BMX inhibitor,0,4,0.0
Acetylcholine receptor antagonist,0,83,0.0
DNA synthesis inhibitor,0,22,0.0
Adenosine receptor agonist,0,24,0.0
Protein phosphatase inhibitor,0,20,0.0
Cyclooxygenase inhibitor,0,178,0.0
Abl inhibitor,0,70,0.0
Glucokinase activator,0,11,0.0
HIV inhibitor,0,50,0.0
Prostacyclin analog,0,7,0.0
Gamma secretase inhibitor,0,37,0.0
Angiogenesis inhibitor,0,42,0.0
DNA dependent protein kinase inhibitor,0,20,0.0
Adenosine deaminase inhibitor,0,11,0.0
Sigma receptor antagonist,0,29,0.0
Acetylcholinesterase inhibitor,0,54,0.0
Furoquinoline alkaloid,0,4,0.0
AKT inhibitor,0,161,0.0
Protein synthesis stimulant,0,5,0.0
MEK inhibitor,0,177,0.0
Interleukin inhibitor,0,14,0.0
GABA receptor antagonist,0,48,0.0
DNA methyltransferase inhibitor,0,15,0.0
Apoptosis stimulant,0,71,0.0
Casein kinase inhibitor,0,50,0.0
PKC inhibitor,0,120,0.0
EGFR inhibitor,0,378,0.0
Kinesin inhibitor,0,31,0.0
Glycine transporter inhibitor,0,4,0.0
Tyrosine phosphatase inhibitor,0,31,0.0
Phospholipase inhibitor,0,27,0.0
5-alpha reductase inhibitor,0,9,0.0
Carcinogen,0,61,0.0
Lanosterol demethylase inhibitor,0,9,0.0
Sterol demethylase inhibitor,0,38,0.0
Bacterial DNA Gyrase inhibitor,0,17,0.0
Aromatase inhibitor,0,30,0.0
Thromboxane receptor antagonist,0,10,0.0
JAK inhibitor,0,190,0.0
FLT3 inhibitor,0,191,0.0
Mucus protecting agent,0,10,0.0
Antibiotic,0,11,0.0
Retinoid receptor antagonist,0,9,0.0
Glutamate receptor antagonist,0,120,0.0
Cholinergic receptor agonist,0,3,0.0
CHK inhibitor,0,42,0.0
Thrombin inhibitor,0,19,0.0
P38 MAPK inhibitor,0,111,0.0
Bacterial 50S ribosomal subunit inhibitor,0,38,0.0
ACAT inhibitor,0,22,0.0
p53 inhibitor,0,14,0.0
IKK inhibitor,0,102,0.0
NFKB inhibitor,0,174,0.0
Adrenergic receptor agonist,0,112,0.0
NADPH inhibitor,0,16,0.0
STAT inhibitor,0,42,0.0
Endothelin receptor antagonist,0,22,0.0
Sulfonylurea,0,10,0.0
Calcium channel blocker,0,167,0.0
Ras GTPase inhibitor,0,8,0.0
Glutathione transferase inhibitor,0,13,0.0
Radical formation stimulant,0,3,0.0
ACE inhibitor,0,32,0.0
Matrix metalloprotease inhibitor,0,19,0.0
Thromboxane synthase inhibitor,0,14,0.0
Cholesterol inhibitor,0,29,0.0
Beta catenin inhibitor,0,28,0.0
ATP channel blocker,0,24,0.0
Insulin secretagogue,0,27,0.0
Glucocorticoid receptor agonist,0,230,0.0
Increases arterial blood pressure,0,1,0.0
Benzodiazepine receptor antagonist,0,18,0.0
Macrophage activator,0,3,0.0
Enhancer of synaptic activity,0,1,0.0
Cannabinoid receptor antagonist,0,29,0.0
Opioid receptor agonist,0,44,0.0
Diacylglycerol O acyltransferase inhibitor,0,11,0.0
Immunostimulant,0,11,0.0
Beta amyloid inhibitor,0,17,0.0
DYRK inhibitor,0,14,0.0
Thioredoxin inhibitor,0,14,0.0
Adenosine receptor antagonist,0,62,0.0
Dystrophin stimulant,0,1,0.0
HMGCR inhibitor,0,67,0.0
Opioid receptor antagonist,0,42,0.0
LRRK inhibitor,0,25,0.0
CAR agonist,0,1,0.0
Tankyrase inhibitor,0,11,0.0
"Indoleamine 2,3-dioxygenase inhibitor",0,8,0.0
Platelet aggregation inhibitor,0,17,0.0
Prostanoid receptor agonist,0,34,0.0
Sodium channel inhibitor,0,96,0.0
Bacterial protein synthesis inhibitor,0,3,0.0
Prostanoid receptor antagonist,0,39,0.0
Insulin sensitizer,0,54,0.0
PPAR receptor agonist,0,105,0.0
Cytochrome P450 inhibitor,0,84,0.0
RIPK inhibitor,0,7,0.0
Acetylcholine release enhancer,0,3,0.0
Dopamine release enhancer,0,3,0.0
Tachykinin antagonist,0,29,0.0
Serine/threonine protein phosphatase activator,0,3,0.0
ATPase inhibitor,0,64,0.0
Benzodiazepine receptor agonist,0,29,0.0
Potassium channel antagonist,0,59,0.0
Glucosidase inhibitor,0,12,0.0
PDK1 Inhibitor,0,14,0.0
Dihydrofolate reductase inhibitor,0,21,0.0
Angiotensin receptor antagonist,0,37,0.0
Melatonin receptor agonist,0,7,0.0
Carboxamide antiepileptic,0,4,0.0
JNK inhibitor,0,52,0.0
Maternal embryonic leucine zipper kinase inhibitor,0,9,0.0
WEE1 kinase inhibitor,0,20,0.0
DNA intercalating agent,0,8,0.0
Survivin inhibitor,0,18,0.0
Lipid peroxidase inhibitor,0,17,0.0
Urease inhibitor,0,3,0.0
Histone lysine methyltransferase inhibitor,0,57,0.0
KPL-1 tumor suppressor,0,1,0.0
WNT inhibitor,0,10,0.0
Acetylcholine receptor agonist,0,53,0.0
Chelating agent,0,15,0.0
HCN channel antagonist,0,5,0.0
Potassium channel blocker,0,6,0.0
Serotonin receptor agonist,0,129,0.0
Vitamin D receptor agonist,0,49,0.0
RNA synthesis inhibitor,0,32,0.0
PPAR receptor antagonist,0,16,0.0
Ceramidase inhibitor,0,5,0.0
HCV inhibitor,0,39,0.0
CCK receptor antagonist,0,21,0.0
XIAP inhibitor,0,21,0.0
Cadherin antagonist,0,1,0.0
Cell cycle inhibitor,0,41,0.0
Purinergic receptor antagonist,0,22,0.0
ALK inhibitor,0,79,0.0
P selectin inhibitor,0,6,0.0
MET inhibitor,0,25,0.0
Histone demethylase inhibitor,0,24,0.0
ERBB2 inhibitor,0,29,0.0
Anthelmintic,0,11,0.0
Lipoxygenase inhibitor,0,69,0.0
Adenosine kinase inhibitor,0,11,0.0
Sodium channel activator,0,12,0.0
Monoamine oxidase inhibitor,0,54,0.0
Telomerase inhibitor,0,22,0.0
Neural stem cell inducer,0,19,0.0
ATR kinase inhibitor,0,30,0.0
Binds HIV gp120 and inhibits HIV-1 entry into the neural cell line SK-N-MC,0,4,0.0
Growth factor receptor inhibitor,0,14,0.0
Lymphocyte inhibitor,0,4,0.0
HDAC inhibitor,0,302,0.0
MRP inhibitor,0,3,0.0
P-glycoprotein inhibitor,0,24,0.0
FAAH inhibitor,0,33,0.0
Cholesteryl ester transfer protein inhibitor,0,3,0.0
Histamine receptor agonist,0,23,0.0
Membrane integrity inhibitor,0,21,0.0
Na/K-ATPase inhibitor,0,83,0.0
Imidazoline ligand,0,11,0.0
Retinoid receptor ligand,0,8,0.0
Alcohol dehydrogenase inhibitor,0,9,0.0
Antioxidant,0,16,0.0
Capillary stabilizing agent,0,4,0.0
Nitric oxide scavenger,0,4,0.0
Adenylyl cyclase activator,0,15,0.0
HSP inhibitor,0,117,0.0
Somatostatin receptor agonist,0,5,0.0
PDK inhibitor,0,33,0.0
Interferon inducer,0,9,0.0
TLR agonist,0,4,0.0
Glucose dependent insulinotropic receptor agonist,0,7,0.0
PKA inhibitor,0,18,0.0
RET inhibitor,0,55,0.0
Azo dye used in titrations to detect metal ions,0,4,0.0
Thymidylate synthase inhibitor,0,33,0.0
Structural glycoprotein antagonist,0,1,0.0
Reverse transcriptase inhibitor,0,16,0.0
Farnesyltransferase inhibitor,0,45,0.0
Cell proliferation inhibitor,0,5,0.0
Antimalarial,0,21,0.0
Lipase inhibitor,0,8,0.0
Cytidine deaminase inhibitor,0,7,0.0
Pyruvate kinase isozyme activator,0,3,0.0
Protein tyrosine kinase inhibitor,0,47,0.0
CFTR channel antagonist,0,7,0.0
Progestogen hormone,0,10,0.0
ICAM1 inhibitor,0,4,0.0
MDM inhibitor,0,40,0.0
NGF binding inhibitor,0,3,0.0
Alpha mannosidase inhibitor,0,2,0.0
Norepinephrine inhibitor,0,44,0.0
Calcineurin inhibitor,0,30,0.0
Lactamase inhibitor,0,3,0.0
CRTH receptor antagonist,0,3,0.0
Melatonin receptor antagonist,0,1,0.0
Algicide,0,10,0.0
GABA receptor modulator,0,6,0.0
Membrane permeability inhibitor,0,3,0.0
Dihydroorotate dehydrogenase inhibitor,0,14,0.0
Vasopressin receptor antagonist,0,16,0.0
Inosine monophosphate dehydrogenase inhibitor,0,21,0.0
Caspase activator,0,22,0.0
Bacterial quorum sensing inhibitor,0,3,0.0
Chromone,0,3,0.0
DNA alkylating agent,0,26,0.0
Mitochondrial oxidative phosphorylation uncoupler,0,15,0.0
Anesthetic - local,0,23,0.0
Brefeldin A inhibited guanine nucleotide exchange protein inhibitors,0,1,0.0
Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor,0,1,0.0
Antiseptic,0,3,0.0
Nitric oxide synthase inhibitor,0,30,0.0
Pyruvate dehydrogenase kinase inhibitor,0,9,0.0
Integrin inhibitor,0,15,0.0
Collapsin response mediator protein stimulant,0,4,0.0
Sodium channel blocker,0,6,0.0
AXL kinase inhibitor,0,12,0.0
Leukotriene receptor antagonist,0,20,0.0
Thymidine phosphorylase inhibitor,0,2,0.0
NAMPT inhibitor,0,17,0.0
Cannabinoid receptor agonist,0,43,0.0
Deubiquitinase inhibitor,0,2,0.0
Histone lysine demethylase inhibitor,0,15,0.0
Photosynthesis inhibitor,0,1,0.0
Smoothened receptor antagonist,0,29,0.0
Kainate receptor antagonist,0,8,0.0
TRPV antagonist,0,19,0.0
Constitutive androstane receptor (CAR) agonist,0,4,0.0
Aspartic protease inhibitor,0,4,0.0
Transient receptor potential channel antagonist,0,4,0.0
ATP channel activator,0,7,0.0
Neurotransmitter,0,2,0.0
Antiviral,0,14,0.0
Bacterial permeability inducer,0,14,0.0
Arginase inhibitor,0,7,0.0
Vasopressin receptor agonist,0,4,0.0
Glucokinase inhibitor,0,6,0.0
Beta lactamase inhibitor,0,3,0.0
Leukocyte elastase inhibitor,0,7,0.0
Tripeptidyl peptidase inhibitor,0,2,0.0
Autophagy inducer,0,3,0.0
Nitric oxide stimulant,0,9,0.0
Chloride channel blocker,0,17,0.0
TIE inhibitor,0,8,0.0
IGF-1 inhibitor,0,58,0.0
Carboxylesterase inhibitor,0,5,0.0
Metalloproteinase inhibitor,0,21,0.0
Gamma glutamyltransferase Inhibitors,0,6,0.0
Laxative,0,13,0.0
Glycolysis inhibitor,0,3,0.0
Carbamoyl phosphate synthase activator,0,3,0.0
Heme oxygenase inhibitor,0,1,0.0
Proteasome inhibitor,0,70,0.0
Leukotriene inhibitor,0,30,0.0
Stearoyl-CoA desaturase inhibitor,0,5,0.0
Growth hormone secretagogue receptor agonist,0,6,0.0
Inositol monophosphatase inhibitor,0,41,0.0
Bacterial 30S ribosomal subunit inhibitor,0,17,0.0
Antiarrhythmic,0,5,0.0
Phytotoxin,0,3,0.0
Delta 1 opioid receptor agonist,0,2,0.0
RAD51 inhibitor,0,10,0.0
RET tyrosine kinase inhibitor,0,23,0.0
BIG1 inhibitor,0,3,0.0
Pyrrolizidine alkaloid,0,2,0.0
Focal adhesion kinase inhibitor,0,40,0.0
Glutaminase inhibitor,0,8,0.0
LCK Inhibitor,0,5,0.0
Corticosteroid agonist,0,32,0.0
DNA directed DNA polymerase inhibitor,0,10,0.0
Pharmacological chaperone,0,6,0.0
HIF modulator,0,8,0.0
Penicillin binding protein inhibitor,0,11,0.0
Fungal squalene epoxidase inhibitor,0,13,0.0
Thrombopoietin receptor agonist,0,2,0.0
Caspase inhibitor,0,28,0.0
Coloring agent,0,9,0.0
Carbonic anhydrase inhibitor,0,24,0.0
LXR agonist,0,14,0.0
Paclitaxel precursor,0,6,0.0
Product of purine catabolism used in cosmetics,0,2,0.0
Guanylyl cyclase activator,0,12,0.0
Tyrosine hydroxylase inhibitor,0,2,0.0
G protein-coupled receptor agonist,0,11,0.0
HIF Inhibitor,0,14,0.0
Selective serotonin reuptake inhibitor (SSRI),0,22,0.0
Orexin receptor antagonist,0,9,0.0
TRPV agonist,0,30,0.0
Anti-inflammatory,0,16,0.0
Guanylyl cyclase inhibitor,0,14,0.0
Tyrosinase inhibitor,0,16,0.0
Mitochondrial Na+/Ca2+ exchanger antagonist,0,4,0.0
Sodium/calcium exchange inhibitor,0,4,0.0
Inhibitor of methylation of endogenous isoprenylated proteins,0,3,0.0
Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor,0,7,0.0
Xanthine oxidase inhibitor,0,11,0.0
Proton pump inhibitor,0,15,0.0
Phenylalanyl tRNA synthetase inhibitor,0,5,0.0
Growth factor receptor activator,0,2,0.0
Cytosolic phospholipase inhibitor,0,9,0.0
11-beta-HSD1 inhibitor,0,25,0.0
Dipeptidyl peptidase inhibitor,0,20,0.0
DOT1L inhibitor,0,4,0.0
Kinase inhibitor,0,3,0.0
Glucagon receptor antagonist,0,7,0.0
Hedgehog pathway inhibitor,0,4,0.0
Lysophosphatidic acid receptor antagonist,0,3,0.0
Serotonin reuptake inhibitor,0,28,0.0
Tricyclic antidepressant,0,31,0.0
Free radical scavenger,0,7,0.0
Reducing agent,0,8,0.0
Apolipoprotein expression enhancer,0,5,0.0
Nociceptin/orphanin FQ (NOP) receptor antagonist,0,1,0.0
Glutathione peroxidase agonist,0,3,0.0
H+/K+-ATPase inhibitor,0,3,0.0
Aldose reductase inhibitor,0,13,0.0
"DEET, activator of fly antenna ionotropic receptor IR40a",0,4,0.0
IAP antagonist,0,4,0.0
Receptor tyrosine protein kinase inhibitor,0,16,0.0
Sphingosine kinase inhibitor,0,11,0.0
FXR antagonist,0,7,0.0
PXR ligand,0,1,0.0
Peptidase inhibitor,0,16,0.0
Coagulation factor inhibitor,0,10,0.0
ETV1 inhibitor,0,6,0.0
Histone acetyltransferase inhibitor,0,29,0.0
Enkephalinase inhibitor,0,2,0.0
Photoactivated toxin,0,7,0.0
Dopamine uptake inhibitor,0,4,0.0
Fatty acid synthase inhibitor,0,16,0.0
Microsomal trigylceride transfer protein inhibitor,0,7,0.0
Dehydrogenase inhibitor,0,24,0.0
Antimetabolite,0,6,0.0
Nootropic agent,0,4,0.0
SARS coronavirus 3C-like protease inhibitor,0,11,0.0
Platelet activating factor receptor antagonist,0,11,0.0
Nitric oxide donor,0,4,0.0
Antifungal,0,5,0.0
Ion channel antagonist,0,10,0.0
GLI antagonist,0,8,0.0
AMPK activator,0,9,0.0
Uric acid diuretic,0,1,0.0
Cytokine production inhibitor,0,12,0.0
p53 activator,0,18,0.0
GABA receptor agonist,0,26,0.0
Muscle relaxant,0,18,0.0
Glutamate inhibitor,0,8,0.0
