pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
tanaproget,BRD-K99604664,HELA,-0.5778,-2.3212,15.6536,0.605798,Progesterone receptor agonist,PGR
anagrelide,BRD-K62200014,HELA,-0.575,-2.3101,15.6536,0.62448,Phosphodiesterase inhibitor,PDE3A
BRD-K28456706,BRD-K28456706,HCC515,-0.5712,-2.2949,15.6536,0.408198,,
levonorgestrel,BRD-K35189033,HELA,-0.5246,-2.1075,15.6536,0.4317,Estrogen receptor agonist|Glucocorticoid receptor antagonist|Progesterone receptor agonist|Progesterone receptor antagonist,PGR|CYP2E1|AR|ESR1|SRD5A1
testosterone,BRD-A55393291,HELA,-0.5212,-2.0941,15.6536,0.535036,Androgen receptor agonist,AR|CYP2C19|CYP2C8|CYP3A5|CYP19A1
emetine,BRD-K01976263,A375,-0.5163,-2.074,15.6536,0.598293,,
emetine,BRD-K01976263,A549,-0.5091,-2.0455,15.6536,0.465694,,
mercaptopurine,BRD-K91601245,HELA,-0.5049,-2.0282,15.6536,0.465799,Immunosuppressant|Protein synthesis inhibitor|Purine antagonist,HPRT1|IMPDH1|IMPDH2|PPAT
tetracycline,BRD-A88208128,HPTEC,-0.5043,-2.026,15.6536,0.429391,,
CX-5461,BRD-K12787259,HEK293,-0.5033,-2.022,15.6536,0.266094,RNA polymerase inhibitor,
pregnenolone,BRD-K52183142,HELA,-0.4966,-1.9951,15.6536,0.531879,Glutamate receptor modulator,PGR|CYP17A1|SULT2B1
BRD-K86354270,BRD-K86354270,A549,-0.4945,-1.9866,15.6536,0.247813,,
BRD-K23875128,BRD-K23875128,HELA,-0.4913,-1.9736,15.6536,0.481,Rho associated kinase inhibitor,
emetine,BRD-A25687296,HA1E,-0.4911,-1.9728,15.6536,0.666899,Protein synthesis inhibitor,RPS2
azacitidine,BRD-K03406345,A375,-0.49,-1.9687,15.6536,0.496614,DNA inhibitor,DNMT1|DNMT3A
vemurafenib,BRD-K56343971,A549,-0.4899,-1.9681,15.6536,0.205771,RAF inhibitor,BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1
aloisine,BRD-K93658967,VCAP,-0.4898,-1.9679,15.6536,0.358679,CDK inhibitor|CFTR channel agonist|GSK inhibitor,CDK2
emetine,BRD-K01976263,HA1E,-0.489,-1.9644,15.3525,0.61091,,
PHA-767491,BRD-K50000283,THP1,-0.4887,-1.9632,15.3525,0.459179,CDC inhibitor,CDK1|RPS6KB1
STO-609,BRD-K52620403,HEPG2,-0.4882,-1.9613,15.3525,0.234325,Calmodulin inhibitor,CAMKK1|CAMKK2
BRD-K59573506,BRD-K59573506,HELA,-0.4868,-1.9557,15.3525,0.541319,Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist,AR|ADORA1
QL-XII-47,BRD-K99252563,MCF7,-0.4816,-1.9347,15.3525,0.519064,,
verrucarin-a,BRD-A26002865,HEPG2,-0.4803,-1.9296,15.3525,0.541102,Protein synthesis inhibitor,
oxiconazole,BRD-K56104152,THP1,-0.4787,-1.9233,15.3525,0.247619,Bacterial cell wall synthesis inhibitor,
AZD-5438,BRD-K72414522,THP1,-0.4783,-1.9215,15.3525,0.52597,CDK inhibitor,CCNB1|CCNE1|CDK1|CDK2|KCNH2
adapalene,BRD-K33127281,HEK293,-0.4774,-1.918,15.3525,0.424574,Retinoid receptor agonist,RARB|RARG|RARA|RXRA|RXRB|RXRG
azacitidine,BRD-K03406345,A549,-0.4772,-1.9172,15.3525,0.652668,DNA inhibitor,DNMT1|DNMT3A
I-070759,BRD-K86761848,A375,-0.4736,-1.9025,15.3525,0.433278,,
quercetin,BRD-K97399794,HELA,-0.4733,-1.9016,15.3525,0.5572,Polar auxin transport inhibitor,PIK3CG|AKR1B1|CYP2C8|EGFR|GAA|MAOA|PTPN1|SCN5A|SIRT1|XDH|ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIM1|STK17B|UGT3A1
adarotene,BRD-K00152668,HEK293,-0.4725,-1.8983,15.3525,0.59923,Retinoid receptor agonist,RARG|RARA|RARB
cytarabine,BRD-K71847383,HCC515,-0.4717,-1.8952,15.3525,0.659282,Ribonucleoside reductase inhibitor,POLA1|POLB|POLD1|POLE
cytarabine,BRD-K33106058,HCC515,-0.4702,-1.8891,15.3525,0.678323,Ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE
vemurafenib,BRD-K56343971,PC3,-0.4695,-1.8862,15.3525,0.303507,RAF inhibitor,BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1
EX-527,BRD-A73908300,HELA,-0.4694,-1.8859,15.3525,0.479799,SIRT inhibitor,SIRT1
BRD-K60571253,BRD-K60571253,A375,-0.4693,-1.8854,15.3525,0.203648,,
SA-1921456,BRD-K74381836,HCC515,-0.4672,-1.8768,15.3525,0.223092,,
propranolol,BRD-A10070317,PC3,-0.4672,-1.8769,15.3525,0.245913,Adrenergic receptor antagonist,ADRB2|ADRB3
emetine,BRD-K01976263,HCC515,-0.4657,-1.871,15.3525,0.638818,,
olaparib,BRD-K02113016,HEK293,-0.4645,-1.8661,15.3525,0.279877,PARP inhibitor,PARP1|PARP2|PARP3
emetine,BRD-A25687296,MCF7,-0.4644,-1.8655,15.3525,0.620541,Protein synthesis inhibitor,RPS2
SGI-1776,BRD-K80700417,HUVEC,-0.4641,-1.8646,15.3525,0.639976,PIM inhibitor,PIM1|FLT3|PIM2|PIM3
clofarabine,BRD-K34022604,HCC515,-0.4631,-1.8604,15.3525,0.691704,Ribonucleoside reductase inhibitor,RRM1|POLA1|RRM2|SLC22A8|POLD1|POLE|RRM2B
BRD-K67506692,BRD-K67506692,HCC515,-0.4629,-1.8599,15.3525,0.525184,MAP kinase inhibitor,
cephaeline,BRD-K80348542,HEPG2,-0.4612,-1.8527,15.3525,0.411839,Protein synthesis inhibitor,
I-606051,BRD-K16533489,MCF7,-0.4603,-1.8494,15.3525,0.358336,,
BRD-K55575531,BRD-K55575531,BJAB,-0.4596,-1.8466,15.3525,0.271631,,
BRD-A65730376,BRD-A65730376,YAPC,-0.4585,-1.8421,15.3525,0.381513,,
