rank,pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name,query
1,stavudine,BRD-K93880783,PC3,0.4327,1.7974,2.5584,0.369515,DNA inhibitor|Reverse transcriptase inhibitor,,Q2
2,CX-5461,BRD-K12787259,CD34,0.4264,1.7712,2.5118,0.257296,RNA polymerase inhibitor,,Q2
3,AV-412,BRD-K23190681,HA1E,0.42,1.7448,2.4694,0.642131,Receptor tyrosine protein kinase inhibitor,EGFR|ERBB2,Q2
4,tretinoin,BRD-K71879491,HL60,0.418,1.7365,2.4568,0.486127,Retinoid receptor agonist|Retinoid receptor ligand,RARG|RORB|RARA|RARB|ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARRES1|RORC|RXRB|RXRG,Q2
5,BRD-K72783841,BRD-K72783841,SKB,0.4112,1.7083,2.4168,0.2474,EGFR inhibitor,EGFR,Q2
6,PF-03758309,BRD-K37764012,CD34,0.4091,1.6993,2.4048,0.403474,P21 activated kinase inhibitor,PAK4,Q2
7,tazarotene,BRD-K76841105,THP1,0.4089,1.6985,2.4038,0.429054,Retinoid receptor agonist,RARG|RARA|RARB|ODC1|RXRB,Q2
8,C-646,BRD-K68548958,NOMO1,0.402,1.67,2.3678,0.30971,Histone acetyltransferase inhibitor,EP300,Q2
9,nelfinavir,BRD-K74117820,PC3,0.3995,1.6594,2.3552,0.448948,HIV inhibitor,CYP2C19|CYP3A7|CYP3A5|CYP1A2|CYP2B6|CYP2C9|CYP2D6|CYP3A4,Q2
10,estrone,BRD-A37959677,THP1,0.3964,1.6467,2.3405,0.205194,Estrogen receptor agonist|Estrogenic hormone,ESR1|ESR2,Q2
11,fluspirilene,BRD-K77947974,MCF7,0.3909,1.6237,2.3151,0.340304,Dopamine receptor antagonist,DRD2|HTR2A|CACNG1|HRH1|HTR1A|HTR1D|HTR1E,Q2
12,PNU-74654,BRD-K30707190,U937,0.3902,1.6209,2.3121,0.251864,Beta catenin inhibitor,CTNNB1|TCF4,Q2
13,taranabant,BRD-K35169477,PC3,0.3891,1.6163,2.3073,0.22292,Cannabinoid receptor antagonist,CNR1,Q2
14,BRD-K08177763,BRD-K08177763,BJAB,0.3889,1.6155,2.3064,0.532387,MTOR inhibitor,MTOR|PTEN,Q2
15,Ro-4987655,BRD-K64538373,THP1,0.3849,1.599,2.2894,0.536807,MEK inhibitor,MAP2K1,Q2
16,RAF-265,BRD-K93123848,CD34,0.3847,1.5982,2.2886,0.341191,RAF inhibitor|VEGFR inhibitor,BRAF|KDR|KIT|PDGFRB|RAF1,Q2
17,MRE-269,BRD-K19706299,HL60,0.3837,1.5937,2.2841,0.693418,Prostanoid receptor agonist,PTGIR,Q2
18,endo-IWR-1,BRD-K61314889,HCT116,0.382,1.5867,2.2771,0.606108,PARP inhibitor,TNKS|TNKS2,Q2
19,flupentixol,BRD-K70487031,MCF7,0.3819,1.5863,2.2767,0.304701,Dopamine receptor antagonist,DRD2|DRD1|ADRA1A|CHRM1|DRD3|DRD5|HTR2A,Q2
20,BMS-509744,BRD-A13021932,THP1,0.3818,1.5859,2.2764,0.359081,ITK inhibitor,,Q2
21,BRD-K68552125,BRD-K68552125,PC3,0.3801,1.5789,2.2695,0.449744,PKC activator,,Q2
22,betamethasone,BRD-K39188321,HA1E,0.3797,1.5774,2.2681,0.238091,Glucocorticoid receptor agonist,NR3C1,Q2
23,auranofin,BRD-K45995181,HBL1,0.3785,1.5723,2.2632,0.26262,NFKB inhibitor,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,Q2
24,AG-592,BRD-K89930444,MCF7,0.3785,1.5721,2.2631,0.668148,Tyrosine kinase inhibitor,,Q2
25,RG-2833,BRD-K02389548,THP1,0.3783,1.5714,2.2624,0.74394,HDAC inhibitor,HDAC1|HDAC3,Q2
26,LY-2183240,BRD-K37865504,THP1,0.3783,1.5713,2.2622,0.375526,FAAH inhibitor,FAAH,Q2
27,MLN-4924,BRD-K67844266,A375,0.3778,1.5694,2.2605,0.391368,Nedd activating enzyme inhibitor,NAE1|UBA3,Q2
28,QW-BI-011,BRD-K72264770,PC3,0.3776,1.5685,2.2596,0.583411,Histone lysine methyltransferase inhibitor,EHMT2,Q2
29,ciclopirox,BRD-K13044802,A549,0.3771,1.5664,2.2577,0.535737,Membrane integrity inhibitor,ATP1A1,Q2
30,sotrastaurin,BRD-K16761703,KMS34,0.377,1.5659,2.2572,0.246053,PKC inhibitor,PRKCA|PRKCB|PRKCQ|PRKCD|PRKCE|PRKCH,Q2
31,BE-2254,BRD-A24429032,MCF7,0.377,1.566,2.2573,0.288427,Adrenergic receptor antagonist,ADRA1A,Q2
32,tacedinaline,BRD-K52313696,THP1,0.376,1.5618,2.2533,0.571852,HDAC inhibitor,HDAC1,Q2
33,R-428,BRD-K14870255,HT29,0.3748,1.5569,2.2488,0.66277,AXL kinase inhibitor,AXL,Q2
34,sirolimus,BRD-A79768653,BT20,0.3747,1.5565,2.2484,0.203503,MTOR inhibitor,MTOR|FKBP1A|CCR5|FGF2,Q2
35,protriptyline,BRD-K42098891,MDAMB231,0.3744,1.5551,2.2472,0.230263,Tricyclic antidepressant,SLC6A2|SLC6A4,Q2
36,AZD-8330,BRD-K37687095,HCC515,0.3741,1.5539,2.246,0.577881,MEK inhibitor,,Q2
