pert_iname,Q1_raw_cs,Q2_raw_cs,mean_cs,Q1_rank,Q2_rank,moa,target_name,hub_target,matched_hubs,n_hubs_targeted,evidence_tier,als_literature_flag
tanaproget,-0.5778,-0.3646,-0.4712,1,11,Progesterone receptor agonist,PGR,False,,0,2,CHECK
testosterone,-0.5212,-0.3872,-0.4542,4,3,Androgen receptor agonist,AR|CYP2C19|CYP2C8|CYP3A5|CYP19A1,False,,0,2,CHECK
pregnenolone,-0.4966,-0.3589,-0.4278,7,15,Glutamate receptor modulator,PGR|CYP17A1|SULT2B1,False,,0,2,CHECK
clofarabine,-0.4631,-0.391,-0.427,31,2,Ribonucleoside reductase inhibitor,RRM1|POLA1|RRM2|SLC22A8|POLD1|POLE|RRM2B,False,,0,2,CHECK
aloisine,-0.4898,-0.349,-0.4194,12,24,CDK inhibitor|CFTR channel agonist|GSK inhibitor,CDK2,False,,0,2,CHECK
oxiconazole,-0.4787,-0.3571,-0.4179,17,19,Bacterial cell wall synthesis inhibitor,,False,,0,2,CHECK
PHA-767491,-0.4887,-0.3453,-0.417,13,27,CDC inhibitor,CDK1|RPS6KB1,False,,0,2,CHECK
BRD-K59573506,-0.4868,-0.3421,-0.4144,15,36,Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist,AR|ADORA1,False,,0,2,CHECK
cytarabine,-0.4717,-0.3557,-0.4137,23,21,Ribonucleoside reductase inhibitor,POLA1|POLB|POLD1|POLE,False,,0,2,CHECK
miglustat,-0.4494,-0.3759,-0.4126,43,6,Glycosylation inhibitor,UGCG|GAA|SLC5A4,False,,0,2,CHECK
emetine,-0.4911,-0.3341,-0.4126,9,47,Protein synthesis inhibitor,RPS2,False,,0,2,CHECK
vemurafenib,-0.4899,-0.333,-0.4114,11,48,RAF inhibitor,BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1,False,,0,2,CHECK
quercetin,-0.4733,-0.3443,-0.4088,21,28,Polar auxin transport inhibitor,PIK3CG|AKR1B1|CYP2C8|EGFR|GAA|MAOA|PTPN1|SCN5A|SIRT1|XDH|ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIM1|STK17B|UGT3A1,False,,0,2,CHECK
AMG-487,-0.4477,-0.3693,-0.4085,47,9,CC chemokine receptor antagonist,CXCR3,False,,0,2,CHECK
pindolol,-0.458,-0.3514,-0.4047,34,23,Adrenergic receptor antagonist,ADRB1|ADRB2|HTR1A|HTR1B|HTR2A|HTR2B,False,,0,2,CHECK
drospirenone,-0.4501,-0.3379,-0.394,42,43,Mineralocorticoid receptor antagonist,NR3C2|PGR|AR,False,,0,2,CHECK
