"GeneSymbol","DatasetCount"
"CAPZA2",2
"CMTM2",1
"H4C3",1
"HSPA1A",1
"MYL6",1
"RPL27",1
"RPL9",2
"RPS15A",2
"S100A8",1
"S100P",1
"SRGN",1
"TNFAIP6",1
"TNFSF10",1
"TPT1",2
"VNN2",2
"ABCA1",1
"ACTR2",1
"ADD3",1
"AMD1",1
"AQP9",1
"ARGLU1",1
"ARK2N",1
"ARL5A",1
"ARPC5",1
"ATP6V1A",1
"AZIN1",1
"BAZ1A",1
"BAZ2B",1
"BNIP2",1
"BNIP3L",1
"BTG1",1
"C6orf62",1
"CAB39",1
"CAVIN2",1
"CCPG1",1
"CD302",1
"CD44",1
"CD46",1
"CD47",1
"CD55",1
"CD93",1
"CGGBP1",1
"CIAO2A",1
"CLK1",1
"CMTM6",1
"CPD",1
"CREB5",1
"CREBRF",1
"DCP2",1
"DUSP1",1
"EFR3A",1
"EVI2A",1
"EVI2B",1
"FAM117B",1
"FBXL5",1
"FHIP2A",1
"FOXN2",1
"G3BP2",1
"GCA",1
"GNA13",1
"GNLY",1
"GOLGA7",1
"H2AC6",1
"HBE1",1
"HEATR1",1
"HMGN4",1
"HSD17B11",1
"IFNGR1",1
"ITM2B",1
"JMJD1C",1
"LMBRD1",1
"LY96",1
"MARCHF7",1
"MATK",1
"MBNL1",1
"NABP1",1
"NIN",1
"NOL10",1
"NPTN",1
"PAIP2",1
"PAPOLA",1
"PCNP",1
"PDE4B",1
"PELI1",1
"PJA2",1
"PPM1B",1
"PPP1CB",1
"PPP1CC",1
"PRKAR1A",1
"PRNP",1
"PROK2",1
"PTBP3",1
"QPCT",1
"RAB8B",1
"REEP5",1
"RGS18",1
"RGS2",1
"RNF149",1
"RSL24D1",1
"SARAF",1
"SDCBP",1
"SF3B1",1
"SFT2D1",1
"SGK1",1
"SLC40A1",1
"SNRK",1
"SPTLC1",1
"SRPK1",1
"STX11",1
"SUZ12",1
"TMED5",1
"TMEM123",1
"TMEM71",1
"TMX1",1
"TOR1AIP1",1
"TRAM1",1
"UHMK1",1
"VPS26A",1
"VPS4B",1
"WDFY1",1
"WIPF1",1
"YPEL5",1
"ZFAND5",1
"ZMPSTE24",1
"ZNF652",1
"ACTBP2",1
"CACNA1A",1
"DYNC1H1",1
"ERC2-IT1",1
"ESR1",1
"FAM193A",1
"GABRB3",1
"GDI2",1
"KRT8",1
"KRT9",1
"LAD1",1
"METTL1",1
"MOCS1",1
"MYH1",1
"OXCT1",1
"PDX1",1
"PSMD7",1
"PXDN",1
"RAD51C",1
"RELN",1
"RPGR",1
"RS1",1
"SCN2A",1
"SFTPD",1
"SGCD",1
"SLC6A6",1
"SRY",1
"ST14",1
"TLR5",1
"TP53BP1",1
"ZIC3",1
"CPNE6",1
"TYRP1",2
"HFM1",1
"INSIG1",1
"NSDHL",1
"SKI",1
"USP14",1
