"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","significant","entrezgene_id","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
"ILMN_1766054",0.645598994935277,8.22384038370234,14.3856025181538,1.45722756006542e-41,1.44896993722504e-37,83.5511537919883,TRUE,19,"ABCA1","ABCA1",0.645598994935277,1.45722756006542e-41,1.44896993722504e-37,"ABCA1","ABCA1","GSE112676"
"ILMN_2388605",0.580270969029074,9.94186442062697,8.28121074337649,5.68025514727977e-16,2.00286065063068e-14,25.5476438646153,TRUE,10097,"ACTR2","ACTR2",0.580270969029074,5.68025514727977e-16,2.00286065063068e-14,"ACTR2","ACTR2","GSE112676"
"ILMN_1814526",0.516962704034389,7.88529700118052,8.10355276980456,2.19960415387694e-15,7.08576586502692e-14,24.2225537236142,TRUE,120,"ADD3","ADD3",0.516962704034389,2.19960415387694e-15,7.08576586502692e-14,"ADD3","ADD3","GSE112676"
"ILMN_1788462",0.526342802898635,7.94007694728015,10.0317565648593,2.70775511420968e-22,2.63961879270832e-20,39.8311230320713,TRUE,262,"AMD1","AMD1",0.526342802898635,2.70775511420968e-22,2.63961879270832e-20,"AMD1","AMD1","GSE112676"
"ILMN_1715068",0.526177891480181,11.9461444574036,12.9764660477058,7.59804505698356e-35,1.07928420976105e-31,68.2941739545131,TRUE,366,"AQP9","AQP9",0.526177891480181,7.59804505698356e-35,1.07928420976105e-31,"AQP9","AQP9","GSE112676"
"ILMN_1788468",0.834099720368116,8.63618963769079,11.6896442227934,4.31081946456009e-29,1.44485106323402e-26,55.2360317728775,TRUE,55082,"ARGLU1","ARGLU1",0.834099720368116,4.31081946456009e-29,1.44485106323402e-26,"ARGLU1","ARGLU1","GSE112676"
"ILMN_1801822",0.517931468528497,7.71822602994315,11.3115235991234,1.77424683675506e-27,4.37403166449615e-25,51.5747759612146,TRUE,147339,"ARK2N","ARK2N",0.517931468528497,1.77424683675506e-27,4.37403166449615e-25,"ARK2N","ARK2N","GSE112676"
"ILMN_1688526",0.524677176151393,9.60285858053124,10.7698968625342,3.14114582688227e-25,5.17681657546398e-23,46.4792021113961,TRUE,26225,"ARL5A","ARL5A",0.524677176151393,3.14114582688227e-25,5.17681657546398e-23,"ARL5A","ARL5A","GSE112676"
"ILMN_1768394",0.506998151591509,10.0946655778446,5.99601926374463,3.15797881757589e-09,3.95563830935758e-08,10.4129758847786,TRUE,10092,"ARPC5","ARPC5",0.506998151591509,3.15797881757589e-09,3.95563830935758e-08,"ARPC5","ARPC5","GSE112676"
"ILMN_1711516",0.532862453249097,9.4125533282034,8.04257288723107,3.48166042569103e-15,1.08865755239375e-13,23.7732586746687,TRUE,523,"ATP6V1A","ATP6V1A",0.532862453249097,3.48166042569103e-15,1.08865755239375e-13,"ATP6V1A","ATP6V1A","GSE112676"
