"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","entrezgene_id","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
"ILMN_1765941",0.346958708390776,8.34963832166738,5.36460711308924,1.42134583144872e-07,1.32083321346154e-05,6.96720375262321,222487,"ADGRG3","ADGRG3",0.346958708390776,1.42134583144872e-07,1.32083321346154e-05,"ADGRG3","ADGRG3","GSE112680"
"ILMN_1812640",-0.305359185201571,11.7203089572756,-6.76919563670492,4.99407578829677e-11,2.22348180246108e-08,14.6228720114937,196,"AHR","AHR",-0.305359185201571,4.99407578829677e-11,2.22348180246108e-08,"AHR","AHR","GSE112680"
"ILMN_2261519",-0.300415417836172,12.3771706627324,-6.62447009884394,1.20920610354109e-10,4.68449585306891e-08,13.7681382710503,326,"AIRE","AIRE",-0.300415417836172,1.20920610354109e-10,4.68449585306891e-08,"AIRE","AIRE","GSE112680"
"ILMN_2041101",-0.322756256582625,8.22979655611791,-3.8190651703216,0.000156665252591839,0.00373865958785165,0.337303493982295,303,"ANXA2P1","ANXA2P1",-0.322756256582625,0.000156665252591839,0.00373865958785165,"ANXA2P1","ANXA2P1","GSE112680"
"ILMN_2408851",0.365414609139435,9.85044488586161,5.3006347865147,1.97224993402116e-07,1.72024022022957e-05,6.65394859365756,257106,"ARHGAP30","ARHGAP30",0.365414609139435,1.97224993402116e-07,1.72024022022957e-05,"ARHGAP30","ARHGAP30","GSE112680"
"ILMN_1768870",0.414173904947083,8.16300362796967,6.05299330671384,3.44474215322607e-09,6.35542413361846e-07,10.5376533907772,830,"CAPZA2","CAPZA2",0.414173904947083,3.44474215322607e-09,6.35542413361846e-07,"CAPZA2","CAPZA2","GSE112680"
"ILMN_2151739",-0.304349890217006,7.9751654316017,-3.80326009617631,0.000166611161588612,0.00391339444896715,0.279990510731188,847,"CAT","CAT",-0.304349890217006,0.000166611161588612,0.00391339444896715,"CAT","CAT","GSE112680"
"ILMN_2208903",0.329164933652399,10.4028383257786,3.94433947730688,9.54732876477127e-05,0.00248730844587884,0.799330154392502,1043,"CD52","CD52",0.329164933652399,9.54732876477127e-05,0.00248730844587884,"CD52","CD52","GSE112680"
"ILMN_1756982",0.308917539793242,10.8906511519197,7.56481899610959,3.01813041173186e-13,3.10451138558488e-10,19.5722020349793,1192,"CLIC1","CLIC1",0.308917539793242,3.01813041173186e-13,3.10451138558488e-10,"CLIC1","CLIC1","GSE112680"
"ILMN_1799030",0.407382585465419,9.94640829920024,6.27706070141503,9.52246242624978e-10,2.4072462218223e-07,11.7763141580306,146225,"CMTM2","CMTM2",0.407382585465419,9.52246242624978e-10,2.4072462218223e-07,"CMTM2","CMTM2","GSE112680"
"ILMN_1728677",0.311220478034567,9.08483620557189,5.23804482902693,2.70911220788272e-07,2.21404978523675e-05,6.35058852166006,9586,"CREB5","CREB5",0.311220478034567,2.70911220788272e-07,2.21404978523675e-05,"CREB5","CREB5","GSE112680"
"ILMN_2088437",-0.366990000218085,10.1010142748522,-7.40458696212141,8.72551610106594e-13,6.84953013933676e-10,18.5423487688753,1524,"CX3CR1","CX3CR1",-0.366990000218085,8.72551610106594e-13,6.84953013933676e-10,"CX3CR1","CX3CR1","GSE112680"
"ILMN_2180239",-0.301262998413973,9.15005002141229,-6.16199925844308,1.85118578717503e-09,3.97272460657778e-07,11.1356711099305,9980,"DOP1B","DOP1B",-0.301262998413973,1.85118578717503e-09,3.97272460657778e-07,"DOP1B","DOP1B","GSE112680"
"ILMN_1804509",-0.347892006836011,10.5015972783792,-3.90466242515713,0.000111846427819552,0.00282504567473093,0.651509882523155,56896,"DPYSL5","DPYSL5",-0.347892006836011,0.000111846427819552,0.00282504567473093,"DPYSL5","DPYSL5","GSE112680"
"ILMN_1651680",0.392710014187927,12.7125747577359,6.21444202311791,1.36890808438864e-09,3.07725606717793e-07,11.4264721855378,1915,"EEF1A1","EEF1A1",0.392710014187927,1.36890808438864e-09,3.07725606717793e-07,"EEF1A1","EEF1A1","GSE112680"
"ILMN_2122103",-0.383757523863906,8.41447128124222,-4.03828086872157,6.52917173154148e-05,0.00182193819225334,1.15478587533519,2113,"ETS1","ETS1",-0.383757523863906,6.52917173154148e-05,0.00182193819225334,"ETS1","ETS1","GSE112680"
"ILMN_1781416",0.305840767434655,8.09014668314591,7.67695362216901,1.42218339962529e-13,1.92835140049192e-10,20.3025040895041,10023,"FRAT1","FRAT1",0.305840767434655,1.42218339962529e-13,1.92835140049192e-10,"FRAT1","FRAT1","GSE112680"
"ILMN_2075334",0.493286395701091,11.5541713733065,9.14451194397084,3.83660064111656e-18,3.81485990415023e-14,30.5371668028455,8364,"H4C3","H4C3",0.493286395701091,3.83660064111656e-18,3.81485990415023e-14,"H4C3","H4C3","GSE112680"
"ILMN_1721113",0.36024302782848,9.7231727121697,3.61726768488643,0.000338396146607678,0.00675371062493686,-0.377890206525967,3107,"HLA-C","HLA-C",0.36024302782848,0.000338396146607678,0.00675371062493686,"HLA-C","HLA-C","GSE112680"
"ILMN_1788017",0.302153156833212,8.80420566449426,6.15944523199495,1.87850228814762e-09,3.97416476988962e-07,11.1215599073055,84941,"HSH2D","HSH2D",0.302153156833212,1.87850228814762e-09,3.97416476988962e-07,"HSH2D","HSH2D","GSE112680"
"ILMN_1789074",-0.406359599624974,9.13132339809871,-4.11033668747385,4.85425627379513e-05,0.00145530115223426,1.43261945257611,3303,"HSPA1A","HSPA1A",-0.406359599624974,4.85425627379513e-05,0.00145530115223426,"HSPA1A","HSPA1A","GSE112680"
"ILMN_2347798",0.31944686887762,9.23816731047535,3.63829738276416,0.000312800038682977,0.00637787091860095,-0.305042548996235,2537,"IFI6","IFI6",0.31944686887762,0.000312800038682977,0.00637787091860095,"IFI6","IFI6","GSE112680"
"ILMN_1675939",0.343071948096773,9.20110638526514,5.62384493162963,3.65044330672054e-08,4.24342953493704e-06,8.26932392013283,3459,"IFNGR1","IFNGR1",0.343071948096773,3.65044330672054e-08,4.24342953493704e-06,"IFNGR1","IFNGR1","GSE112680"
"ILMN_1772131",0.326981611751659,9.09039076795783,6.01543159366241,4.25823952871282e-09,7.42826228897681e-07,10.3336112934167,7850,"IL1R2","IL1R2",0.326981611751659,4.25823952871282e-09,7.42826228897681e-07,"IL1R2","IL1R2","GSE112680"
"ILMN_1684349",-0.329052503817223,9.21771990351845,-6.37327703078862,5.42251230730994e-10,1.63316391166338e-07,12.3193681609715,3560,"IL2RB","IL2RB",-0.329052503817223,5.42251230730994e-10,1.63316391166338e-07,"IL2RB","IL2RB","GSE112680"
"ILMN_2388955",0.348617935942048,8.55554241017336,5.37068147924328,1.37759229104541e-07,1.29632738302475e-05,6.99711555775836,55924,"INKA2","INKA2",0.348617935942048,1.37759229104541e-07,1.29632738302475e-05,"INKA2","INKA2","GSE112680"
