node1,node2,node1_type,node2_type,combined_score,source
PSMA3,PSMD7,neighbor,seed,0.999,original
PSMA3,ADRM1,neighbor,neighbor,0.96,added_ppi
PSMA3,PRKN,neighbor,neighbor,0.786,added_ppi
PSMA3,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMA4,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMC4,neighbor,neighbor,0.998,added_ppi
PSMA3,PSMD8,neighbor,neighbor,0.999,added_ppi
PSMA3,TARDBP,neighbor,neighbor,0.417,added_ppi
PSMA3,SOD1,neighbor,neighbor,0.738,added_ppi
PSMA3,VCP,neighbor,neighbor,0.748,added_ppi
PSMA3,PSMD9,neighbor,neighbor,0.822,added_ppi
PSMA3,PSMA8,neighbor,neighbor,0.995,added_ppi
PSMA3,PSMD3,neighbor,neighbor,0.998,added_ppi
PSMA3,PSMC5,neighbor,neighbor,0.998,added_ppi
PSMA3,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMB3,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMD14,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMD2,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMB1,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMD12,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMB4,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMA7,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMA3,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMD7,neighbor,seed,0.999,original
PSMD14,ADRM1,neighbor,neighbor,0.999,added_ppi
PSMD14,PRKN,neighbor,neighbor,0.832,added_ppi
PSMD14,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMA4,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMA7,neighbor,neighbor,0.998,added_ppi
PSMD14,PSMA8,neighbor,neighbor,0.969,added_ppi
PSMD14,PSMB1,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMB3,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMB4,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMB5,neighbor,neighbor,0.998,added_ppi
PSMD14,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMD12,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMD8,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMD14,SOD1,neighbor,neighbor,0.768,added_ppi
PSMD14,PSMD2,neighbor,neighbor,0.999,added_ppi
PSMD14,VCP,neighbor,neighbor,0.906,added_ppi
PSMD14,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMD14,PSMD9,neighbor,neighbor,0.98,added_ppi
PSMB1,PSMD7,neighbor,seed,0.999,original
PSMB1,ADRM1,neighbor,neighbor,0.98,added_ppi
PSMB1,PRKN,neighbor,neighbor,0.79,added_ppi
PSMB1,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMA4,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMA7,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMA8,neighbor,neighbor,0.998,added_ppi
PSMB1,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMD8,neighbor,neighbor,0.998,added_ppi
PSMB1,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMD9,neighbor,neighbor,0.634,added_ppi
PSMB1,VCP,neighbor,neighbor,0.664,added_ppi
PSMB1,SOD1,neighbor,neighbor,0.795,added_ppi
PSMB1,PSMC5,neighbor,neighbor,0.998,added_ppi
PSMB1,PSMD12,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMD2,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMB3,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMB4,neighbor,neighbor,0.999,added_ppi
PSMB1,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMD7,neighbor,seed,0.999,original
PSMD12,ADRM1,neighbor,neighbor,0.999,added_ppi
