GeneSymbol,Type,Degree
PSMA3,neighbor,35
PSMD14,neighbor,34
PSMB1,neighbor,34
PSMD12,neighbor,34
PSMB4,neighbor,34
CAT,seed,1
PSMA4,neighbor,34
PPP3CA,neighbor,7
PPP3CB,neighbor,7
VCP,neighbor,30
PSMB3,neighbor,34
PSMD2,neighbor,34
PSMD8,neighbor,31
PSMA7,neighbor,34
PSMA6,neighbor,35
PSMD4,neighbor,31
PSMB7,neighbor,34
BAD,neighbor,5
PSMB5,neighbor,34
PSMD11,neighbor,34
PSMC6,neighbor,34
PPP3CC,neighbor,7
PSMD7,seed,34
PSMD9,neighbor,29
SOD1,neighbor,36
PSMC5,neighbor,34
PSMA8,neighbor,34
ADRM1,neighbor,34
PSMA1,neighbor,33
PSMD1,neighbor,35
PRKN,neighbor,35
PSMC2,neighbor,34
PSMD3,neighbor,34
PSMB6,neighbor,34
PSMA2,neighbor,34
PSMC1,neighbor,34
PPP3R1,seed,8
PPP3R2,neighbor,7
PSMA5,neighbor,34
PSMB2,neighbor,34
TARDBP,neighbor,10
PSMC4,neighbor,36
PSMC3,neighbor,34
