SYMBOL	n_observations	min_adj_p	max_logfc	mean_logfc	sd_logfc	n_datasets
SLC40A1	5	9.11795506873262e-46	0.701814701350383	0.28500615074926	0.332641047281605	3
ARRB1	7	7.47358604360712e-38	0.388825855710403	-0.131142408002349	0.252186530280516	4
ABCA1	5	1.44896993722504e-37	0.645598994935277	0.0607405250280112	0.410316454461958	4
CTSS	5	3.7899616000206e-37	0.487886479394827	0.211551758074841	0.159365463576804	4
SRPK1	5	8.52819326097658e-37	0.680815555555562	-0.00690037546757528	0.444887313520937	4
QPCT	6	1.56585553141211e-36	0.706481666666666	0.3474555647743	0.263847391786466	4
BNIP2	5	1.77935480904989e-36	0.616584463406867	0.119298550798624	0.348446199180772	4
TOR1AIP1	5	6.25490029183356e-36	0.678866666666666	0.367592507567816	0.317322496200931	3
CD46	6	3.14198546902628e-34	0.891563964908336	0.370423073777082	0.275686197892354	4
PIP4P2	2	3.82649331709487e-34	0.390292861124149	0.301054605561731	0.126201951298889	2
TMED5	4	4.82925501326802e-34	0.705754999999996	0.451822621214942	0.297374310291179	3
RGS18	4	1.08908965058039e-33	0.850062196191438	0.391344526688981	0.342646012902397	3
TMEM71	4	1.11885073122579e-33	0.822488056366736	0.416752058213122	0.414825375389564	3
MARCHF7	1	2.99196381561463e-33	0.904313521252757	0.904313521252757		1
CAPZA2	5	1.09417800551382e-32	0.786433425418023	0.178589408157224	0.382975670855246	4
LEMD3	6	1.56569651939481e-32	0.483675486798472	0.112426947704507	0.310131457683336	4
YPEL5	4	8.06963389899065e-32	0.828849981872468	0.266182225752663	0.393122570844832	3
AQP9	5	1.07928420976105e-31	1.04470956675	0.361939621637798	0.42904605691201	4
OXR1	4	1.77584207686187e-31	0.498256730527748	0.236272858465628	0.180708365116566	2
CMTM6	4	3.02298117507986e-31	0.608656660823474	0.00856211271631976	0.48726599339052	3
ST8SIA4	8	3.24203464150406e-31	0.996302777777778	0.30842443276382	0.448126399963426	4
PCNP	5	3.75935697008761e-31	71.1785714285716	-14.1189476670054	31.8996400865372	4
PPP2R5A	5	5.09922489287559e-31	0.448968302923447	0.114932724341238	0.211828280599543	4
RPS6KA5	6	6.28405534934961e-31	0.626696111111111	0.157957258353131	0.341833772311329	4
VCPIP1	4	9.60035347986897e-31	0.362992159579507	0.18259186222817	0.132489036554045	3
ETFRF1	2	2.65303298400424e-30	0.396067495781144	0.295827027106036	0.141761430298973	2
USP15	5	4.74109884119368e-30	0.377335016337312	0.178527341120606	0.166749052475145	4
SPTLC1	9	7.04533791726637e-30	0.952118613958333	0.159324292329692	0.389662254067814	4
EXOC6	6	7.36989611234314e-30	0.283767331681343	0.0546037496610061	0.171474160195062	3
SSR1	5	8.01620934438156e-30	0.486194020578369	0.190882009909147	0.192952432312818	4
SLC37A3	6	1.12366300985138e-29	0.289588742779038	0.097076365688295	0.15620479958169	3
CPD	5	1.32503361399886e-29	0.646620847764464	0.197368016035902	0.495707087462722	4
UBL3	5	1.50926117843058e-29	0.495036087836915	0.182841923980231	0.245487945203272	4
CCPG1	6	1.88375638710243e-29	0.948457777777779	0.245192051995731	0.415258576815696	3
DNAAF4-CCPG1	5	1.88375638710243e-29	0.528248256231628	0.121236063907908	0.22873018259631	2
MXD1	5	2.42086675076025e-29	0.482179003469211	0.315012610655704	0.131343146973051	4
SLMAP	5	2.7218997650206e-29	0.43804831149938	0.214297245197528	0.171336915504924	3
TGIF2-RAB5IF	3	3.67276490365903e-29	0.366999589389076	0.325107954115159	0.040507305809216	1
USP3	5	3.86942329040618e-29	0.641683333333326	-0.021866399809843	0.35944062990068	4
TGFBR2	7	4.31108562316654e-29	0.446331086916594	0.106745466969147	0.328461844752412	4
TCFL5	3	8.39630662604651e-29	0.401247360458334	0.129581913776015	0.330893667600315	3
ELF2	8	8.60247399353205e-29	0.431768089978598	0.0830469830176918	0.200805744124671	4
RTN4	7	1.02758262119629e-28	0.484678881056029	0.201582750402715	0.211723905815387	3
RB1CC1	5	1.35763161609336e-28	0.428729234634702	0.132640919609679	0.206795182918573	4
ZNF652	6	1.86825617419373e-28	0.526155135377099	-0.144477329495719	0.275218068293216	4
BRI3	12	1.92870160822107e-28	284.321428571428	23.7507316681249	82.0590306966317	5
CBFB	6	2.22235620800715e-28	0.562583333333331	0.023781155438699	0.338301699839558	4
SRRT	4	2.76328128959246e-28	0.401757777777777	-0.21414553653333	0.172779619892625	3
DEGS1	6	3.22355217296094e-28	0.493070734415525	0.284269151255351	0.152217848689323	4
PJA2	5	6.04702802071277e-28	1.98884081666667	0.880956745150778	0.739090841096545	4
PAIP2	6	6.44363583942167e-28	0.765541348534512	0.0968401260373084	0.366214759757682	3
DCP2	4	7.91883855154213e-28	0.608513090128265	-0.0180247503026687	0.52853805191115	3
CYBRD1	5	8.96820878087829e-28	0.931814999999999	0.33365400990229	0.41811282306622	3
STIP1	5	1.02817522838171e-27	0.44151666666667	-0.0478207445501538	0.344470676490328	4
STYX	6	1.065000205998e-27	0.490438370602636	0.112350146754014	0.299755188963579	4
PELI2	4	1.0710060386784e-27	0.817666111111109	-0.00792785130825165	0.564567574798084	3
SLC15A4	5	1.12159009738626e-27	2.13602166666666	-0.167410588973503	1.1203348722919	3
SDF2	5	1.22632247403652e-27	0.313183412833334	0.037428753345858	0.24810148934181	4
ATG3	5	1.22632247403652e-27	0.354108778751609	0.0839001620437304	0.171597629762938	3
CD302	6	1.47901397724364e-27	0.566075633404311	0.20178057211121	0.213039676600236	3
LY75-CD302	3	1.47901397724364e-27	0.566075633404311	0.296253119132062	0.252112903537543	2
TRIM33	6	4.07274253600139e-27	0.552544444444447	0.0205743062618161	0.352252621081563	3
LILRB1	6	4.61627093218419e-27	0.331851710296061	-0.106990954653481	0.178514373586175	4
SUZ12	5	4.61627093218419e-27	0.690766947612389	0.0831469108710004	0.393977007626773	4
CAVIN2	3	4.61627093218419e-27	0.567428980375	0.121337100723855	0.600030831426551	3
DIAPH1	6	5.45466197340523e-27	0.642113027708334	-0.295074502818963	0.196428527712671	4
SMCHD1	5	5.78365185363128e-27	0.291528779870729	0.15188628752869	0.147120365831054	4
ARF4	6	6.29709249184663e-27	1.50573888888889	0.369192599712123	0.56777138919553	4
PHF20L1	7	6.29709249184663e-27	0.440296723291519	0.138846389772589	0.138855689906526	3
SOCS4	6	7.18333167971876e-27	0.254613716796603	0.0159562664253119	0.153844936496972	3
ZDHHC17	5	8.98445334064831e-27	0.356437658355811	0.0838820358182987	0.214842631873754	4
GSKIP	5	1.0047990528345e-26	0.527515555555556	-0.0163152740783218	0.307348575770297	3
PPP4R1	6	1.03239870691184e-26	0.69039388888889	0.00676972176171901	0.410588647402501	4
TMEM123	4	1.04041107772219e-26	0.884263677440595	0.161066062374336	0.61146548495218	3
ACAP2	6	1.14584199823458e-26	0.436966991704012	0.24906717844057	0.178246602654773	4
RASAL3	4	1.18175223385674e-26	0.443377806303115	-0.102851880932885	0.270692651611704	3
PTBP3	6	1.44158400553252e-26	0.638315950769417	0.220027288575196	0.278084474333862	3
ZNF800	4	1.44158400553252e-26	0.367523228845602	0.181669027592941	0.145256948290852	3
ARGLU1	4	1.44485106323402e-26	0.834099720368116	0.00852645644052674	0.61840130605543	3
RCOR3	4	1.59627935599516e-26	0.416854637950955	0.150604634905192	0.19809263347388	3
PELI1	4	1.8373189062507e-26	0.663679351699036	0.0805332511125768	0.455471985095285	3
CGRRF1	5	2.67419553811194e-26	0.229841101043714	0.0992680336074005	0.119417070650696	4
TMEM59	5	2.95409289648972e-26	0.401700000000002	0.265414642308484	0.150097662028385	4
FEZ2	6	3.41111211453359e-26	2.15326321920833	0.413374094429333	0.919781146728478	3
LY96	5	3.70051215470544e-26	0.63920868110752	0.3082628378797	0.254982487831871	4
CRLF3	5	3.70051215470544e-26	0.499228637098689	0.0632391592438783	0.328941535975174	3
BTG2	5	4.53149824416194e-26	0.524902222222224	-0.0664099478807688	0.343185882032114	4
PLBD1	4	5.00231441828222e-26	0.457416123128151	0.0968253249259641	0.299037493823589	3
LTN1	5	5.72501076030775e-26	0.734025000000004	0.233701554935969	0.304798424443362	3
NIN	8	5.82812741552585e-26	0.573631111111114	0.00508166412779503	0.31044580419121	3
ZMPSTE24	5	7.38520506911073e-26	0.604496381516727	0.158409671099573	0.26522631032851	4
ATOSA	2	8.86787174094002e-26	0.364316269560758	0.272264824603059	0.130180401895218	1
FBXL5	7	9.48094380442485e-26	303.607142857143	-43.2455857054837	114.808845151165	4
ZNF586	6	9.48094380442485e-26	0.3689034781143	0.0832773638964244	0.197708625972777	3
TMX1	4	9.48094380442485e-26	0.674222222222221	-0.0417611431459545	0.561954994548262	3
PTGS2	6	1.07908814009449e-25	0.453299173101365	0.272768053341501	0.146831135440003	4
DCAF11	6	1.16812250327013e-25	0.309593600288556	-0.0729271572253871	0.128609202410193	3
FOXN2	5	1.30017853758284e-25	0.844301666666665	-0.0368294035529574	0.560985284455113	4
PCMTD1	4	1.54684382682694e-25	0.377286252808784	0.250590984496441	0.0930157886466284	3
PURB	5	1.85770743891863e-25	0.382641187931512	0.0627294045157106	0.263593710953364	3
OSTM1	4	2.42802044767829e-25	0.994299444444443	0.344149270179985	0.44830333303912	3
G3BP2	8	2.59288898193828e-25	0.749476981958333	0.0552792166474281	0.361336278089861	4
MIS18BP1	4	3.07979313310619e-25	0.984583611111109	-0.283121452375717	0.642477909498009	3
PROK2	4	3.13654791567674e-25	0.629963663796097	0.252098556476915	0.268195473445193	3
SKAP2	6	4.43654240756072e-25	0.482997222222222	0.236467987761675	0.22330448603236	4
CD58	5	4.43654240756072e-25	0.45766222222222	0.203828476235719	0.245642331728066	4
THAP1	6	4.48816960368952e-25	0.391792222222223	0.0315078075711403	0.215766109042591	3
TENT2	1	4.96297282381561e-25	0.475703903290603	0.475703903290603		1
ZSWIM6	4	5.38980597859517e-25	0.34356972018577	0.153841079652619	0.15513980087986	3
IFNGR1	5	5.45041090251188e-25	0.607255582538247	0.261482567467917	0.26948728180215	4
SCAMP1	7	6.55859445253529e-25	0.413164359409198	0.13918080108372	0.221469292424641	4
AARS1	2	8.09614153130807e-25	0.31187858184501	-0.0876355808391715	0.3171274932897	2
RASA1	7	8.85859308531641e-25	0.407908419465145	0.0739021505932119	0.181995968547662	4
ADGRG5	2	9.48628919096595e-25	0.44127981617805	-0.382180108466194	0.0835796081783932	2
TMEM243	4	1.13200378894724e-24	0.440035182593472	0.103891601511223	0.261585748951483	2
ABCF1	102	1.14350102159661e-24	0.351279978978692	-0.151113275423754	0.0803351023931366	4
BORCS7	3	1.84923001758428e-24	0.202234336841975	0.194887889674566	0.0123656144029276	2
NAB1	5	2.44202611997578e-24	0.32915706825	-0.0316079942854095	0.224701696725095	4
MOB4	5	2.52264687476286e-24	0.262337709896442	0.125512282080879	0.114031675643871	3
HSPE1-MOB4	4	2.52264687476286e-24	0.262337709896442	0.130713308943137	0.139529345351369	2
SNRK	5	2.55884096212384e-24	0.662242268574069	0.325794037756888	0.261102156721858	3
TLE4	6	2.60265633349162e-24	1.13087555555556	0.0107331991695238	0.578392654969067	4
CREBRF	5	3.01922642014635e-24	0.540820742272745	0.280577931617353	0.270348974590301	3
ERLEC1	4	3.28733966167431e-24	1.42468888888889	0.456943454528331	0.67409107969918	3
PUF60	5	4.96355813264901e-24	0.784126343458332	0.0198184508077363	0.448461582061197	4
CLDND1	5	6.25852751818165e-24	0.453256014782831	0.247233596142997	0.186357646730799	3
RHOT1	6	9.01635887324209e-24	0.384113466325555	0.146063773773564	0.21022265060301	3
UBXN4	5	9.70117805702217e-24	0.46116653754255	0.182990653932071	0.199396155725788	4
SFT2D1	4	1.02988345410726e-23	0.509453456533057	0.190209900507417	0.261090164652088	3
RBM6	5	1.0544398822183e-23	0.322720499854102	-0.050742919159947	0.209064016820627	4
PEX2	6	1.13247079019643e-23	0.31712741082629	0.053511825404127	0.160200669711086	4
PTEN	6	1.17110758131668e-23	0.566516666666667	0.342564977143084	0.196364458996264	4
TMEM230	5	1.17162172699537e-23	0.408894865244806	0.119568102563768	0.269919352478087	3
FBXO33	4	1.29463386895398e-23	0.47894747344883	0.161236230200966	0.269505086412861	3
DSE	5	1.31168587764054e-23	0.376410311306384	0.150292798138143	0.159578798220794	2
SP3	7	1.49092216702699e-23	0.621522222222223	0.00308373769471742	0.334951769773591	4
STX11	5	1.75786584568783e-23	0.525004743795883	0.228762619793977	0.201593747760852	4
SLC49A4	1	1.88647778177096e-23	0.293290914026404	0.293290914026404		1
OSBPL5	5	2.34676206777599e-23	0.329059330920488	-0.139482148626342	0.232575646764032	3
CYP1B1	11	2.34950402158238e-23	0.942213139217234	0.279774533256997	0.381827619314771	4
IL18	5	2.34950402158238e-23	0.615735742958334	0.207036511452647	0.371952756554946	4
TFAM	5	3.57392425558145e-23	0.731905555555558	-0.0589206340356182	0.434059833131308	4
CLK1	7	3.79113700919089e-23	0.662376830343804	0.277460988237703	0.206967297563235	4
NOP2	7	4.11246159889295e-23	0.710332222222222	-0.190400920929761	0.306906181546281	4
PNPT1	5	4.41927274745203e-23	0.566233888888892	-0.166304104758074	0.257336120600645	3
AZIN1	6	4.92852634288228e-23	0.546981536539103	0.1066715288688	0.247126937522582	3
CDC37	5	5.15956678908697e-23	0.425812198291666	0.0794672530924924	0.247661507090362	3
NCOA7	4	5.39253213267927e-23	0.994563333333336	0.443382328029896	0.383457775149866	3
GPCPD1	4	6.39496531811261e-23	0.392963333333334	0.190341226142437	0.193200767535553	3
PGM2	4	8.00813448904114e-23	0.680696666666665	-0.18603418846879	0.442188213541166	3
TMX4	5	8.26495052087584e-23	1.23282555555556	0.438623548291675	0.460482592717873	3
NUMB	6	9.49062068110501e-23	0.395592621080413	0.1474285355044	0.254988755735462	4
COMMD8	6	1.19565547962509e-22	650.464285714286	108.424422795552	265.544318196888	4
AHR	6	1.19565547962509e-22	1.28918944444444	0.286668453844044	0.551772760094382	4
HMGB2	6	1.22893844721188e-22	1.52627888888889	-0.222969240983245	0.685311649031933	4
RAB31	5	1.62228179978023e-22	0.532139999999995	-0.062250993855291	0.451762308020912	4
PRNP	6	1.6280332050436e-22	1.00826388888889	0.307424260935873	0.434495387762096	4
SLC25A20	6	1.89744420571098e-22	0.618619378625	0.214907028152109	0.257772229242023	4
WDFY1	10	1.89990114962318e-22	0.502860537309892	-0.124750386697629	0.268541274250294	3
VMP1	4	1.96178748782966e-22	1.08170555555555	0.353617271515867	0.53202401309248	2
STAU2	4	2.01589302967819e-22	0.197168472222224	0.0572969642204477	0.159236598780587	3
NUDC	5	2.16317687079252e-22	0.33888644573908	-0.0944162479197214	0.215741064877835	4
UBQLN1	6	2.37585527074694e-22	0.459856088703923	0.128321771666256	0.16908285887948	3
CHIC2	4	2.61980479115265e-22	0.33544767703977	0.183522658906736	0.182172833129548	3
SLC44A1	6	2.89074558444298e-22	0.70146722222222	0.0691313742251495	0.482386033413676	3
CD47	6	2.89074558444298e-22	0.930777777777783	0.272923511388675	0.413817288119587	4
COP1	4	2.89074558444298e-22	0.367287959560882	0.115740030530934	0.175641844185442	2
FBXO11	6	2.89074558444298e-22	0.419532622978337	0.126704917892073	0.252282048083439	3
TBC1D15	5	2.89074558444298e-22	0.637901111111111	0.0536244066363822	0.457346479204545	3
VNN2	7	3.02813349548893e-22	0.617866581023426	0.310093805483245	0.265540692980045	4
SLC30A9	5	3.16325184433785e-22	0.23496108006161	0.078236636750412	0.134540882240789	4
CARD11	4	3.19885950482261e-22	0.355838621252191	-0.170065539469081	0.176497187405058	3
SF3B1	7	3.36050732304148e-22	0.538962366696817	0.104019520528062	0.211559516501415	4
ANKRD12	5	3.72345548995725e-22	0.369642495939186	0.210662567587117	0.125687709827742	4
DTX2	4	3.75417357114591e-22	0.321442830649149	-0.208090418212683	0.103111315298722	2
FBH1	2	4.39462223902627e-22	0.269801197819852	-0.135231348771461	0.190310505610735	1
LYRM1	4	5.35027200526718e-22	0.388037777777778	-0.0158505356640418	0.287925898063802	3
PDK4	5	5.35949576188077e-22	0.609922777777779	0.171357301251931	0.291345754782425	4
UHMK1	5	5.93173973990668e-22	0.720107667258212	0.200516120228054	0.341654086703836	3
RPS6KB1	5	6.29198399513679e-22	0.329509267626502	0.146417904557094	0.120341792828462	4
RAF1	5	6.8859098722896e-22	0.356997222222219	0.0323468589788034	0.256592144101371	4
RHOC	6	7.17936614594929e-22	0.627740803916665	0.000113833359831714	0.378208989233916	4
CNEP1R1	5	7.76421394953154e-22	0.448276115766718	0.195521534698861	0.206410302856198	3
DDX51	5	7.76421394953154e-22	0.418533065792216	-0.158833806195385	0.161969033454348	3
SNAPC4	5	8.26608620495434e-22	0.308658631510549	-0.0740318422819612	0.189929559158154	4
RO60	5	8.28149801659782e-22	0.392369134717028	0.0966093677724934	0.236173669801931	2
REEP5	5	8.66490612447793e-22	0.537048006977388	0.278845513508476	0.205910455372409	4
TIA1	7	9.41636022799202e-22	0.392991534621154	0.087218277232551	0.243006384559038	4
MBNL1	7	1.43045848620344e-21	0.635653376628323	0.30084364148061	0.239278718512883	4
CD93	5	1.44596084818556e-21	0.843172225166666	0.398988176799778	0.343455812132242	4
SMARCA4	5	1.52013801149223e-21	0.781000000000001	-0.20945155512419	0.356684166623248	4
TRMT13	4	1.64618983148585e-21	0.199477257986268	0.0411351046215053	0.157372733916339	3
EPS15	5	1.64814472502014e-21	0.450666666666669	0.221928712502149	0.203091006500389	4
LAMTOR5	7	1.79890343179497e-21	0.353420825635521	0.0489460398487815	0.194536617681643	4
CEP20	1	1.86338674355451e-21	0.273999824707112	0.273999824707112		1
CLIC3	4	1.972666344248e-21	0.489539301713352	-0.202584298619311	0.265989584845616	3
ZNF627	5	1.9853524452358e-21	0.29412444444444	0.00118171203246622	0.18659834405873	3
COPB1	5	2.06749317117638e-21	0.574780588666667	0.292700172151906	0.291349298847952	4
CGGBP1	7	2.16284878625556e-21	0.651160989581457	0.0918282616555855	0.296131923941957	4
AKAP11	8	2.30275097626393e-21	1191.5	-148.744713294189	421.336815587803	5
MAP3K7	6	2.32437479917503e-21	0.420538212287273	0.146410857639014	0.198016058008026	4
TMEM209	4	2.4977114618986e-21	0.450420277777773	-0.115530115116564	0.367974041424509	3
IQGAP2	5	2.56240422158907e-21	0.887769444444443	-0.167914101078781	0.601062302171635	4
CCDC125	4	2.57718347584713e-21	1.72281555555556	-0.423837188706066	0.866547009931437	3
ZNF277	5	2.70791441829998e-21	0.47273722222222	0.016705805035207	0.297746344340232	4
CLINT1	5	2.70791441829998e-21	0.406671072033732	0.13083962867012	0.248460323733665	4
CMTR2	2	2.7107112288328e-21	0.195142135195662	0.142782135005852	0.0740482223942874	2
GRPEL2	4	2.85593178456969e-21	0.226191388050498	0.0938301496597867	0.158368124884745	3
CNOT11	4	3.19468002150211e-21	0.508481111111111	-0.250143243109799	0.238220101409336	2
HSDL2	4	3.30739898395679e-21	0.295092716381673	0.0271846807571947	0.187659925168551	3
CDH23	7	3.44522302837322e-21	3249.42857142857	464.127831396151	1228.20218828935	3
IFNGR2	5	3.66765674897687e-21	0.368110975777197	0.0910009732139917	0.210226088035797	4
MED30	4	3.8546032061833e-21	0.272020469998671	0.0755724283730641	0.159805156803448	3
AGL	11	4.1374603325471e-21	0.220142121979506	0.0530799099870143	0.0854249054514182	4
MTARC1	1	4.15397518047287e-21	0.377354386266408	0.377354386266408		1
FBXO28	6	4.18991906184948e-21	0.547012777777779	0.00201799154561925	0.284713069703524	4
TXLNA	4	4.41447218151339e-21	0.27817733700506	-0.0429550079090874	0.217986148332175	3
HYCC2	2	5.0223627265337e-21	0.381273186276953	0.210276826894601	0.241825370554946	1
C14ORF28	4	5.50529806892771e-21	0.424832777777778	0.202800331457617	0.166893271258106	3
CYFIP2	6	5.75796297395629e-21	0.328829280117489	0.0190351553068882	0.211748611288233	3
GOLGA7	6	6.560965070069e-21	0.585532410005005	0.0478704733552826	0.285573605849552	3
PIGB	5	7.61593658266242e-21	0.330820220533712	0.0303404610064879	0.197134547587314	4
FBXO30	5	8.47834197565404e-21	0.182696056509536	0.0868899090713872	0.0683332904003133	3
EDC4	5	8.99749539755159e-21	0.279449157547578	-0.0847983885154786	0.147905385215705	4
RSBN1	4	9.09460366431497e-21	0.490683104081602	0.189219192458882	0.217102107228958	3
FAHD1	9	9.39143439871216e-21	950.000000000001	-105.57207068742	316.660491825722	4
GRK3	3	9.39143439871216e-21	0.272994782901264	-0.0164633005874641	0.22314595826542	3
ARHGAP26	6	9.39143439871216e-21	1.46334888888889	0.233061715405155	0.621067495168829	4
IL10	6	9.39143439871216e-21	0.40388398321721	0.0700810415852511	0.218581908335561	4
ORAI2	5	9.39143439871216e-21	0.272994782901264	-0.0225443729233241	0.20734522290618	3
TSHZ2	5	9.39143439871216e-21	2.11393722222222	0.465967551148762	0.968378280623297	3
CABP4	5	9.39143439871216e-21	0.309181732062741	-0.0858103825579676	0.191587714326909	3
FRMD6-AS1	5	9.39143439871216e-21	0.272994782901264	-0.0451955482894321	0.135562468012815	3
RIMKLA	6	9.39143439871216e-21	0.272994782901264	-0.0577613342755445	0.108592673457644	3
DNAJC21	7	9.39143439871216e-21	0.272994782901264	-0.0420329609334989	0.121512881955946	3
L1TD1	4	9.39143439871216e-21	0.778243194444445	-0.429368052734	0.372357238140172	2
NYAP2	5	9.39143439871216e-21	1.19097513888889	0.274652138504495	0.578718095186536	3
C17ORF75	5	9.39143439871216e-21	0.486591111111114	-0.116598981643977	0.253846923159007	3
PPP1R3B	6	9.39143439871216e-21	0.272994782901264	-0.070679680660992	0.167806322111278	3
MED4	4	9.96022359613662e-21	0.277878079180383	0.0640840954568784	0.209763566035159	3
NT5DC1	5	1.02961785341555e-20	0.961572777777777	-0.240365764783646	0.515550026682483	3
MCM7	7	1.03700574572086e-20	1.49375833333333	-0.392693810768543	0.519848112994213	4
CNIH1	5	1.08758118421486e-20	0.456359916416667	0.384633005416273	0.0852570805031092	3
WDR20	6	1.20987066642557e-20	0.292248652094817	0.0632360358425193	0.11593883724454	3
SERINC1	4	1.24211109801443e-20	0.793794444444446	0.353737721900634	0.322383928146965	3
NECAP1	4	1.2551101822934e-20	0.48443333333333	0.279489092136318	0.176026393772237	3
LUC7L3	6	1.35527717941668e-20	0.282650407247016	0.117304658057864	0.127753327176077	3
AKAP7	8	2.00081414999679e-20	0.26346477624227	0.0940580771663322	0.132331146279742	4
