Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
CCDC125,-1.72281555555556,6.00549055555556,-27.6310481613792,3.65438718694204e-26,2.57718347584713e-21,48.9405967380575
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J,-5.625455,11.8659947222222,-24.3074208353723,3.17917324352427e-24,1.12102417326531e-19,44.7799504121367
DSC2,-2.64051055555556,8.24658805555556,-23.866491593032,5.9868975705361404e-24,1.25625113489984e-19,44.1831979655092
DUSP6,-2.553045,7.79097194444444,-23.7464658753444,7.12534143414115e-24,1.25625113489984e-19,44.0187875602058
FMN1,3.012635,7.56645527777778,23.1075918530052,1.82380125595195e-23,2.1436655995583202e-19,43.1291197167892
ZNF90,-1.26353111111111,7.10401833333333,-22.9799977584424,2.20637605521132e-23,2.22286083630954e-19,42.9484474319618
ENTPD3,3.54467833333333,6.81583527777778,22.5143832134925,4.45566823076392e-23,3.0193168785089904e-19,42.2804645448728
SLC41A2,1.52143666666667,8.14004555555556,22.5134875862804,4.46175015431544e-23,3.0193168785089904e-19,42.2791663572346
NR4A2,1.66906611111111,5.40940638888889,22.2958129182541,6.2243455205716e-23,3.37661168574824e-19,41.9621155314255
ORC5,-1.20619333333333,7.43783833333333,-22.1523399894462,7.7636255115333e-23,3.9108154424990203e-19,41.7514544669185
HIST1H2BM,-3.22091722222222,5.92795916666667,-20.9742739879128,5.00014351964937e-22,2.35083414290822e-18,39.9692032895608
HGF,2.767995,6.01993416666667,20.7689302841866,6.98129974438719e-22,3.0771387617088597e-18,39.6486307168477
DIAPH3,-1.96188611111111,6.00702527777778,-20.6070004179492,9.10129496458569e-22,3.77559191051457e-18,39.3936837433355
DSP,-3.89770555555555,8.22323055555556,-20.5304070612284,1.03239130915226e-21,4.0448517941858396e-18,39.2724257810082
LAMA1,-2.31018555555555,7.64494055555556,-20.0302241362781,2.3747330523988903e-21,8.81438416075406e-18,38.4698490079473
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J,-2.80834444444444,7.76965611111111,-19.53310359974,5.53020753449514e-21,1.7727582997963702e-17,37.6533024017638
CLIC4,-1.00851666666667,11.6236638888889,-19.1109583805577,1.14983663767362e-20,2.93187236702112e-17,36.9446286160394
PDE1C,1.75119055555556,7.26602805555556,19.0897830634868,1.19325731752498e-20,2.93187236702112e-17,36.9087028808419
EPB41L3,2.08452222222222,9.02609333333333,19.0838958899185,1.2056250959773801e-20,2.93187236702112e-17,36.898708307954
LRP2,-3.74745666666667,6.56353611111111,-19.0470356650283,1.28610503879981e-20,3.01225456940761e-17,36.8360670345966
TMEM63C,1.906075,8.31894472222222,18.9008490074791,1.66348543928415e-20,3.66606198858237e-17,36.5865386147062
NPAS2,1.92559611111111,6.80567416666667,18.8557423486257,1.80152680759677e-20,3.84997197127719e-17,36.5091903795427
GSTCD,-0.854993888888887,7.67383638888889,-18.7861343642852,2.03798827346136e-20,4.22720726497987e-17,36.3894971434188
ID4,-2.36246888888889,8.91779166666667,-18.7655946511359,2.1136704217380602e-20,4.2589251186352303e-17,36.3541015459265
PTPN13,-1.37491666666667,10.1503138888889,-18.7400560978324,2.2118037298262402e-20,4.3328620677371e-17,36.3100425725533
SLC2A12,4.01789833333333,9.0953725,18.7217829052525,2.2848744205895202e-20,4.35503239900634e-17,36.2784843778248
C11orf70,-1.03202277777778,5.22482416666667,-18.6132245934606,2.77302789823288e-20,5.14637490702834e-17,36.090425661864
LIN28B,-2.19098000000001,8.94068555555556,-18.4835236895366,3.4990370602541105e-20,6.32724591282823e-17,35.8644399468529
BARD1,-1.54040555555556,6.74386777777778,-18.4672625791676,3.60289132622779e-20,6.35216762498905e-17,35.8360066988941
VTRNA2-1,-1.81232555555556,5.25974611111111,-18.3884858608931,4.15257531446e-20,7.12250061928357e-17,35.6979434281517
PAX3,-3.68772222222222,5.95254277777778,-18.3767138544558,4.2418080060393004e-20,7.12250061928357e-17,35.6772664248401
DCHS2,2.02020333333334,6.83296833333333,18.2875097681964,4.98511365481046e-20,8.167551355276181e-17,35.5201972613628
NARG2,-0.688153888888889,8.77370694444445,-18.1835622917127,6.02196780811174e-20,9.43749412736587e-17,35.3363032006579
AGT,2.72968,7.74883888888889,18.16011989221,6.28489091909706e-20,9.63542091929309e-17,35.2947018049764
SYNPR,1.40273111111111,5.28934555555556,18.1240668540149,6.71241149024445e-20,1.00719020324789e-16,35.2306280492899
SFRP2,-5.13169722222222,10.1815069444444,-18.1103327289127,6.883007661730611e-20,1.01127156110047e-16,35.2061898731182
HMGA2,-1.55946222222222,6.48779944444444,-18.0812438190781,7.25915005328695e-20,1.04476946777134e-16,35.1543754114423
MIR4687;STIM1,0.811520000000002,7.51485,18.0371530371278,7.869868020762321e-20,1.11001340485644e-16,35.0756978893205
VIP,5.12805833333334,7.00948361111111,17.9791465951546,8.75440061350009e-20,1.21056194993307e-16,34.9719289371686
CALCA,1.81703833333333,6.89453194444444,17.9418760620749,9.37588157152576e-20,1.2715678770552099e-16,34.9050986488953
ZNF850,-1.28050944444444,7.44463861111111,-17.9109375560317,9.926018615710681e-20,1.32077851101088e-16,34.8495292729603
TTC3;TTC3P1,0.869588888888892,13.9179111111111,17.6237590626067,1.6915178534047602e-19,2.09621354101821e-16,34.3296553853037
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4,-2.19348111111111,8.67753333333333,-17.6132175753897,1.72516779014917e-19,2.09621354101821e-16,34.3104315566787
CD177,4.02153388888889,6.32977583333333,17.6115458051831,1.73056696783325e-19,2.09621354101821e-16,34.3073819351117
ZNF730,-1.30700611111111,10.3074691666667,-17.6044411995026,1.75370586787394e-19,2.09621354101821e-16,34.2944189874408
IGF2BP3,-1.30233222222222,10.1987672222222,-17.5207998911333,2.0511895982278602e-19,2.37860161630639e-16,34.1414646389776
