Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
CLU,-1.07570236111111,8.71503571428571,-20.7658387207264,6.08830084760428e-24,2.1468262033779802e-19,43.3441896598994
BX571672.1;OTTHUMG00000013471,-0.894406666666669,5.65261547619048,-18.6983883761655,3.47481011010773e-22,6.12635083487818e-18,39.6547086588838
POLR2J2;POLR2J3;UPK3BL,-0.79033888888889,11.5727333333333,-17.9537322838026,1.62744343334281e-21,1.91286988749392e-17,38.2279515502461
OTTHUMG00000021054;RP11-309M23.1,1.84351805555556,4.61821666666667,16.5622285363137,3.34151479598098e-20,2.94567059946208e-16,35.4097243326112
SLC15A4,-2.13602166666666,6.78228285714286,-15.7952789306054,1.9171442836429302e-19,1.2291160574122801e-15,33.7663094954255
OTTHUMG00000020572;PSMD5-AS1;RP11-27I1.2,1.31299680555555,6.46314333333333,15.5323857157007,3.53854932686263e-19,1.84870169058365e-15,33.1874939261418
NRN1,0.987822083333336,6.10281809523809,15.5168404579119,3.66998336261518e-19,1.84870169058365e-15,33.1530148339178
VSIG10,-0.545086805555557,5.04657404761905,-15.4830147895973,3.9734463266338996e-19,1.8681290352880202e-15,33.0778919570492
LOC100287894;LOC100996328;LOC100996502;LOC101059936;LOC101060494;LOC101060495,1.29082861111111,10.3507419047619,15.0330355781739,1.15682629998431e-18,4.53238117521076e-15,32.0656166948796
POLR2J3;UPK3BL,-0.625455138888888,9.76464428571428,-15.0096304018668,1.22368773839721e-18,4.54200686184138e-15,32.0123000904991
LY6E,-0.643838194444444,7.70647857142857,-14.8332965831214,1.87225320095359e-18,6.601845624542511e-15,31.6084768739084
CLIC6,-1.29438625,6.31903238095238,-14.7072549520316,2.5427539040832397e-18,8.53917302750774e-15,31.3175008185337
ZNF454,0.727707638888889,5.52236571428571,14.4801494201282,4.43405518803279e-18,1.35957771315494e-14,30.7882660776231
SHOX2,1.50192722222222,5.93133857142857,13.9483394158011,1.6686250605284702e-17,4.7070578057459605e-14,29.5236807161351
ZNF568,0.964076111111111,6.25508952380952,13.924259639585,1.7731998302408702e-17,4.80966813954141e-14,29.4655717316133
CENPVP1;CENPVP2,0.788466388888888,5.25865166666667,13.4702106013616,5.65100901848116e-17,1.37422796210464e-13,28.3558523423758
KIF13B,-0.44398375,7.31036,-13.4184852809686,6.45876754133501e-17,1.5183055443919e-13,28.2277301690124
CDH12,1.52991958333333,6.81827976190476,13.3315076428545,8.091607804787531e-17,1.84078857166784e-13,28.0114967556082
RRN3,0.757034444444443,10.341565,13.2229111291063,1.07351923894839e-16,2.36586866526116e-13,27.7401174023402
AMOT;MIR4329,-1.12948652777778,7.83905523809524,-13.1340825250717,1.35425478820485e-16,2.89412455844153e-13,27.5169771160276
LOC100286914;LOC100288646;LOC100653358;LOC101060626,1.17311388888889,10.2584452380952,13.0885622412441,1.52603458366768e-16,3.07487248411417e-13,27.4022227309852
OTTHUMG00000002331;RP5-857K21.4,0.879434027777785,9.14820595238095,13.055149787229,1.66610926569436e-16,3.20816424060974e-13,27.3178161162456
ZIC3,-1.79012722222222,6.25247738095238,-13.0512773848172,1.6831682841422002e-16,3.20816424060974e-13,27.3080240281318
PIFO,-0.714796805555557,4.55252857142857,-12.9985090877761,1.93416267792858e-16,3.58955143514624e-13,27.1743902909127
ATP6V1B1,-0.516926805555555,5.03149047619048,-12.8171690120853,3.1266508126783497e-16,5.51251988156288e-13,26.7123138555832
CACHD1,-0.727675694444445,10.0249630952381,-12.8026056286276,3.2501820843635697e-16,5.59055100330663e-13,26.6750131826762
SAT1,-0.993592916666667,8.00127095238095,-12.7275369173235,3.9703886556957897e-16,6.5117143992008e-13,26.4822894892093
ISL1,1.35133763888889,5.89518238095238,12.6490232674098,4.89862185663402e-16,7.77079563928806e-13,26.279908416351
HIATL1,-0.510389999999999,10.1171152380952,-12.6444943192314,4.95846466780997e-16,7.77079563928806e-13,26.2682089434663
BX004987.4;OTTHUMG00000013470,-0.419317777777779,5.17385595238095,-12.6175272356843,5.33052009790424e-16,8.17226671444567e-13,26.198488371687
HOXA10-HOXA9;HOXA9;MIR196B;OTTHUMG00000170193;RP1-170O19.20,0.804339861111111,5.955575,12.52877586153,6.76804546337665e-16,9.39214374550969e-13,25.9683354017047
BOD1L1,0.351443055555556,11.119519047619,12.5220604977144,6.89170559278584e-16,9.39214374550969e-13,25.9508774239537
ZNF217,-0.722003194444443,7.41972785714286,-12.4401394446301,8.599074475881001e-16,1.14421231936331e-12,25.7374133748649
KDM6A,-1.23465513888889,9.80459333333333,-12.3864658996758,9.94559279332279e-16,1.2893456635873e-12,25.5970595217543
MYO5C,-1.037995,5.29332666666667,-12.382418487574,1.00554445354425e-15,1.2893456635873e-12,25.5864598091964
GM2A,-0.474442916666665,6.89122142857143,-12.2547270546155,1.42354338125592e-15,1.72340256668235e-12,25.2509024480257
RFT1,-0.40870638888889,7.90211904761905,-12.2508668596597,1.4386282488571e-15,1.72340256668235e-12,25.2407236334014
TNFRSF11B,-0.59598375,4.57020619047619,-12.2435330410498,1.46773671792442e-15,1.72340256668235e-12,25.221379724535
CDON,-1.66204638888889,9.16983142857143,-12.239764772042,1.4829255070737302e-15,1.72340256668235e-12,25.2114375582407
NOC2L,0.411053611111114,7.46667833333333,12.2324294434224,1.5129521465708302e-15,1.72340256668235e-12,25.1920785211942
LOC100233156;LOC389834,-0.935424583333334,5.90398333333333,-12.2319050752288,1.51512214645301e-15,1.72340256668235e-12,25.1906943525021
CTNNB1,-0.570740277777778,10.5744738095238,-12.1633497749046,1.82792054488713e-15,2.04619746963612e-12,25.0094054110976
KIAA1324L,-0.683684722222223,9.7347269047619,-12.1083709351398,2.1257527236868103e-15,2.29437818113024e-12,24.8635527600544
CLIC4,-0.54958888888889,11.8138714285714,-12.1047148007902,2.1472279958963203e-15,2.29437818113024e-12,24.8538387389384
FTLP3,-0.698208333333328,15.3446071428571,-12.0887880548736,2.24338234385648e-15,2.36134407516105e-12,24.8115013903952
ZNF667-AS1,1.88367708333333,7.4749519047619,12.0043799462576,2.8311761496519103e-15,2.9362211117926697e-12,24.5865412501385
TTN-AS1,-1.02386,7.76462880952381,-11.9220352014253,3.55583167326846e-15,3.5823988156273097e-12,24.3661356607333
ZNRF2,-0.561405833333334,7.706445,-11.7933856668738,5.08542350483522e-15,4.84647732204722e-12,24.0199189007696
MIR221,-1.05457152777778,5.63080547619048,-11.7750785288182,5.35197338707775e-15,4.96627919969584e-12,23.97046575604
SLC2A14,-0.930734444444443,7.27271285714286,-11.742686295485,5.8589077513039e-15,5.23022470057221e-12,23.8828510462994
ZNF667,1.03439333333333,5.7983619047619,11.7338156740007,6.0060638505241505e-15,5.29457051163143e-12,23.8588324444903
HLA-DRB5,0.620875833333335,5.27329452380952,11.7125472419173,6.374383211103931e-15,5.5498842863788e-12,23.8012005183197
ARNT2,0.491087083333333,7.85393619047619,11.6103201743143,8.492416076631751e-15,7.129888797289299e-12,23.5233186802474
KRT8,-2.01576388888889,10.4416738095238,-11.5691242448774,9.53686919856084e-15,7.82056542430356e-12,23.4109277415684
CDKL5,-0.931591666666664,8.74827523809524,-11.5633826955463,9.692463448748121e-15,7.8567999976559e-12,23.3952449604031
ZNF502,1.05353611111111,4.15700619047619,11.5579768700227,9.8413174513648e-15,7.886809438893179e-12,23.3804750208667
DIAPH3,-0.986077083333335,6.42449571428571,-11.5520721312305,1.0006566104496e-14,7.92913552120642e-12,23.3643373125362
PDE9A,0.535146944444443,8.22734047619048,11.4102205608754,1.49487873776826e-14,1.1459057959090299e-11,22.9752036393239
FTL,-0.484223611111114,15.4883119047619,-11.3768336709134,1.6436121157698102e-14,1.2201311288466798e-11,22.8832097505199
PABPC1L,-0.387851388888888,6.63033952380952,-11.3277236109665,1.89019300474105e-14,1.3621878230481199e-11,22.7476115415749
