Gene_Symbol,logFC,logCPM,F,PValue,adj.P.Val
ARHGAP36,-3.468690914,0.932710714,241.8705207,6.03E-34,1.20E-29
ECEL1,-4.076987926,0.243839597,209.4854457,5.34E-31,5.33E-27
GABRE,-3.466291658,1.30697239,196.0650882,9.48E-30,6.31E-26
POMC,-3.454673286,0.048239809,193.2710966,2.34E-29,1.17E-25
GAL,-3.263269968,-0.825332334,160.5572386,1.25E-26,5.00E-23
SELE,-3.752412894,0.124989888,156.011426,1.79E-25,5.95E-22
TRH,-2.716928015,-0.464606437,141.8659058,6.84E-24,1.95E-20
DIRAS3,-2.049480107,1.47563355,138.7633457,1.35E-23,3.37E-20
GABRQ,-2.460707718,1.230250223,116.711034,7.12E-21,1.58E-17
CSF3,-2.929816455,-1.585312961,103.8202604,2.36E-20,4.72E-17
CALCR,-2.407742386,-1.507303243,101.8577187,1.28E-19,2.32E-16
ANKRD20A9P,-2.064424916,-0.773001758,97.297689,2.73E-18,4.55E-15
CXCL8,-2.533251755,0.133947217,90.05632551,3.08E-17,4.74E-14
ESR1,-1.634913259,-0.473204864,73.38939325,8.42E-15,1.20E-11
IRS4,-1.255800669,0.683043022,52.8931738,1.39E-11,1.85E-08
MYBPH,-2.045859913,-1.576672746,51.3273365,1.55E-11,1.94E-08
MPZ,-1.097919836,0.338276559,51.3378207,2.57E-11,3.02E-08
CCDC129,-1.608490209,-0.947493898,50.47441985,3.53E-11,3.92E-08
PGR,-1.476022191,1.387372919,49.12229565,5.95E-11,6.25E-08
MRGPRE,-1.450165261,-1.243804509,44.6052535,3.28E-10,3.28E-07
ZCCHC12,-1.330446448,4.295216742,43.13230714,6.43E-10,6.12E-07
DOK7,-1.222009747,-1.141080495,42.06732987,9.71E-10,8.82E-07
ARAP3,-1.116907451,2.442273576,41.64987623,1.18E-09,1.02E-06
IFI6,-0.918033801,3.961076003,40.88073949,1.61E-09,1.30E-06
TBX3,-1.414874469,1.362960517,40.86016203,1.63E-09,1.30E-06
IL6,-1.787107195,-1.146239157,39.68448582,2.48E-09,1.84E-06
VWA5B1,-1.602019316,-1.194958743,39.64528712,2.49E-09,1.84E-06
ATP2A1,-1.161308471,-1.164528142,39.19076623,3.14E-09,2.24E-06
MAP3K15,-1.147659271,-1.579602068,37.95270985,4.47E-09,3.08E-06
ADGRG2,-1.364615783,-1.474618388,37.88111005,4.78E-09,3.18E-06
ZNF251,-0.425242546,3.740683051,38.13429884,5.00E-09,3.20E-06
NPEPL1,-0.774506289,2.33939772,38.07476033,5.13E-09,3.20E-06
LGR6,-1.630091555,-0.512364845,37.98769808,5.55E-09,3.36E-06
DGKK,-1.637760099,-1.275136172,35.41754737,1.45E-08,8.51E-06
GBP4,-0.733307482,2.374150049,35.12943005,1.76E-08,9.95E-06
CXCL1,-1.636838775,-1.051999251,35.05511445,1.79E-08,9.95E-06
PMS2P1,-0.435959981,3.23694707,34.05678163,2.78E-08,1.50E-05
IL1B,-1.775021705,1.317902097,33.13271065,4.13E-08,2.17E-05
POFUT2,-0.584239687,3.015584084,32.74006835,4.87E-08,2.50E-05
ABO,-1.153417377,-0.789570058,32.39563634,5.81E-08,2.90E-05
NLRP3,-0.642594961,1.791481995,31.93016851,6.91E-08,3.37E-05
SIX3,-1.756356544,-0.650665811,31.870854,7.28E-08,3.46E-05
KNCN,-1.262859029,-0.532365937,31.77625452,7.63E-08,3.55E-05
ANKRD34B,-1.012475344,-0.022578905,31.67465217,7.88E-08,3.58E-05
HTR7,-0.977142746,1.048316585,31.48937449,8.38E-08,3.72E-05
SCUBE1,-1.174946982,-0.27555683,30.9516599,1.08E-07,4.71E-05
