"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CP",1.56278424209238,0.886498396838567,6.55590943864996,2.07178045392777e-06,0.0113061998430028,4.61120776167195
"LST1",1.7335894845952,0.847985778831583,6.7353246286787,2.44115294030073e-06,0.0113061998430028,4.37360642484138
"TM4SF1",1.68795740661079,0.638898701162323,6.04543916990779,4.2158294263805e-06,0.0130170759921875,4.1698260170413
"HLA-DPB1",1.29359815673592,0.88341339514654,5.41923858723851,1.23179302981505e-05,0.0224253294576422,3.26619428604437
"GBP2",2.86958922733286,-0.323974430116928,5.32350248254805,1.78780093454045e-05,0.0224253294576422,2.91797555141924
"SETD7",0.317888376260415,1.71631337889841,5.24201166420983,1.946969859849e-05,0.0224253294576422,2.85476563401067
"KLHL18",2.05603583341658,0.223729501961736,5.43929735003639,1.77503266803778e-05,0.0224253294576422,2.84957950297369
"AK310078",0.289452764312669,2.2388309737481,5.20156566525778,2.16190140503387e-05,0.0224253294576422,2.76055122248202
"CCND1",1.19366133992137,1.25423348865811,5.19854851679823,2.17886176313052e-05,0.0224253294576422,2.75351876453546
"HLA-DPA1",1.42746011755797,0.980701076878022,5.15016903968289,2.46986600161415e-05,0.0228783687729519,2.6406754072491
"Y09859",1.57712146613414,0.570210594185932,5.18399212044095,3.28530309734289e-05,0.0269086673904863,2.31948037273445
"SFRS1",0.206907186856188,2.01647235470393,4.94411751989726,4.21694520524566e-05,0.0300473564893774,2.15861291784002
"CD68",2.56477150390029,0.479330350921494,5.43913579110095,3.48595496799995e-05,0.0269086673904863,2.15348905805258
"PRUNE2",-0.249872639230026,2.59901359575675,-4.90239478981042,4.70013063203775e-05,0.0300716283081945,2.0607650964115
"TPM4",0.542307299270821,1.60870627347443,4.88877165860726,4.86963645280058e-05,0.0300716283081945,2.02880238977538
"PECAM1",1.79746268304785,0.445351149666548,5.01924905613283,5.57269952017116e-05,0.0322624472845909,1.85977893577686
"KCNA1",-0.154298181118441,2.26220148926577,-4.77096763314063,6.61622473621003e-05,0.035954001902208,1.7521742863575
"GSTM4",0.977993613488929,0.768781462287047,4.78700973440011,6.99180188522758e-05,0.035954001902208,1.70087091180324
"HMGB2",0.37037070804079,1.83472646234415,4.71883231348686,7.5778192897534e-05,0.035954001902208,1.62964593021115
"CCDC50",0.721008960291863,0.950902089487471,4.70956080184804,7.76292818788902e-05,0.035954001902208,1.60785134507482
"ITGB2",1.12003329174987,1.18391130203447,4.67069501012041,8.58942292996884e-05,0.0363947801602039,1.51647770006701
"GPNMB",0.277894793083568,2.19222524798518,4.66664886509927,8.68037044195722e-05,0.0363947801602039,1.5069642991378
"IL13RA1",0.60421090563036,1.40125316784839,4.64715225210823,9.13228746620554e-05,0.0363947801602039,1.46112157803118
"BC005981",0.78443127100549,0.918690877318561,4.63240362989466,9.48970946536208e-05,0.0363947801602039,1.42644133341067
"MGST1",0.437667184764665,1.93736385321102,4.61694860575797,9.87926006390164e-05,0.0363947801602039,1.3900990881578
"LAP3",0.486297057721157,1.1675671020773,4.57815766153649,0.000109288258561275,0.0363947801602039,1.29888159230647
"CNN3",0.656474942309285,1.5124273458602,4.56218729191968,0.000113926452924603,0.0363947801602039,1.26132784550828
"RCN1",0.80457929923157,1.14989820639507,4.55264835632469,0.000116790005721161,0.0363947801602039,1.2388979518055
"MLC1",1.60827093597713,0.393581696317458,4.76434321236354,0.000115368551725465,0.0363947801602039,1.23017856370105
"BC034684",0.615293877456193,1.76645205098517,4.54283974188134,0.000119809442875854,0.0363947801602039,1.21583452473408
"ARMC10",0.213523756359757,1.68813582478021,4.51386658842544,0.000129190909103876,0.0363947801602039,1.14771337375137
"CDKN1A",0.500997688327436,1.70235754526314,4.51227699380303,0.000129726318484856,0.0363947801602039,1.14397619483067
"ZFP36L1",1.20824282232787,1.3797291736396,4.50850210448788,0.000131006666792363,0.0363947801602039,1.13510144897742
"CD9",2.08146840249694,0.794710309307157,4.48970386739528,0.000137572651289409,0.0363947801602039,1.09090960453898
"CRYAB",0.368421920078563,2.27624086392737,4.48260103322462,0.00014013811845476,0.0363947801602039,1.07421320538921
"ZSIG13",0.319219712568304,1.66106469728379,4.47903037361364,0.000141445761175358,0.0363947801602039,1.06582006837232
"CLCN5",-0.259301571223886,1.82134847607824,-4.45965282200324,0.000148757201735256,0.037241566477667,1.02027524948825
"FTL",0.693356403883171,1.29865194093242,4.42278302264754,0.000163724502291399,0.038886668326288,0.93363719124881
"TRIM56",2.28510585510745,0.206626835759618,4.75342629533106,0.000154178924992733,0.0375831416370444,0.930555155701457
"RPL37A",0.364462641840837,1.54692497683462,4.40254294027275,0.000172569173366752,0.0392540512077995,0.886089706115997
"RPL30",0.25698330197654,1.86653756342385,4.39811133383666,0.000174568334114283,0.0392540512077995,0.875680519200296
"NQO1",0.688856805504279,1.01559099497139,4.38500149863731,0.000180618343174604,0.0392540512077995,0.844890674110535
"TGFBI",2.11197834788916,-0.209177433827889,4.46507154059464,0.000189974518209598,0.0392540512077995,0.811288670573395
"CD44",0.598048933253679,1.85969903895154,4.36681357624644,0.000189358839382267,0.0392540512077995,0.802182849706841
"RPL38",0.345525709518442,1.48455188456383,4.36410168468648,0.000190697647020509,0.0392540512077995,0.795815831275712
"HLA-C",0.446081968672926,1.60426880776562,4.3518116631753,0.000196883992149823,0.0396464438974741,0.76696417810268
"MS4A6A",3.81161479643923,-0.455396948679459,4.42682715223282,0.000229460754064813,0.044632081473539,0.649528136030139
"SERPING1",1.11298058183162,1.0992769175126,4.28564203642303,0.000233784919480666,0.044632081473539,0.611722481425076
"TMEM123",1.05608714455576,1.21005341369059,4.28184824213005,0.000236097591730909,0.044632081473539,0.602827247022105
"ARHGEF2",1.49265887365709,0.431407315941023,4.31794308172448,0.000250653137532415,0.0461530839868014,0.564914706254179
"REST",1.4210241100291,0.327531549244414,4.30589658591046,0.000258328169775626,0.0461530839868014,0.537961811996973
