Gene_Symbol,protein_logFC,protein_adjPval,protein_significant
PRODH,-1.75724458319356,1.58154519653983e-05,True
SAA1,8.07503603877539,1.67901070690794e-05,True
SORCS2,-1.0623765190861,5.14386463692224e-05,True
PNPLA8,-0.649780706558367,0.000106644491851413,True
BPHL,-1.07959456129646,0.000106644491851413,True
C9,4.53629548739865,0.000106644491851413,True
CFB,4.06859908829273,0.000106644491851413,True
MBLAC1,0.879781762926546,0.000166349783944966,True
ORM1,4.16645973454918,0.000216786591239999,True
TPMT,1.30166716182792,0.000219341479252543,True
ACOT11,-1.3411959223769,0.000219341479252543,True
P2RY12,-1.45979273462433,0.000331267888686245,True
ORM2,3.6701453599526,0.000419899628490375,True
D2HGDH,-1.07116462420201,0.000715466545905082,True
IGKV1D-33,1.96581339716544,0.000715466545905082,True
ITIH3,2.75179867952135,0.000715466545905082,True
LRG1,3.53382494201273,0.000717472409315262,True
RIDA,-0.89598605195901,0.000725441607588652,True
C3,2.92139396818268,0.000725441607588652,True
FGA,3.67931064938275,0.000779773894469581,True
C1QBP,-1.36206731375766,0.00111858188393425,True
HLA-DRB1,2.72333515571296,0.00111858188393425,True
CARS2,0.788957489622579,0.00115476518073568,True
C8G,2.57709927871177,0.00117215018563675,True
CRP,5.88670927404071,0.00135456751273245,True
MLST8,-0.417369062992497,0.00141376103329045,False
C6,2.75090231850771,0.00141376103329045,True
S100A9,4.70872983325355,0.00141376103329045,True
HDDC2,0.543979019609493,0.00141376103329045,False
LSP1,2.79587605436447,0.00141376103329045,True
IGHG3,3.3974807405184,0.0014245103657276,True
ACY3,-2.1955675718759,0.00144667257203745,True
PITPNC1,-0.839259631038376,0.00161099494513284,True
C8A,2.9642198438344,0.00161099494513284,True
TYMP,1.82815019864087,0.00174702637360266,True
APPL2,-0.528267835971107,0.00185132959816672,False
USO1,0.296561356256847,0.00193311803290147,False
LBP,2.36937046667968,0.00202868715802928,True
S100A8,4.70459399892481,0.00202868715802928,True
TALDO1,0.642714876814852,0.00219681854446928,True
EARS2,-0.693155335521666,0.00271498875290352,True
F9,2.12850804219165,0.00271498875290352,True
FPGT,0.95362134820768,0.00271498875290352,True
ALDH6A1,-0.72637307599646,0.00271498875290352,True
SERPINA3,3.4410139471224,0.00271498875290352,True
MMP9,2.88368666971569,0.00276097466849375,True
MCEE,-1.1108965172499,0.00276097466849375,True
PYROXD2,-1.51149667625254,0.00282627395307736,True
C1R,1.85202486558077,0.00303217631874266,True
IDH2,-0.797443689526119,0.00303217631874266,True
PPP2R2B,-0.592997047046069,0.00303725906787729,True
SAA4,2.67275980582075,0.00303725906787729,True
SERPINA1,3.24962081233505,0.00303725906787729,True
BRINP1,-0.763784048135688,0.00303725906787729,True
FOXRED1,-0.703839646257832,0.00311113514067827,True
PLIN3,1.31532462828498,0.00311113514067827,True
C1S,2.17436598096572,0.00311113514067827,True
C4BPA,3.06596912493594,0.00311113514067827,True
HP,3.00978333092618,0.00311113514067827,True
IVD,-0.636378049297067,0.0032234255348142,True
ADA,1.13648398316658,0.00330686927849181,True
MPO,4.1616139684871,0.00330686927849181,True
PENK,-1.9347329846646,0.00330686927849181,True
FGG,2.93300749254747,0.00330686927849181,True
CPN1,1.26432598972916,0.00330686927849181,True
THEM4,-0.927578497580383,0.00346442340863695,True
SPP1,1.20446555635653,0.00346442340863695,True
ITGAL,0.798617345720068,0.00359522844526793,True
MRPL1,-0.611888829084647,0.00359522844526793,True
MMUT,-0.609613557280673,0.00384579478717197,True
APCS,5.34932744348186,0.00403052819915131,True
CPM,1.30962199214811,0.00403052819915131,True
FGB,2.768234329017,0.00403052819915131,True
CFI,2.22293745129964,0.00404000823722038,True
AGK,-0.556658278528225,0.00435423525995519,False
SCD5,-0.595708508275433,0.00435423525995519,True
PIR,0.905996771891932,0.00435423525995519,True
CMPK1,0.619091483670307,0.00435423525995519,True
HPX,2.90520375369219,0.00435423525995519,True
PTPMT1,-0.594288539225432,0.00435423525995519,True
CFH,2.71990250969104,0.00441242213965959,True
ACSF3,0.639026040708242,0.00444200515302294,True
SCO1,-0.477442483191057,0.00447119397330369,False
GSTM4,-2.22551554772656,0.00448429171242258,True
PNPLA4,-0.583799635657469,0.00457964777952308,False
SERPINF2,1.94702220875784,0.0046779387420658,True
NPC1,-0.608476846199856,0.00488347320100787,True
GRAP2,0.512320285962737,0.00489634080009222,False
ASTN1,-1.02912378521937,0.00513372588678802,True
MTCH1,-0.677461953176401,0.00513372588678802,True
ACAD10,-0.525636983508099,0.0051535232482558,False
MRPL47,-0.599330133322344,0.00529459445561468,True
DECR2,-1.05296473669399,0.00579820172007045,True
PYCR2,-0.892892939115489,0.00588626069283916,True
SARS2,-0.576825561987066,0.00588626069283916,False
PRMT7,-0.545837763919904,0.00588626069283916,False
FGFR3,-0.716352170364898,0.00601783644511897,True
HLA-B,2.20361094050976,0.00606944029121767,True
OGA,-0.537668112516263,0.00606944029121767,False
RPTOR,-0.389986539585026,0.00606944029121767,False
NAGA,-0.510442365004487,0.00609015054949531,False
PITHD1,0.39577365751464,0.00609015054949531,False
MRPL24,-0.556886174357581,0.00609015054949531,False
VGF,-1.42757445438245,0.0066599504072382,True
APOH,3.05843180632568,0.00670708566676934,True
ITIH4,2.70330779100424,0.00670708566676934,True
GYS1,-0.957521242990985,0.00670708566676934,True
MTOR,-0.344291867462681,0.00670708566676934,False
AGL,-1.09437132710095,0.0067522182589861,True
ITGB8,-0.764785457342514,0.0067522182589861,True
SKIC2,0.385561030030427,0.0067522182589861,False
ALDH5A1,-0.747865786251472,0.0067522182589861,True
IGF2BP2,1.28669590047554,0.0067522182589861,True
SLC1A4,-1.04387701076657,0.0067522182589861,True
CAMP,1.79389866743248,0.00682870442646546,True
ASAP2,-0.384141528121276,0.00682870442646546,False
AKR1B1,1.06844459529844,0.00697376112500967,True
MAN2A2,0.456901361438016,0.00699144491295735,False
IGKC,2.71239666553564,0.00701546438253103,True
TOMM34,0.521797677086607,0.00702694978301951,False
IDI1,-0.658577460949671,0.00702694978301951,True
ARHGEF4,-0.632394848562202,0.00702694978301951,True
IGKV3-11,4.23203127663728,0.00702694978301951,True
CALCOCO2,0.537823987072127,0.00742749604387175,False
ASPA,1.22878342222498,0.00742749604387175,True
