"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","condition","comparison"
"Q8N556;Q8TED9","AFAP1",4.06,1.7585127380959e-09,1.68e-08,TRUE,"ARS","C9ALS_vs_Control"
"Q13045","FLII",3.43,4.10339618217374e-09,2.76e-07,TRUE,"ARS","C9ALS_vs_Control"
"Q13885;A6NNZ2","TUBB2A",4.24,4.36088829451565e-09,3e-07,TRUE,"ARS","C9ALS_vs_Control"
"Q9BX66","SORBS1",3.66,1.78031120299739e-08,3.05e-05,TRUE,"ARS","C9ALS_vs_Control"
"O94875","SORBS2",2.55,2.23489479325786e-08,4.81e-05,TRUE,"ARS","C9ALS_vs_Control"
"Q9HCB6","SPON1",5.81,2.76235491021569e-08,7.32e-05,TRUE,"ARS","C9ALS_vs_Control"
"Q14624","ITIH4",-3.96,4.67841141822343e-08,0.000235,TRUE,"ARS","C9ALS_vs_Control"
"P30153","PPP2R1A",2.95,5.07955687448232e-08,0.000271,TRUE,"ARS","C9ALS_vs_Control"
"P39687;O95626;O43423","ANP32A",-2.87,6.39907815674878e-08,0.000421,TRUE,"ARS","C9ALS_vs_Control"
"P08237","PFKM",2.87,8.53871056615015e-08,0.000694,TRUE,"ARS","C9ALS_vs_Control"
"Q8N7H5","PAF1",-2.73,1.01960667044429e-07,0.000892,TRUE,"ARS","C9ALS_vs_Control"
"Q5U5Q3","MEX3C",2.8,1.03757712504753e-07,0.000912,TRUE,"ARS","C9ALS_vs_Control"
"Q9Y281","CFL2",3.19,1.11346542650038e-07,0.000994,TRUE,"ARS","C9ALS_vs_Control"
"Q16643","DBN1",2.86,1.18595222879229e-07,0.00107,TRUE,"ARS","C9ALS_vs_Control"
"O75175","CNOT3",2.13,1.43976344511283e-07,0.00149,TRUE,"ARS","C9ALS_vs_Control"
"O15240","VGF",-4.31,1.78534084818877e-07,0.00213,TRUE,"ARS","C9ALS_vs_Control"
"Q14008","CKAP5",2.11,2.69583486734842e-07,0.00389,TRUE,"ARS","C9ALS_vs_Control"
"O95631","NTN1",2.46,2.88114257968302e-07,0.00423,TRUE,"ARS","C9ALS_vs_Control"
"P26196","DDX6",1.99,2.98320887915696e-07,0.00441,TRUE,"ARS","C9ALS_vs_Control"
"O75083","WDR1",2.27,3.13990551538711e-07,0.00468,TRUE,"ARS","C9ALS_vs_Control"
"P10645","CHGA",-2.93,3.27108182826071e-07,0.00491,TRUE,"ARS","C9ALS_vs_Control"
"P47756","CAPZB",4.7,3.79062491564568e-07,0.00595,TRUE,"ARS","C9ALS_vs_Control"
"O94832","MYO1D",1.73,4.67421416834963e-07,0.0076,TRUE,"ARS","C9ALS_vs_Control"
"P60660","MYL6",3.04,5.0085887209679e-07,0.00818,TRUE,"ARS","C9ALS_vs_Control"
"P39060","COL18A1",-2.31,5.10264146894681e-07,0.00834,TRUE,"ARS","C9ALS_vs_Control"
"P31948","STIP1",2.34,5.1894861659189e-07,0.00848,TRUE,"ARS","C9ALS_vs_Control"
"P52907","CAPZA1",2.44,5.61122048324424e-07,0.00923,TRUE,"ARS","C9ALS_vs_Control"
"P17858","PFKL",2.08,6.74541544904885e-07,0.0114,TRUE,"ARS","C9ALS_vs_Control"
"Q9Y608","LRRFIP2",4.23,7.93957305914759e-07,0.0134,TRUE,"ARS","C9ALS_vs_Control"
"Q9BY12","SCAPER",2.77,8.53798205168852e-07,0.0143,TRUE,"ARS","C9ALS_vs_Control"
"Q92598","HSPH1",1.52,8.5986528694118e-07,0.0144,TRUE,"ARS","C9ALS_vs_Control"
"P61163","ACTR1A",2.4,9.45211687685404e-07,0.0157,TRUE,"ARS","C9ALS_vs_Control"
"Q92614","MYO18A",2.67,9.60313838555449e-07,0.0159,TRUE,"ARS","C9ALS_vs_Control"
"P20290","BTF3",-2.93,9.72377444858945e-07,0.016,TRUE,"ARS","C9ALS_vs_Control"
