"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","condition","comparison"
"Q13885;A6NNZ2","TUBB2A",4.54,8.61522563371538e-10,6.7e-07,TRUE,"CTRL","C9ALS_vs_Control"
"P51116","FXR2",3.23,2.70482147080635e-09,2.24e-05,TRUE,"CTRL","C9ALS_vs_Control"
"Q5T5P2","KIAA1217",-5.82,3.40329095155259e-09,3.1e-05,TRUE,"CTRL","C9ALS_vs_Control"
"Q15027","ACAP1",3.59,5.7533882070762e-09,8.01e-05,TRUE,"CTRL","C9ALS_vs_Control"
"P10645","CHGA",-3.84,5.871364574796e-09,8.2e-05,TRUE,"CTRL","C9ALS_vs_Control"
"O15240","VGF",-4.15,6.06557062989415e-09,8.5e-05,TRUE,"CTRL","C9ALS_vs_Control"
"Q14624","ITIH4",-4.2,3.37274801968682e-08,0.00379,TRUE,"CTRL","C9ALS_vs_Control"
"P0DP25;P0DP24;P0DP23;P27482;P02585","P0DP25",2.55,3.78308467410514e-08,0.00449,TRUE,"CTRL","C9ALS_vs_Control"
"Q9NWH9","SLTM",-2.82,1.04180043567888e-07,0.0217,TRUE,"CTRL","C9ALS_vs_Control"
"O43795","MYO1B",2.49,1.08207515661821e-07,0.0228,TRUE,"CTRL","C9ALS_vs_Control"
"Q14244","MAP7",-3.03,1.72480499264265e-07,0.0448,TRUE,"CTRL","C9ALS_vs_Control"
"Q9HCB6","SPON1",5.37,1.92898663554895e-07,0.0521,FALSE,"CTRL","C9ALS_vs_Control"
"P61278","SST",-2.59,2.76841491424027e-07,0.0822,FALSE,"CTRL","C9ALS_vs_Control"
"Q14576","ELAVL3",3.41,3.695898902983e-07,0.114,FALSE,"CTRL","C9ALS_vs_Control"
"Q15717","ELAVL1",3.93,5.69403423819604e-07,0.177,FALSE,"CTRL","C9ALS_vs_Control"
"P01834","IGKC",-3.33,8.78092815879903e-07,0.257,FALSE,"CTRL","C9ALS_vs_Control"
"Q969Q0","RPL36AL",3,1.0897951118832e-06,0.302,FALSE,"CTRL","C9ALS_vs_Control"
"Q86SE5","RALYL",2.38,1.32724798956638e-06,0.344,FALSE,"CTRL","C9ALS_vs_Control"
"O43684","BUB3",3.63,1.44231566904458e-06,0.362,FALSE,"CTRL","C9ALS_vs_Control"
"P20290","BTF3",-3.47,1.75548474787386e-06,0.406,FALSE,"CTRL","C9ALS_vs_Control"
"Q8WXI9","GATAD2B",-1.33,1.89494331819253e-06,0.423,FALSE,"CTRL","C9ALS_vs_Control"
"P18887","XRCC1",-2.98,2.60497418908621e-06,0.492,FALSE,"CTRL","C9ALS_vs_Control"
"Q9NZB2","FAM120A",1.92,2.97490001237586e-06,0.52,FALSE,"CTRL","C9ALS_vs_Control"
"P0DOY3;P0DOY2;P0CG04;P0CF74;B9A064","IGLC1",-3.18,3.02686829397208e-06,0.523,FALSE,"CTRL","C9ALS_vs_Control"
"Q14315","FLNC",1.76,3.95501339430976e-06,0.577,FALSE,"CTRL","C9ALS_vs_Control"
"O43395","PRPF3",1.82,4.03246032531219e-06,0.581,FALSE,"CTRL","C9ALS_vs_Control"
"O95777","LSM8",2.43,4.06309933168873e-06,0.582,FALSE,"CTRL","C9ALS_vs_Control"
"Q13813","SPTAN1",3.11,4.22172680824868e-06,0.589,FALSE,"CTRL","C9ALS_vs_Control"
"A6NNA2","SRRM3",2.23,4.43123687701012e-06,0.598,FALSE,"CTRL","C9ALS_vs_Control"
