"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","condition","comparison"
"P09496","CLTA",3.44,3.1802196593468e-09,1.34e-09,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q00325","SLC25A3",3.03,7.03246165971257e-09,2.97e-08,TRUE,"RNase_ARS","C9ALS_vs_Control"
"A0A1B0GV03","A0A1B0GV03",5.3,1.30597306483266e-08,2.62e-07,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q13490","BIRC2",3.02,1.68892494237352e-08,5.26e-07,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9NX58","LYAR",2.9,8.17561334004971e-08,6.87e-05,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P63092;Q5JWF2;P38405","GNAS",2.93,1.38363124858892e-07,0.00023,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9HCB6","SPON1",3.27,1.7792336137993e-07,0.000365,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q8IY67","RAVER1",-5.45,2.20373879773524e-07,0.000511,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y281","CFL2",2.24,2.43512356270303e-07,0.000584,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P98175","RBM10",-4.22,2.67490477488972e-07,0.000654,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q14624","ITIH4",-3.29,3.2950368089281e-07,0.000932,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q8IWU6","SULF1",3.03,3.78290806836398e-07,0.00115,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P17096","HMGA1",-4.27,4.36956080069359e-07,0.00142,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P31431","SDC4",-2.28,5.32994103617046e-07,0.00196,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q14244","MAP7",-2.28,7.31656361124775e-07,0.00319,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q6P158","DHX57",2,8.06341627542125e-07,0.00364,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P11047","LAMC1",-2.37,9.12205343340438e-07,0.00425,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9UGI8","TES",-2.54,1.03837766652104e-06,0.00493,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q96T23","RSF1",-2.04,1.0443020004796e-06,0.00496,TRUE,"RNase_ARS","C9ALS_vs_Control"
"O43684","BUB3",2.51,1.28976708102228e-06,0.00666,TRUE,"RNase_ARS","C9ALS_vs_Control"
"O95631","NTN1",2.4,1.51147706804867e-06,0.00815,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P38159;O75526;Q8N7X1","RBMX",-1.69,1.6994370369155e-06,0.00935,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q16643","DBN1",1.74,1.78772601931855e-06,0.00989,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9H6F5","CCDC86",-2.15,2.25120228162669e-06,0.0134,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q14008","CKAP5",1.85,2.55463998649076e-06,0.0156,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P01857","IGHG1",-2.19,3.37980241989449e-06,0.0213,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P07237","P4HB",-2.69,4.09760290272495e-06,0.0257,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P0DP25;P0DP24;P0DP23;P27482;P02585","P0DP25",1.79,4.35893606424001e-06,0.0272,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q14203","DCTN1",2.03,4.54277592914409e-06,0.0282,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9P2D1;Q3L8U1","CHD7",-1.79,4.63320884290108e-06,0.0286,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q15648","MED1",-2.03,4.84419694963998e-06,0.0297,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P04792","HSPB1",-2.11,5.57336750883068e-06,0.0332,TRUE,"RNase_ARS","C9ALS_vs_Control"
"O15240","VGF",-3.16,5.98175095993753e-06,0.035,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P78332","RBM6",-1.73,6.65357689983959e-06,0.0377,TRUE,"RNase_ARS","C9ALS_vs_Control"
"O76094","SRP72",-1.84,6.68636636404779e-06,0.0378,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P31948","STIP1",2.52,6.96580082555512e-06,0.0389,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q53EP0","FNDC3B",2.6,7.22106545190026e-06,0.0398,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y4F1","FARP1",-2.26,7.4083382363387e-06,0.0404,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P18124","RPL7",1.82,7.53015655869335e-06,0.0408,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q6UN15","FIP1L1",-1.73,7.89177476739606e-06,0.042,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q6ZU35","KIAA1211",1.58,8.07009365389297e-06,0.0425,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P62854;Q5JNZ5","RPS26",1.97,8.38955411058463e-06,0.0435,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P61073","CXCR4",1.78,8.68677248225126e-06,0.0443,TRUE,"RNase_ARS","C9ALS_vs_Control"
"P63151;Q00005;Q9Y2T4","PPP2R2A",1.81,8.7790380724745e-06,0.0446,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q8IX12","CCAR1",1.58,9.96063451313502e-06,0.0481,TRUE,"RNase_ARS","C9ALS_vs_Control"
"O95402","MED26",-2.75,1.02019224820917e-05,0.0487,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9UHA3","RSL24D1",2.08,1.01822691689434e-05,0.0487,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q9C0J8","WDR33",-1.41,1.02606589983296e-05,0.0489,TRUE,"RNase_ARS","C9ALS_vs_Control"
"Q07020","RPL18",1.73,1.10907549660659e-05,0.0513,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q92804","TAF15",-2.66,1.11053373899372e-05,0.0513,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P08670;P17661","VIM",1.56,1.39919708269619e-05,0.0639,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9UGN5","PARP2",2.52,1.56307365676915e-05,0.0707,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9P2Y4","ZNF219",-2.46,1.93593661161427e-05,0.0848,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P40429;Q6NVV1","RPL13A",1.23,2.34358301188442e-05,0.0986,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9BZE4","GTPBP4",1.34,2.38183874474162e-05,0.0999,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9P2R6","RERE",2.24,2.56193838758444e-05,0.105,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q12830","BPTF",-2.06,2.71653217488451e-05,0.11,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P09012","SNRPA",-1.61,2.86040236793497e-05,0.114,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P78362;Q9UPE1","SRPK2",1.16,3.2538751801471e-05,0.125,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NQT5","EXOSC3",1.56,3.37806921593737e-05,0.128,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9P0L0","VAPA",2.6,3.78017995384856e-05,0.137,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P56192","MARS",1.57,3.89411781585306e-05,0.14,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q13148","TARDBP",-1.15,4.06380464099926e-05,0.143,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9BX66","SORBS1",1.96,4.2061522113853e-05,0.146,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q5T5P2","KIAA1217",-2.63,4.46618514567636e-05,0.152,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P59923","ZNF445",-1.57,4.86886620767961e-05,0.159,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P61313","RPL15",1.29,4.90979238691672e-05,0.16,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O95758","PTBP3",-1.76,4.94356861378179e-05,0.161,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q15424","SAFB",-1.53,5.19382811910181e-05,0.165,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P62424","RPL7A",1.6,5.23750479060819e-05,0.166,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P49207","RPL34",1.56,5.3301822355984e-05,0.167,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8N7H5","PAF1",-1.16,5.73090640083559e-05,0.174,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8IVW6","ARID3B",-2.4,6.09567994127513e-05,0.18,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NWH9","SLTM",-1.4,6.45998321300687e-05,0.186,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NYV4;REV__Q05397","CDK12",-1.53,6.99084775508725e-05,0.194,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q15776","ZKSCAN8",1.89,7.15315894339271e-05,0.197,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P02787;CON__Q2HJF0","TF",-2.47,7.31927193162355e-05,0.199,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9ULV4;Q6QEF8","CORO1C",1.39,7.61292739113535e-05,0.203,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q12792","TWF1",-2.1,8.0129771089906e-05,0.208,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O95400","CD2BP2",-1.16,8.23222537731618e-05,0.211,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q92614","MYO18A",1.54,8.43786406839058e-05,0.213,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q96SB3","PPP1R9B",1.67,9.95179424325614e-05,0.232,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8IWR0","ZC3H7A",1.29,0.000102969935011596,0.236,FALSE,"RNase_ARS","C9ALS_vs_Control"
"A5YKK6","CNOT1",1.91,0.000104510512972836,0.238,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P09874","PARP1",-0.909,0.00012652727632044,0.259,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y4I1","MYO5A",1.42,0.000129064393029895,0.262,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P50914","RPL14",1.53,0.000132164702133654,0.264,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O95639","CPSF4",-1.5,0.000135820530194623,0.268,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P83881","RPL36A",1.17,0.000140647410823903,0.272,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9UIV1","CNOT7",1.88,0.000142087642502369,0.273,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q7RTV0","PHF5A",-0.951,0.000145368950786708,0.275,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q86WJ1","CHD1L",1.18,0.000153787959450118,0.282,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O60488","ACSL4",1.57,0.000166692829118811,0.291,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P10645","CHGA",-2.27,0.000169825225961976,0.293,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O75533","SF3B1",-0.953,0.000169660632646076,0.293,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P62888","RPL30",1.98,0.000171336787030741,0.294,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P51608","MECP2",-2.61,0.000175960213930322,0.297,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P61956;Q6EEV6;P55854","SUMO2",-2.21,0.000177831022411294,0.298,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P49458","SRP9",1.45,0.000181254087573021,0.3,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P43243","MATR3",-1.13,0.000183258127121254,0.301,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q02878","RPL6",1.15,0.000182594222550251,0.301,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P62847","RPS24",1.42,0.000185044049278166,0.303,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P36578","RPL4",1.32,0.000191338909833588,0.307,FALSE,"RNase_ARS","C9ALS_vs_Control"
