"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","condition","comparison"
"P17096","HMGA1",-4.42,1.91836023757288e-09,6.17e-10,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"O43264","ZW10",3.6,6.52164757029485e-09,1.14e-07,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q6S8J3;P0CG39;Q9BYX7","POTEE",-2.73,9.32124073622336e-09,3.31e-07,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P25391","LAMA1",-3.25,1.94708019909591e-08,3.8e-06,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q96L73","NSD1",3.02,3.30411995710573e-08,1.61e-05,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q96KR1","ZFR",2.47,3.71177583588447e-08,2.04e-05,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P63261","ACTG1",8.11,5.82245622810087e-08,6.48e-05,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q9BRX9","WDR83",2.53,1.03614031595942e-07,0.000258,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"O43395","PRPF3",3.11,1.32593896225138e-07,0.000417,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q9HCS7","XAB2",2.57,1.94394780541756e-07,0.000883,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q6ZU65","UBN2",2.45,2.26767111885856e-07,0.00114,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P02787;CON__Q2HJF0","TF",-2.77,3.4480427302709e-07,0.00232,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q01844","EWSR1",2.29,3.56561733777401e-07,0.00244,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P01834","IGKC",-2.77,4.61746453937938e-07,0.00352,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q6PJT7","ZC3H14",5.37,4.75873136758704e-07,0.00366,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P05783;CON__Q92764;CON__Q497I4;Q92764;CON__H-INV:HIT000015463","KRT18",-1.79,5.59129902098548e-07,0.00458,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P31431","SDC4",-2.34,6.54494624474091e-07,0.00557,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"O15240","VGF",-3.09,6.93882082483064e-07,0.00595,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q9BZJ0","CRNKL1",4.43,7.49453079495736e-07,0.00647,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"O95631","NTN1",2.87,1.01354140298519e-06,0.01,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P48444","ARCN1",1.73,1.21156818717685e-06,0.0127,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q14624","ITIH4",-3.29,1.3752192233833e-06,0.0148,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"O15020","SPTBN2",3.48,1.82372126357637e-06,0.0205,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P61073","CXCR4",1.89,1.90718480175923e-06,0.0215,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q9BYG3","NIFK",2.1,2.01286431060239e-06,0.0227,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q9Y520","PRRC2C",-2.37,2.25453294043799e-06,0.0255,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q14257","RCN2",3.7,2.53801710449251e-06,0.0285,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P49321","NASP",-2.42,2.96953758076588e-06,0.0327,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"P0DP25;P0DP24;P0DP23;P27482;P02585","P0DP25",1.89,3.41923843289943e-06,0.0365,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q9Y4F1","FARP1",-2,3.44200942115275e-06,0.0367,TRUE,"RNase_CTRL","C9ALS_vs_Control"
"Q5T5P2","KIAA1217",-4.27,3.53676136332128e-06,0.0374,TRUE,"RNase_CTRL","C9ALS_vs_Control"
