"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","tissue","comparison"
"Q9UBI6","GNG12",2.41,6.70822423527948e-06,0.00879,TRUE,"SPC","TP7_vs_TP1"
"P22087","FBL",1.28,1.11310847766184e-05,0.00964,TRUE,"SPC","TP7_vs_TP1"
"P12814","ACTN1",1.11,0.000140191874990566,0.113,FALSE,"SPC","TP7_vs_TP1"
"Q14956","GPNMB",2.52,0.000161315030709422,0.12,FALSE,"SPC","TP7_vs_TP1"
"O75061","DNAJC6",-0.717,0.000165986865011505,0.121,FALSE,"SPC","TP7_vs_TP1"
"P60660","MYL6",1.03,0.000183405773257097,0.125,FALSE,"SPC","TP7_vs_TP1"
"P35221","CTNNA1",1.87,0.000194756864610554,0.128,FALSE,"SPC","TP7_vs_TP1"
"P17812","CTPS1",-2.11,0.000237707108886797,0.135,FALSE,"SPC","TP7_vs_TP1"
"P07919;A0A096LP55","UQCRH",1.89,0.00025487711320383,0.137,FALSE,"SPC","TP7_vs_TP1"
"P40855","PEX19",1.87,0.00028338803842864,0.141,FALSE,"SPC","TP7_vs_TP1"
"Q14498","RBM39",0.682,0.000379408064595194,0.165,FALSE,"SPC","TP7_vs_TP1"
"P63151","PPP2R2A",-1.15,0.000384557696462267,0.166,FALSE,"SPC","TP7_vs_TP1"
"P08670;CON__Q9H552","VIM",1.37,0.00064969562649601,0.235,FALSE,"SPC","TP7_vs_TP1"
"P16144","ITGB4",2.72,0.000718058506986966,0.248,FALSE,"SPC","TP7_vs_TP1"
"P13987","CD59",1.06,0.00078690804685119,0.26,FALSE,"SPC","TP7_vs_TP1"
"P27338","MAOB",1.31,0.000796884355601764,0.262,FALSE,"SPC","TP7_vs_TP1"
"P04083","ANXA1",1.88,0.000847314143007846,0.27,FALSE,"SPC","TP7_vs_TP1"
"P53677","AP3M2",-1.46,0.000943252111729215,0.284,FALSE,"SPC","TP7_vs_TP1"
"P04271","S100B",1.29,0.00112030626467123,0.305,FALSE,"SPC","TP7_vs_TP1"
"P55060","CSE1L",-0.693,0.00119175639680048,0.313,FALSE,"SPC","TP7_vs_TP1"
"P63208","SKP1",0.979,0.00125462880984455,0.319,FALSE,"SPC","TP7_vs_TP1"
"Q6PFW1;O43314","PPIP5K1",-1.05,0.00129362981414269,0.322,FALSE,"SPC","TP7_vs_TP1"
"Q15751","HERC1",-1.97,0.00138349077887654,0.33,FALSE,"SPC","TP7_vs_TP1"
"Q8NEY1","NAV1",1.35,0.00142073281773438,0.333,FALSE,"SPC","TP7_vs_TP1"
"O15484","CAPN5",1.75,0.00149896309120642,0.339,FALSE,"SPC","TP7_vs_TP1"
"Q96E17","RAB3C",-1.95,0.00165902856642327,0.352,FALSE,"SPC","TP7_vs_TP1"
"Q2M2I8","AAK1",-0.985,0.00173662834411663,0.358,FALSE,"SPC","TP7_vs_TP1"
"O15061","SYNM",1.34,0.00198489426051191,0.374,FALSE,"SPC","TP7_vs_TP1"
"Q09666","AHNAK",0.937,0.00206698328075667,0.379,FALSE,"SPC","TP7_vs_TP1"
"Q8TBY8","PMFBP1",-2.07,0.00212781993201371,0.382,FALSE,"SPC","TP7_vs_TP1"
"O43837","IDH3B",-0.584,0.00215560846253715,0.383,FALSE,"SPC","TP7_vs_TP1"
"P57737","CORO7",1.05,0.00218631053971388,0.385,FALSE,"SPC","TP7_vs_TP1"
"Q17R89","ARHGAP44",-0.904,0.00245175877474094,0.402,FALSE,"SPC","TP7_vs_TP1"
"Q7Z6Z7","HUWE1",-0.612,0.00258582752245536,0.41,FALSE,"SPC","TP7_vs_TP1"
"P53680","AP2S1",-0.699,0.00266554014874122,0.415,FALSE,"SPC","TP7_vs_TP1"
"P0C0L4;P0C0L5;CON__P01030;CON__ENSEMBL:ENSBTAP00000007350","C4A",1.35,0.00269093232431643,0.416,FALSE,"SPC","TP7_vs_TP1"
"Q8N9I0","SYT2",-1.64,0.0032154330882292,0.441,FALSE,"SPC","TP7_vs_TP1"
"Q13367","AP3B2",-1.26,0.00341085582611427,0.448,FALSE,"SPC","TP7_vs_TP1"
"P52597","HNRNPF",0.593,0.00352578728025771,0.453,FALSE,"SPC","TP7_vs_TP1"
"Q8N5S9","CAMKK1",-1.02,0.00356698549931573,0.454,FALSE,"SPC","TP7_vs_TP1"
"P67936","TPM4",0.997,0.00357846257685311,0.455,FALSE,"SPC","TP7_vs_TP1"
"P02675;CON__P02676","FGB",3.46,0.00383783561274684,0.464,FALSE,"SPC","TP7_vs_TP1"
"P04792","HSPB1",0.52,0.00392109993031778,0.466,FALSE,"SPC","TP7_vs_TP1"
"O00567","NOP56",0.763,0.00406093857210775,0.47,FALSE,"SPC","TP7_vs_TP1"
"Q8TDJ6","DMXL2",-1.04,0.00408252040522812,0.471,FALSE,"SPC","TP7_vs_TP1"
"P61764","STXBP1",-0.535,0.00413207325770506,0.473,FALSE,"SPC","TP7_vs_TP1"
"A5YM72","CARNS1",-0.743,0.00418693849690112,0.474,FALSE,"SPC","TP7_vs_TP1"
"P07355;A6NMY6","ANXA2",1.17,0.0042141384742091,0.475,FALSE,"SPC","TP7_vs_TP1"
"P53396","ACLY",-0.706,0.00427105685304775,0.476,FALSE,"SPC","TP7_vs_TP1"
"Q93052","LPP",1.2,0.00438132814222697,0.482,FALSE,"SPC","TP7_vs_TP1"
"P46781","RPS9",0.753,0.00469060266540012,0.498,FALSE,"SPC","TP7_vs_TP1"
"Q14141","SEPT6",-1.31,0.00481270418411297,0.504,FALSE,"SPC","TP7_vs_TP1"
"Q13526;O15428","PIN1",-0.6,0.00488192768664974,0.507,FALSE,"SPC","TP7_vs_TP1"
"Q8NI60","ADCK3",0.703,0.00547388320903258,0.533,FALSE,"SPC","TP7_vs_TP1"
"O60502","MGEA5",-1.27,0.00551060155552783,0.535,FALSE,"SPC","TP7_vs_TP1"
"P35579","MYH9",0.745,0.00562718470823186,0.54,FALSE,"SPC","TP7_vs_TP1"
"P02671","FGA",2.54,0.00572481727569908,0.543,FALSE,"SPC","TP7_vs_TP1"
"Q9UH99","SUN2",1.02,0.00581029781884221,0.547,FALSE,"SPC","TP7_vs_TP1"
"Q9UKU0","ACSL6",-0.621,0.005837248989635,0.548,FALSE,"SPC","TP7_vs_TP1"
"Q9Y3Z3","SAMHD1",0.718,0.00606404030236168,0.556,FALSE,"SPC","TP7_vs_TP1"
"P62280","RPS11",0.83,0.00612969287502777,0.559,FALSE,"SPC","TP7_vs_TP1"
"Q15293","RCN1",0.729,0.0061991241376966,0.561,FALSE,"SPC","TP7_vs_TP1"
"Q13616","CUL1",-0.94,0.00644584732586456,0.57,FALSE,"SPC","TP7_vs_TP1"
"Q96CW1","AP2M1",-0.659,0.0067938313753982,0.581,FALSE,"SPC","TP7_vs_TP1"
"P26373","RPL13",0.651,0.00698843407238623,0.588,FALSE,"SPC","TP7_vs_TP1"
"O00154","ACOT7",-0.749,0.00764136583213201,0.607,FALSE,"SPC","TP7_vs_TP1"
"P46939","UTRN",0.798,0.00763632477777278,0.607,FALSE,"SPC","TP7_vs_TP1"
"O43149","ZZEF1",-1.47,0.00811584262872244,0.619,FALSE,"SPC","TP7_vs_TP1"
"P62917","RPL8",0.684,0.00854579150344301,0.63,FALSE,"SPC","TP7_vs_TP1"
"P05165","PCCA",1.04,0.00880401006962507,0.636,FALSE,"SPC","TP7_vs_TP1"
"P11216","PYGB",-0.432,0.0100407377155497,0.662,FALSE,"SPC","TP7_vs_TP1"
"P04179","SOD2",1.45,0.0102078465869486,0.666,FALSE,"SPC","TP7_vs_TP1"
"P01024","C3",1.75,0.0107879866578151,0.676,FALSE,"SPC","TP7_vs_TP1"
"Q16720","ATP2B3",-0.974,0.0110813786814624,0.681,FALSE,"SPC","TP7_vs_TP1"
"Q92530","PSMF1",-1.94,0.0110576141563567,0.681,FALSE,"SPC","TP7_vs_TP1"
"Q9NR46","SH3GLB2",-0.495,0.0111521368248741,0.682,FALSE,"SPC","TP7_vs_TP1"
"Q92552","MRPS27",1.31,0.0111648378663074,0.683,FALSE,"SPC","TP7_vs_TP1"
"Q14571","ITPR2",0.774,0.0114213102998805,0.687,FALSE,"SPC","TP7_vs_TP1"
"Q9P035","HACD3",-1.16,0.0114733907732822,0.688,FALSE,"SPC","TP7_vs_TP1"
"P55087","AQP4",1.31,0.0116795608243662,0.691,FALSE,"SPC","TP7_vs_TP1"
"P46776","RPL27A",0.591,0.0116991804566392,0.691,FALSE,"SPC","TP7_vs_TP1"
"P36578","RPL4",0.558,0.01211037187588,0.698,FALSE,"SPC","TP7_vs_TP1"
"Q8IWQ3","BRSK2",-1.08,0.0124305775197923,0.702,FALSE,"SPC","TP7_vs_TP1"
"Q05193","DNM1",-0.519,0.0128781743464891,0.709,FALSE,"SPC","TP7_vs_TP1"
"P31321","PRKAR1B",-0.962,0.0130057601056767,0.71,FALSE,"SPC","TP7_vs_TP1"
"Q14123","PDE1C",-1.46,0.0131681551850049,0.712,FALSE,"SPC","TP7_vs_TP1"
"Q14315","FLNC",0.64,0.0131973118960967,0.713,FALSE,"SPC","TP7_vs_TP1"
"P16070","CD44",1.03,0.0135047271674215,0.717,FALSE,"SPC","TP7_vs_TP1"
"P23396","RPS3",1.41,0.0135640911634443,0.718,FALSE,"SPC","TP7_vs_TP1"
"P49802","RGS7",-1.04,0.0142739605967794,0.726,FALSE,"SPC","TP7_vs_TP1"
"P18206","VCL",0.719,0.0142302826247742,0.726,FALSE,"SPC","TP7_vs_TP1"
"P22059;Q969R2","OSBP",-1.28,0.0142917704075619,0.727,FALSE,"SPC","TP7_vs_TP1"
"P50454","SERPINH1",1.32,0.0147775182187674,0.732,FALSE,"SPC","TP7_vs_TP1"
"P23142","FBLN1",1.59,0.0150158231423325,0.735,FALSE,"SPC","TP7_vs_TP1"
"O15530;Q6A1A2","PDPK1",-0.587,0.0153508267569736,0.738,FALSE,"SPC","TP7_vs_TP1"
"Q9BQI7","PSD2",-1.73,0.0155992126806745,0.741,FALSE,"SPC","TP7_vs_TP1"
"Q13557","CAMK2D",0.432,0.0164046153458438,0.749,FALSE,"SPC","TP7_vs_TP1"
"Q13418","ILK",0.568,0.0163658763452571,0.749,FALSE,"SPC","TP7_vs_TP1"
"P55327","TPD52",1.05,0.0163666896412193,0.749,FALSE,"SPC","TP7_vs_TP1"
"Q92777","SYN2",-0.763,0.0166723272584005,0.752,FALSE,"SPC","TP7_vs_TP1"
"P14868","DARS",-0.517,0.0169352698128688,0.754,FALSE,"SPC","TP7_vs_TP1"
"Q8TB37","NUBPL",0.915,0.0170484601834313,0.755,FALSE,"SPC","TP7_vs_TP1"
