"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","tissue","comparison"
"Q2M2I8","AAK1",-0.491,0.0866711597001824,1,FALSE,"CTX","TP7_vs_TP1"
"P49588","AARS",-0.262,0.261104499735163,1,FALSE,"CTX","TP7_vs_TP1"
"Q9BTE6","AARSD1",-0.369,0.520789596378586,1,FALSE,"CTX","TP7_vs_TP1"
"P80404","ABAT",0.914,0.10836135324622,1,FALSE,"CTX","TP7_vs_TP1"
"Q9BZC7","ABCA2",-0.203,0.589360202609909,1,FALSE,"CTX","TP7_vs_TP1"
"P28288","ABCD3",0.161,0.465469694499819,1,FALSE,"CTX","TP7_vs_TP1"
"P61221","ABCE1",-1.01,0.111329557008948,1,FALSE,"CTX","TP7_vs_TP1"
"Q8NE71","ABCF1",-0.225,0.424575044410264,1,FALSE,"CTX","TP7_vs_TP1"
"Q8NFV4","ABHD11",0.802,0.180926813627391,1,FALSE,"CTX","TP7_vs_TP1"
"Q8N2K0","ABHD12",1.57,0.00658229104182424,1,FALSE,"CTX","TP7_vs_TP1"
"Q9NYB9","ABI2",0.17,0.77996054802096,1,FALSE,"CTX","TP7_vs_TP1"
"O14639","ABLIM1",0.452,0.0891536366911889,1,FALSE,"CTX","TP7_vs_TP1"
"Q6H8Q1","ABLIM2",0.0906,0.682173786766299,1,FALSE,"CTX","TP7_vs_TP1"
"Q12979","ABR",0.172,0.582190705544403,1,FALSE,"CTX","TP7_vs_TP1"
"P42765","ACAA2",0.457,0.386138554399484,1,FALSE,"CTX","TP7_vs_TP1"
"Q13085","ACACA",0.34,0.274019976931277,1,FALSE,"CTX","TP7_vs_TP1"
"P45954","ACADSB",-1.11,0.0465724791701146,1,FALSE,"CTX","TP7_vs_TP1"
"P49748","ACADVL",0.581,0.124846994425754,1,FALSE,"CTX","TP7_vs_TP1"
"P24752","ACAT1",0.501,0.154473890396437,1,FALSE,"CTX","TP7_vs_TP1"
"Q9BWD1","ACAT2",-0.297,0.549592877501474,1,FALSE,"CTX","TP7_vs_TP1"
"P53396","ACLY",-0.391,0.34068873026624,1,FALSE,"CTX","TP7_vs_TP1"
"Q99798","ACO2",0.0384,0.901499876487613,1,FALSE,"CTX","TP7_vs_TP1"
"O00154","ACOT7",-0.379,0.341069328355474,1,FALSE,"CTX","TP7_vs_TP1"
"Q9Y305","ACOT9",0.868,0.0485436614657641,1,FALSE,"CTX","TP7_vs_TP1"
"Q96GR2","ACSBG1",0.142,0.725517812320879,1,FALSE,"CTX","TP7_vs_TP1"
"Q96CM8","ACSF2",0.574,0.371466754203737,1,FALSE,"CTX","TP7_vs_TP1"
"Q4G176","ACSF3",0.807,0.175130926663215,1,FALSE,"CTX","TP7_vs_TP1"
"P33121","ACSL1",-0.756,0.130470271056365,1,FALSE,"CTX","TP7_vs_TP1"
"O95573","ACSL3",-0.463,0.178472573857836,1,FALSE,"CTX","TP7_vs_TP1"
"Q9UKU0","ACSL6",-0.292,0.379816745182917,1,FALSE,"CTX","TP7_vs_TP1"
"P62736;P63267","ACTA2",-0.215,0.710773044369473,1,FALSE,"CTX","TP7_vs_TP1"
"P60709;P0CG38;Q9BYX7","ACTB",-0.0595,0.730222269062628,1,FALSE,"CTX","TP7_vs_TP1"
"P68032","ACTC1",-0.437,0.296263071426662,1,FALSE,"CTX","TP7_vs_TP1"
"P63261","ACTG1",-0.785,0.290794059554715,1,FALSE,"CTX","TP7_vs_TP1"
"O94805","ACTL6B",0.254,0.593190675822315,1,FALSE,"CTX","TP7_vs_TP1"
"P12814","ACTN1",0.294,0.240801520158841,1,FALSE,"CTX","TP7_vs_TP1"
"P35609","ACTN2",-0.243,0.676368409899252,1,FALSE,"CTX","TP7_vs_TP1"
"O43707","ACTN4",-0.185,0.49447561441459,1,FALSE,"CTX","TP7_vs_TP1"
"Q9NZ32","ACTR10",-1.1,0.0262807882006701,1,FALSE,"CTX","TP7_vs_TP1"
"P61163","ACTR1A",-0.344,0.174307895573523,1,FALSE,"CTX","TP7_vs_TP1"
"P42025","ACTR1B",-0.5,0.240757606340486,1,FALSE,"CTX","TP7_vs_TP1"
"P61160","ACTR2",-0.352,0.14086517822042,1,FALSE,"CTX","TP7_vs_TP1"
"P61158","ACTR3",-0.02,0.937538469697632,1,FALSE,"CTX","TP7_vs_TP1"
"Q9P1U1;Q9C0K3","ACTR3B",0.738,0.220385259351077,1,FALSE,"CTX","TP7_vs_TP1"
"Q9P0K1","ADAM22",0.558,0.203651660748203,1,FALSE,"CTX","TP7_vs_TP1"
"O75689","ADAP1",-1.01,0.00651537801569149,1,FALSE,"CTX","TP7_vs_TP1"
"P55265","ADAR",-0.3,0.377846756899969,1,FALSE,"CTX","TP7_vs_TP1"
"Q8NI60","ADCK3",0.074,0.867810836864103,1,FALSE,"CTX","TP7_vs_TP1"
"Q08462","ADCY2",0.23,0.590589195866394,1,FALSE,"CTX","TP7_vs_TP1"
"O60503","ADCY9",0.261,0.466605376489752,1,FALSE,"CTX","TP7_vs_TP1"
"P35611","ADD1",-0.148,0.588156426842515,1,FALSE,"CTX","TP7_vs_TP1"
"P35612","ADD2",-0.108,0.638181044789769,1,FALSE,"CTX","TP7_vs_TP1"
"Q9UEY8","ADD3",0.0138,0.969884432888546,1,FALSE,"CTX","TP7_vs_TP1"
"P11766","ADH5",-0.372,0.584261079130348,1,FALSE,"CTX","TP7_vs_TP1"
"P25098;P35626","ADRBK1",-0.826,0.111826481716158,1,FALSE,"CTX","TP7_vs_TP1"
"P30520;Q8N142","ADSS",-1.65,0.00288989895663642,1,FALSE,"CTX","TP7_vs_TP1"
"Q9UPQ3;Q8TF27;A6NIR3","AGAP1",-0.352,0.578907234469597,1,FALSE,"CTX","TP7_vs_TP1"
"Q99490","AGAP2",0.425,0.271693825280878,1,FALSE,"CTX","TP7_vs_TP1"
"Q96P47","AGAP3",-0.118,0.730263245777616,1,FALSE,"CTX","TP7_vs_TP1"
"P52594","AGFG1",-0.345,0.386587189307471,1,FALSE,"CTX","TP7_vs_TP1"
"Q53H12","AGK",1.32,0.114172119926407,1,FALSE,"CTX","TP7_vs_TP1"
"P35573","AGL",0.921,0.0578860915072411,1,FALSE,"CTX","TP7_vs_TP1"
"Q9NRZ5","AGPAT4",-0.859,0.0826958270732301,1,FALSE,"CTX","TP7_vs_TP1"
"O00468","AGRN",-0.015,0.960823951559269,1,FALSE,"CTX","TP7_vs_TP1"
"O43865","AHCYL1",-0.147,0.78471738875603,1,FALSE,"CTX","TP7_vs_TP1"
"Q09666","AHNAK",0.288,0.545007510772499,1,FALSE,"CTX","TP7_vs_TP1"
"Q8IVF2","AHNAK2",0.0171,0.975351644554297,1,FALSE,"CTX","TP7_vs_TP1"
"O95433","AHSA1",0.0356,0.899558360568914,1,FALSE,"CTX","TP7_vs_TP1"
"Q12904","AIMP1",-0.282,0.510901536572941,1,FALSE,"CTX","TP7_vs_TP1"
"O00170","AIP",0.041,0.839267551047006,1,FALSE,"CTX","TP7_vs_TP1"
"Q9UKB5","AJAP1",0.652,0.200440231047456,1,FALSE,"CTX","TP7_vs_TP1"
"P00568","AK1",-0.396,0.261584959899302,1,FALSE,"CTX","TP7_vs_TP1"
"P27144","AK4",-0.0794,0.695776840091697,1,FALSE,"CTX","TP7_vs_TP1"
"Q9Y6K8","AK5",-0.103,0.781389858899828,1,FALSE,"CTX","TP7_vs_TP1"
"Q92667","AKAP1",0.315,0.351702607204344,1,FALSE,"CTX","TP7_vs_TP1"
"O43572","AKAP10",0.169,0.727825769355134,1,FALSE,"CTX","TP7_vs_TP1"
"Q02952","AKAP12",0.465,0.0966699803581277,1,FALSE,"CTX","TP7_vs_TP1"
"P14550","AKR1A1",-1.28,0.00457433279462201,1,FALSE,"CTX","TP7_vs_TP1"
"P15121","AKR1B1",0.0824,0.859354483595807,1,FALSE,"CTX","TP7_vs_TP1"
"Q04828;P17516","AKR1C1",-0.398,0.107095603562467,1,FALSE,"CTX","TP7_vs_TP1"
"P52895","AKR1C2",-0.525,0.268574159771874,1,FALSE,"CTX","TP7_vs_TP1"
"Q9Y243","AKT3",-0.0506,0.870578955112746,1,FALSE,"CTX","TP7_vs_TP1"
"P13716","ALAD",0.561,0.285799717808605,1,FALSE,"CTX","TP7_vs_TP1"
"P54886","ALDH18A1",-0.017,0.97482855524407,1,FALSE,"CTX","TP7_vs_TP1"
"P00352","ALDH1A1",0.172,0.800823633417275,1,FALSE,"CTX","TP7_vs_TP1"
"O75891","ALDH1L1",-0.727,0.300724568536168,1,FALSE,"CTX","TP7_vs_TP1"
"P05091","ALDH2",0.91,0.103836736959346,1,FALSE,"CTX","TP7_vs_TP1"
"P51648","ALDH3A2",-1.24,0.178575346927049,1,FALSE,"CTX","TP7_vs_TP1"
"P51649","ALDH5A1",-0.894,0.214887189894555,1,FALSE,"CTX","TP7_vs_TP1"
"Q02252","ALDH6A1",-0.67,0.0574968992829762,1,FALSE,"CTX","TP7_vs_TP1"
"P49419","ALDH7A1",-0.812,0.328970395721681,1,FALSE,"CTX","TP7_vs_TP1"
"P49189","ALDH9A1",-0.196,0.630988270978035,1,FALSE,"CTX","TP7_vs_TP1"
"P04075","ALDOA",0.258,0.427355656691454,1,FALSE,"CTX","TP7_vs_TP1"
"P09972","ALDOC",0.0742,0.849715154501547,1,FALSE,"CTX","TP7_vs_TP1"
"Q8IY45","AMN1",-0.0732,0.847826111211716,1,FALSE,"CTX","TP7_vs_TP1"
"P49418;Q9UBW5","AMPH",-0.422,0.46056914508248,1,FALSE,"CTX","TP7_vs_TP1"
"P16157","ANK1",0.234,0.518075853284964,1,FALSE,"CTX","TP7_vs_TP1"
"Q01484","ANK2",0.00438,0.980070580366461,1,FALSE,"CTX","TP7_vs_TP1"
"Q12955","ANK3",0.0387,0.856774406951415,1,FALSE,"CTX","TP7_vs_TP1"
"Q9P2R3","ANKFY1",-0.248,0.432575637716109,1,FALSE,"CTX","TP7_vs_TP1"
"Q9P2G1","ANKIB1",0.291,0.490788909959088,1,FALSE,"CTX","TP7_vs_TP1"
"Q8IV38","ANKMY2",0.227,0.421011077930195,1,FALSE,"CTX","TP7_vs_TP1"
"Q8TF21","ANKRD24",-0.541,0.564867990501167,1,FALSE,"CTX","TP7_vs_TP1"
"O15084","ANKRD28",-0.567,0.206530148642675,1,FALSE,"CTX","TP7_vs_TP1"
"Q69YU3","ANKRD34A",0.317,0.357680567824866,1,FALSE,"CTX","TP7_vs_TP1"
"Q7Z6G8","ANKS1B",0.0766,0.88523762078314,1,FALSE,"CTX","TP7_vs_TP1"
"Q9NQW6","ANLN",0.524,0.489687983351136,1,FALSE,"CTX","TP7_vs_TP1"
"P04083","ANXA1",0.572,0.203792577479463,1,FALSE,"CTX","TP7_vs_TP1"
"P07355;A6NMY6","ANXA2",0.05,0.94276788304706,1,FALSE,"CTX","TP7_vs_TP1"
"P08758","ANXA5",0.395,0.449286949146845,1,FALSE,"CTX","TP7_vs_TP1"
"P08133","ANXA6",0.0276,0.953066743271394,1,FALSE,"CTX","TP7_vs_TP1"
"P20073","ANXA7",-0.64,0.359718050655124,1,FALSE,"CTX","TP7_vs_TP1"
"Q10567","AP1B1",-0.917,0.0164309177935145,1,FALSE,"CTX","TP7_vs_TP1"
"O43747","AP1G1",-0.615,0.325031424890812,1,FALSE,"CTX","TP7_vs_TP1"
