drug_name,is_approved,is_anti_neoplastic,is_immunotherapy,avg_degree,max_degree,avg_betweenness,max_betweenness,avg_closeness,avg_eigenvector,avg_page_rank,avg_clustering_coef,num_communities,avg_edge_score,avg_neighbor_connectivity,num_targets,hub_target_ratio,bottleneck_target_ratio,avg_interaction_score,avg_interaction_type,drug_id
&ALPHA;&BETA;-MEATP,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,4,0,0,0.545746488624972,0.75,1
&ALPHA;&BETA;-METHYLENEADP,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,1.633836582904151,-0.3333333333333333,2
&ALPHA;-BUNGAROTOXIN,FALSE,FALSE,FALSE,24,24,3.9293135835516126e-4,3.9293135835516126e-4,0.4562043795620438,0.1760610876182333,0.006301392646076899,0.8787878787878788,2,0.7231666666666666,53.5,4,0,0,1.037777335038964,-1,3
&ALPHA;-CGRP,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.7721716358190367,1,4
&ALPHA;-CONOTOXIN ARIB,FALSE,FALSE,FALSE,24,24,3.9293135835516126e-4,3.9293135835516126e-4,0.4562043795620438,0.1760610876182333,0.006301392646076899,0.8787878787878788,1,0.7231666666666666,53.5,1,0,0,1.810609352954982,-1,5
&ALPHA;-CONOTOXIN AUIB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.591141552596803,-1,6
&ALPHA;-CONOTOXIN GI,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.458546423213736,-1,7
&ALPHA;-CONOTOXIN IMI,FALSE,FALSE,FALSE,24,24,3.9293135835516126e-4,3.9293135835516126e-4,0.4562043795620438,0.1760610876182333,0.006301392646076899,0.8787878787878788,1,0.7231666666666666,53.5,1,0,0,1.810609352954982,-1,8
&ALPHA;-CONOTOXIN MI,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.458546423213736,-1,9
&ALPHA;-CONOTOXIN MII,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,2.4687950280371025,-1,10
"&ALPHA;-CONOTOXIN MII [H9A, L15A]",FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,7.501095891,-1,11
&ALPHA;-CONOTOXIN PIA,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,7.501095891,-1,12
&ALPHA;-CONOTOXIN PNIA,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,3.6795148403801066,-1,13
&ALPHA;-CONOTOXIN RGIA,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,3.333820395713736,-1,14
&ALPHA;-CONOTOXIN TXIA,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,3.6795148403801066,-1,15
&ALPHA;-CONOTOXIN-GIC,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,3.6795148403801066,-1,16
