drug_name,repurposing_score,avg_degree,avg_betweenness,hub_target_ratio,num_targets,is_approved,is_anti_neoplastic,rank,confidence
NULL,1,37.21739130434783,0.027212977747412742,0.004070556309362279,1474,FALSE,FALSE,1,high
CONTUSUGENE LADENOVEC,0.3959801616953202,92,0.10150708577025484,2,1,FALSE,FALSE,2,low
TOFERSEN,0.3903105828117894,96,0.2232243254956716,1,2,TRUE,FALSE,3,low
OBLIMERSEN,0.3557772982402578,68,0.057872007813804076,2,1,FALSE,TRUE,4,low
IT-139,0.3400168934468939,94,0.186940392391121,1,1,FALSE,FALSE,5,low
STROBOPININ,0.3400168934468939,94,0.186940392391121,1,1,FALSE,FALSE,5,low
PAC1,0.33004085925676624,62,0.04681536518514334,2,1,FALSE,FALSE,7,low
DOXYCYCLINE ANHYDROUS,0.3002809997985473,96,0.2232243254956716,0.041666666666666664,24,TRUE,TRUE,8,low
FLUOROURACIL,0.29727103417116424,93,0.14422373908068792,0.016666666666666666,120,TRUE,TRUE,9,low
AUTOLOGOUS DENDRITIC CELLS TRANSDUCED WITH WILD-TYPE P53 ADENOVIRUS VACCINE,0.28671708710253796,92,0.10150708577025484,1,1,FALSE,TRUE,10,low
MDM2 INHIBITOR AMGMDS3,0.28671708710253796,92,0.10150708577025484,1,1,FALSE,TRUE,10,low
OXYTETRACYCLINE ANHYDROUS,0.2866145784129648,96,0.2232243254956716,0.047619047619047616,21,TRUE,FALSE,12,low
TETRACYCLINE,0.28593729057967776,96,0.2232243254956716,0.05263157894736842,19,TRUE,FALSE,13,low
RUTHENIUM-BASED TRANSFERRIN TARGETING AGENT NKP-1339,0.2797991595109401,94,0.186940392391121,0.5,2,FALSE,FALSE,14,low
EPRENETAPOPT,0.274900979993154,92,0.10150708577025484,1,2,FALSE,FALSE,15,low
SIREMADLIN,0.274900979993154,92,0.10150708577025484,1,2,FALSE,FALSE,15,low
(R)-INDOPROFEN,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
ACEQUINOCYL,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
ALT-801,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
ATRACTYLENOLIDE I,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
BENOMYL,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL1241268,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL1702181,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL1801219,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL259422,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL407501,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL545900,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL600347,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHEMBL:CHEMBL602922,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
COTI-2,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
IL-27 SUBUNIT &ALPHA;,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
LONTUCIREV,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
N6-BENZYLADENOSINE,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
P53 Y220C MUTANT REACTIVATOR PC14586,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
PHA-680632,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
SAR-405838,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
TEPRASIRAN,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
THIOUREIDOBUTYRONITRILE,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
TRANSFERRIN RECEPTOR-TARGETED LIPOSOMAL P53 CDNA,0.27425726616289536,92,0.10150708577025484,1,1,FALSE,FALSE,17,low
CHLORQUINALDOL,0.2714222315210887,94,0.186940392391121,0.25,4,TRUE,FALSE,40,low
NORGESTREL,0.26256608455390384,94,0.186940392391121,0.16666666666666666,6,TRUE,FALSE,41,low
CHEMBL:CHEMBL524376,0.26015572408579457,94,0.186940392391121,0.3333333333333333,3,FALSE,FALSE,42,low
METHOTREXATE,0.2582996065288094,92,0.10150708577025484,0.008928571428571428,112,TRUE,TRUE,43,low
CHEMBL:CHEMBL480626,0.2506558632883511,94,0.186940392391121,0.25,4,FALSE,FALSE,44,low
THAPSIGARGIN,0.2506558632883511,94,0.186940392391121,0.25,4,FALSE,FALSE,44,low
4-METHYLDAPHNETIN,0.24521343234198845,94,0.186940392391121,0.2,5,FALSE,FALSE,46,low
NPPB,0.2380153566678324,94,0.186940392391121,0.125,8,FALSE,FALSE,47,low
DAPHNETIN,0.23696847472680732,94,0.186940392391121,0.1111111111111111,9,FALSE,FALSE,48,low
CHEMBL:CHEMBL67535,0.23628731504504105,94,0.186940392391121,0.05263157894736842,19,FALSE,FALSE,49,low
MIANSERIN,0.23628731504504105,94,0.186940392391121,0.05263157894736842,19,FALSE,FALSE,49,low
AG 490,0.2355573863391247,94,0.186940392391121,0.0625,16,FALSE,FALSE,51,low
EUPAFOLIN,0.2355573863391247,94,0.186940392391121,0.0625,16,FALSE,FALSE,51,low
BENZALKONIUM CHLORIDE,0.23480590045967908,92,0.10150708577025484,0.5,2,TRUE,FALSE,53,low
GLUTARAL,0.23480590045967908,92,0.10150708577025484,0.5,2,TRUE,FALSE,53,low
DUSQUETIDE,0.23367567851475582,80,0.06069642777593448,1,1,FALSE,FALSE,55,low
ALEMTUZUMAB,0.2276222859741761,92,0.10150708577025484,0.3333333333333333,3,TRUE,TRUE,56,low
BENDAMUSTINE,0.2276222859741761,92,0.10150708577025484,0.3333333333333333,3,TRUE,TRUE,56,low
IRINOTECAN HYDROCHLORIDE,0.22760292673177968,92,0.10150708577025484,0.015873015873015872,63,TRUE,TRUE,58,low
CYCLOPHOSPHAMIDE ANHYDROUS,0.22755181385444279,92,0.10150708577025484,0.012048192771084338,83,TRUE,FALSE,59,low
HDM2 INHIBITOR MK-8242,0.22649935316658404,92,0.10150708577025484,0.5,2,FALSE,TRUE,60,low
PAZOPANIB,0.22455091874021904,92,0.10150708577025484,0.017241379310344827,58,TRUE,TRUE,61,low
DOXORUBICIN HYDROCHLORIDE,0.22331990412635816,61.5,0.0533972924982014,0.019867549668874173,151,TRUE,TRUE,62,low
CAPECITABINE,0.22273425019195023,92,0.10150708577025484,0.01818181818181818,55,TRUE,TRUE,63,low
AMINOLEVULINIC ACID,0.2215945817681904,68,0.057872007813804076,1,1,FALSE,FALSE,64,low
BCL-2 INHIBITOR BCL201,0.2215945817681904,68,0.057872007813804076,1,1,FALSE,FALSE,64,low
BEAUVERICIN,0.2215945817681904,68,0.057872007813804076,1,1,FALSE,FALSE,64,low
DOLASTATIN 10,0.2215945817681904,68,0.057872007813804076,1,1,FALSE,FALSE,64,low
MICELLAR PACLITAXEL,0.2215945817681904,68,0.057872007813804076,1,1,FALSE,FALSE,64,low
MUC-1 ANTIGEN,0.2215945817681904,68,0.057872007813804076,1,1,FALSE,FALSE,64,low
SR8278,0.2215945817681904,68,0.057872007813804076,1,1,FALSE,FALSE,64,low
PALBOCICLIB,0.21914296438041514,92,0.10150708577025484,0.02040816326530612,49,TRUE,TRUE,71,low
SUNITINIB,0.21914296438041514,92,0.10150708577025484,0.02040816326530612,49,TRUE,TRUE,71,low
MERCAPTOPURINE,0.21678892156828306,92,0.10150708577025484,0.022222222222222223,45,TRUE,TRUE,73,low
OLAPARIB,0.21678892156828306,92,0.10150708577025484,0.022222222222222223,45,TRUE,TRUE,73,low
IDASANUTLIN,0.2153269598874587,92,0.10150708577025484,0.5,4,FALSE,FALSE,75,low
OBINUTUZUMAB,0.21516246503453357,92,0.10150708577025484,0.3333333333333333,3,TRUE,FALSE,76,low
(Z)-PIPLARTINE,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
ALRIZOMADLIN,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
APG115,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
BLZ945,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
BRIGIMADLIN,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CAULIBUGULONE D,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHEMBL:CHEMBL1346468,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHEMBL:CHEMBL16685,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHEMBL:CHEMBL195350,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHEMBL:CHEMBL582715,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHEMBL:CHEMBL599088,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHEMBL:CHEMBL99408,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHIR-124,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CHK1 INHIBITOR GDC-0575,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
CYAZOFAMID,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
DENDRITIC CELL VACCINE,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
EZABENLIMAB,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
GDC-0425,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
GSK2830371,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
"L-744,832",0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
MDM2 ANTAGONIST RO6839921,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
NAPABUCASIN,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
NEBULARINE,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
NUTLIN-3,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
PRODIGIOSIN,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
RHODOMYRTOXIN B,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
SERDEMETAN,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
TEBUFENPYRAD,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
TRIACETYLRESVERATROL,0.2140395322269415,92,0.10150708577025484,0.5,2,FALSE,FALSE,77,low
AZACITIDINE,0.2139084715712468,92,0.10150708577025484,0.025,40,TRUE,TRUE,106,low
CISPLATIN,0.21310571382972962,54.4,0.05181886401965929,0.02054794520547945,146,TRUE,TRUE,107,low
AZATHIOPRINE,0.2127812056153775,92,0.10150708577025484,0.02631578947368421,38,TRUE,TRUE,108,low
SELINEXOR,0.21267999423036998,92,0.10150708577025484,0.2,5,TRUE,TRUE,109,low
VEMURAFENIB,0.21222406567952315,92,0.10150708577025484,0.02702702702702703,37,TRUE,TRUE,110,low
CAMPTOTHECIN,0.2111246270468553,92,0.10150708577025484,0.02857142857142857,35,TRUE,TRUE,111,low
PEMBROLIZUMAB,0.2111246270468553,92,0.10150708577025484,0.02857142857142857,35,TRUE,TRUE,111,low
TRABECTEDIN,0.20926627820954777,92,0.10150708577025484,0.16666666666666666,6,TRUE,TRUE,113,low
NIVOLUMAB,0.20848569073143094,92,0.10150708577025484,0.03333333333333333,30,TRUE,TRUE,114,low
"1,4-DICHLOROBENZENE",0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
AC-DEVD-CHO,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
AZ10417808,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
CHEMBL:CHEMBL560532,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
KOBOPHENOL A,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
PETCM,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
PHATHALIMIDE,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
TELEOCIDIN B,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
Z-DEVD-FMK,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
Z-DQMD-FMK,0.2083179637243414,62,0.04681536518514334,1,1,FALSE,FALSE,115,low
RALOXIFENE HYDROCHLORIDE,0.20727717445652816,92,0.10150708577025484,0.02,50,TRUE,FALSE,125,low
PRAMLINTIDE,0.20701182786046296,92,0.10150708577025484,0.14285714285714285,7,TRUE,TRUE,126,low
CRIZOTINIB,0.20700537477966413,92,0.10150708577025484,0.037037037037037035,27,TRUE,TRUE,127,low
PF-04217903,0.20685591774143852,92,0.10150708577025484,0.3333333333333333,3,FALSE,TRUE,128,low
REBEMADLIN,0.20685591774143852,92,0.10150708577025484,0.3333333333333333,3,FALSE,TRUE,128,low
RO-5045337,0.20685591774143852,92,0.10150708577025484,0.3333333333333333,3,FALSE,TRUE,128,low
RESVERATROL,0.20668314344077257,92,0.10150708577025484,0.02040816326530612,49,TRUE,FALSE,131,low
DECITABINE,0.2065350553874859,92,0.10150708577025484,0.038461538461538464,26,TRUE,TRUE,132,low
MITOMYCIN,0.20607860755035412,92,0.10150708577025484,0.04,25,TRUE,TRUE,133,low
TOPOTECAN HYDROCHLORIDE,0.20607860755035412,92,0.10150708577025484,0.04,25,TRUE,TRUE,133,low
DOXORUBICIN LIPOSOME,0.2056626042370901,92,0.10150708577025484,0.25,4,TRUE,FALSE,135,low
FURAZOLIDONE,0.2056626042370901,92,0.10150708577025484,0.25,4,TRUE,FALSE,135,low
PIRTOBRUTINIB,0.2056626042370901,92,0.10150708577025484,0.25,4,TRUE,FALSE,135,low
SULCONAZOLE NITRATE,0.2056626042370901,92,0.10150708577025484,0.25,4,TRUE,FALSE,135,low
TRIFLURIDINE,0.2056626042370901,92,0.10150708577025484,0.25,4,TRUE,FALSE,135,low
ZANUBRUTINIB,0.2056626042370901,92,0.10150708577025484,0.25,4,TRUE,FALSE,135,low
FULVESTRANT,0.20563776521264954,92,0.10150708577025484,0.041666666666666664,24,TRUE,TRUE,141,low
AXITINIB,0.20481140912611878,92,0.10150708577025484,0.045454545454545456,22,TRUE,TRUE,142,low
CABOZANTINIB S-MALATE,0.20481140912611878,92,0.10150708577025484,0.045454545454545456,22,TRUE,TRUE,142,low
MELPHALAN,0.20481140912611878,92,0.10150708577025484,0.045454545454545456,22,TRUE,TRUE,142,low
