gene,degree,avg_score,degree_norm,score_norm
ALYREF,32,0.6609375,0.8,0.6619303955933901
ANXA11,2,0.409,0.05,0.40961442163244866
APAF1,12,0.6603333333333333,0.3,0.6613253213153063
BCL2,16,0.814625,0.4,0.8158487731597397
BID,6,0.8213333333333334,0.15,0.8225671841094977
CAT,2,0.626,0.05,0.6269404106159239
DCTN2,4,0.47050000000000003,0.1,0.471206810215323
DERL1,4,0.8175,0.1,0.8187280921382074
DNAH6,2,0.633,0.05,0.6339509263895844
DNALI1,2,0.633,0.05,0.6339509263895844
EIF2AK3,8,0.8160000000000001,0.2,0.8172258387581373
ERBB4,10,0.775,0.25,0.7761642463695544
FUS,26,0.6598461538461539,0.65,0.6608374099610955
GPX8,10,0.5742,0.25,0.5750625938908364
GRIA1,6,0.6156666666666667,0.15,0.6165915539976632
HNRNPA2B1,20,0.6479,0.5,0.6488733099649475
HSPA5,40,0.5661,1,0.5669504256384578
MAP2K6,2,0.418,0.05,0.4186279419128693
NDUFB1,4,0.982,0.1,0.9834752128192289
NDUFS6,4,0.9984999999999999,0.1,1
NEFH,16,0.742125,0.4,0.7432398597896847
NEFL,18,0.6756666666666666,0.45,0.6766816892004673
NEFM,10,0.8022,0.25,0.8034051076614923
NRG1,6,0.8256666666666667,0.15,0.8269070272074779
NRG3,4,0.9675,0.1,0.968953430145218
NUP107,30,0.867,0.75,0.8683024536805208
NUP153,32,0.85375,0.8,0.8550325488232349
NUP155,30,0.8564666666666667,0.75,0.8577532966115842
NUP160,30,0.8564666666666667,0.75,0.8577532966115842
NUP188,30,0.8353333333333334,0.75,0.8365882156568186
NUP205,30,0.8518666666666667,0.75,0.8531463862460358
NUP210,30,0.8418666666666667,0.75,0.8431313637122351
NUP37,30,0.8538,0.75,0.855082623935904
NUP43,30,0.8707333333333334,0.75,0.8720413954264731
NUP50,30,0.8267333333333333,0.75,0.82797529627775
NUP62,32,0.8664375,0.8,0.8677391086629945
NXT2,4,0.7835,0.1,0.784677015523285
OPTN,16,0.59475,0.4,0.5956434651977968
PFN1,10,0.5578,0.25,0.5586379569354031
PRPH,6,0.9033333333333333,0.15,0.9046903688866633
PSMA4,10,0.7824,0.25,0.7835753630445669
PSMB3,8,0.90025,0.2,0.9016024036054081
PSMB6,8,0.87075,0.2,0.8720580871306961
PSMC5,8,0.974,0.2,0.9754631947921883
SEC13,32,0.8281875,0.8,0.8294316474712068
SLC1A2,10,0.5326,0.25,0.5334001001502253
SPG11,8,0.54075,0.2,0.5415623435152729
SRSF3,34,0.5808823529411765,0.85,0.5817549854193055
SRSF7,32,0.5724375,0.8,0.5732974461692539
TP53,34,0.6454705882352941,0.85,0.6464402486082065
UQCR10,4,0.9824999999999999,0.1,0.9839759639459189
WIPI1,4,0.703,0.1,0.7040560841261893
XBP1,12,0.7585,0.3,0.7596394591887832
