gene,degree,avg_score,degree_norm,score_norm
ACTG1,10,0.7484,0.10416666666666667,0.761448457660824
ALYREF,46,0.6499130434782608,0.4791666666666667,0.6612443674107079
ANXA11,4,0.6645,0.041666666666666664,0.6760856495398418
ANXA7,6,0.604,0.0625,0.6145308236599917
APAF1,24,0.6674166666666667,0.25,0.679053168693829
ATF4,24,0.7231666666666666,0.25,0.7357751776657571
ATF6,34,0.6974117647058824,0.3541666666666667,0.7095712354219772
ATG14,26,0.8690769230769231,0.2708333333333333,0.8842293996065443
BCL2,68,0.7228235294117648,0.7083333333333334,0.7354260577652881
BCL2L1,52,0.6181538461538462,0.5416666666666666,0.6289314440819782
BID,10,0.858,0.10416666666666667,0.8729593488415113
CASP3,62,0.6570967741935484,0.6458333333333334,0.6685533474660346
CAT,6,0.7236666666666667,0.0625,0.7362838952350121
COX6A1,46,0.7744782608695652,0.4791666666666667,0.787981396620748
COX6B1,48,0.8946666666666666,0.5,0.9102653039202083
CYC1,52,0.8886538461538461,0.5416666666666666,0.9041476490489115
DAXX,12,0.6813333333333333,0.125,0.6932124743714255
DCTN2,16,0.550625,0.16666666666666666,0.5602252231420247
DDIT3,42,0.6802857142857143,0.4375,0.6921465899406055
DERL1,14,0.6447142857142857,0.14583333333333334,0.6559549685850383
DNAH1,10,0.7386,0.10416666666666667,0.7514775933034269
DNAH11,6,0.6066666666666667,0.0625,0.6172439840293514
DNAH14,10,0.658,0.10416666666666667,0.6694723211395274
DNAH6,10,0.6086,0.10416666666666667,0.6192110252971373
DNAH7,10,0.6812,0.10416666666666667,0.6930768163529575
DNALI1,10,0.658,0.10416666666666667,0.6694723211395274
EIF2AK3,28,0.7296428571428571,0.2916666666666667,0.7423642814199166
ERBB4,12,0.7136666666666667,0.125,0.7261095438499129
ERN1,32,0.742875,0.3333333333333333,0.7558271285205568
FUS,38,0.6530526315789473,0.3958333333333333,0.664438694664794
GABARAPL1,36,0.7504444444444445,0.375,0.7635285472773333
GABARAPL2,38,0.7405263157894737,0.3958333333333333,0.7534374946755039
GLE1,44,0.7886818181818182,0.4583333333333333,0.8024325949220736
GPX7,22,0.6288181818181818,0.22916666666666666,0.6397817139157379
GPX8,20,0.6367,0.20833333333333334,0.6478009526892661
GRIA1,8,0.7115,0.08333333333333333,0.7239051010498081
GRIA2,10,0.6542,0.10416666666666667,0.6656060676131896
HDAC6,28,0.5387857142857143,0.2916666666666667,0.5481795178414519
HNRNPA2B1,30,0.6216,0.3125,0.6324376820977663
HSPA5,94,0.619468085106383,0.9791666666666666,0.6302685969726877
ITPR3,28,0.6063571428571428,0.2916666666666667,0.6169290636293364
KLC4,10,0.7792,0.10416666666666667,0.7927854599269296
MAP2K6,6,0.7969999999999999,0.0625,0.8108958053924061
MAP3K5,44,0.6635909090909091,0.4583333333333333,0.6751607085048328
MAPK12,22,0.7666363636363637,0.22916666666666666,0.7800027748231051
MCU,6,0.6726666666666666,0.0625,0.6843947031710061
NDUFA1,44,0.9186363636363636,0.4583333333333333,0.9346529158766128
NDUFA10,46,0.8844347826086957,0.4791666666666667,0.8998550255464692
NDUFA12,44,0.9828636363636364,0.4583333333333333,1
NDUFA2,48,0.92475,0.5,0.9408731443370485
NDUFA3,44,0.9055,0.4583333333333333,0.9212875179207325
NDUFA4,50,0.876,0.5208333333333334,0.8912731813346899
NDUFA4L2,40,0.71475,0.4166666666666667,0.7272117652499653
NDUFA9,48,0.9120833333333334,0.5,0.9279856325825895
NDUFB1,38,0.9529473684210527,0.3958333333333333,0.9695621377821374
NDUFB10,48,0.90825,0.5,0.9240854645516348
NDUFB2,40,0.9208000000000001,0.4166666666666667,0.9368542755399344
NDUFB3,46,0.9090434782608695,0.4791666666666667,0.9248927772158871
NDUFS1,50,0.88408,0.5208333333333334,0.89949405725385
NDUFS6,44,0.96559090909090906,0.4583333333333333,0.9824261203348286
NEFH,22,0.777090909090909,0.22916666666666666,0.7906395967257087
NEFL,26,0.7348461538461538,0.2708333333333333,0.7476582983219434
NEFM,18,0.7788888888888889,0.1875,0.7924689245505043
NRG1,8,0.7285,0.08333333333333333,0.7412014984044767
NRG3,4,0.9675,0.041666666666666664,0.9843684965083476
NUP107,42,0.9014761904761904,0.4375,0.9171935527205378
NUP153,44,0.8885909090909091,0.4583333333333333,0.9040836146695648
NUP155,42,0.8964285714285715,0.4375,0.9120579277356783
NUP160,44,0.8691363636363636,0.4583333333333333,0.8842898765203717
NUP188,42,0.8678095238095238,0.4375,0.8829399030573706
NUP205,42,0.888,0.4375,0.9034824029968089
NUP210,42,0.8694761904761905,0.4375,0.8846356282882205
NUP35,46,0.8559130434782609,0.4791666666666667,0.8708360059437515
NUP37,42,0.8795238095238095,0.4375,0.8948584289656296
NUP43,42,0.8933809523809524,0.4375,0.9089571730278385
NUP50,42,0.8543333333333333,0.4375,0.8692287533336416
NUP54,44,0.8782727272727273,0.4583333333333333,0.8935855339222125
NUP62,46,0.8799130434782608,0.4791666666666667,0.8952544492679896
NUP85,44,0.8737727272727273,0.4583333333333333,0.8890070757989178
NUP88,42,0.9038095238095238,0.4375,0.9195675680437277
NUP98,44,0.8976363636363637,0.4583333333333333,0.9132867779679046
NXT2,10,0.6718,0.10416666666666667,0.6835129260509641
OPTN,52,0.7025,0.5416666666666666,0.7147481848032188
PFN1,20,0.588,0.20833333333333334,0.5982518614438329
PIK3C3,36,0.7848888888888889,0.375,0.7985735353815638
PIK3R4,24,0.8224166666666667,0.25,0.8367556151628667
