drug_name,network_score,n_targets,avg_degree,avg_strength,target_genes
ME-344,0.7635925060473883,14,0.46875,0.9200324296804557,NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA9;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFS1;NDUFS6
METFORMIN HYDROCHLORIDE,0.7635925060473883,14,0.46875,0.9200324296804557,NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA9;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFS1;NDUFS6
NV-128,0.7635925060473883,14,0.46875,0.9200324296804557,NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA9;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFS1;NDUFS6
BORTEZOMIB,0.6791449220378005,14,0.39880952380952384,0.8454341488959377,BCL2;DDIT3;PSMA2;PSMA4;PSMB3;PSMB5;PSMB6;PSMC3;PSMC4;PSMC5;PSMD11;PSMD14;PSMD8;TP53
IXAZOMIB,0.6336390292535596,12,0.3697916666666667,0.8673754530697696,PSMA2;PSMA4;PSMB3;PSMB5;PSMB6;PSMC3;PSMC4;PSMC5;PSMD11;PSMD14;PSMD8;TP53
CARFILZOMIB,0.5879102653662831,11,0.3162878787878788,0.8875040649690328,PSMA2;PSMA4;PSMB3;PSMB5;PSMB6;PSMC3;PSMC4;PSMC5;PSMD11;PSMD14;PSMD8
IXAZOMIB CITRATE,0.5879102653662831,11,0.3162878787878788,0.8875040649690328,PSMA2;PSMA4;PSMB3;PSMB5;PSMB6;PSMC3;PSMC4;PSMC5;PSMD11;PSMD14;PSMD8
OPROZOMIB,0.5879102653662831,11,0.3162878787878788,0.8875040649690328,PSMA2;PSMA4;PSMB3;PSMB5;PSMB6;PSMC3;PSMC4;PSMC5;PSMD11;PSMD14;PSMD8
PACLITAXEL,0.483079582678879,8,0.3828125,0.6913913488487651,BCL2;CASP3;DDIT3;NRG1;NRG3;TP53;TUBB;TUBB1
CISPLATIN,0.481413431573303,5,0.5666666666666667,0.6966576431508558,BCL2;CASP3;DDIT3;NRG1;TP53
