drug_name,network_score,n_targets,avg_degree,avg_strength,target_genes
BORTEZOMIB,0.4588875636123012,6,0.35,0.8324980117234676,BCL2;PSMA4;PSMB3;PSMB6;PSMC5;TP53
ERLOTINIB,0.4328197450293705,4,0.5125,0.7793126577120584,ERBB4;NRG1;NUP62;TP53
IXAZOMIB,0.4189030526485728,5,0.34,0.8358278594362132,PSMA4;PSMB3;PSMB6;PSMC5;TP53
CARBOPLATIN,0.3850031265304395,4,0.375,0.8145373697801606,BCL2;NRG1;NRG3;TP53
PACLITAXEL,0.3850031265304395,4,0.375,0.8145373697801606,BCL2;NRG1;NRG3;TP53
FLUOROURACIL,0.38058919256175383,2,0.925,0.6066953371233321,HSPA5;TP53
DOXORUBICIN HYDROCHLORIDE,0.35711102837575354,3,0.5166666666666666,0.7078714476944175,APAF1;BCL2;TP53
CISPLATIN,0.35234124469104944,3,0.4666666666666667,0.7630653496584747,BCL2;NRG1;TP53
AFATINIB,0.34283787489264034,3,0.4,0.8236034607466756,ERBB4;NRG1;NUP62
CARFILZOMIB,0.33604374248272456,4,0.21250000000000002,0.8831747621432149,PSMA4;PSMB3;PSMB6;PSMC5
IXAZOMIB CITRATE,0.33604374248272456,4,0.21250000000000002,0.8831747621432149,PSMA4;PSMB3;PSMB6;PSMC5
OPROZOMIB,0.33604374248272456,4,0.21250000000000002,0.8831747621432149,PSMA4;PSMB3;PSMB6;PSMC5
CETUXIMAB,0.3285080703389647,3,0.36666666666666664,0.8141002353203007,NRG1;NRG3;TP53
PANITUMUMAB,0.3285080703389647,3,0.36666666666666664,0.8141002353203007,NRG1;NRG3;TP53
TENIPOSIDE,0.3214675133879628,2,0.575,0.8219120347187449,BCL2;NUP50
DIETHYLSTILBESTROL,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
DOCETAXEL ANHYDROUS,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
EPIRUBICIN,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
ETOPOSIDE,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
FAS LIGAND,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
GOSSYPOL,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
MASOPROCOL,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
METHYLPREDNISOLONE,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
MITOXANTRONE,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
NAVITOCLAX,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
OXALIPLATIN,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
RIBAVIRIN,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
SAPONIN,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
URSODIOL,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
VENETOCLAX,0.31845830508561546,2,0.625,0.7311445108839731,BCL2;TP53
GEFITINIB,0.30716144151489216,2,0.525,0.8219516775162745,ERBB4;NUP62
CHEMBL:CHEMBL1494650,0.29878093576227477,2,0.575,0.7030398538984948,TP53;XBP1
PIMOZIDE,0.29878093576227477,2,0.575,0.7030398538984948,TP53;XBP1
CLOMIPRAMINE,0.2958004211640636,2,0.55,0.7249226781348495,NEFM;TP53
NORTRIPTYLINE,0.2958004211640636,2,0.55,0.7249226781348495,NEFM;TP53
ACALABRUTINIB,0.2932009823802128,2,0.55,0.7113022474888804,ERBB4;TP53
IBRUTINIB,0.2932009823802128,2,0.55,0.7113022474888804,ERBB4;TP53
TRETINOIN,0.2912048681402541,2,0.525,0.7383430915604177,BCL2;FUS
BENZETHONIUM CHLORIDE,0.2893993827984997,2,0.575,0.6538827849617563,APAF1;TP53
CHEMBL:CHEMBL429095,0.2893993827984997,2,0.575,0.6538827849617563,APAF1;TP53
CHEMBL:CHEMBL601757,0.2893993827984997,2,0.575,0.6538827849617563,APAF1;TP53
METHYLBENZETHONIUM CHLORIDE,0.2893993827984997,2,0.575,0.6538827849617563,APAF1;TP53
CYTARABINE,0.2837294365908939,2,0.5,0.7366736379078422,NRG1;TP53
GEMCITABINE,0.2837294365908939,2,0.5,0.7366736379078422,NRG1;TP53
GENISTEIN,0.2837294365908939,2,0.5,0.7366736379078422,NRG1;TP53
MPA,0.2837294365908939,2,0.5,0.7366736379078422,NRG1;TP53
RECOMBINANT VASCULAR ENDOTHELIAL GROWTH FACTOR,0.2837294365908939,2,0.5,0.7366736379078422,NRG1;TP53
RITUXIMAB,0.2837294365908939,2,0.5,0.7366736379078422,NRG1;TP53
TAMOXIFEN,0.2837294365908939,2,0.5,0.7366736379078422,NRG1;TP53
MARIZOMIB,0.28354905166606786,3,0.21666666666666667,0.8524119512602237,PSMA4;PSMB3;PSMB6
HALOPERIDOL DECANOATE,0.26366024009792866,2,0.5,0.6315159013029348,GRIA1;TP53
VALPROIC ACID,0.2505352479339672,2,0.35,0.7877441161742614,BCL2;XBP1
VINCRISTINE,0.23548374876258635,2,0.275,0.8213779001836088,BCL2;NRG1
DABRAFENIB,0.2304560730589921,2,0.45,0.5325340952605379,MAP2K6;TP53
MIRDAMETINIB,0.2304560730589921,2,0.45,0.5325340952605379,MAP2K6;TP53
SELUMETINIB,0.2304560730589921,2,0.45,0.5325340952605379,MAP2K6;TP53
SORAFENIB,0.2304560730589921,2,0.45,0.5325340952605379,MAP2K6;TP53
TRAMETINIB DIMETHYL SULFOXIDE,0.2304560730589921,2,0.45,0.5325340952605379,MAP2K6;TP53
BEVACIZUMAB-AWWB,0.229595964637865,2,0.45,0.5280273351203275,ANXA11;TP53
ME-344,0.21789891173231174,2,0.1,0.9917376064096144,NDUFB1;NDUFS6
METFORMIN HYDROCHLORIDE,0.21789891173231174,2,0.1,0.9917376064096144,NDUFB1;NDUFS6
NV-128,0.21789891173231174,2,0.1,0.9917376064096144,NDUFB1;NDUFS6
LAPATINIB,0.2102264260571837,2,0.2,0.8015356367885161,ERBB4;NRG1
