Gene_Symbol,spinal_mRNA_logFC,spinal_protein_logFC,spinal_discordance,cortex_mRNA_logFC,cortex_protein_logFC,cortex_discordance,present_in_spinal,present_in_cortex
ANPEP,,,,-0.716036016,1.34215957937253,2.05819559537253,False,True
CD34,,,,-0.58100211,0.750762979783421,1.331765089783421,False,True
CFB,,,,-0.719478434,4.06859908829273,4.78807752229273,False,True
COL5A3,,,,-0.539311753,0.793891819909402,1.333203572909402,False,True
CRABP2,,,,-0.608482687,0.834621427163004,1.4431041141630039,False,True
DBT,-0.526381766704514,0.635,1.161381766704514,,,,True,False
FCHSD1,,,,-0.761246891,0.630639382651835,1.391886273651835,False,True
GCN1L1,-1.2153902614825516,0.816,2.031390261482552,,,,True,False
GGT5,,,,-0.828589388,0.579237004376168,1.407826392376168,False,True
GPX3,,,,-0.565355294,1.57816152329276,2.1435168172927597,False,True
GSTM1,,,,-1.123332413,0.831663337235122,1.9549957502351218,False,True
HLA-C,,,,-0.515720146,2.19717408125903,2.71289422725903,False,True
ICAM1,,,,-0.772206695,1.16799295946168,1.9401996544616802,False,True
IGF2BP2,,,,-0.531589213,1.28669590047554,1.81828511347554,False,True
ILK,-0.9864346912134614,0.568,1.5544346912134612,,,,True,False
IMPA1,-1.2371653372121636,0.983,2.220165337212164,,,,True,False
ITGB3,,,,-0.645456563,0.827120556320854,1.4725771193208539,False,True
ITIH4,,,,-0.821538668,2.70330779100424,3.52484645900424,False,True
MBP,-0.637581585852928,0.545,1.182581585852928,,,,True,False
MDK,,,,-0.758288499,0.662624272997355,1.4209127719973549,False,True
MPZ,-0.6008132125544459,0.635,1.235813212554446,-1.097919836,6.22683964412018,7.32475948012018,True,True
MX1,-0.5185801058281277,1.0,1.5185801058281276,,,,True,False
MYL6,-1.3408547068531969,1.03,2.370854706853197,,,,True,False
NCAM1,-0.6435494967024082,0.513,1.156549496702408,,,,True,False
PEA15,-0.5065236272088377,0.7,1.2065236272088375,,,,True,False
PODN,,,,-0.587698425,0.509559860252131,1.0972582852521309,False,True
PPP6C,-0.7506707554028589,0.511,1.261670755402859,,,,True,False
PRPH,-1.607186878198301,0.573,2.1801868781983007,,,,True,False
SAA2,,,,-0.546823768,1.91100195158824,2.45782571958824,False,True
SFPQ,-0.538350820052613,1.01,1.548350820052613,,,,True,False
SVIL,,,,-0.507617849,0.516026439521038,1.023644288521038,False,True
THNSL2,,,,-0.715554031,1.14406325077796,1.8596172817779602,False,True
TNXB,,,,-0.582369966,1.13511804065303,1.71748800665303,False,True
TYMP,,,,-0.539496184,1.82815019864087,2.36764638264087,False,True
VTN,,,,-0.686425038,3.0675129831501,3.7539380211500997,False,True
