Gene_Symbol,protein_logFC,protein_adjPval
AAK1,-0.491,1
AARS,-0.262,1
AARSD1,-0.369,1
ABAT,0.914,1
ABCA2,-0.203,1
ABCD3,0.161,1
ABCE1,-1.01,1
ABCF1,-0.225,1
ABHD11,0.802,1
ABHD12,1.57,1
ABI2,0.17,1
ABLIM1,0.452,1
ABLIM2,0.0906,1
ABR,0.172,1
ACAA2,0.457,1
ACACA,0.34,1
ACADSB,-1.11,1
ACADVL,0.581,1
ACAT1,0.501,1
ACAT2,-0.297,1
ACLY,-0.391,1
ACO2,0.0384,1
ACOT7,-0.379,1
ACOT9,0.868,1
ACSBG1,0.142,1
ACSF2,0.574,1
ACSF3,0.807,1
ACSL1,-0.756,1
ACSL3,-0.463,1
ACSL6,-0.292,1
ACTA2,-0.215,1
ACTB,-0.0595,1
ACTC1,-0.437,1
ACTG1,-0.785,1
ACTL6B,0.254,1
ACTN1,0.294,1
ACTN2,-0.243,1
ACTN4,-0.185,1
ACTR10,-1.1,1
ACTR1A,-0.344,1
ACTR1B,-0.5,1
ACTR2,-0.352,1
ACTR3,-0.02,1
ACTR3B,0.738,1
ADAM22,0.558,1
ADAP1,-1.01,1
ADAR,-0.3,1
ADCK3,0.074,1
ADCY2,0.23,1
ADCY9,0.261,1
ADD1,-0.148,1
ADD2,-0.108,1
ADD3,0.0138,1
ADH5,-0.372,1
ADRBK1,-0.826,1
ADSS,-1.65,1
AGAP1,-0.352,1
AGAP2,0.425,1
AGAP3,-0.118,1
AGFG1,-0.345,1
AGK,1.32,1
AGL,0.921,1
AGPAT4,-0.859,1
AGRN,-0.015,1
AHCYL1,-0.147,1
AHNAK,0.288,1
AHNAK2,0.0171,1
AHSA1,0.0356,1
AIMP1,-0.282,1
AIP,0.041,1
AJAP1,0.652,1
AK1,-0.396,1
AK4,-0.0794,1
AK5,-0.103,1
AKAP1,0.315,1
AKAP10,0.169,1
AKAP12,0.465,1
AKR1A1,-1.28,1
AKR1B1,0.0824,1
AKR1C1,-0.398,1
AKR1C2,-0.525,1
AKT3,-0.0506,1
ALAD,0.561,1
ALDH18A1,-0.017,1
ALDH1A1,0.172,1
ALDH1L1,-0.727,1
ALDH2,0.91,1
ALDH3A2,-1.24,1
ALDH5A1,-0.894,1
ALDH6A1,-0.67,1
ALDH7A1,-0.812,1
ALDH9A1,-0.196,1
ALDOA,0.258,1
ALDOC,0.0742,1
AMN1,-0.0732,1
AMPH,-0.422,1
ANK1,0.234,1
ANK2,0.00438,1
ANK3,0.0387,1
ANKFY1,-0.248,1
ANKIB1,0.291,1
ANKMY2,0.227,1
ANKRD24,-0.541,1
ANKRD28,-0.567,1
ANKRD34A,0.317,1
ANKS1B,0.0766,1
ANLN,0.524,1
ANXA1,0.572,1
ANXA2,0.05,1
ANXA5,0.395,1
ANXA6,0.0276,1
ANXA7,-0.64,1
AP1B1,-0.917,1
AP1G1,-0.615,1
AP1M1,-0.447,1
AP2A1,-0.135,1
AP2A2,0.000569,1
AP2B1,-0.268,1
AP2M1,-0.303,1
AP2S1,-0.665,1
AP3B2,-0.678,1
AP3D1,-0.286,1
AP3M2,-0.475,1
APBA1,0.189,1
APBA2,0.793,1
APC,0.543,1
APOL2,0.361,1
APPL1,-1.02,1
APPL2,-0.326,1
AQP1,-1.1,1
AQP4,1.95,1
ARCN1,-0.296,1
ARF1,0.0897,1
ARF4,-0.175,1
ARF5,-0.455,1
ARF6,-0.0808,1
ARFGAP1,0.199,1
ARFGEF2,0.282,1
ARFGEF3,0.184,1
ARHGAP1,0.153,1
ARHGAP21,0.37,1
ARHGAP26,-0.801,1
ARHGAP32,0.199,1
ARHGAP35,0.133,1
ARHGAP39,0.122,1
ARHGAP44,0.0464,1
ARHGDIA,-0.121,1
ARHGEF11,-0.546,1
ARHGEF12,0.127,1
ARHGEF2,-0.074,1
ARHGEF4,-0.176,1
ARHGEF6,0.1,1
ARHGEF7,0.0539,1
ARL1,-0.438,1
ARL3,-0.585,1
ARL6,0.142,1
ARL8B,-0.312,1
ARMC1,-1.03,1
ARMC10,-0.536,1
ARMC6,-0.044,1
ARMC8,0.177,1
ARPC1A,-0.158,1
ARPC2,-0.191,1
ARPC4,-0.772,1
ARPC5L,-0.472,1
ARVCF,0.352,1
ASAP1,-0.0652,1
ASMTL,-0.268,1
ASNA1,-0.356,1
ASNS,0.0483,1
ASTN1,0.489,1
ATAD1,0.0248,1
ATAD3A,-0.519,1
ATAT1,-0.0358,1
ATCAY,-0.389,1
ATG2B,-0.657,1
ATG3,-0.361,1
ATG4B,-0.976,1
ATG5,0.232,1
ATIC,-0.757,1
ATL1,-0.49,1
ATL3,0.237,1
ATP1A1,0.461,1
ATP1A2,0.553,1
ATP1A3,0.504,1
ATP1B1,0.635,1
ATP1B2,0.16,1
ATP2A2,-0.0226,1
ATP2B1,0.105,1
ATP2B2,0.576,1
ATP2B3,0.334,1
ATP2B4,0.873,1
ATP2C1,-1.66,1
ATP5A1,0.235,1
ATP5B,0.455,1
ATP5C1,0.0123,1
ATP5F1,0.632,1
ATP5H,0.695,1
ATP5I,0.355,1
ATP5J2,0.859,1
ATP5L,1.06,1
ATP5O,0.42,1
ATP6V0A1,-0.237,1
ATP6V0C,-1.03,1
ATP6V0D1,0.0486,1
ATP6V0D2,-0.721,1
ATP6V1A,-0.158,1
ATP6V1B2,-0.351,1
ATP6V1C1,-0.35,1
ATP6V1D,-0.48,1
ATP6V1E1,-0.071,1
ATP6V1F,0.507,1
ATP6V1G1,-0.26,1
ATP6V1G2,-0.479,1
ATP6V1H,-0.18,1
ATP8A1,-0.143,1
ATPAF1,0.0856,1
ATXN10,0.286,1
AVL9,-0.393,1
BABAM1,0.33,1
