Gene_Symbol,protein_logFC,protein_adjPval
GNG12,2.41,0.00879
FBL,1.28,0.00964
ACTN1,1.11,0.113
GPNMB,2.52,0.12
DNAJC6,-0.717,0.121
MYL6,1.03,0.125
CTNNA1,1.87,0.128
CTPS1,-2.11,0.135
UQCRH,1.89,0.137
PEX19,1.87,0.141
RBM39,0.682,0.165
PPP2R2A,-1.15,0.166
VIM,1.37,0.235
ITGB4,2.72,0.248
CD59,1.06,0.26
MAOB,1.31,0.262
ANXA1,1.88,0.27
AP3M2,-1.46,0.284
S100B,1.29,0.305
CSE1L,-0.693,0.313
SKP1,0.979,0.319
PPIP5K1,-1.05,0.322
HERC1,-1.97,0.33
NAV1,1.35,0.333
CAPN5,1.75,0.339
RAB3C,-1.95,0.352
AAK1,-0.985,0.358
SYNM,1.34,0.374
AHNAK,0.937,0.379
PMFBP1,-2.07,0.382
IDH3B,-0.584,0.383
CORO7,1.05,0.385
ARHGAP44,-0.904,0.402
HUWE1,-0.612,0.41
AP2S1,-0.699,0.415
C4A,1.35,0.416
SYT2,-1.64,0.441
AP3B2,-1.26,0.448
HNRNPF,0.593,0.453
CAMKK1,-1.02,0.454
TPM4,0.997,0.455
FGB,3.46,0.464
HSPB1,0.52,0.466
NOP56,0.763,0.47
DMXL2,-1.04,0.471
STXBP1,-0.535,0.473
CARNS1,-0.743,0.474
ANXA2,1.17,0.475
ACLY,-0.706,0.476
LPP,1.2,0.482
RPS9,0.753,0.498
SEPT6,-1.31,0.504
PIN1,-0.6,0.507
ADCK3,0.703,0.533
MGEA5,-1.27,0.535
MYH9,0.745,0.54
FGA,2.54,0.543
SUN2,1.02,0.547
ACSL6,-0.621,0.548
SAMHD1,0.718,0.556
RPS11,0.83,0.559
RCN1,0.729,0.561
CUL1,-0.94,0.57
AP2M1,-0.659,0.581
RPL13,0.651,0.588
ACOT7,-0.749,0.607
UTRN,0.798,0.607
ZZEF1,-1.47,0.619
RPL8,0.684,0.63
PCCA,1.04,0.636
PYGB,-0.432,0.662
SOD2,1.45,0.666
C3,1.75,0.676
ATP2B3,-0.974,0.681
PSMF1,-1.94,0.681
SH3GLB2,-0.495,0.682
MRPS27,1.31,0.683
ITPR2,0.774,0.687
HACD3,-1.16,0.688
AQP4,1.31,0.691
RPL27A,0.591,0.691
RPL4,0.558,0.698
BRSK2,-1.08,0.702
DNM1,-0.519,0.709
PRKAR1B,-0.962,0.71
PDE1C,-1.46,0.712
FLNC,0.64,0.713
CD44,1.03,0.717
RPS3,1.41,0.718
RGS7,-1.04,0.726
VCL,0.719,0.726
OSBP,-1.28,0.727
SERPINH1,1.32,0.732
FBLN1,1.59,0.735
PDPK1,-0.587,0.738
PSD2,-1.73,0.741
CAMK2D,0.432,0.749
ILK,0.568,0.749
TPD52,1.05,0.749
SYN2,-0.763,0.752
DARS,-0.517,0.754
