Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
MPZ,-1.097919836,3.02e-08,1.27,1,2.367919836,discordant_LOW
RHOT2,-0.586929881,0.000472178,0.374,1,0.960929881,ambiguous
H2AFV,0.274008922,0.000929038,-0.121,1,-0.395008922,ambiguous
OGFRL1,0.446038765,0.001647542,-0.108,1,-0.554038765,ambiguous
NAP1L1,0.340809432,0.00177093,-0.544,1,-0.8848094320000001,ambiguous
SPIRE1,0.223050633,0.00220252,0.268,1,0.04494936700000002,ambiguous
RABGAP1,0.210929973,0.002324784,-1.08,1,-1.2909299730000001,ambiguous
DBT,0.257016339,0.002685153,0.058,1,-0.199016339,ambiguous
ALDH3A2,0.335068997,0.002772596,-1.24,1,-1.575068997,ambiguous
SORT1,0.395667745,0.003243947,0.662,1,0.266332255,ambiguous
RDH13,-0.467256224,0.00333777,-0.197,1,0.270256224,ambiguous
ARVCF,-0.384795498,0.004081209,0.352,1,0.736795498,ambiguous
HNRNPC,0.268257354,0.004258611,0.338,1,0.06974264600000002,ambiguous
PTGES3,0.407998295,0.004723815,-0.535,1,-0.942998295,ambiguous
VAT1L,-0.570712588,0.005071033,-0.101,1,0.46971258800000004,ambiguous
PPP1R9A,0.292949867,0.0052331,0.767,1,0.47405013300000004,ambiguous
LAMA5,-0.736074534,0.005421194,0.0146,1,0.750674534,ambiguous
ACADVL,-0.338216799,0.005853328,0.581,1,0.919216799,ambiguous
IPO7,0.316713846,0.006266458,-0.489,1,-0.805713846,ambiguous
HSP90AA1,0.560078636,0.006416967,-0.72,1,-1.2800786359999998,discordant_HIGH
CRK,0.216696694,0.006495505,-0.512,1,-0.728696694,ambiguous
PEX5L,0.357244902,0.00671477,-0.292,1,-0.649244902,ambiguous
DDAH1,0.296902182,0.007052534,-0.158,1,-0.454902182,ambiguous
PURA,0.254376728,0.007052534,-0.307,1,-0.5613767279999999,ambiguous
MRI1,-0.370912653,0.007312193,0.0474,1,0.418312653,ambiguous
GNAQ,0.273219709,0.007638408,-0.277,1,-0.5502197090000001,ambiguous
RANBP2,0.249361101,0.008156048,-0.567,1,-0.8163611009999999,ambiguous
MX1,-0.3852816,0.008637571,-0.468,1,-0.08271840000000003,ambiguous
EIF4G2,0.243219137,0.008652306,-0.869,1,-1.112219137,ambiguous
ITSN2,0.17677506,0.008921985,-0.923,1,-1.09977506,ambiguous
FXR1,0.367374403,0.008921985,-0.159,1,-0.526374403,ambiguous
GNA13,0.436234773,0.009120382,-0.419,1,-0.8552347730000001,ambiguous
MROH1,-0.47496566,0.009556921,-0.0278,1,0.44716566,ambiguous
OGFR,-0.36978516,0.009777335,0.393,1,0.76278516,ambiguous
XPO1,0.316046713,0.00978298,-0.306,1,-0.622046713,ambiguous
ATP2C1,0.244094595,0.010168417,-1.66,1,-1.904094595,ambiguous
GIT2,-0.191133401,0.010168417,0.212,1,0.403133401,ambiguous
SPG7,-0.268056758,0.01047631,0.106,1,0.374056758,ambiguous
MPP5,0.385063433,0.010493913,-0.113,1,-0.498063433,ambiguous
DDX39B,-0.195269338,0.01059976,-0.395,1,-0.19973066200000003,ambiguous
RAB10,0.25814843,0.010606794,0.462,1,0.20385157000000004,ambiguous
