Gene_Symbol,mRNA_logFC,mRNA_adjPval,protein_logFC,protein_adjPval,protein_significant,discordance_score,quadrant
MPZ,-1.097919836,3.02e-08,6.22683964412018,0.0591656954109586,False,7.32475948012018,discordant_LOW
NPEPL1,-0.774506289,3.2e-06,0.194327001968691,0.329934841429806,False,0.968833290968691,ambiguous
GBP4,-0.733307482,9.95e-06,-0.0836933326818494,0.808816756316145,False,0.6496141493181505,ambiguous
POFUT2,-0.584239687,2.5e-05,-0.00827216246192464,0.973636409614281,False,0.5759675245380753,ambiguous
SCUBE1,-1.174946982,4.71e-05,0.0677195722863368,0.913037040579695,False,1.2426665542863369,ambiguous
EXOSC10,-0.405117609,6.95e-05,0.1257463736738,0.590873864782075,False,0.5308639826738,ambiguous
NRP2,-0.810296807,7.02e-05,0.0894117343132113,0.883108713598092,False,0.8997085413132112,ambiguous
IGFALS,-0.997635646,8.59e-05,0.485865152272785,0.429443239091366,False,1.483500798272785,ambiguous
PATJ,-0.343932349,0.000193923,0.0445888922725217,0.928102042074356,False,0.38852124127252174,ambiguous
FCHSD1,-0.761246891,0.00030445,0.630639382651835,0.160598668845326,False,1.391886273651835,discordant_LOW
AIFM2,-0.481997105,0.000319742,0.0456580532541944,0.880181511764321,False,0.5276551582541944,ambiguous
GUF1,0.320781247,0.000330045,-0.0600327682350663,0.744602420420518,False,-0.3808140152350663,ambiguous
IGSF1,-0.913044732,0.000331553,-0.0824919285413248,0.876562935065114,False,0.8305528034586752,ambiguous
RHOT2,-0.586929881,0.000472178,-0.107468313695247,0.581255928921669,False,0.479461567304753,ambiguous
SGSH,-0.606410248,0.000525482,-0.599619121492164,0.208024787627502,False,0.006791126507835976,concordant_down
RRAGD,0.307877362,0.000636059,-0.233601759968487,0.366168368444733,False,-0.541479121968487,ambiguous
ZZEF1,-0.243704836,0.000637329,0.187031174615706,0.127698209928564,False,0.430736010615706,ambiguous
SDS,-0.96480754,0.000678351,-0.277333447819545,0.199975892145085,False,0.687474092180455,ambiguous
RHBDF1,-0.662962942,0.000678351,0.0430398369323743,0.916020955685798,False,0.7060027789323744,ambiguous
CHKB,-0.514448765,0.000680534,0.166602920618821,0.346527718357889,False,0.681051685618821,ambiguous
DOCK6,-0.761485964,0.000730424,0.21067047462025,0.375942833346704,False,0.97215643862025,ambiguous
PRODH,-0.691598913,0.000740426,-1.75724458319356,1.58154519653983e-05,True,-1.06564567019356,concordant_down
P3H1,-0.50715711,0.000954384,0.0974730661500303,0.747278881951435,False,0.6046301761500302,ambiguous
MDK,-0.758288499,0.000964787,0.662624272997355,0.36389000454459,False,1.4209127719973549,discordant_LOW
RIPK1,-0.360646344,0.001226212,0.304957545773054,0.194663457604116,False,0.6656038897730541,ambiguous
PIGG,-0.319116232,0.001303174,-0.169334611141546,0.519358521119413,False,0.149781620858454,ambiguous
HLA-F,-0.7832499,0.001303174,0.224197584374961,0.304406064648878,False,1.007447484374961,ambiguous
USP46,0.307859716,0.001359296,-0.206058319818316,0.317640497427451,False,-0.513918035818316,ambiguous
MRPL19,0.330537588,0.001378959,-0.448428941694284,0.0299361636684348,False,-0.778966529694284,ambiguous
ABCC8,-0.643841827,0.001638743,-0.0841672569383745,0.776712077310284,False,0.5596745700616256,ambiguous
OGFRL1,0.446038765,0.001647542,0.0665302643664116,0.859394597619551,False,-0.37950850063358843,ambiguous
ZHX1,0.351427661,0.001679909,0.039204734116363,0.928291012879148,False,-0.312222926883637,ambiguous
NAP1L1,0.340809432,0.00177093,-0.0296201363250788,0.920651127110711,False,-0.37042956832507884,ambiguous
SZT2,-0.454426818,0.001774878,-0.0945705668561851,0.633496850814896,False,0.3598562511438149,ambiguous
MEGF9,0.27792754,0.001824074,-0.179563506387197,0.63966097802003,False,-0.45749104638719695,ambiguous
RMND5A,0.373302157,0.001984356,0.0067505151687568,0.988678675314876,False,-0.3665516418312432,ambiguous
OVCA2,-0.356065881,0.001995356,-0.0867114768082509,0.717277413215782,False,0.26935440419174905,ambiguous
CROCC,-0.641683724,0.002052129,0.313070878860382,0.375942833346704,False,0.9547546028603819,ambiguous
HDAC6,-0.367149363,0.002183057,-0.154411049426018,0.497516171746729,False,0.212738313573982,ambiguous
SLC25A10,-0.447719309,0.002198103,0.192040752157801,0.528520248239567,False,0.639760061157801,ambiguous
SPIRE1,0.223050633,0.00220252,-0.112284823283595,0.540845456627373,False,-0.335335456283595,ambiguous
CPSF2,0.287248558,0.002220615,0.116369964623223,0.514467871722355,False,-0.170878593376777,ambiguous
TBC1D5,0.192103373,0.002243791,0.210668730160563,0.239922177110232,False,0.018565357160563012,ambiguous
POMT1,-0.378865264,0.002275341,-0.305138520140218,0.290532106649726,False,0.073726743859782,ambiguous
RABGAP1,0.210929973,0.002324784,-0.0639905869458719,0.740880239046979,False,-0.2749205599458719,ambiguous
SLC37A4,-0.335364917,0.002348496,0.186555535895312,0.396075059425824,False,0.521920452895312,ambiguous
MAN2C1,-0.487169202,0.002554628,0.0481047624453161,0.839235983051473,False,0.5352739644453162,ambiguous
TNXB,-0.582369966,0.00256471,1.13511804065303,0.423403900234933,False,1.71748800665303,discordant_LOW
ISYNA1,-0.590564969,0.002648176,0.0618752442040797,0.854938349323069,False,0.6524402132040797,ambiguous
GIMAP5,-0.596719668,0.002661304,0.269670108079094,0.362922689035491,False,0.866389776079094,ambiguous
ECHDC2,-0.510708859,0.002663509,-0.00542230531592214,0.990610415804942,False,0.5052865536840778,ambiguous
DBT,0.257016339,0.002685153,-0.212072242593683,0.298289222793988,False,-0.469088581593683,ambiguous
ALDH3A2,0.335068997,0.002772596,-0.244380772837784,0.392030484464374,False,-0.579449769837784,ambiguous
COG7,-0.288886724,0.002784736,-0.24407279223842,0.0621821340785159,False,0.044813931761579995,ambiguous
MSTO1,-0.404686767,0.003015544,0.0540112019929326,0.788680770932481,False,0.4586979689929326,ambiguous
OSGEP,-0.316892038,0.003064794,0.0916700103416783,0.539830097734115,False,0.4085620483416783,ambiguous
SERBP1,0.262980033,0.003108108,0.342165210405673,0.310059345564056,False,0.07918517740567299,ambiguous
GPATCH8,-0.244328955,0.003181955,0.00566004200442372,0.98525117250114,False,0.2499889970044237,ambiguous
COQ6,-0.230016963,0.003214304,-0.313042502847337,0.159080327754196,False,-0.08302553984733699,ambiguous
SORT1,0.395667745,0.003243947,0.103151433991183,0.73656243840525,False,-0.29251631100881703,ambiguous
SNRNP70,-0.473421835,0.003252174,0.288153346923776,0.211934690153621,False,0.7615751819237759,ambiguous
SLC13A5,-0.765378593,0.003265645,-0.821320884205759,0.0981966300398084,False,-0.055942291205759,concordant_down
PPIL2,-0.325010332,0.003302481,0.107163595349526,0.628552180542485,False,0.43217392734952603,ambiguous
SEMA6D,0.293985784,0.003302481,-0.260294362847548,0.325549583226323,False,-0.554280146847548,ambiguous
ASL,-0.419888165,0.003323382,-0.171010640376862,0.515153772396808,False,0.24887752462313797,ambiguous
NECTIN2,-0.461790364,0.003323382,0.166008818867773,0.644740310754069,False,0.627799182867773,ambiguous
RDH13,-0.467256224,0.00333777,-0.456207609872066,0.131469156652545,False,0.011048614127934009,ambiguous
PRMT7,-0.324189356,0.003381769,-0.545837763919904,0.00588626069283916,False,-0.22164840791990403,ambiguous
AIDA,0.343597896,0.003397565,0.159573519764997,0.602828954207272,False,-0.184024376235003,ambiguous
SARDH,-0.522842662,0.003397565,-0.405397869356701,0.310059345564056,False,0.11744479264329893,ambiguous
ITIH4,-0.821538668,0.003397565,2.70330779100424,0.00670708566676934,True,3.52484645900424,discordant_LOW
LPA,-0.685436896,0.003397565,0.416158828889947,0.311959421239152,False,1.101595724889947,ambiguous
GOSR2,-0.150217897,0.003875752,0.212805037368844,0.218921060215559,False,0.36302293436884403,ambiguous
FADS3,-0.453739091,0.003913483,0.160875095764951,0.648176627362248,False,0.6146141867649509,ambiguous
MICALL2,-0.727433412,0.004068278,0.316246414991313,0.402523610017871,False,1.043679826991313,ambiguous
RALBP1,0.226291851,0.004075922,-0.105491133363754,0.544708559317761,False,-0.331782984363754,ambiguous
ACHE,-0.592712761,0.004081209,-0.0811327274171667,0.854938349323069,False,0.5115800335828333,ambiguous
CBX5,0.219396408,0.004081209,0.228348530441229,0.310059345564056,False,0.008952122441229005,ambiguous
ARVCF,-0.384795498,0.004081209,-0.331938756929461,0.39154898127397,False,0.052856741070539004,ambiguous
TAOK1,0.278991052,0.004159576,-0.105668480445376,0.317787091649284,False,-0.384659532445376,ambiguous
PTK7,-0.469797352,0.004249614,0.144472498481178,0.725049644012767,False,0.614269850481178,ambiguous
HNRNPC,0.268257354,0.004258611,0.299713234358407,0.205984053734796,False,0.03145588035840702,ambiguous
GALT,-0.382315577,0.004266736,0.305230686005748,0.261114593660241,False,0.6875462630057481,ambiguous
VTN,-0.686425038,0.004368837,3.0675129831501,0.00993218507544738,True,3.7539380211500997,discordant_LOW
COL4A3,-0.693590513,0.004379502,0.03209669890059,0.940691668437264,False,0.7256872119005899,ambiguous
ZNF346,-0.256276214,0.004379502,0.103599762217669,0.66587397108994,False,0.359875976217669,ambiguous
DPH1,-0.384843493,0.00438997,-0.253479278662485,0.180548668939763,False,0.131364214337515,ambiguous
OBSL1,-0.363514386,0.004480317,-0.00390723573686191,0.985142482172054,False,0.3596071502631381,ambiguous
ARHGAP6,-0.5138592,0.004659301,-0.14052653315153,0.654409955496091,False,0.37333266684847,ambiguous
OGFOD3,-0.426402839,0.00466327,0.165538445216504,0.535541571493943,False,0.5919412842165039,ambiguous
IFT172,-0.318764966,0.004666758,0.0331950018043425,0.928102042074356,False,0.35195996780434247,ambiguous
PLCD4,-0.441337596,0.004666758,0.0668838067706146,0.867908984508664,False,0.5082214027706146,ambiguous
PTGES3,0.407998295,0.004723815,-0.0494367870904835,0.829179949559789,False,-0.4574350820904835,ambiguous
METTL3,-0.216374808,0.004891648,0.138181557215326,0.455034185940407,False,0.35455636521532596,ambiguous
CC2D1A,-0.422391208,0.004891648,0.0566142122626641,0.723130108486995,False,0.47900542026266413,ambiguous
VAT1L,-0.570712588,0.005071033,-0.0444435682541329,0.93414763871436,False,0.5262690197458672,ambiguous
PPP1R9A,0.292949867,0.0052331,-0.24614768643981,0.276672305815985,False,-0.5390975534398099,ambiguous
STARD7,0.263291903,0.005249407,-0.248467082000127,0.430040766935756,False,-0.511758985000127,ambiguous
LAMA5,-0.736074534,0.005421194,0.164417285081443,0.832968302831474,False,0.900491819081443,ambiguous
RAB8B,0.351142077,0.005842826,0.233609158595636,0.139536403533928,False,-0.117532918404364,ambiguous
ACADVL,-0.338216799,0.005853328,-0.106775977092918,0.603638083310341,False,0.231440821907082,ambiguous
SELENOO,-0.376212595,0.006015501,-0.03726385068956,0.875142708448497,False,0.33894874431044,ambiguous
CMBL,0.255903701,0.006015501,-0.0248967167609422,0.935236787116354,False,-0.28080041776094217,ambiguous
GGT1,-0.598263308,0.00610586,0.158142011197762,0.675808373795397,False,0.756405319197762,ambiguous
NUP85,-0.278920607,0.006162961,0.202907653263905,0.137047297732065,False,0.481828260263905,ambiguous
UGGT1,0.168839461,0.006162961,0.135167113491599,0.381152164620978,False,-0.03367234750840101,ambiguous
