Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
ABCE1,1.6414587247145833,0.543197318982829,-1.01,0.964,-2.6514587247145833,discordant_HIGH
SEC24C,2.4754275073173932,0.850162098673709,-0.0197,0.985,-2.495127507317393,ambiguous
DTNA,1.2979953178706805,0.0797418410926729,0.346,0.98,-0.9519953178706805,ambiguous
ACTN1,4.116802667450285,0.0886222888094416,1.11,0.113,-3.006802667450285,concordant_up
ADCY2,2.836195242524498,0.361243024570232,0.094,0.982,-2.742195242524498,ambiguous
PLP1,-0.8872016016057886,0.822136144276097,0.464,0.965,1.3512016016057886,ambiguous
TF,-0.733452359609259,0.731924115575384,0.0572,0.984,0.7906523596092591,ambiguous
DARS,0.8657766623501081,0.457884714750817,-0.517,0.754,-1.382776662350108,discordant_HIGH
DPYSL2,-0.4409456593846064,0.822136144276097,-0.184,0.975,0.2569456593846064,ambiguous
DDT,-0.4812497980952051,0.822136144276097,0.159,0.982,0.6402497980952051,ambiguous
NID1,1.4668315125577291,0.958120496431073,0.725,0.942,-0.7418315125577292,concordant_up
ITPR2,1.7869108865656493,0.629504703967775,0.774,0.687,-1.0129108865656493,concordant_up
GPNMB,1.501483436974429,0.128315568394001,2.52,0.12,1.018516563025571,concordant_up
AQP1,1.0642691516267027,0.128315568394001,0.495,0.953,-0.5692691516267027,ambiguous
ATP5F1,2.091696658086654,0.822136144276097,0.194,0.977,-1.8976966580866539,ambiguous
MBP,-0.637581585852928,0.130795472289988,0.545,0.927,1.182581585852928,discordant_LOW
DDX6,-1.594668857397528,0.822136144276097,0.106,0.983,1.7006688573975282,ambiguous
C3,1.3661458674293607,0.821566915114905,1.75,0.676,0.3838541325706393,concordant_up
HLA-A,0.6068637058206864,0.822136144276097,0.557,0.964,-0.04986370582068633,concordant_up
DCTN1,-0.5146269553414535,0.81153661534264,-0.167,0.973,0.3476269553414535,ambiguous
CTNNB1,-0.362489636056382,0.18907045867083,0.424,0.928,0.786489636056382,ambiguous
PEA15,-0.5065236272088377,0.194435042833001,0.7,0.946,1.2065236272088375,discordant_LOW
IMPA1,-1.2371653372121636,0.360902604025038,0.983,0.941,2.2201653372121637,discordant_LOW
DBT,-0.526381766704514,0.836718373747881,0.635,0.959,1.161381766704514,discordant_LOW
FH,-0.43837659807975904,0.690768246411845,-0.703,0.932,-0.2646234019202409,ambiguous
ETFB,-0.4303765564867459,0.982903952866715,0.234,0.982,0.6643765564867459,ambiguous
PHKA1,2.0996818458611566,0.213438370418312,0.641,0.892,-1.4586818458611566,concordant_up
NCL,-0.3681292310947586,0.822136144276097,0.955,0.849,1.3231292310947587,ambiguous
ASAH1,0.8960334571305304,0.225197777790571,0.877,0.961,-0.019033457130530396,concordant_up
CNP,-0.4877685518219824,0.688353101151364,-0.101,0.98,0.38676855182198244,ambiguous
HSP90AA1,-0.4041593855180922,0.876463147796334,-0.353,0.935,0.05115938551809224,ambiguous
PSMB1,0.8942211601289007,0.975682425937169,0.0581,0.985,-0.8361211601289007,ambiguous
PSMC5,-0.42345279316898327,0.822136144276097,-0.0646,0.983,0.3588527931689833,ambiguous
SND1,1.0870537058444163,0.822136144276097,0.35,0.978,-0.7370537058444163,ambiguous
CPT1A,1.3213961635920548,0.654808102240908,-0.543,0.967,-1.8643961635920547,discordant_HIGH
ADK,0.687812172315383,0.822136144276097,0.161,0.978,-0.526812172315383,ambiguous
VIM,1.478724313577315,0.246867829296813,1.37,0.235,-0.10872431357731482,concordant_up
DMD,-0.699490268147912,0.251522136848915,-0.24,0.981,0.45949026814791205,ambiguous
QDPR,-0.414318901902824,0.822136144276097,0.896,0.926,1.310318901902824,ambiguous
SFXN3,1.6963699174574176,0.822136144276097,-0.0477,0.985,-1.7440699174574177,ambiguous
