Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,mRNA_logFC_833,mRNA_logFC_76220,mRNA_adjPval_833,mRNA_adjPval_76220
UBE3A,3.2362925115537187,0.822136144276097,6.44492906652745,0.0276559565799872,1.87636823872509e-06,0.822136144276097
SELL,2.5536884404366806,0.822136144276097,5.66920675609016,-0.561829875216799,8.43749195600042e-05,0.822136144276097
ITGB2,3.9217259209891697,0.0363947801602039,6.72341855022847,1.12003329174987,0.0016173783283579,0.0363947801602039
BMPR1A,1.9171532539773735,0.822136144276097,3.6670779521392,0.167228555815547,0.0071258845275856,0.822136144276097
LGMN,2.9213716486686248,0.706517052962977,5.71122126777379,0.13152202956346,0.0201333445232229,0.706517052962977
SERPINA3,1.578410369501715,0.673456147681913,2.25660148691568,0.90021925208775,0.0331955810277442,0.673456147681913
FABP6,-1.875274157226908,0.873279866828294,-3.88272136894178,0.132173054487964,0.0341706909666646,0.873279866828294
IL13RA1,2.139027811364495,0.0422047819618877,3.67384471709863,0.60421090563036,0.0422047819618877,0.0363947801602039
CHIC1,-0.9436841522041912,0.405437638720438,-1.81316547211199,-0.0742028322963924,0.0422047819618877,0.405437638720438
ABCE1,1.6414587247145833,0.543197318982829,3.38848139737565,-0.105563947946483,0.0439340057138117,0.543197318982829
TNXB,-2.0944275758221833,0.822136144276097,-4.27834314597561,0.0894879943312428,0.0543548167848929,0.822136144276097
PPFIA1,-1.2600733622139646,0.273488326937333,-2.66699817336251,0.146851448934581,0.0629271560703625,0.273488326937333
CBX5,-0.43806593996719856,0.0977949179966104,-1.03895781276032,0.162825932825923,0.063959428059479,0.0977949179966104
PCYT1A,1.071359921180063,0.822136144276097,2.4039988464184,-0.261279004058274,0.0744274521724848,0.822136144276097
SEC24C,2.4754275073173932,0.850162098673709,4.88382091171715,0.0670341029176367,0.0744274521724848,0.850162098673709
DTNA,1.2979953178706805,0.0797418410926729,2.2621951014245,0.333795534316861,0.0744274521724848,0.0797418410926729
CCDC85B,-0.983722668385048,0.181038863116424,-1.39588631901725,-0.571559017752846,0.0817613273888414,0.181038863116424
TAF13,1.4790292567705237,0.870113679545114,2.94224849060435,0.0158100229366975,0.0886155155499571,0.870113679545114
ACTN1,4.116802667450285,0.0886222888094416,5.9952632472874,2.23834208761317,0.0886222888094416,0.052727253137652
BMPR2,-0.9586705115306118,0.978215425727879,-1.91514885206344,-0.0021921709977834,0.0982614571878181,0.978215425727879
ADCY2,2.836195242524498,0.361243024570232,5.47980848941453,0.192581995634466,0.0982614571878181,0.361243024570232
PLP1,-0.8872016016057886,0.822136144276097,-1.86389119754282,0.0894879943312428,0.0982614571878181,0.822136144276097
TF,-0.733452359609259,0.731924115575384,-1.61445575633646,0.147551037117942,0.0982614571878181,0.731924115575384
DARS,0.8657766623501081,0.457884714750817,1.49579308581506,0.235760238885156,0.0982614571878181,0.457884714750817
PPARD,-1.580445191169665,0.451633895920899,-4.34211993751341,1.18122955517408,0.0982614571878181,0.451633895920899
TNC,2.1773778630757703,0.872884634774577,3.99103299770259,0.363722728448951,0.101279641549758,0.872884634774577
ARHGDIB,1.47447304500093,0.173180608596597,1.17136945006913,1.77757663993273,0.106591892417512,0.173180608596597
MAPK6,-0.6726102085267305,0.984177084817103,-1.34695823538175,0.001737818328289,0.106591892417512,0.984177084817103
