Gene_Symbol,direction,mRNA_source,mRNA_logFC_mean,LCM_SMD
UBE3A,UP,GEO_merged,3.2362925115537187,
SELL,UP,GEO_merged,2.5536884404366806,
ITGB2,UP,GEO_merged,3.9217259209891697,
BMPR1A,UP,GEO_merged,1.9171532539773732,
LGMN,UP,GEO_merged,2.9213716486686248,
FABP6,DOWN,GEO_merged,-1.875274157226908,
IL13RA1,UP,GEO_merged,2.139027811364495,
CHIC1,DOWN,GEO_merged,-0.9436841522041912,
ABCE1,UP,GEO_merged,1.641458724714583,
TNXB,DOWN,GEO_merged,-2.0944275758221838,
PPFIA1,DOWN,GEO_merged,-1.2600733622139646,
CBX5,DOWN,GEO_merged,-0.4380659399671985,
PCYT1A,UP,GEO_merged,1.071359921180063,
SEC24C,UP,GEO_merged,2.475427507317393,
TAF13,UP,GEO_merged,1.4790292567705237,
ACTN1,UP,GEO_merged,4.116802667450285,
BMPR2,DOWN,GEO_merged,-0.9586705115306118,
ADCY2,UP,GEO_merged,2.836195242524498,
PLP1,DOWN,GEO_merged,-0.8872016016057886,
TF,DOWN,GEO_merged,-0.733452359609259,
DARS,UP,GEO_merged,0.8657766623501081,
PPARD,DOWN,GEO_merged,-1.580445191169665,
TNC,UP,GEO_merged,2.1773778630757703,
ARHGDIB,UP,GEO_merged,1.47447304500093,
MAPK6,DOWN,GEO_merged,-0.6726102085267305,
CALCOCO2,DOWN,GEO_merged,-0.448925195665807,
CARTPT,UP,GEO_merged,0.088739122080412,
DPYSL2,DOWN,GEO_merged,-0.4409456593846064,
MT1E,UP,GEO_merged,1.0048868715664945,
CFDP1,UP,GEO_merged,2.432358317665015,
CFI,UP,GEO_merged,2.446468726000985,
DDT,DOWN,GEO_merged,-0.4812497980952051,
COX7C,DOWN,GEO_merged,-0.3781121114959262,
SUPT6H,UP,GEO_merged,1.276777243086917,
GLRA1,DOWN,GEO_merged,-1.625665874846853,
RNASE1,DOWN,GEO_merged,-0.95452573263367,
NID1,UP,GEO_merged,1.4668315125577291,
ITPR2,UP,GEO_merged,1.7869108865656491,
SIRPA,UP,GEO_merged,1.842983347492154,
ATP5F1,UP,GEO_merged,2.091696658086654,
PRG4,DOWN,GEO_merged,-1.1820650596981614,
MBP,DOWN,GEO_merged,-0.637581585852928,
KLF3,UP,GEO_merged,1.536405923040438,
GPKOW,UP,GEO_merged,1.7349574246721144,
DDX6,DOWN,GEO_merged,-1.594668857397528,
CEP57,UP,GEO_merged,2.0286926422907614,
LGALS3,UP,GEO_merged,0.8827431316381413,
CPM,UP,GEO_merged,1.9583100810062064,
LHFPL2,UP,GEO_merged,2.3569599179017637,
GRIA1,UP,GEO_merged,2.7232978507699,
AHR,UP,GEO_merged,1.1682227848773306,
RRAGB,UP,GEO_merged,0.7198960525476046,
HLA-A,UP,GEO_merged,0.6068637058206864,
UBB,DOWN,GEO_merged,-0.4473336280782637,
CTSC,UP,GEO_merged,2.236718088146501,
TP53,UP,GEO_merged,1.717191812218557,
ARFIP1,DOWN,GEO_merged,-0.425358856049749,
DCTN1,DOWN,GEO_merged,-0.5146269553414535,
CTNNB1,DOWN,GEO_merged,-0.362489636056382,
ATP13A3,UP,GEO_merged,1.3242728500647052,
PSME3,DOWN,GEO_merged,-0.9785432011292968,
PNN,DOWN,GEO_merged,-0.592470023899304,
GSTZ1,DOWN,GEO_merged,-0.5227518339675213,
CD74,UP,GEO_merged,2.2528011133037253,
CALB1,DOWN,GEO_merged,-0.7126144136782275,
FCGR2A,DOWN,GEO_merged,-0.9377643838626952,
ITGAV,UP,GEO_merged,1.5484250220194615,
PEA15,DOWN,GEO_merged,-0.5065236272088377,
GPSM2,DOWN,GEO_merged,-1.8156103567891693,
CCNB1,DOWN,GEO_merged,-2.11375126568378,
RELN,DOWN,GEO_merged,-0.08950562929778,
NCBP2,UP,GEO_merged,1.6091519585961505,
CHKA,UP,GEO_merged,1.84985696586874,
FBXO21,DOWN,GEO_merged,-1.6932446838661015,
IMPA1,DOWN,GEO_merged,-1.2371653372121636,
FCER1G,UP,GEO_merged,3.2115096196675,
UBE2A,UP,GEO_merged,0.6139521659524645,
DBT,DOWN,GEO_merged,-0.526381766704514,
FH,DOWN,GEO_merged,-0.438376598079759,
FOXO4,UP,GEO_merged,2.733967188350829,
PUM2,UP,GEO_merged,1.7244666106180877,
ETFB,DOWN,GEO_merged,-0.4303765564867459,
HLA-DPA1,UP,GEO_merged,1.65932473333624,
PHKA1,UP,GEO_merged,2.0996818458611566,
OPCML,DOWN,GEO_merged,-1.3537802287630645,
PDLIM1,DOWN,GEO_merged,-0.600159883135265,
PDCD2,DOWN,GEO_merged,-0.59259214673106,
NCL,DOWN,GEO_merged,-0.3681292310947586,
ASAH1,UP,GEO_merged,0.8960334571305304,
FDFT1,DOWN,GEO_merged,-0.7950048602449741,
SF3B3,DOWN,GEO_merged,-1.888221915621338,
PGGT1B,DOWN,GEO_merged,-0.9358163263817676,
CNP,DOWN,GEO_merged,-0.4877685518219824,
MAP3K5,UP,GEO_merged,1.3587391248082483,
HSP90AA1,DOWN,GEO_merged,-0.4041593855180922,
MED12,UP,GEO_merged,2.071165984007293,
CREM,DOWN,GEO_merged,-0.958196091420349,
RAD23A,UP,GEO_merged,0.5186701573895125,
PSMB1,UP,GEO_merged,0.8942211601289007,
PLOD2,UP,GEO_merged,1.434394038356695,
NAAA,DOWN,GEO_merged,-0.606942016328053,
CDO1,DOWN,GEO_merged,-0.3804630454062225,
TRAK1,UP,GEO_merged,1.8809621885980523,
PSMC5,DOWN,GEO_merged,-0.4234527931689832,
IDS,DOWN,GEO_merged,-1.5909434417433597,
CPT1A,UP,GEO_merged,1.3213961635920548,
ADK,UP,GEO_merged,0.687812172315383,
FAM3C,UP,GEO_merged,1.4393753646017688,
VIM,UP,GEO_merged,1.478724313577315,
DMD,DOWN,GEO_merged,-0.699490268147912,
RER1,UP,GEO_merged,0.8242660637665264,
XRCC4,DOWN,GEO_merged,-0.9714875541921142,
DHX38,DOWN,GEO_merged,-0.5333829471382667,
NUP88,UP,GEO_merged,1.601911012347704,
SLC39A9,DOWN,GEO_merged,-0.9957565618040536,
IQCB1,UP,GEO_merged,1.6571715760594383,
TACR2,DOWN,GEO_merged,-1.009268990513536,
ZFP36L2,UP,GEO_merged,3.503556815481895,
ALCAM,DOWN,GEO_merged,-0.2986809416654337,
RARA,UP,GEO_merged,1.8642256696629715,
ATR,DOWN,GEO_merged,-1.2261138743626718,
APOC1,UP,GEO_merged,1.317532084717465,
PSMB2,UP,GEO_merged,0.3910152751024742,
ST6GAL1,UP,GEO_merged,1.7600513997482163,
KCNJ10,DOWN,GEO_merged,-1.710681186597849,
QDPR,DOWN,GEO_merged,-0.414318901902824,
SFXN3,UP,GEO_merged,1.6963699174574176,
PIK3R3,DOWN,GEO_merged,-0.5253017000385856,
GABRA1,UP,GEO_merged,0.2000919866144299,
HLA-DRA,UP,GEO_merged,1.586732096929435,
NUBP1,DOWN,GEO_merged,-1.2968342567484976,
TAX1BP1,DOWN,GEO_merged,-0.3937201439886487,
GFAP,DOWN,GEO_merged,-0.177674581390852,
ENO2,DOWN,GEO_merged,-0.6333376044532635,
PRDX3,UP,GEO_merged,1.3537457027229445,
GNAQ,DOWN,GEO_merged,-1.4381058549572538,
SLC25A16,DOWN,GEO_merged,-0.847198462508837,
IGFBP5,UP,GEO_merged,1.0342697238119816,
