Gene_Symbol,logFC,adjPval,tissue,omic,direction
UBE3A,3.2362925115537187,1.87636823872509e-06,spinal_cord,mRNA,UP
SELL,2.5536884404366806,8.43749195600042e-05,spinal_cord,mRNA,UP
ITGB2,3.9217259209891697,0.0016173783283579,spinal_cord,mRNA,UP
BMPR1A,1.9171532539773732,0.0071258845275856,spinal_cord,mRNA,UP
LGMN,2.9213716486686248,0.0201333445232229,spinal_cord,mRNA,UP
SERPINA3,1.578410369501715,0.0331955810277442,spinal_cord,mRNA,UP
FABP6,-1.875274157226908,0.0341706909666646,spinal_cord,mRNA,DOWN
IL13RA1,2.139027811364495,0.0363947801602039,spinal_cord,mRNA,UP
CHIC1,-0.9436841522041912,0.0422047819618877,spinal_cord,mRNA,DOWN
ABCE1,1.641458724714583,0.0439340057138117,spinal_cord,mRNA,UP
CFI,2.446468726000985,0.0475089569700714,spinal_cord,mRNA,UP
GPNMB,1.501483436974429,0.0363947801602039,spinal_cord,mRNA,UP
HLA-DPA1,1.65932473333624,0.0228783687729519,spinal_cord,mRNA,UP
TGFBI,1.5299289393474185,0.0392540512077995,spinal_cord,mRNA,UP
HLA-DPB1,2.01240489065346,0.0224253294576422,spinal_cord,mRNA,UP
SERPING1,1.019985199283128,0.044632081473539,spinal_cord,mRNA,UP
MLC1,1.08004385168037,0.0363947801602039,spinal_cord,mRNA,UP
PECAM1,-0.85654840682431,0.0322624472845909,spinal_cord,mRNA,DOWN
LST1,1.9654828194142748,0.0113061998430028,spinal_cord,mRNA,UP
ZFP36L1,2.05712058588186,0.0363947801602039,spinal_cord,mRNA,UP
CDKN1A,1.687429647987718,0.0363947801602039,spinal_cord,mRNA,UP
HMGB2,0.6401954491978935,0.035954001902208,spinal_cord,mRNA,UP
PTPRA,0.6408776809107685,0.0487871676793266,spinal_cord,mRNA,UP
RCN1,1.4730941579587251,0.0363947801602039,spinal_cord,mRNA,UP
ARHGEF2,0.51926821705102,0.0461530839868014,spinal_cord,mRNA,UP
MGST1,0.5436114406664735,0.0363947801602039,spinal_cord,mRNA,UP
CLCN5,-0.6314093057861779,0.037241566477667,spinal_cord,mRNA,DOWN
TM4SF1,1.507510709619275,0.0130170759921875,spinal_cord,mRNA,UP
GBP2,1.916003064612392,0.0224253294576422,spinal_cord,mRNA,UP
CCND1,1.18823307168597,0.0224253294576422,spinal_cord,mRNA,UP
CD9,1.89314858176922,0.0363947801602039,spinal_cord,mRNA,UP
REST,1.029051926534255,0.0461530839868014,spinal_cord,mRNA,UP
CP,0.8340815818289861,0.0113061998430028,spinal_cord,mRNA,UP
