Gene_Symbol,logFC,adjPval,tissue,omic,direction
SAA1,8.37803320459313,1.31204460468821e-05,spinal_cord,protein,UP
SORCS2,-1.10038463112565,3.3160335482561e-05,spinal_cord,protein,DOWN
PRODH,-1.54395037123425,0.000121692911687749,spinal_cord,protein,DOWN
TYMP,2.28221036383496,0.000215909296843116,spinal_cord,protein,UP
RIDA,-0.988420672142878,0.000388063098830853,spinal_cord,protein,DOWN
OSBPL11,1.10884713036423,0.000417444972119161,spinal_cord,protein,UP
BPHL,-1.01615620269406,0.000417444972119161,spinal_cord,protein,DOWN
TPMT,1.27211375569233,0.000478150847789477,spinal_cord,protein,UP
MBLAC1,0.828864888106969,0.000507834787670496,spinal_cord,protein,UP
ACOT11,-1.26484127543257,0.000750780822344059,spinal_cord,protein,DOWN
LSP1,3.06237443556649,0.000750780822344059,spinal_cord,protein,UP
HLA-DRB1,2.84103464209592,0.000893577671309511,spinal_cord,protein,UP
C9,3.954434200655,0.000911364975653027,spinal_cord,protein,UP
CARS2,0.808128762399868,0.001201958833955,spinal_cord,protein,UP
UQCC2,-0.703777161631627,0.001201958833955,spinal_cord,protein,DOWN
ABCC1,0.741084468269843,0.001201958833955,spinal_cord,protein,UP
TAP1,0.931821010113929,0.00125169480102774,spinal_cord,protein,UP
ORM1,3.67387763883086,0.00126668993242097,spinal_cord,protein,UP
MCEE,-1.21350087367152,0.0014822797758155,spinal_cord,protein,DOWN
ACY3,-2.2605493364278,0.0014822797758155,spinal_cord,protein,DOWN
LRG1,3.32991733973543,0.00171608753807437,spinal_cord,protein,UP
C1QBP,-1.31944576081202,0.00196364408542783,spinal_cord,protein,DOWN
CRP,5.78639760936032,0.00206589708442527,spinal_cord,protein,UP
CFB,3.24140074892387,0.00225240815421283,spinal_cord,protein,UP
GRAP2,0.578650375663806,0.00255493731545243,spinal_cord,protein,UP
TAP2,0.95444974421954,0.00255493731545243,spinal_cord,protein,UP
IDI1,-0.780558863574655,0.00255493731545243,spinal_cord,protein,DOWN
RTL8C,-0.659447023850464,0.00314536759011681,spinal_cord,protein,DOWN
PIR,0.978282792082419,0.00314536759011681,spinal_cord,protein,UP
HDDC2,0.517100618632755,0.00314536759011681,spinal_cord,protein,UP
SKAP2,0.844093923518763,0.00314536759011681,spinal_cord,protein,UP
ORM2,3.09978588333046,0.00314536759011681,spinal_cord,protein,UP
IGKV1D-33,1.7261386114659,0.00314536759011681,spinal_cord,protein,UP
IGHG3,3.24733201388732,0.00314536759011681,spinal_cord,protein,UP
PSMB10,0.709216110325048,0.00314536759011681,spinal_cord,protein,UP
ACSF3,0.693051438030771,0.00314536759011681,spinal_cord,protein,UP
NDUFB6,-0.78324282290574,0.00349034070418489,spinal_cord,protein,DOWN
S100A9,4.38654564197893,0.00349034070418489,spinal_cord,protein,UP
SKIC2,0.43096985475799,0.00373374958650782,spinal_cord,protein,UP
USP48,-0.40321419657734,0.00376857772558735,spinal_cord,protein,DOWN
THEM4,-0.949117128887336,0.00403023810091817,spinal_cord,protein,DOWN
P2RY12,-1.17533930523135,0.00447119254442697,spinal_cord,protein,DOWN
NDUFC2,-0.902382059236183,0.00470412121439184,spinal_cord,protein,DOWN
TOR1AIP2,0.470192185322736,0.00481601076149044,spinal_cord,protein,UP
SERPINA3,3.32543572131089,0.00481601076149044,spinal_cord,protein,UP
NDUFA12,-0.807541987401859,0.0050306255339198,spinal_cord,protein,DOWN
MMP9,2.76926563609531,0.00517857199981344,spinal_cord,protein,UP
ITIH3,2.28206044893574,0.00517857199981344,spinal_cord,protein,UP
NDUFB11,-0.848504668600874,0.00570673700751642,spinal_cord,protein,DOWN
GTF2A2,-0.39758312508375,0.00571773491618526,spinal_cord,protein,DOWN
FPGT,0.903024310439852,0.00571773491618526,spinal_cord,protein,UP
NAGA,-0.535354272479945,0.00615285479114314,spinal_cord,protein,DOWN
S100A8,4.29568224711388,0.00630570947066884,spinal_cord,protein,UP
NDUFS5,-0.867814686379424,0.00693813849155512,spinal_cord,protein,DOWN
FDFT1,-0.950680920203784,0.00787657175798794,spinal_cord,protein,DOWN
SLC39A14,0.534715831365644,0.00787657175798794,spinal_cord,protein,UP
MRPL1,-0.585953872490824,0.00798666366872113,spinal_cord,protein,DOWN
EXD2,0.46810011789308,0.00798666366872113,spinal_cord,protein,UP
ITGB2,0.955594036665232,0.00798666366872113,spinal_cord,protein,UP
ALDH6A1,-0.662253524582638,0.00798666366872113,spinal_cord,protein,DOWN
GSTM4,-2.19057404584624,0.00798666366872113,spinal_cord,protein,DOWN
PRDX5,-0.581943806521519,0.00801919735422203,spinal_cord,protein,DOWN
NDUFS2,-0.780545808432949,0.00839561590855203,spinal_cord,protein,DOWN
MPO,3.89737245462223,0.00869144531393956,spinal_cord,protein,UP
STK4,0.386215943993008,0.00873086993952308,spinal_cord,protein,UP
C3,2.32361191659033,0.0087384453114778,spinal_cord,protein,UP
MRPL24,-0.559395230724502,0.00879716637141299,spinal_cord,protein,DOWN
OGA,-0.537365516512255,0.00895662628892172,spinal_cord,protein,DOWN
MMUT,-0.575373309801526,0.00911794607648303,spinal_cord,protein,DOWN
CYBB,1.15962159354908,0.00913542147355235,spinal_cord,protein,UP
MRPL14,-0.482010855741456,0.00913542147355235,spinal_cord,protein,DOWN
RNF181,-0.515374644027445,0.00913542147355235,spinal_cord,protein,DOWN
NDUFA6,-0.726292442534394,0.00913900259021857,spinal_cord,protein,DOWN
LCP2,0.697225686042099,0.00913900259021857,spinal_cord,protein,UP
NDUFS6,-0.856737875838087,0.00913900259021857,spinal_cord,protein,DOWN
NDUFS3,-0.734428635935744,0.00913900259021857,spinal_cord,protein,DOWN
ANP32A,0.427026509921507,0.00915610425881052,spinal_cord,protein,UP
C8G,2.08557252711364,0.00915610425881052,spinal_cord,protein,UP
GIMAP8,0.767272368855359,0.00915610425881052,spinal_cord,protein,UP
EIF5B,0.351938692751402,0.00915610425881052,spinal_cord,protein,UP
F9,1.88189204458454,0.00915610425881052,spinal_cord,protein,UP
SCPEP1,0.531897429701958,0.00915610425881052,spinal_cord,protein,UP
PTPRC,0.926565378689887,0.00915610425881052,spinal_cord,protein,UP
TNFAIP8,0.906918229598651,0.00916793311603189,spinal_cord,protein,UP
TCIRG1,0.599166926341806,0.00916793311603189,spinal_cord,protein,UP
TFAM,-0.498272895579468,0.00916793311603189,spinal_cord,protein,DOWN
FGA,2.87254677746133,0.00916793311603189,spinal_cord,protein,UP
NDUFS7,-0.720538288376028,0.00931245219451135,spinal_cord,protein,DOWN
HLA-B,2.15112557434638,0.00931245219451135,spinal_cord,protein,UP
TTC39C,0.721446151512083,0.00931245219451135,spinal_cord,protein,UP
NDUFB9,-0.846388176915625,0.00931245219451135,spinal_cord,protein,DOWN
SERPINA1,2.88179747581622,0.00969371673496565,spinal_cord,protein,UP
HLA-DRB5,1.54980082438105,0.00971971638159165,spinal_cord,protein,UP
NPC1,-0.573863925111548,0.00996636432472101,spinal_cord,protein,DOWN
FAS,1.26142772219186,0.0100125173172194,spinal_cord,protein,UP
NDUFB3,-0.795120278753044,0.0100125173172194,spinal_cord,protein,DOWN
FERMT3,1.60026524477026,0.0102889431358438,spinal_cord,protein,UP
SARS2,-0.549063192587704,0.010923831135306,spinal_cord,protein,DOWN
C6,2.21825691757717,0.010923831135306,spinal_cord,protein,UP
HMGCS1,-1.06934962030159,0.0109859448234842,spinal_cord,protein,DOWN
NUDT2,-0.827631696256083,0.0111051357072096,spinal_cord,protein,DOWN
EARS2,-0.591542422930398,0.0112307830554357,spinal_cord,protein,DOWN
PDXDC1,0.356349924439142,0.0112920616423406,spinal_cord,protein,UP
D2HGDH,-0.798625018489051,0.0112920616423406,spinal_cord,protein,DOWN
RAB32,0.658418196825194,0.0112951718049906,spinal_cord,protein,UP
CMC4,-0.722007208278363,0.0114479780763783,spinal_cord,protein,DOWN
BDH1,-0.932871034572203,0.0114479780763783,spinal_cord,protein,DOWN
FGB,2.48827656060871,0.0114479780763783,spinal_cord,protein,UP
PYROXD2,-1.29618934171774,0.0114479780763783,spinal_cord,protein,DOWN
PNPLA8,-0.419409874473901,0.0114479780763783,spinal_cord,protein,DOWN
C1R,1.59550526960207,0.0114479780763783,spinal_cord,protein,UP
