Gene_Symbol,present_in_SC,present_in_CTX,direction_SC,direction_CTX,SC_mRNA_logFC,SC_LCM_SMD,SC_mRNA_source,SC_protein_logFC,SC_protein_adjPval,CTX_mRNA_logFC,CTX_mRNA_adjPval,CTX_protein_logFC,CTX_protein_adjPval,evidence_count,cross_tissue,cross_tissue_discordant
ABAT,True,False,DOWN,,-0.030004218110633,,GEO_merged,-0.81515169649669,0.0287026633513182,,,,,2,False,False
ABCA1,True,False,UP,,,1.089,LCM_meta,0.78199482155476,0.0394658074706044,,,,,2,False,False
ALDH5A1,True,False,DOWN,,-0.1518228420692835,,GEO_merged,-0.564526070397767,0.0491795938074024,,,,,2,False,False
ANP32A,True,False,UP,,0.2883022402750653,,GEO_merged,0.427026509921507,0.0091561042588105,,,,,2,False,False
ARPC1B,True,False,UP,,0.4827084897551379,,GEO_merged,0.901248124511246,0.0272356329760419,,,,,2,False,False
ASAH1,True,False,UP,,0.8960334571305304,,GEO_merged,0.991813730311295,0.0159751522768199,,,,,2,False,False
ATIC,True,False,UP,,0.4021895710300114,,GEO_merged,0.701821423469951,0.0257019987961915,,,,,2,False,False
BCO2,True,False,DOWN,,,-1.078,LCM_meta,-0.544077042701806,0.037991818107561,,,,,2,False,False
BDH1,True,False,DOWN,,-0.4257576212876418,,GEO_merged,-0.932871034572203,0.0114479780763783,,,,,2,False,False
BLVRA,True,False,UP,,0.1332987885432769,,GEO_merged,0.347047170730058,0.0118199792188964,,,,,2,False,False
BPHL,True,False,DOWN,,-1.6253256673027243,,GEO_merged,-1.01615620269406,0.0004174449721191,,,,,2,False,False
C1S,True,False,UP,,0.5060405009085415,,GEO_merged,1.81644167199525,0.015298009265666,,,,,2,False,False
C2orf88,False,True,,UP,,,,,,0.588013477,0.035571836,0.707645473260293,0.0318166146117414,2,False,False
C3,True,False,UP,,1.3661458674293607,1.163,GEO_and_LCM,2.32361191659033,0.0087384453114778,,,,,2,False,False
CD163,True,False,UP,,1.549609841279582,1.098,GEO_and_LCM,2.25464810433299,0.0250969985984746,,,,,2,False,False
CD53,True,False,UP,,0.76233381730536,,GEO_merged,0.557822622365221,0.0393729034668001,,,,,2,False,False
CFI,True,False,UP,,2.446468726000985,,GEO_merged,1.93817149344962,0.0142025441243236,,,,,2,False,False
COX5A,True,False,DOWN,,-0.537567793458171,,GEO_merged,-0.686253635876486,0.0192807070874754,,,,,2,False,False
CP,True,False,UP,,0.8340815818289861,1.24,GEO_and_LCM,1.65709952782969,0.0451276491588058,,,,,2,False,False
CPM,True,False,UP,,1.9583100810062064,,GEO_merged,1.12480216166095,0.0157143207996479,,,,,2,False,False
CYBB,True,False,UP,,1.2457013594269075,1.25,GEO_and_LCM,1.15962159354908,0.0091354214735523,,,,,2,False,False
FDFT1,True,False,DOWN,,-0.7950048602449741,,GEO_merged,-0.950680920203784,0.0078765717579879,,,,,2,False,False
FECH,True,False,DOWN,,-0.1174744294775793,,GEO_merged,-0.524291910811785,0.0339645111760267,,,,,2,False,False
FOXRED1,True,False,DOWN,,,-1.003,LCM_meta,-0.58785553528466,0.015298009265666,,,,,2,False,False
GBP2,True,False,UP,,1.916003064612392,,GEO_merged,1.30644877795542,0.0335756402450224,,,,,2,False,False
GCLM,True,False,UP,,1.0121488048293128,,GEO_merged,0.457871672209976,0.0257019987961915,,,,,2,False,False
GTF2A2,True,False,DOWN,,-0.0739856822882891,,GEO_merged,-0.39758312508375,0.0057177349161852,,,,,2,False,False
HLA-C,True,False,UP,,0.223040984336463,,GEO_merged,2.47226073268201,0.0377454518609556,,,,,2,False,False
HLA-DRA,True,False,UP,,1.586732096929435,,GEO_merged,1.06709017350446,0.037991818107561,,,,,2,False,False
HLA-DRB5,True,False,UP,,1.55205392671626,,GEO_merged,1.54980082438105,0.0097197163815916,,,,,2,False,False
HMGCS1,True,False,DOWN,,-0.1641301464762231,,GEO_merged,-1.06934962030159,0.0109859448234842,,,,,2,False,False
HSPD1,True,False,DOWN,,-0.2551868580437979,,GEO_merged,-0.425205987048757,0.0252416566683943,,,,,2,False,False
IQGAP1,True,False,UP,,0.3956679360223155,,GEO_merged,1.01538407398242,0.0327157982678146,,,,,2,False,False
ISCU,True,False,DOWN,,-0.2717452412203185,,GEO_merged,-0.849979055734382,0.0280018910545559,,,,,2,False,False
ITGB2,True,False,UP,,3.9217259209891697,,GEO_merged,0.955594036665232,0.0079866636687211,,,,,2,False,False
ITGB8,True,False,DOWN,,-0.638117786424841,,GEO_merged,-0.646171423796133,0.0270776712705524,,,,,2,False,False
LCP1,True,False,UP,,0.9695700147257492,,GEO_merged,0.828317893268482,0.0192807070874754,,,,,2,False,False
LCP2,True,False,UP,,0.2692347612079065,,GEO_merged,0.697225686042099,0.0091390025902185,,,,,2,False,False
LRPPRC,True,False,DOWN,,-0.6409283691184134,,GEO_merged,-0.580992948997164,0.0429763878449077,,,,,2,False,False
MRPL19,True,False,DOWN,,-0.7248025744260834,,GEO_merged,-0.445426644238422,0.037991818107561,,,,,2,False,False
MRPL37,True,False,DOWN,,,-0.862,LCM_meta,-0.485049707230893,0.0301637750765134,,,,,2,False,False
NDUFA12,True,False,DOWN,,-0.3108990279250325,,GEO_merged,-0.807541987401859,0.0050306255339198,,,,,2,False,False
OSBPL11,True,False,UP,,,1.083,LCM_meta,1.10884713036423,0.0004174449721191,,,,,2,False,False
PCCA,True,False,DOWN,,-0.1212358770201228,,GEO_merged,-0.422869480601998,0.0430098877759039,,,,,2,False,False
POLR2E,True,False,DOWN,,-0.5555511282168223,,GEO_merged,-0.550196312425276,0.013621007149997,,,,,2,False,False
PRODH,False,True,,DOWN,,,,,,-0.691598913,0.000740426,-1.75724458319356,1.58154519653983e-05,2,False,False
PSME1,True,False,UP,,0.2095710045303604,,GEO_merged,0.603599742827852,0.0308429218406238,,,,,2,False,False
PTPN12,True,False,UP,,0.1993529818286434,,GEO_merged,0.450971747470492,0.0398949837009876,,,,,2,False,False
PTPRC,True,False,UP,,1.0432547187994865,,GEO_merged,0.926565378689887,0.0091561042588105,,,,,2,False,False
RPA2,True,False,UP,,0.1858474565934432,,GEO_merged,0.367986707046411,0.0491995818906803,,,,,2,False,False
SERPINA3,True,False,UP,,1.578410369501715,1.332,GEO_and_LCM,3.32543572131089,0.0048160107614904,,,,,2,False,False
SH3BP2,True,False,DOWN,,-0.5596549213689095,,GEO_merged,-0.354620668241593,0.0451276491588058,,,,,2,False,False
SLC39A14,True,False,UP,,1.9817898759192247,,GEO_merged,0.534715831365644,0.0078765717579879,,,,,2,False,False
SYPL1,True,False,UP,,0.288997797906413,,GEO_merged,0.737259515922508,0.0249801424238077,,,,,2,False,False
TFAM,True,False,DOWN,,-0.3878406546131412,,GEO_merged,-0.498272895579468,0.0091679331160318,,,,,2,False,False
THRA,True,False,DOWN,,-0.5808714632215365,,GEO_merged,-0.460094082730264,0.0264834605611339,,,,,2,False,False
TTLL1,True,False,DOWN,,,-1.504,LCM_meta,-0.485803420715085,0.034601546315205,,,,,2,False,False
