Gene_Symbol,SC_mRNA_logFC,SC_LCM_SMD,SC_protein_logFC,SC_protein_adjPval,SC_mRNA_source,direction,evidence_count,tissue
ITGB2,3.9217259209891697,,0.955594036665232,0.0079866636687211,GEO_merged,UP,2,spinal_cord
CFI,2.446468726000985,,1.93817149344962,0.0142025441243236,GEO_merged,UP,2,spinal_cord
CPM,1.9583100810062064,,1.12480216166095,0.0157143207996479,GEO_merged,UP,2,spinal_cord
ASAH1,0.8960334571305304,,0.991813730311295,0.0159751522768199,GEO_merged,UP,2,spinal_cord
FDFT1,-0.7950048602449741,,-0.950680920203784,0.0078765717579879,GEO_merged,DOWN,2,spinal_cord
HLA-DRA,1.586732096929435,,1.06709017350446,0.037991818107561,GEO_merged,UP,2,spinal_cord
BDH1,-0.4257576212876418,,-0.932871034572203,0.0114479780763783,GEO_merged,DOWN,2,spinal_cord
PTPRC,1.0432547187994865,,0.926565378689887,0.0091561042588105,GEO_merged,UP,2,spinal_cord
GCLM,1.0121488048293128,,0.457871672209976,0.0257019987961915,GEO_merged,UP,2,spinal_cord
THRA,-0.5808714632215365,,-0.460094082730264,0.0264834605611339,GEO_merged,DOWN,2,spinal_cord
NDUFA12,-0.3108990279250325,,-0.807541987401859,0.0050306255339198,GEO_merged,DOWN,2,spinal_cord
BPHL,-1.6253256673027243,,-1.01615620269406,0.0004174449721191,GEO_merged,DOWN,2,spinal_cord
ARPC1B,0.4827084897551379,,0.901248124511246,0.0272356329760419,GEO_merged,UP,2,spinal_cord
HSPD1,-0.2551868580437979,,-0.425205987048757,0.0252416566683943,GEO_merged,DOWN,2,spinal_cord
TFAM,-0.3878406546131412,,-0.498272895579468,0.0091679331160318,GEO_merged,DOWN,2,spinal_cord
CD53,0.76233381730536,,0.557822622365221,0.0393729034668001,GEO_merged,UP,2,spinal_cord
ATIC,0.4021895710300114,,0.701821423469951,0.0257019987961915,GEO_merged,UP,2,spinal_cord
ITGB8,-0.638117786424841,,-0.646171423796133,0.0270776712705524,GEO_merged,DOWN,2,spinal_cord
SLC39A14,1.9817898759192247,,0.534715831365644,0.0078765717579879,GEO_merged,UP,2,spinal_cord
IQGAP1,0.3956679360223155,,1.01538407398242,0.0327157982678146,GEO_merged,UP,2,spinal_cord
MRPL19,-0.7248025744260834,,-0.445426644238422,0.037991818107561,GEO_merged,DOWN,2,spinal_cord
C1S,0.5060405009085415,,1.81644167199525,0.015298009265666,GEO_merged,UP,2,spinal_cord
