Gene_Symbol,direction,LCM_SMD,LCM_FDR
C12orf76,DOWN,-1.434,0.0561
NQO1,UP,1.381,0.0647
MXI1,UP,1.307,0.0771
SLC6A6,UP,1.284,0.0698
STC1,UP,1.227,0.0772
C1QB,UP,1.22,0.0698
PTPRC,UP,1.205,0.0698
PXDNL,DOWN,-1.202,0.057
ENTREP1,UP,1.194,0.094
EHD2,UP,1.166,0.0541
DRG1,DOWN,-1.161,0.056
NTM,UP,1.161,0.0684
MYH9,UP,1.159,0.0688
CCDC158,DOWN,-1.152,0.0915
TSPAN14,UP,1.143,0.0771
GSDME,UP,1.135,0.0561
UBE2O,DOWN,-1.132,0.0698
SAT1,UP,1.125,0.0651
VGLL3,DOWN,-1.111,0.0561
TLR2,UP,1.11,0.0501
CXCL16,UP,1.105,0.0949
ENTPD3,DOWN,-1.105,0.0684
TRHR,DOWN,-1.065,0.0771
KCNA1,DOWN,-1.06,0.0799
TSPAN18,DOWN,-1.044,0.057
PLCD4,DOWN,-1.038,0.0788
TUBGCP2,DOWN,-1.038,0.0551
ZNF506,UP,1.035,0.0578
TMX2,DOWN,-1.032,0.0564
SLC35D3,DOWN,-1.031,0.057
APOLD1,UP,1.028,0.0995
UTP14A,DOWN,-1.023,0.0607
TCF7L2,UP,1.019,0.0861
ADORA3,UP,1.01,0.0882
INPP5B,UP,1.001,0.0561
HS3ST1,DOWN,-0.999,0.056
RETREG3,DOWN,-0.996,0.0538
PIK3CG,UP,0.984,0.0598
XRCC6,DOWN,-0.983,0.0698
BCOR,UP,0.976,0.0537
RPL37A,UP,0.968,0.0698
GPR65,UP,0.967,0.0684
FAM171A1,DOWN,-0.967,0.0578
SANBR,DOWN,-0.95,0.0845
CNTN6,DOWN,-0.942,0.0731
SLC39A13,DOWN,-0.941,0.0953
AHCYL1,UP,0.938,0.057
PPP1R17,DOWN,-0.935,0.0561
CCNL1,UP,0.933,0.0842
KLC4,DOWN,-0.931,0.0771
PGP,DOWN,-0.93,0.0547
TUBA1C,DOWN,-0.929,0.0867
TREM2,UP,0.926,0.0504
FSD1,DOWN,-0.924,0.0789
GPR85,DOWN,-0.923,0.0516
