Gene_Symbol,in_SetA,in_SetB,in_SetC,in_SetE,SetA_present_in_SC,SetA_present_in_CTX,SetA_cross_tissue,SetA_direction_SC,SetA_direction_CTX,SetA_mRNA_source,SetB_in_SC,SetB_in_CTX,SetE_direction,SetE_SMD,SetE_FDR,n_sets,priority_tier
ABCA1,True,False,False,True,True,False,False,UP,,LCM_meta,,,UP,1.089,0.0053,2,Tier2
BCO2,True,False,False,True,True,False,False,DOWN,,LCM_meta,,,DOWN,-1.078,0.047,2,Tier2
C3,True,False,False,True,True,False,False,UP,,GEO_and_LCM,,,UP,1.163,0.036,2,Tier2
CD163,True,False,False,True,True,False,False,UP,,GEO_and_LCM,,,UP,1.098,0.0197,2,Tier2
CP,True,False,False,True,True,False,False,UP,,GEO_and_LCM,,,UP,1.24,0.0175,2,Tier2
CYBB,True,False,False,True,True,False,False,UP,,GEO_and_LCM,,,UP,1.25,0.00895,2,Tier2
FOXRED1,True,False,False,True,True,False,False,DOWN,,LCM_meta,,,DOWN,-1.003,0.00895,2,Tier2
HLA-C,True,True,False,False,True,False,False,UP,,GEO_merged,False,True,,,,2,Tier2
ITIH4,False,True,True,False,,,,,,,False,True,,,,2,Tier2
MRPL37,True,False,False,True,True,False,False,DOWN,,LCM_meta,,,DOWN,-0.862,0.0236,2,Tier2
OSBPL11,True,False,False,True,True,False,False,UP,,LCM_meta,,,UP,1.083,0.00931,2,Tier2
SERPINA3,True,False,False,True,True,False,False,UP,,GEO_and_LCM,,,UP,1.332,0.00114,2,Tier2
TTLL1,True,False,False,True,True,False,False,DOWN,,LCM_meta,,,DOWN,-1.504,0.005,2,Tier2
ABAT,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
ALDH5A1,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
ANP32A,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
ANPEP,False,True,False,False,,,,,,,False,True,,,,1,Tier3
ARPC1B,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
ASAH1,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
ATIC,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
BDH1,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
BLVRA,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
BPHL,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
C1S,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
C2orf88,True,False,False,False,False,True,False,,UP,,,,,,,1,Tier3
CD34,False,True,False,False,,,,,,,False,True,,,,1,Tier3
CD53,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
CFB,False,True,False,False,,,,,,,False,True,,,,1,Tier3
CFI,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
CFL2,False,False,True,False,,,,,,,,,,,,1,Tier3
CKAP5,False,False,True,False,,,,,,,,,,,,1,Tier3
COL5A3,False,True,False,False,,,,,,,False,True,,,,1,Tier3
COX5A,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
CPM,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
CRABP2,False,True,False,False,,,,,,,False,True,,,,1,Tier3
DBN1,False,False,True,False,,,,,,,,,,,,1,Tier3
DBT,False,True,False,False,,,,,,,True,False,,,,1,Tier3
FCHSD1,False,True,False,False,,,,,,,False,True,,,,1,Tier3
FDFT1,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
FECH,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
GBP2,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
GCLM,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
GCN1L1,False,True,False,False,,,,,,,True,False,,,,1,Tier3
GGT5,False,True,False,False,,,,,,,False,True,,,,1,Tier3
GNAS,False,False,True,False,,,,,,,,,,,,1,Tier3
GPX3,False,True,False,False,,,,,,,False,True,,,,1,Tier3
GSTM1,False,True,False,False,,,,,,,False,True,,,,1,Tier3
GTF2A2,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
HLA-DRA,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
HLA-DRB5,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
HMGCS1,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
HSPD1,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
ICAM1,False,True,False,False,,,,,,,False,True,,,,1,Tier3
IGF2BP2,False,True,False,False,,,,,,,False,True,,,,1,Tier3
IGHG1,False,False,True,False,,,,,,,,,,,,1,Tier3
ILK,False,True,False,False,,,,,,,True,False,,,,1,Tier3
IMPA1,False,True,False,False,,,,,,,True,False,,,,1,Tier3
IQGAP1,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
ISCU,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
