Gene	Degree	Betweenness	Clustering	Is_Hub	Community
SOD1	96	0.1423	0.18	TRUE	5
HSPA5	94	0.1939	0.2729	TRUE	3
TP53	92	0.1446	0.2618	TRUE	3
SQSTM1	80	0.108	0.2897	TRUE	3
BCL2	68	0.0172	0.3422	TRUE	3
CASP3	62	0.0595	0.3699	TRUE	3
BCL2L1	52	0.0675	0.4708	TRUE	3
CYC1	52	0.0054	0.7231	TRUE	4
OPTN	52	0.0295	0.3138	TRUE	3
NDUFA4	50	0.0036	0.7833	TRUE	4
NDUFS1	50	0.0373	0.7767	TRUE	4
UQCRC1	50	0.0145	0.7667	TRUE	4
COX6B1	48	8e-04	0.8333	TRUE	4
NDUFA2	48	0.0016	0.8406	TRUE	4
NDUFA9	48	0.0018	0.837	TRUE	4
NDUFB10	48	0.0121	0.8188	TRUE	4
ALYREF	46	0.0272	0.7866	FALSE	2
COX6A1	46	0.0137	0.9051	FALSE	4
NDUFA10	46	0.004	0.8972	FALSE	4
NDUFB3	46	0.0044	0.8893	FALSE	4
NUP35	46	0.0154	0.83	FALSE	2
NUP62	46	0.014	0.834	FALSE	2
SDHC	46	0.0685	0.7075	FALSE	4
SEC13	46	0.0097	0.8182	FALSE	2
SRSF3	46	0.0417	0.7866	FALSE	2
UQCR10	46	0	0.9051	FALSE	4
UQCRB	46	0	0.9051	FALSE	4
GLE1	44	0	0.8528	FALSE	2
MAP3K5	44	0.0129	0.4545	FALSE	3
NDUFA1	44	0	0.974	FALSE	4
NDUFA12	44	0	0.974	FALSE	4
NDUFA3	44	4e-04	0.974	FALSE	4
NDUFS6	44	0	0.974	FALSE	4
NUP153	44	0	0.9091	FALSE	2
NUP160	44	0.0028	0.8918	FALSE	2
NUP54	44	6e-04	0.9091	FALSE	2
NUP85	44	0.0075	0.8918	FALSE	2
NUP98	44	0	0.9091	FALSE	2
SRSF7	44	0.0147	0.8528	FALSE	2
UQCR11	44	0	0.974	FALSE	4
DDIT3	42	0.0639	0.4619	FALSE	3
NUP107	42	0	0.981	FALSE	2
NUP155	42	0	0.981	FALSE	2
NUP188	42	0.0048	0.981	FALSE	2
NUP205	42	0	0.981	FALSE	2
NUP210	42	6e-04	0.981	FALSE	2
NUP37	42	0	0.981	FALSE	2
NUP43	42	0	0.981	FALSE	2
NUP50	42	0	0.981	FALSE	2
NUP88	42	0	0.981	FALSE	2
NDUFA4L2	40	1e-04	0.9947	FALSE	4
NDUFB2	40	0	0.9947	FALSE	4
UQCRHL	40	3e-04	0.9947	FALSE	4
FUS	38	0.0415	0.3333	FALSE	1
GABARAPL2	38	0.0076	0.6082	FALSE	3
NDUFB1	38	0	1	FALSE	4
GABARAPL1	36	0.0061	0.6797	FALSE	3
PIK3C3	36	0.0012	0.7059	FALSE	3
PSMD14	36	0.0141	0.5948	FALSE	5
ATF6	34	0.0142	0.6838	FALSE	3
ULK1	34	3e-04	0.7132	FALSE	3
ERN1	32	0.0123	0.6667	FALSE	3
PSMA4	32	0.0128	0.6917	FALSE	5
PSMC3	32	0.0071	0.6167	FALSE	5
PSMC4	32	0.0025	0.6583	FALSE	5
TBK1	32	0.0043	0.55	FALSE	3
XBP1	32	0.0015	0.7167	FALSE	3
HNRNPA2B1	30	0.0343	0.4095	FALSE	2
PSMC5	30	0.0133	0.7048	FALSE	5
PSMD11	30	0.0017	0.7714	FALSE	5
PSMD8	30	0.0066	0.7714	FALSE	5
RB1CC1	30	0	0.7524	FALSE	3
EIF2AK3	28	0.0015	0.8571	FALSE	3
HDAC6	28	0.0145	0.6813	FALSE	3
ITPR3	28	0.0359	0.4505	FALSE	3
PSMA2	28	0.0018	0.8242	FALSE	5
PSMB3	28	0.0021	0.8022	FALSE	5
PSMB5	28	0	0.8352	FALSE	5
PSMB6	28	0.0057	0.7363	FALSE	5
ATG14	26	1e-04	0.859	FALSE	3
NEFL	26	0.0186	0.3077	FALSE	1
UBQLN1	26	0.0085	0.4615	FALSE	5
WIPI2	26	0.0036	0.6795	FALSE	3
APAF1	24	0.0128	0.6061	FALSE	3
ATF4	24	9e-04	0.8788	FALSE	3
PIK3R4	24	3e-04	0.9091	FALSE	3
WIPI1	24	0	0.7424	FALSE	3
GPX7	22	0.005	0.7636	FALSE	3
MAPK12	22	3e-04	0.4727	FALSE	1
NEFH	22	0.003	0.4545	FALSE	1
UBQLN4	22	0	0.6182	FALSE	5
GPX8	20	0.005	0.8	FALSE	3
PFN1	20	8e-04	0.6	FALSE	1
TOMM40	20	0.0254	0.4889	FALSE	4
NEFM	18	0.0121	0.5278	FALSE	1
DCTN2	16	0.0314	0.2143	FALSE	1
SLC1A2	16	0.0075	0.5357	FALSE	1
TUBB	16	0.0167	0.4286	FALSE	3
DERL1	14	9e-04	0.7143	FALSE	3
SPG11	14	0.0021	0.9048	FALSE	1
DAXX	12	0	0.8667	FALSE	3
ERBB4	12	0.0231	0.3333	FALSE	1
ACTG1	10	0	0.3	FALSE	1
BID	10	0	1	FALSE	3
DNAH1	10	0	0.9	FALSE	5
DNAH14	10	3e-04	0.7	FALSE	5
DNAH6	10	0	0.9	FALSE	5
DNAH7	10	0	0.9	FALSE	5
DNALI1	10	0	0.7	FALSE	5
GRIA2	10	0.0015	0.5	FALSE	1
KLC4	10	5e-04	0.5	FALSE	1
NXT2	10	0	1	FALSE	2
PPP3R1	10	0.0012	0.6	FALSE	5
GRIA1	8	8e-04	0.5	FALSE	1
NRG1	8	0.0018	0.5	FALSE	1
TANK	8	0	0.8333	FALSE	3
ANXA7	6	0.0012	0.3333	FALSE	1
CAT	6	0	1	FALSE	3
DNAH11	6	1e-04	0.6667	FALSE	5
MAP2K6	6	0	1	FALSE	1
MCU	6	1e-04	0.3333	FALSE	3
PRPH	6	0	1	FALSE	1
UBQLN3	6	1e-04	0.3333	FALSE	5
ANXA11	4	0	0	FALSE	1
NRG3	4	0	1	FALSE	1
TUBB1	2	0	NA	FALSE	3
