Gene	Degree	Betweenness	Clustering	Is_Hub	Community
SOD1	278	0.1033	0.1859	TRUE	3
CYCS	248	0.039	0.3889	TRUE	1
ACTB	226	0.056	0.2092	TRUE	1
HSPA5	218	0.1281	0.2353	TRUE	1
TARDBP	212	0.0519	0.2523	TRUE	2
TP53	208	0.0344	0.2898	TRUE	1
PINK1	198	0.0444	0.3395	TRUE	1
COX4I1	196	0.0017	0.6954	TRUE	5
PRKN	190	0.0237	0.3167	TRUE	3
VCP	182	0.0214	0.3255	TRUE	3
NDUFS3	180	0.0047	0.796	TRUE	5
SQSTM1	180	0.0311	0.2826	TRUE	1
UQCRC1	178	0.0019	0.7937	TRUE	5
CYC1	174	0.0011	0.8308	TRUE	5
NDUFA4	174	0.0012	0.8375	TRUE	5
NDUFB8	174	9e-04	0.8455	TRUE	5
NDUFS2	174	0.0034	0.8385	TRUE	5
TNF	174	0.0336	0.34	TRUE	1
UQCRC2	174	0.0057	0.8249	TRUE	5
UQCRFS1	174	7e-04	0.8279	TRUE	5
UQCRQ	174	0.0014	0.8222	TRUE	5
COX5B	172	2e-04	0.8534	TRUE	5
COX7A2	172	0.0021	0.8347	TRUE	5
NDUFV1	172	0.0015	0.8427	TRUE	5
UQCRH	172	0.0058	0.8276	TRUE	5
ATP5F1B	170	0.0206	0.7104	TRUE	5
COX7C	170	8e-04	0.8641	TRUE	5
NDUFA8	170	0.0014	0.8633	TRUE	5
NDUFAB1	170	0.0019	0.8524	TRUE	5
NDUFV2	170	0.0011	0.8434	TRUE	5
SDHA	170	0.0172	0.7277	TRUE	5
ATP5PD	168	0.0017	0.8577	TRUE	5
COX5A	168	3e-04	0.8832	TRUE	5
NDUFA13	168	2e-04	0.8844	TRUE	5
NDUFS4	168	0.0017	0.8787	TRUE	5
NDUFS8	168	0.0014	0.8821	TRUE	5
SDHB	168	0.0121	0.7762	TRUE	5
UQCRB	168	3e-04	0.8812	TRUE	5
COX6B1	166	0	0.8939	FALSE	5
NDUFA2	166	5e-04	0.8957	FALSE	5
NDUFA9	166	0.0015	0.8692	FALSE	5
NDUFB10	166	9e-04	0.8822	FALSE	5
NDUFB5	166	0	0.903	FALSE	5
NDUFB9	166	0	0.9042	FALSE	5
NDUFS1	166	0.0029	0.8704	FALSE	5
NDUFS5	166	0.0039	0.8863	FALSE	5
VDAC1	166	0.0269	0.382	FALSE	1
COX6A1	164	2e-04	0.9115	FALSE	5
COX6A2	164	1e-04	0.9115	FALSE	5
NDUFA12	164	0	0.91	FALSE	5
NDUFA5	164	2e-04	0.9021	FALSE	5
NDUFA6	164	0.0017	0.8895	FALSE	5
NDUFB4	164	5e-04	0.9154	FALSE	5
NDUFB6	164	0	0.922	FALSE	5
UQCR10	164	1e-04	0.9115	FALSE	5
ATP5F1A	162	0.0175	0.7343	FALSE	5
ATP5MC1	162	0.0046	0.8735	FALSE	5
COX4I2	162	0.0021	0.8642	FALSE	5
NDUFA10	162	0.0012	0.9123	FALSE	5
NDUFS6	162	0	0.9324	FALSE	5
NDUFS7	162	0	0.9287	FALSE	5
UQCR11	162	0	0.9299	FALSE	5
COX6C	160	0	0.9313	FALSE	5
NDUFA11	160	2e-04	0.9108	FALSE	5
NDUFB3	160	1e-04	0.9139	FALSE	5
NDUFB7	160	4e-04	0.8987	FALSE	5
NDUFC2	160	0	0.9351	FALSE	5
ATP5PF	158	2e-04	0.9429	FALSE	5
COX7B	158	2e-04	0.9331	FALSE	5
NDUFA1	158	6e-04	0.9374	FALSE	5
NDUFA3	158	1e-04	0.9292	FALSE	5
ATP5F1C	156	0.0037	0.8705	FALSE	5
ATP5PB	156	8e-04	0.9527	FALSE	5
ATP5PO	156	0.0037	0.8951	FALSE	5
NDUFA7	154	1e-04	0.9446	FALSE	5
SDHC	154	0.0067	0.8421	FALSE	5
COX6B2	152	0.0019	0.9225	FALSE	5
ATP5F1E	150	0.0063	0.8595	FALSE	5
ATP5MC3	150	0.007	0.9391	FALSE	5
MTOR	150	0.0393	0.2966	FALSE	1
SDHD	146	0.0018	0.965	FALSE	5
ATP5F1D	144	1e-04	0.9664	FALSE	5
COX8A	144	0.0015	0.9331	FALSE	5
NDUFV3	142	0	0.9525	FALSE	5
NDUFA4L2	140	9e-04	0.9329	FALSE	5
NDUFB1	140	2e-04	0.9528	FALSE	5
NDUFC1	140	1e-04	0.9536	FALSE	5
UQCRHL	140	2e-04	0.9466	FALSE	5
ATP5MC2	138	0.0077	0.9778	FALSE	5
NDUFB2	136	2e-04	0.9609	FALSE	5
BCL2	130	0.0051	0.3716	FALSE	1
COX7A1	130	0	0.9524	FALSE	5
TRAF2	130	0.028	0.4356	FALSE	1
CASP3	124	0.0093	0.3913	FALSE	1
OPTN	122	0.009	0.3311	FALSE	1
COX7B2	120	0.0034	0.952	FALSE	5
BECN1	114	0.0012	0.4674	FALSE	1
PSMA3	108	0.0111	0.6052	FALSE	3
PSMB6	108	0.005	0.58	FALSE	3
DCTN1	106	0.0054	0.3389	FALSE	2
EIF2S1	106	0.0075	0.479	FALSE	3
PSMA6	106	0.0038	0.6263	FALSE	3
PSMD14	106	0.0039	0.6379	FALSE	3
PSMD4	104	0.0021	0.6395	FALSE	3
UBQLN2	104	0.0077	0.4201	FALSE	3
TUBA4A	100	0.0102	0.4384	FALSE	2
BCL2L1	98	0.0072	0.4872	FALSE	1
COX7A2L	98	0.0032	0.915	FALSE	5
SEC13	98	0.0048	0.551	FALSE	4
PSMC2	96	0.0016	0.7349	FALSE	3
RANBP2	96	0.003	0.5656	FALSE	4
C9orf72	94	0.0018	0.3774	FALSE	1
PSMA2	94	0.0024	0.7465	FALSE	3
PSMA7	94	4e-04	0.7623	FALSE	3
PSMC4	94	0.0013	0.7465	FALSE	3
PSMD2	94	2e-04	0.7706	FALSE	3
FUS	92	0.0131	0.4	FALSE	2
HNRNPA1	92	0.0161	0.3855	FALSE	4
KIF5A	90	0.0097	0.3636	FALSE	2
PSMA1	90	0.0017	0.7586	FALSE	3
PSMA4	90	0.002	0.7899	FALSE	3
PSMC3	90	0.0016	0.7596	FALSE	3
PSMC5	90	0.0023	0.7687	FALSE	3
PSMD1	90	0.0026	0.8081	FALSE	3
