Gene	Degree	Betweenness	Clustering	Is_Hub	Community
SOD1	288	0.101	0.1818	TRUE	2
CYCS	272	0.0452	0.4023	TRUE	1
ACTB	234	0.0576	0.2057	TRUE	1
TARDBP	228	0.0513	0.2695	TRUE	1
COX4I1	220	0.0016	0.7029	TRUE	4
HSPA5	220	0.1229	0.2337	TRUE	1
PINK1	220	0.0489	0.3551	TRUE	1
TP53	208	0.032	0.2898	TRUE	1
NDUFS3	204	0.0038	0.7954	TRUE	4
UQCRC1	202	0.0022	0.7923	TRUE	4
NDUFB8	200	0.0022	0.8273	TRUE	4
UQCRC2	200	0.0077	0.8109	TRUE	4
CYC1	198	0.001	0.8242	TRUE	4
NDUFS2	198	0.0033	0.8324	TRUE	4
UQCRFS1	198	6e-04	0.8223	TRUE	4
NDUFA4	196	0.0012	0.8376	TRUE	4
NDUFV1	196	0.0015	0.8367	TRUE	4
UQCRQ	196	0.0015	0.8226	TRUE	4
COX5B	194	2e-04	0.8507	TRUE	4
MT-CO2	194	0.0021	0.8172	TRUE	4
NDUFV2	194	0.0011	0.8381	TRUE	4
PRKN	194	0.0227	0.3099	TRUE	2
UQCRH	194	0.0058	0.8282	TRUE	4
COX5A	192	5e-04	0.8711	TRUE	4
COX7C	192	7e-04	0.861	TRUE	4
NDUFA13	192	3e-04	0.8726	TRUE	4
NDUFA8	192	0.0013	0.8607	TRUE	4
NDUFAB1	192	0.0017	0.8522	TRUE	4
NDUFS4	192	0.0017	0.8682	TRUE	4
NDUFS8	192	0.0012	0.8717	TRUE	4
SDHA	192	0.0163	0.7357	TRUE	4
UQCRB	192	3e-04	0.8686	TRUE	4
COX6B1	190	0	0.8793	TRUE	4
NDUFA2	190	5e-04	0.8824	TRUE	4
NDUFA9	190	0.001	0.8627	TRUE	4
NDUFS1	190	0.0025	0.8618	TRUE	4
ATP5F1B	188	0.0205	0.7069	FALSE	4
COX6A2	188	1e-04	0.8948	FALSE	4
MT-CO1	188	1e-04	0.8568	FALSE	4
MT-CYB	188	1e-04	0.8627	FALSE	4
NDUFA6	188	0.0023	0.8714	FALSE	4
NDUFB10	188	8e-04	0.8774	FALSE	4
NDUFB5	188	0	0.8959	FALSE	4
NDUFB9	188	0	0.8968	FALSE	4
NDUFS5	188	0.0035	0.8815	FALSE	4
SDHB	188	0.011	0.7797	FALSE	4
ATP5F1A	186	0.0181	0.7309	FALSE	4
ATP5MC1	186	0.0061	0.8509	FALSE	4
COX4I2	186	0.0041	0.8551	FALSE	4
NDUFA12	186	0	0.9025	FALSE	4
NDUFA5	186	2e-04	0.8964	FALSE	4
NDUFB4	186	4e-04	0.9063	FALSE	4
NDUFB6	186	0	0.9128	FALSE	4
NDUFS7	186	0	0.9116	FALSE	4
UQCR10	186	1e-04	0.9023	FALSE	4
NDUFA10	184	0.0011	0.9064	FALSE	4
NDUFS6	184	0	0.9221	FALSE	4
SQSTM1	184	0.03	0.2807	FALSE	1
UQCR11	184	0	0.9183	FALSE	4
VCP	184	0.02	0.3244	FALSE	2
COX6A1	182	3e-04	0.9026	FALSE	4
COX6C	182	0	0.9192	FALSE	4
MT-CO3	182	2e-04	0.8708	FALSE	4
NDUFA11	182	2e-04	0.9021	FALSE	4
NDUFB3	182	1e-04	0.9055	FALSE	4
NDUFB7	182	3e-04	0.8918	FALSE	4
NDUFC2	182	0	0.9241	FALSE	4
COX7A2	180	0.0018	0.8402	FALSE	4
COX7B	180	2e-04	0.9208	FALSE	4
MT-ND1	180	0.0016	0.8567	FALSE	4
NDUFA1	180	5e-04	0.9258	FALSE	4
NDUFA3	180	1e-04	0.9181	FALSE	4
ATP5F1C	178	0.0048	0.8524	FALSE	4
ATP5PD	176	0.0019	0.8378	FALSE	4
ATP5PO	176	0.0051	0.8736	FALSE	4
MT-ND4	176	0.0014	0.8775	FALSE	4
NDUFA7	176	0	0.9323	FALSE	4
TNF	176	0.0325	0.3336	FALSE	1
VDAC1	176	0.027	0.3934	FALSE	1
MT-ND2	174	3e-04	0.8998	FALSE	4
SDHC	174	0.006	0.8407	FALSE	4
ATP5MC3	172	0.0085	0.9094	FALSE	4
MT-ND5	170	0	0.9221	FALSE	4
MT-ND3	168	0	0.9211	FALSE	4
ATP5F1D	166	1e-04	0.9324	FALSE	4
NDUFV3	166	0.0011	0.9254	FALSE	4
COX6B2	164	0.002	0.922	FALSE	4
ATP5PB	162	8e-04	0.9241	FALSE	4
ATP5PF	162	2e-04	0.9142	FALSE	4
NDUFB1	162	2e-04	0.9438	FALSE	4
NDUFC1	162	1e-04	0.9389	FALSE	4
SDHD	162	0.0026	0.9475	FALSE	4
ATP5MC2	160	0.0088	0.9405	FALSE	4
UQCRHL	160	2e-04	0.9329	FALSE	4
ATP5F1E	156	0.0067	0.8335	FALSE	4
NDUFA4L2	156	0.0011	0.9264	FALSE	4
NDUFB2	156	1e-04	0.9471	FALSE	4
COX8A	154	0.0015	0.9238	FALSE	4
COX7A1	152	0	0.9481	FALSE	4
MTOR	152	0.0378	0.2961	FALSE	1
MT-ND4L	146	1e-04	0.9391	FALSE	4
MT-ND6	146	0	0.9372	FALSE	4
BCL2	132	0.0045	0.3688	FALSE	1
TRAF2	130	0.0275	0.4356	FALSE	1
COX7B2	128	0.0032	0.9554	FALSE	4
