"Database","ID","Description","direction","mRNA_NES","mRNA_padj","protein_NES","protein_padj"
"KEGG","hsa04082","Neuroactive ligand signaling","DOWN",-1.61676594590105,0.00890248278349504,-2.97933949580678,6.46036034094699e-17
"Reactome","R-HSA-6798695","Neutrophil degranulation","UP",1.34224032804559,0.0231053243248526,2.08139840177928,1.31820248066504e-16
"Reactome","R-HSA-114608","Platelet degranulation","UP",1.54607219711876,0.0400753180456171,2.38042823898985,8.70015887868057e-14
"Reactome","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","UP",1.5673959284734,0.0349443702624832,2.34447812953706,9.37653280839784e-13
"GO","GO:0051336","regulation of hydrolase activity","UP",1.33514013939179,0.0409294327662426,1.90314598413028,6.31659341011114e-10
"GO","GO:0010951","negative regulation of endopeptidase activity","UP",1.84373404768622,0.0282268929122038,2.09678438997403,2.6171226826016e-05
"GO","GO:0007218","neuropeptide signaling pathway","DOWN",-2.1032970170827,0.000302999262874083,-2.31938222786489,3.00041688417283e-05
"KEGG","hsa04080","Neuroactive ligand-receptor interaction","DOWN",-1.80994461344046,3.34686405168626e-05,-1.63687172813363,0.0153390671952276
"Reactome","R-HSA-977225","Amyloid fiber formation","UP",1.9060896249635,0.00780617336725798,2.05229044481273,6.6807582664373e-05
"GO","GO:0007272","ensheathment of neurons","UP",1.95163173722476,0.000285933554790028,1.57096290392538,0.0321842687554292
"GO","GO:0008366","axon ensheathment","UP",1.95163173722476,0.000285933554790028,1.57096290392538,0.0321842687554292
"KEGG","hsa04081","Hormone signaling","DOWN",-1.83056248029766,0.000665366684554131,-1.93109291634087,0.00062743352837683
"GO","GO:0042552","myelination","UP",1.91864511315233,0.000779851972895099,1.57446974426103,0.0284108929869801
"GO","GO:0006820","monoatomic anion transport","DOWN",-1.64687400287234,0.0424989564288113,-1.85340864143418,0.00570221157728105
"Reactome","R-HSA-983169","Class I MHC mediated antigen processing & presentation","UP",1.29126661831079,0.0371085586412826,1.52656228950127,0.00937811391752547
"GO","GO:0015698","inorganic anion transport","DOWN",-1.66640728006233,0.0380604402806499,-1.77266318295875,0.00951223129431346
