"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"GO:0002181","cytoplasmic translation",2.27101781737149,2.66063376677919e-11,1.55780107044921e-07,158,"6189/1974/3646/6125/6139/51389/6129/7812/55854/6159/1983/6146/132864/8894/6144/6154/6194/2332/6202/8669/6133/6229/6187/6135/6451/3921/9349/6130/6138/6222/26986/200916/10605/6124/10492/6128/4904/6233/23521/6235/9147/1660/6201/6206/10480/6224/6136/6152/6218/6156/6147/7311/6161/7555/2107/1968/6207/8667/6209/6122/8562/6164/8661/6132/6157/4690/6175/6204/6223/6137/22849/6231/6160/4686/9045/6143/22916/6170/6188/6193/23057/8663/728689/6210/6158/6176/6208/6181/6173/6134/80315/54505/28985/6191/51386/25873/11224/6230/170506/4733/6205/6217/6228/3192/8668/6142/6171/8665/10399/3184/8664/6155/6141/4736/2197/6203/6232/51441/6168/7884/6167"
"GO:0006457","protein folding",1.92377885556463,1.36351613631869e-08,3.99169348907298e-05,202,"3303/1410/3315/26973/3320/4878/3306/3304/3337/10808/11080/2289/3301/10728/7456/7184/3308/22824/9532/2288/55664/90624/3329/7411/79982/10598/3326/5481/3312/6950/10575/5611/6767/3305/134218/26278/3998/5903/8195/10576/10491/6782/5203/200558/3336/22948/7203/9530/81611/51726/10049/9403/3300/908/126393/10130/9049/120526/10574/10694/9360/2281/9601/55466/134266/6102/3309/821/134492/9529/23071/56886/57003/10294/402/219899/5201/81567/131474/1047/80273/10283/7265"
"GO:0061077","chaperone-mediated protein folding",2.40917524473143,8.27921404591079e-08,0.000121186995597019,71,"3303/3315/26973/3306/3304/3337/10808/11080/2289/10728/2288/7411/79982/3326/5481/3312/6950/10575/6767/3305/10576/10491/6782/5203/3336/22948/7203/10049/3300/908/126393/120526/10574/10694/9601"
"GO:0031647","regulation of protein stability",1.72188742356624,8.04101865778308e-08,0.000121186995597019,324,"3303/1410/8287/338328/3920/3320/3304/9770/51125/11322/10728/9532/55664/57560/6125/3329/124222/5295/64854/10910/5621/3326/8725/6622/57142/3312/6950/10575/23411/5190/5728/2776/825/118611/66036/55737/92703/84327/110599588/7398/285282/26224/51616/6400/55031/650/10576/5217/10491/11236/23376/79657/6135/219333/8774/60485/23011/9349/7341/22948/7203/9530/51701/1389/122830/908/1385/8452/8239/10574/54765/10694/4591/79577/23291/5594/55602/6201/10103/51100/55294/23515/7534/2934/6788/29116/54543/9529/2043/84640/59343/8293/728492/9802/7320/23673/80155/287/11170/836/596/11235/3479/819/5828/7018/100996939/23327/23032/1828/11261/29761/79612/4504/79031"
"GO:0050821","protein stabilization",1.88903959576496,1.20174040644794e-07,0.000140723801595054,206,"3303/1410/338328/3920/3320/3304/9770/51125/11322/10728/9532/55664/57560/6125/3329/124222/5295/3326/8725/57142/6950/10575/5190/5728/2776/118611/66036/84327/110599588/285282/51616/6400/10576/5217/10491/23376/79657/6135/8774/60485/23011/9349/7341/22948/7203/9530/51701/1389/122830/908/1385/8239/10574/54765/10694/4591/6201/10103/55294/23515/6788/9529/2043/7320/23673/80155/287/11235/3479/819/100996939/23032/1828/11261/79612/4504/79031"
"GO:0022010","central nervous system myelination",2.46605460401334,2.18971535239475e-07,0.000183154048403875,26,"84504/4118/5354/443/6900/4099/4336/79152/2824/6663/745/5728/1272/9331/20"
"GO:0032291","axon ensheathment in central nervous system",2.46605460401334,2.18971535239475e-07,0.000183154048403875,26,"84504/4118/5354/443/6900/4099/4336/79152/2824/6663/745/5728/1272/9331/20"
"GO:0007272","ensheathment of neurons",1.95163173722476,4.39522116671264e-07,0.000285933554790028,153,"5010/84504/4118/79628/1902/5354/5653/26022/7368/83700/4155/928/443/6900/4099/9444/4336/79152/8537/10397/118738/2824/22933/6663/2065/745/7572/5454/55331/7852/85465/91137/2581/5728/51090/7504/1075/9928/5129/1739/1272/8898"
"GO:0008366","axon ensheathment",1.95163173722476,4.39522116671264e-07,0.000285933554790028,153,"5010/84504/4118/79628/1902/5354/5653/26022/7368/83700/4155/928/443/6900/4099/9444/4336/79152/8537/10397/118738/2824/22933/6663/2065/745/7572/5454/55331/7852/85465/91137/2581/5728/51090/7504/1075/9928/5129/1739/1272/8898"
"GO:0007218","neuropeptide signaling pathway",-2.1032970170827,5.69255660395373e-07,0.000302999262874083,81,"116/4923/9607/6866/2837/5179/5173/56413/2742/11251/1241/4852/2834/2831/57105/11247/2922/3061/53831/6863/51083/5443/9427"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",1.60406201569502,5.51080501320294e-07,0.000302999262874083,419,"3303/3304/56062/64795/10116/10625/143879/55284/22933/23429/22836/7514/11275/200933/7321/25898/89857/3326/79718/10206/554251/23411/23321/26046/3093/122809/9867/4780/2729/54813/5516/56929/8065/9928/57563/90865/84541/339745/117584/26224/7326/83737/10513/9575/5193/7337/55175/80311/25831/11236/23376/6815/6135/6451/57092/7319/23194/79699/7341/55212/25937/7323/54800/5718/5663/3300/165324/329/57542/11059/8452/51322/4287/8239/137886/8139/51185/196394/51088/6500/26234/9655/89890/1050/996/9147/119504/991/23291/7979/7334/8405/55294/1499/7957/56893/223082/8554/10210/5716/5706/80204/324/9529/246184/6477/130507/7328/55975/9320/51377/8667/84640/1452/5601/6613/8453/7320/151230/25847/79018/10973/80232/1601/26273/5527/25948/819/59349/7018/25879/5683/23327/126433/84078/9097/153830/29761/11337/6502/6478/4193/9817/26235/1161/5707/27351/10213/23510/81790/25852/8945/56888/116138/2932/51433/25853"
"GO:0035082","axoneme assembly",-2.10307047033469,7.95968216182094e-07,0.00038836615881218,77,"85478/254050/374407/54768/2622/54970/22994/92749/51364/348807/55036/27148/255101/27019/27285/123872/85452/54777/26140/9576/50487/221421/200162/146754/345895/387885/25981"
"GO:0006413","translational initiation",2.05714598337647,1.11905645558045e-06,0.000504005811340272,117,"9086/3315/400961/6189/1974/3646/1964/127933/1975/7812/5611/1983/8894/149420/2332/10209/4869/8669/1982/1653/1977/1965/6451/100127983/4528/51247/317649/10605/6059/23521/253943/9669/10480/6218/5610/9689/83939/1968/10289/468/8667/8562/8661/7458/4690/10987/55024/4686/9470/22916/6188/219402/6193/22927/8663/728689/6198"
