"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"GO:0002252","immune effector process",2.36408492029564,6.56270608833225e-30,2.8364015713772e-26,287,"1401/6280/735/4353/629/1991/1511/3493/3502/722/731/718/3263/729/3123/3075/3514/733/2147/3929/727/57126/335/3426/3106/3107/3501/716/710/10875/28452/8288/715/3538/2/51284/336/3500/717/720/306/383/3503/713/28439/28400/100423062/714/28394/3507/3848/28388/3105/725/730/28448/3383/3122/922/100/28451/28386/28461/3078/259307/8741/1191/28984/712/5730/2212/567/3689/3683/29108/5553/972/3936/1075/8547/6891/114770/5788/4192/3494/5777/3080/8673/5873/102723168/3956/3958/8482/3684/2209/3055/10384/28468/7001/1636/3606"
"GO:0006959","humoral immune response",2.57807749672881,3.79952836497212e-28,8.21078079670476e-25,98,"6280/735/629/1991/1511/3493/2243/3502/4069/722/731/5657/718/3263/2244/729/3123/3075/3273/733/2147/6037/5473/727/3827/3426/3501/716/3512/4057/710/715/820/2/3500/283/717/720/3503/713/671/714/6590/3507/3848/3105/725/730/922/7018/3078/28912/1191/28984/712/567/6038/8547/5788/6278/3494/5777/3080/6358/5699/3958"
"GO:0140546","defense response to symbiont",2.09875864366819,1.87086219600982e-26,2.69528880371814e-23,487,"1401/325/6280/6279/735/629/1991/1511/3493/2243/3502/4069/722/731/5657/718/3263/2244/729/3075/3273/733/2147/6037/5473/3929/727/1728/57126/3827/3426/3106/3107/3501/716/3512/4057/710/10875/715/820/2/51284/3500/283/717/720/383/929/3503/3934/713/671/714/8542/6590/3507/3848/3105/725/730/1535/2317/2161/4641/348/7018/3078/7431/857/28912/1191/2810/284297/2634/712/4360/51752/25939/567/29108/972/1536/55647/3687/6038/8547/114770/5788/6278/3494/5777/2633/3080/8673/6672/5873/6358/79792/3958/5371/3684/10241/2209/3055/5919/10432/3606/8942/55646/1520/3146/23052/6622/117159/6387/2207/22933/3093/203068/4792/4332/85236/10859/8970/3304/440275/948/4600"
"GO:0032543","mitochondrial translation",-3.06652699340459,1.95300961829502e-24,2.11022689256777e-21,102,"283459/6472/81554/51649/115416/51116/64432/63931/64963/55699/55005/55168/56945/10102/7818/51021/65080/51067/55278/54948/51069/51073/6182/64981/54534/57038/10352/51204/9553/5188/29074/64965/85476/64976/51081/26589/3396/28977/7284/22868/28998/51373/80222/63875/51642/64928/740/128308/29088/9801/51264/64975/29093/54931/55052/65005/54148/11222/84311/90480/84340/10573/54516/6150/65003/84300/51253/84545/219927/79590/64978/54938/57129/65008/10128/124454/23395/708"
"GO:0140053","mitochondrial gene expression",-2.96751721625226,8.92530469800613e-24,6.42919448413042e-21,123,"283459/6472/81554/51649/115416/51116/64432/79736/63931/64963/55699/55005/55168/56945/10102/7818/6832/51021/65080/51067/55278/54948/51250/51069/51073/6182/64981/54534/57038/10352/51204/7019/60493/9553/5188/29074/64965/85476/80324/64976/51081/26589/3396/28977/9238/7284/22868/28998/51373/80222/9692/63875/51642/64928/740/128308/29088/9801/3028/51264/64975/29093/54931/55052/65005/54148/11222/84311/90480/84340/10573/54516/6150/65003/84300/51253/84545/219927/79590/64978/54938/57129/65008/10128/124454/23395/708"
"GO:0006954","inflammatory response",2.19194838432882,8.81363002931889e-24,6.42919448413042e-21,330,"6288/1401/325/6280/6279/5004/1991/5005/12/5265/4069/3240/718/4318/3123/3700/6291/7057/2147/5473/3929/727/3827/335/4023/197/5345/6289/9332/2335/820/2/51284/3500/720/929/1291/3818/3339/3848/3371/23166/922/100/669/1535/2161/1270/348/1191/11343/2634/712/2212/3689/3683/976/2350/29108/1536/1075/114770/5788/4192/84632/5777/2633/8673/5354/2687/5764/6358/1116/3956/79792/8482/3684/2209/2950/3055/5919/8639/7001/3606/23607/10312/2167/4363/3146/27250/6622/2876/22933/54899"
"GO:0009617","response to bacterium",2.27790498616529,6.27763061439886e-23,3.87598850220456e-20,270,"1401/6280/6279/4353/629/1991/1511/3493/2243/116844/3502/4069/722/3240/718/4318/2244/3123/2147/6037/5473/3929/1728/999/761/3106/3501/3512/4057/4023/84034/8288/820/3500/283/717/306/929/3503/3934/1291/671/11117/6590/3507/3105/725/23166/1535/7018/7431/857/28912/249/1373/284297/2634/4360/51752/567/29108/5553/2289/6038/6891/114770/6278/3494/2633/9590/79792/3684/2209/2950/3055/5919/7001/1636/3606/2167/3146/92140/27250/6622/358/2876/117159/2207"
"GO:0002250","adaptive immune response",2.34181429572812,1.70915349602887e-21,9.23370176229595e-19,193,"735/3493/2243/3502/722/731/718/3263/2244/729/3123/3514/733/727/3426/3106/3107/3501/716/3512/710/28452/28896/28803/715/3538/3500/717/720/383/3503/713/28439/28400/100423062/714/28394/3507/28388/3105/725/730/28448/3383/3122/100/28451/28773/28386/28461/259307/28912/8741/1191/3127/712/51752/2212/567/29108/972/28877/1075/6891/5788/6890/3494/5777/28784/5873/102723168/3956/2209/10384/28468/3606/1520/10312/3146/2207/6778/28822/5321/10859/23075"
"GO:0002443","leukocyte mediated immunity",2.3381284874574,1.34716364175089e-20,6.46937917738595e-18,179,"735/1991/1511/3493/3502/722/731/718/3263/729/3123/3514/733/2147/727/57126/3426/3106/3107/3501/716/710/28452/715/3538/3500/717/720/306/383/3503/713/28439/28400/100423062/714/28394/3507/28388/3105/725/730/28448/3383/3122/28451/28386/28461/259307/8741/1191/712/5730/2212/567/3689/972/1075/6891/5788/3494/5777/8673/5873/102723168/3684/2209/10384/28468/1636/3606"
"GO:0045333","cellular respiration",-2.71707395585607,6.15545466245986e-20,2.66038750511515e-17,167,"6390/79736/93974/4707/5160/539/10476/7388/30968/7384/509/50/2108/2271/1537/9377/9997/2395/5162/514/65084/7385/8604/205/1431/9927/6392/9016/8803/2820/79085/3052/1737/388753/4697/3420/27069/4967/113829/1738/114789/246269/51079/57017/1327/4698/1347/4191/2631/6391/3419/23410/55847/3421/54205/23530/8802/4728/4724/9167/84300/4696/4722/4718/10873/4711/83733/55753/4729/4700/4701/4726/55967/4713/4702/4704/4720/4714/374291/4712/4719/4695/1340/51103/4716/4709/23479/79751/4725/4705/4723/4715/54539/3418/1350/126328"
