"Gene_Symbol","logFC","adjPval"
"SAA1",8.07503603877539,1.67901070690794e-05
"MPZ",6.22683964412018,0.0591656954109586
"CRP",5.88670927404071,0.00135456751273245
"PRX",5.8322256996399,0.0460321644956992
"APCS",5.34932744348186,0.00403052819915131
"COL28A1",4.86990011523262,0.0206138305913943
"S100A9",4.70872983325355,0.00141376103329045
"S100A8",4.70459399892481,0.00202868715802928
"C9",4.53629548739865,0.000106644491851413
"IGKV3-11",4.23203127663728,0.00702694978301951
"ORM1",4.16645973454918,0.000216786591239999
"MPO",4.1616139684871,0.00330686927849181
"CFB",4.06859908829273,0.000106644491851413
"ELANE",3.86917905429459,0.0110317475327086
"CTSG",3.74961318122089,0.00904296411753123
"LUM",3.71083242797524,0.125574490571112
"IGHA1",3.71000311671032,0.0132476031614901
"FGA",3.67931064938275,0.000779773894469581
"ORM2",3.6701453599526,0.000419899628490375
"LRG1",3.53382494201273,0.000717472409315262
"SERPINA3",3.4410139471224,0.00271498875290352
"IGHG3",3.3974807405184,0.0014245103657276
"DCN",3.39099451614038,0.111474344188809
"MYH7",3.29584786732505,0.110609473495361
"SERPINA1",3.24962081233505,0.00303725906787729
"OGN",3.15276481951763,0.211068198871781
"LYZ",3.11792356777663,0.0259578444038274
"MME",3.08315543083095,0.0745076548730218
"VTN",3.0675129831501,0.00993218507544738
"C4BPA",3.06596912493594,0.00311113514067827
"APOH",3.05843180632568,0.00670708566676934
"NA",3.02376405498315,0.00122956922909752
"HP",3.00978333092618,0.00311113514067827
"C8A",2.9642198438344,0.00161099494513284
"FGG",2.93300749254747,0.00330686927849181
"PRTN3",2.93088702771158,0.0110285908193328
"C3",2.92139396818268,0.000725441607588652
"HPX",2.90520375369219,0.00435423525995519
"MMP9",2.88368666971569,0.00276097466849375
"ASPN",2.86670454635089,0.206181610328965
"AMBP",2.86412363940587,0.0209123575439307
"MB",2.85087410691774,0.111309886033504
"LSP1",2.79587605436447,0.00141376103329045
"FGB",2.768234329017,0.00403052819915131
"ITIH3",2.75179867952135,0.000715466545905082
"C6",2.75090231850771,0.00141376103329045
"DRP2",2.74889093333691,0.0641627998111294
"HLA-DRB1",2.72333515571296,0.00111858188393425
"CFH",2.71990250969104,0.00441242213965959
"IGKC",2.71239666553564,0.00701546438253103
"ITIH4",2.70330779100424,0.00670708566676934
"MYL2",2.67438347761348,0.0674782820817924
"SAA4",2.67275980582075,0.00303725906787729
"SERPINF1",2.64143370660326,0.0249504308495506
"HRG",2.62766229922497,0.021570919985545
"C8G",2.57709927871177,0.00117215018563675
