"Database","ID","Description","direction","mRNA_NES","mRNA_padj","protein_NES","protein_padj"
"GO","GO:0002252","immune effector process","UP",1.74138403495634,0.00606555574064587,2.47579925290771,4.45347674646537e-27
"GO","GO:0140546","defense response to symbiont","UP",1.54190707526828,0.0296812710333831,2.25181964820739,6.13602335047658e-27
"GO","GO:0009617","response to bacterium","UP",1.61932258495528,0.0200022849965092,2.4371249931961,6.06877239585089e-24
"GO","GO:0006954","inflammatory response","UP",1.6276387297673,0.011706163341189,2.34636277801827,2.30075064919365e-23
"GO","GO:0002250","adaptive immune response","UP",1.95838707865665,0.00081838448406777,2.50621712207808,5.21283033078951e-22
"GO","GO:0050776","regulation of immune response","UP",1.72186506413212,0.00081838448406777,2.20631232065967,5.21283033078951e-22
"GO","GO:0006959","humoral immune response","UP",1.81344692643942,0.0288235798540522,2.62576735113647,1.04590980370798e-21
"Reactome","R-HSA-6798695","Neutrophil degranulation","UP",1.6904482691956,0.00739999948561329,2.25581614209273,3.27998880320073e-21
"GO","GO:0002443","leukocyte mediated immunity","UP",1.71057903865109,0.0180591709730982,2.48860887358288,3.08340943410819e-20
"GO","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","UP",1.85566209703538,0.00764595600111613,2.53627721813279,6.64436345512046e-20
"GO","GO:0002449","lymphocyte mediated immunity","UP",1.64475646820857,0.043667555094655,2.51541921201216,3.26082313905263e-19
"GO","GO:0045087","innate immune response","UP",1.59683590475714,0.0124789399132264,2.12442305938799,1.15305287928063e-18
"Reactome","R-HSA-1474244","Extracellular matrix organization","UP",1.74143526762431,0.0173540564656406,2.44558230005713,1.88810429785203e-18
"GO","GO:0050778","positive regulation of immune response","UP",1.77206179219526,0.00081838448406777,2.20972550993559,3.8097383847574e-18
"GO","GO:0002684","positive regulation of immune system process","UP",1.84036507920198,3.20477557122769e-05,2.05672360964041,2.83988850617184e-17
"KEGG","hsa04610","Complement and coagulation cascades","UP",1.95780133755581,0.0039277739926155,2.55675074876794,3.28061035278862e-17
"GO","GO:0016064","immunoglobulin mediated immune response","UP",1.80334654282709,0.0367828191437183,2.52517328609339,6.64342601662871e-16
"GO","GO:0019724","B cell mediated immunity","UP",1.80334654282709,0.0367828191437183,2.52517328609339,6.64342601662871e-16
"GO","GO:0032101","regulation of response to external stimulus","UP",1.61832687285717,0.00606555574064587,2.02079648508424,5.19534673167759e-15
"Reactome","R-HSA-977606","Regulation of Complement cascade","UP",1.85408772728391,0.0354052234200034,2.47604098484391,1.53953299639295e-14
"Reactome","R-HSA-166658","Complement cascade","UP",1.94287518220754,0.0173540564656406,2.49353458674816,2.89673615830973e-14
"GO","GO:0002253","activation of immune response","UP",1.565240657424,0.0341612456306897,2.13918236960424,5.28434632900201e-13
"Reactome","R-HSA-109582","Hemostasis","UP",1.60873128233053,0.0210498444706397,2.03278203738964,1.0933014403881e-12
"Reactome","R-HSA-76002","Platelet activation, signaling and aggregation","UP",1.66261495566966,0.0494900197114141,2.25331307409869,1.0933014403881e-12
"GO","GO:0002526","acute inflammatory response","UP",1.82352443818061,0.0288734434004629,2.41298105087079,3.512961142336e-12
"GO","GO:0030155","regulation of cell adhesion","UP",1.65276935949418,0.00390190708900373,2.00227254657033,1.97245538683428e-11
"GO","GO:0006956","complement activation","UP",1.83793444207815,0.0288235798540522,2.38458148801486,2.80382586043306e-11
"GO","GO:0042060","wound healing","UP",1.60138361099879,0.0256407411709468,2.12156708801252,3.2264425298204e-11
"GO","GO:0051241","negative regulation of multicellular organismal process","UP",1.63781453145971,0.00234819596325839,1.9277917142142,4.17215458533423e-11
"GO","GO:0002455","humoral immune response mediated by circulating immunoglobulin","UP",1.91472371791305,0.0128561745183211,2.37973408613122,1.56043886104493e-10
"GO","GO:0001568","blood vessel development","UP",1.63594053332479,0.00982881884819084,1.97944848317583,2.02310403313451e-10
"GO","GO:0009611","response to wounding","UP",1.58867966346804,0.0279198008860739,2.00846846599689,2.73989258781972e-10
"KEGG","hsa05322","Systemic lupus erythematosus","UP",1.80494129706531,0.0257351919284313,2.34503480297459,6.34360164148659e-10
"GO","GO:0001816","cytokine production","UP",1.50047120643337,0.039531376558461,1.9960533454294,9.85324983714109e-10
"KEGG","hsa05150","Staphylococcus aureus infection","UP",2.03898754438232,0.00128772701372174,2.26130568251323,1.08776908968811e-09
"GO","GO:0050900","leukocyte migration","UP",1.96251341900354,0.00081838448406777,2.14768612491783,1.3138944324982e-09
"GO","GO:0001775","cell activation","UP",1.68176049830319,0.00081838448406777,1.86941384247616,1.44545396215364e-09
"GO","GO:0048646","anatomical structure formation involved in morphogenesis","UP",1.53873615489547,0.0101857611315221,1.83673238526444,1.52523021134722e-09
"GO","GO:0001944","vasculature development","UP",1.62451476838313,0.0144289925885507,1.95042428902659,1.52523021134722e-09
"GO","GO:0006909","phagocytosis","UP",1.89279386269727,0.00370745812487841,2.20874350466118,1.70078865838051e-09
"GO","GO:0072359","circulatory system development","UP",1.52834751397027,0.0141632759836005,1.82963122985021,2.23068904841807e-09
"GO","GO:0048514","blood vessel morphogenesis","UP",1.68401133359095,0.00830942839446914,1.97910992243186,4.53311271165664e-09
"GO","GO:0006935","chemotaxis","UP",1.89545382806247,0.000430272092652406,2.09494376225193,5.6292658119457e-09
"GO","GO:0042330","taxis","UP",1.89545382806247,0.000430272092652406,2.09494376225193,5.6292658119457e-09
"GO","GO:0001525","angiogenesis","UP",1.72860898296052,0.00753877973763626,2.0047197060122,2.11175878143406e-08
"GO","GO:0045785","positive regulation of cell adhesion","UP",1.71325992924132,0.00307942655271541,1.99083851862828,4.84974503747443e-08
"Reactome","R-HSA-216083","Integrin cell surface interactions","UP",1.84020858020643,0.0409219461337826,2.29521616200492,9.21022895018939e-08
"GO","GO:0002697","regulation of immune effector process","UP",1.86506691681234,0.00330969374123315,2.10745324521472,1.0232537723126e-07
"GO","GO:1901652","response to peptide","UP",1.70111362728747,0.000921679722461252,1.77334067507171,1.55177357823953e-07
"GO","GO:0035239","tube morphogenesis","UP",1.52697313550114,0.0339127726615784,1.83300838207594,1.95616814694543e-07
"KEGG","hsa04518","Integrin signaling","UP",1.77678490647378,0.0257351919284313,2.13374944056594,3.45398564533547e-07
"GO","GO:0007159","leukocyte cell-cell adhesion","UP",1.77891029869069,0.00266221991715902,2.01226768231191,5.12468699013793e-07
"GO","GO:0097529","myeloid leukocyte migration","UP",1.91684455540202,0.00370745812487841,2.12947275965702,6.3375050597097e-07
"GO","GO:0022407","regulation of cell-cell adhesion","UP",1.61329679685065,0.0187588254568637,1.97186835502988,7.63546685614457e-07
"GO","GO:0002237","response to molecule of bacterial origin","UP",1.79217111946241,0.0114325687899708,2.04233629075992,8.38774818585276e-07
"GO","GO:0060326","cell chemotaxis","UP",1.73323764040464,0.0152969087784924,2.03756744376614,8.80960429829423e-07
"GO","GO:2000145","regulation of cell motility","UP",1.49268251233886,0.0211779904089831,1.68982121934128,9.39629580919151e-07
"GO","GO:0001819","positive regulation of cytokine production","UP",1.5899384191686,0.0354505154588272,1.98205897467004,1.11640918952885e-06
"GO","GO:0034097","response to cytokine","UP",1.66990594135964,0.00195753365851129,1.75477628349336,1.54937550737841e-06
"Reactome","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","UP",1.79001186088072,0.0396626803950996,2.19072987973485,1.65767200842386e-06
"GO","GO:0052548","regulation of endopeptidase activity","UP",1.72006282652186,0.0283913729448619,2.0512119522401,2.48839955310095e-06
"GO","GO:0097530","granulocyte migration","UP",1.88411990116052,0.0131778900249938,2.1497984409391,2.98668962413712e-06
"GO","GO:0030595","leukocyte chemotaxis","UP",1.88129572961857,0.00606555574064587,2.07826833822311,3.32398750045541e-06
"GO","GO:0050865","regulation of cell activation","UP",1.83164224545527,0.00081838448406777,1.89534208275625,3.66154282904751e-06
"GO","GO:0030334","regulation of cell migration","UP",1.52080149712092,0.0181596034412272,1.68188958530903,3.92898508324397e-06
"GO","GO:0032496","response to lipopolysaccharide","UP",1.78433380507212,0.00881442409379799,2.00662005131775,4.85877469036401e-06
"Reactome","R-HSA-1280218","Adaptive Immune System","UP",1.51102246326798,0.0494900197114141,1.67072485328911,6.2546082533373e-06
"Reactome","R-HSA-8957275","Post-translational protein phosphorylation","UP",1.79954520144008,0.0396626803950996,2.10766637068077,1.27312156504987e-05
"GO","GO:0071345","cellular response to cytokine stimulus","UP",1.75040291552368,0.00106893681721226,1.73838762995979,1.88334907717368e-05
"GO","GO:0045321","leukocyte activation","UP",1.77915897235321,0.000324374051387322,1.71108661484822,2.27704763160317e-05
"GO","GO:0002703","regulation of leukocyte mediated immunity","UP",1.73086943428944,0.0427865496649939,2.03798510065155,2.93622359289756e-05
"GO","GO:0032103","positive regulation of response to external stimulus","UP",1.60370954316569,0.0206921788783459,1.75871984353809,3.06571621719734e-05
"GO","GO:1901342","regulation of vasculature development","UP",1.81757365202697,0.01235094349208,1.94774856811261,3.57976233539469e-05
"GO","GO:0022409","positive regulation of cell-cell adhesion","UP",1.64755885552593,0.0339127726615784,1.93386645604712,3.62416998429428e-05
"GO","GO:1990266","neutrophil migration","UP",1.85622731547846,0.0214644746047659,2.06734302613325,4.43717622960076e-05
