"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"hsa04145","Phagosome",2.13907456729939,1.69056224622778e-07,4.59832930973957e-05,47,"3689/7058/3115/4688/4973/3113/3122/3673/7057/3127/3685/718/1520/2213/949/811/1536/3133/5869/3109"
"hsa05150","Staphylococcus aureus infection",2.03898754438232,9.46858098324811e-06,0.00128772701372174,18,"3689/3426/719/3115/3113/3122/3127/718/5648/713/2213/3383/3109/5724/3858"
"hsa04640","Hematopoietic cell lineage",1.99319206648184,2.58442748393932e-05,0.00234321425210498,18,"1441/3115/928/3113/3122/3673/3127/3655/3109"
"hsa04610","Complement and coagulation cascades",1.95780133755581,5.77613822443455e-05,0.0039277739926155,18,"3689/3426/719/2152/718/5648/730/713/7035/710/10544/2157/7056"
"hsa05152","Tuberculosis",1.78924672040783,0.000256014385286708,0.0139271825595969,63,"3689/2207/972/3115/7132/3113/3122/3127/10000/718/1520/2213/5970/1432/5869/3109/1385"
"hsa04514","Cell adhesion molecule (CAM) interaction",1.83500531670444,0.000362643051446056,0.0164398183322212,37,"3689/6402/3115/6383/3113/3122/3127/3685/5792/3655/3383/3133/5788/3109/5802"
"hsa04612","Antigen processing and presentation",1.83696286961695,0.000757639493089949,0.0257351919284313,30,"5641/972/3115/3113/3122/3127/1520/811/3133/3109/1385/2923/567"
"hsa05323","Rheumatoid arthritis",1.81872083800191,0.000744582944945307,0.0257351919284313,25,"3689/3115/3113/3122/3127/3383/2321/3109/6387/284/3725/7099"
"hsa05322","Systemic lupus erythematosus",1.80494129706531,0.00110482943089693,0.0257351919284313,17,"87/3115/3113/3122/3127/718/730/713/3109"
"hsa04060","Cytokine-cytokine receptor interaction",1.79346680741096,0.00113537611448961,0.0257351919284313,36,"1441/9180/3597/657/7132/7852/7048/4055/6376/654/1524/6387/3455/93/3554/7133/7046"
"hsa04518","Integrin signaling",1.77678490647378,0.000944975748833734,0.0257351919284313,49,"87/3689/7058/3371/2335/3673/7057/3685/1278/10000/718/3655/3383/595/2321"
"hsa05140","Leishmaniasis",1.76638883818999,0.0010464901516243,0.0257351919284313,29,"3689/3115/4688/3113/3122/3127/718/1536/5970/1432/3109/5594/3725/3688/7099"
"hsa05168","Herpes simplex virus 1 infection",1.71598610468783,0.00137564414893253,0.028782708346896,56,"972/3115/7132/7157/3113/3122/3127/10000/718/811/3133/5970/3109/5781/2923/567/3455/5371/208/3105/329/5290/8772/1965/6672"
"hsa04080","Neuroactive ligand-receptor interaction",-1.65846859207106,0.00154645892261118,0.0300454876393029,58,"2915/7067/2555/2908/2690/7201/5026/116/148/796/5646/2903/3358/797/2743/3363/3356/6865/3269/1138/2742/2741"
"hsa04670","Leukocyte transendothelial migration",1.72715198282774,0.00199515635782165,0.0361788352884993,32,"87/3689/4688/7410/7852/1536/2773/3383/1432/6387/5781"
