"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"hsa00190","Oxidative phosphorylation",-3.06695491548078,7.38444126799352e-24,2.40732785336589e-21,89,"1345/7384/27089/7385/498/6390/513/539/6391/535/4710/514/9114/54205/4707/7388/10476/522/51079/1327/4697/4728/4724/10632/4701/9167/4696/4713/9377/1329/4714/4711/4719/1347/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/4726/4725/4698/4718/4695"
"hsa04714","Thermogenesis",-2.84462357203262,2.07968317338408e-22,3.38988357261606e-20,148,"509/91942/116228/79133/1345/7384/1376/27089/7385/51241/498/6390/513/539/28958/25915/29078/6391/108/55471/1374/4710/514/23305/4707/7388/10476/388753/522/51079/1327/4697/4728/4724/65260/10632/4701/9167/51103/4696/4713/9377/1329/4714/4711/4719/1347/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/4726/4725/4698/4718/4695"
"hsa05016","Huntington disease",-2.65204449009344,6.15203030668901e-21,6.68520626660206e-19,203,"1173/1212/506/10105/2890/7381/5439/509/293/1345/7384/5438/27089/7385/2915/498/6390/2892/513/539/1742/7417/5332/6391/292/51807/4710/514/7019/7416/54205/4707/7388/10476/522/51079/2893/1327/5434/4697/4728/2891/4724/291/7419/4701/9167/4696/4713/9377/1329/4714/6507/4711/4719/1347/374291/4729/4700/4702/4722/4704/2902/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/4726/4725/4698/4718/4695/6506"
"hsa05012","Parkinson disease",-2.70015069840937,5.10038934089959e-20,4.15681731283317e-18,180,"509/293/1345/9927/7384/27089/7385/2861/498/818/6390/513/539/7054/7417/25828/7314/6391/292/51807/5413/4710/514/7416/54205/4707/7388/2774/10476/522/51079/221074/4128/1327/4697/4728/4724/291/7419/4701/9167/4696/4713/9377/1329/4714/4711/4719/1347/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/4726/4725/4698/4718/4695"
"hsa04610","Complement and coagulation cascades",2.55675074876794,5.03161097053469e-19,3.28061035278862e-17,54,"735/629/5265/2243/722/2244/2266/718/7448/729/731/733/3075/3426/2158/716/2147/727/715/462/3827/710/5340/2/5345/713/720/717/714/3078/3818/2159/2162/3689/730/5104/5627/725/712/3687/3053/3684"
"hsa04723","Retrograde endocannabinoid signaling",-2.88637077469674,2.4685530928284e-18,1.34124718043677e-16,93,"2783/5332/108/2786/4710/10681/4707/51079/2893/4697/4728/2891/2554/4724/4701/57084/2566/4696/4713/4714/4711/4719/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/54539/4726/4725/4698/4718/4695/140679"
"hsa04932","Non-alcoholic fatty liver disease",-2.7824544175373,1.11204479527808e-16,5.1789514751522e-15,97,"3643/1345/7384/9370/27089/7385/6390/6391/4710/54205/4707/7388/51079/1327/4697/4728/4724/4701/9167/4696/4713/9377/1329/4714/4711/4719/1347/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/4726/4725/4698/4718/4695"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",-2.55435254239203,1.17949842680267e-15,4.80645608922089e-14,153,"10105/7381/2053/509/293/4257/1345/7384/27089/7385/498/6390/513/539/7417/6391/292/4710/514/7416/4707/7388/4259/10476/522/51079/1327/4697/4728/4724/1645/291/1956/7419/4701/9167/4696/4713/9377/1329/4714/4711/4719/9446/1347/374291/4729/4700/4702/4722/4704/4720/4712/2952/126328/4709/4716/8644/55967/4705/4723/2953/4715/1340/54539/4726/4725/4698/4718/4695/2949/2948"
"hsa05022","Pathways of neurodegeneration - multiple diseases",-2.08034736534483,4.70380841996005e-13,1.70382393878553e-11,302,"506/324/10105/116442/2890/7381/84134/509/10452/293/1345/9927/7384/5534/27089/7385/2915/2861/498/818/6390/2892/513/539/1742/6262/7417/3028/7314/5332/6391/4842/292/51807/5413/4710/514/7416/54205/4707/7388/10476/522/51079/2893/1327/4697/4728/2891/4724/291/7419/4701/9167/4696/4713/9377/1329/4714/4711/4719/1347/374291/4729/4700/4702/4722/4704/2902/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/4726/4725/4698/4718/4695"
"hsa05010","Alzheimer disease",-2.14568314705514,5.7960559747669e-12,1.88951424777401e-10,236,"509/293/3643/1345/7384/5534/27089/7385/2915/498/6390/513/539/7417/3028/5332/6391/4842/292/51807/4710/514/7416/54205/4707/7388/10476/522/51079/221074/1327/4697/4728/4724/291/7419/4701/9167/4696/4713/9377/1329/4714/4711/4719/1347/374291/4729/4700/4702/4722/4704/2902/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/4726/4725/4698/4718/4695"
