"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport",-3.2309761539542,1.64150665113975e-40,1.93861935499604e-37,194,"521/29090/1346/122961/5091/5160/3052/4200/506/8402/23530/5163/84233/3313/3029/7381/509/91942/2271/81889/25874/116228/135154/79133/1345/55863/2395/7384/27089/7385/51241/5162/498/10873/6390/5164/6341/513/1738/539/55245/9556/28958/25915/9016/7314/3954/3421/8802/29078/4967/28976/5165/6391/1743/55471/8803/9054/4710/514/81689/23410/7416/54205/4707/1431/7388/57128/1737/10476/522/8050/51079/4191/1327/54902/4697/4728/55572/3418/51295/3419/2806/4724/152100/8604/27109/3420/291/10632/79751/4701/9167/51103/4696/4713/9377/1329/4714/4711/84300/4719/1347/374291/4729/4700/4702/4722/4704/4720/9481/4712/126328/4709/4716/728294/55967/4705/4723/4715/1340/54539/23479/4726/4725/4698/4718/4695"
"R-HSA-611105","Respiratory electron transport",-3.21056377507711,4.31058008700813e-31,2.5453975413783e-28,118,"8402/84233/3313/7381/91942/116228/79133/1345/55863/2395/7384/27089/7385/51241/6390/6341/55245/28958/25915/3954/29078/28976/6391/55471/9054/4710/54205/4707/7388/57128/51079/4191/1327/54902/4697/4728/55572/51295/2806/4724/152100/8604/79751/4701/9167/51103/4696/4713/9377/1329/4714/4711/84300/4719/1347/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/23479/4726/4725/4698/4718/4695"
"R-HSA-6798695","Neutrophil degranulation",2.25581614209273,8.33189365758017e-24,3.27998880320073e-21,354,"6280/6279/4353/5004/1511/1991/116844/12/4069/5005/5265/4318/5657/3107/6037/3240/718/3106/4057/10788/5473/8288/820/4311/10875/1/197/3934/57126/929/671/1536/3958/8826/3043/427/383/3689/976/5788/847/1522/1535/258010/3687/8673/29108/6793/6590/1075/5873/5777/9535/3684/2212/6282/567/8904/196527/5284/5337/9725/6278/10312/353/1794/2207/54918/5580/3482/64333/221/4332/10577/963/84329/5553/3683/2512/1520/5175/10092/290/728/79792/4048/1508/1727/81567/64114/51071/8649/10970/3074/272/51411/302/7414/1476/5476/6386/5795/8560/10120/10549/3848/3614/240/26578/2950/2720/55276/684/10533/1832/967/80301/3146/2990/102/3071/203068/327/10493/10487/11240/340061/948/158747/10097"
"R-HSA-6799198","Complex I biogenesis",-3.08825998842471,7.18045179034309e-23,2.1200283910988e-20,52,"84233/3313/91942/79133/55863/25915/29078/28976/55471/4710/4707/51079/4728/55572/51295/4724/4701/51103/4696/4713/4714/4711/4719/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/54539/4726/4725/4698/4718/4695"
"R-HSA-1474244","Extracellular matrix organization",2.44558230005713,7.99366764543621e-21,1.88810429785203e-18,164,"1511/1991/2243/4060/4318/340267/2244/2266/7448/1634/54829/1277/7057/1278/84034/633/5340/2200/2192/2/1295/1293/87/1303/1307/5118/1291/1311/1292/10516/3383/2335/999/3818/11117/1281/3910/3689/3912/3371/871/6696/3690/3687/977/3339/90187/1306/3684/2202/1756/4053/1290/7373/8425/80781/6383/1280/2331/3683/7148/30008/1520/50509/5175/1605/4313/1508/50848/4239/4237/79709/81578/5033/2199"
"R-HSA-9837999","Mitochondrial protein degradation",-2.94065809510859,1.55818052706743e-19,3.06701867077773e-17,78,"51116/5160/4200/506/5163/3313/6687/509/2271/293/133686/6182/27089/7385/9361/5162/1891/498/1738/539/3028/10939/3329/4967/2746/26519/5019/292/5096/217/7019/1431/36/10476/2235/522/51079/4191/1327/1632/4976/197257/3418/3419/10632/9377/1329/26520/4719/4722/4712/4723/622/4695"
"R-HSA-977606","Regulation of Complement cascade",2.47604098484391,9.12508973306573e-17,1.53953299639295e-14,34,"735/1991/629/722/718/7448/729/731/733/3075/3426/716/2147/727/715/710/713/720/717/714/3078/1369/1370/730/5627/725/712"
"R-HSA-166658","Complement cascade",2.49353458674816,1.9622260174833e-16,2.89673615830973e-14,37,"1401/735/1991/629/722/718/7448/729/731/733/3075/3426/716/2147/727/715/710/713/720/717/714/3078/1369/1370/730/5627/725/712"
"R-HSA-5368287","Mitochondrial translation",-2.85385071258344,2.53837797795068e-16,3.33091599106639e-14,76,"51649/64432/9553/26589/51116/85476/10102/51069/51081/65080/51073/51318/28977/51373/29074/54948/64981/7284/6182/64965/64976/63875/55168/84340/740/128308/54534/92399/64975/51264/11222/28998/84545/54148/3396/64978/29088/9801/51642/90480/54516/65005/55052/64928/29093/51253/6150/10573/219927/57129/79590/65003/65008"
"R-HSA-5419276","Mitochondrial translation termination",-2.79722044105068,5.48894269273924e-16,6.48244132012505e-14,71,"56945/51649/64432/9553/26589/51116/51069/51081/65080/51073/51318/28977/51373/29074/54948/64981/6182/64965/64976/63875/55168/84340/740/128308/54534/92399/64975/51264/11222/28998/84545/54148/3396/64978/29088/9801/51642/90480/54516/65005/55052/64928/29093/51253/6150/10573/219927/57129/79590/65003/65008"
"R-HSA-5389840","Mitochondrial translation elongation",-2.79095182820188,6.80626355721646e-16,7.30745205552058e-14,71,"56945/51649/64432/9553/26589/51116/85476/10102/51069/51081/65080/51073/51318/28977/51373/29074/54948/64981/7284/6182/64965/64976/63875/55168/740/128308/54534/64975/51264/11222/28998/84545/54148/3396/64978/29088/9801/51642/90480/65005/55052/64928/29093/51253/6150/10573/219927/57129/79590/65003/65008"
"R-HSA-5368286","Mitochondrial translation initiation",-2.74526465598334,8.05014594056655e-15,7.92268529650758e-13,70,"56945/51649/64432/9553/26589/51116/51069/51081/65080/51073/51318/28977/51373/29074/54948/64981/6182/64965/64976/63875/55168/740/128308/54534/64975/51264/11222/28998/84545/54148/3396/64978/29088/9801/51642/90480/65005/55052/64928/29093/51253/6150/10573/219927/57129/79590/65003/65008"
"R-HSA-76002","Platelet activation, signaling and aggregation",2.25331307409869,1.24493011116661e-14,1.0933014403881e-12,187,"5004/12/5005/5265/2243/2244/2266/350/3699/3700/1277/5473/7057/2147/3273/1278/83706/335/3827/1/197/710/5340/2/5345/87/7078/88/2335/2162/3710/928/5627/5341/3690/7123/5777/11343/6414/3937/2316/7018/10184/2207/5580/8407/5175/1191/7409/813/54331/5919/5321/5267/5770/55970/5336/5099/54518/7414/81/6850/5216/9749/7873"
"R-HSA-109582","Hemostasis",2.03278203738964,1.29603896405025e-14,1.0933014403881e-12,370,"5004/12/5005/5265/2243/5657/2244/2266/350/3699/3700/1277/3512/5473/7057/2158/2147/3273/1278/83706/335/462/3827/1/197/710/5340/57126/338/2/5345/3045/87/7078/88/2335/3818/3043/2159/2162/3689/5104/3710/3047/928/5627/5341/3690/7123/3687/972/3053/5777/11343/3684/6414/3937/2316/857/64780/8832/7018/10184/1794/2207/5580/6383/3683/5025/8407/5175/489/1191/7409/813/54331/23303/2161/5919/5321/50848/5267/23046/5136/5770/55970/5336/5099/54518/302/139818/2995/7414/10544/84617/81/6850/6281/5216/9749/30846/7873/5592/967/3797/409/10749/7280/3675/81704/1893"
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+",2.39743050270264,3.1118827583731e-14,2.45008902509242e-12,100,"5004/12/5005/5265/2243/2244/2266/350/3699/3700/5473/7057/3273/83706/335/3827/1/197/710/5340/2/5345/87/7078/88/2335/2162/928/5627/5341/3690/7123/6414/2316/7018/10184/8407/5175/1191/813/5919/5267/5099/7414/81/5216/9749/7873"
"R-HSA-114608","Platelet degranulation",2.39690514372949,4.2554829728171e-14,3.14107836931062e-12,95,"5004/12/5005/5265/2243/2244/2266/350/3699/3700/5473/7057/3273/83706/335/3827/1/197/710/5340/2/5345/87/7078/88/2335/2162/928/5627/5341/3690/7123/6414/2316/7018/10184/8407/5175/1191/813/5919/5267/5099/7414/81/5216/9749/7873"
"R-HSA-112315","Transmission across Chemical Synapses",-2.27998916388666,2.70774126455715e-12,1.88108378437765e-10,169,"814/2742/6616/23229/6844/777/818/7102/2892/9568/5577/1742/2783/6854/4900/108/2786/5923/2752/51807/2743/10681/217/5864/80331/10368/6532/2774/4128/2893/6812/7915/8224/2744/9254/2550/2891/6853/2554/27165/2566/6507/6857/55799/2902/10369/6538/18/6529/2572/8001/2571/2741/6506/140679"
"R-HSA-112316","Neuronal System",-2.11414353603547,4.43084934200261e-12,2.90712948494727e-10,231,"8514/3766/2561/816/57030/3782/1173/115/43/22999/2890/57669/58512/27020/3746/3736/814/2742/6616/23229/6844/2915/777/818/7102/2892/9568/5577/1742/3737/2783/6854/4900/108/57555/2786/5923/2752/51807/2743/3748/10681/217/5864/80331/10368/6532/2774/3751/4128/2893/6812/7915/8224/2744/9254/2550/2891/6853/2554/27165/2566/9066/6507/6857/55799/2902/10369/6538/18/6529/2572/8001/2571/2741/6506/140679/127833"
"R-HSA-1474228","Degradation of the extracellular matrix",2.32446100462358,8.69750753059267e-11,5.4061875755947e-09,66,"1511/1991/4318/1634/1277/1278/5340/2200/2/1295/1293/1303/1307/1291/1292/2335/999/3818/1281/3912/6696/3339/1306/1290/7373/80781/1280/1520/50509/4313/1508"
"R-HSA-1268020","Mitochondrial protein import",-2.52987644520669,1.19439810338231e-10,7.05292080047256e-09,51,"50/100287932/10063/10165/9804/10440/131474/10245/4580/54927/29090/79145/506/80273/3313/26521/1678/2671/10651/10452/293/2395/92609/498/131118/3421/3329/26517/26519/9868/7416/1431/388753/56993/51025/197257/8604/291/4714/26520/100272147"
"R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors",2.32210580641195,8.88507440053203e-10,4.99679660334682e-08,32,"6288/3240/9332/3263/1277/259/3512/1278/335/348/338/23166/3043/1281/8542/284297/2512"
"R-HSA-216083","Integrin cell surface interactions",2.29521616200492,1.71570734042478e-09,9.21022895018939e-08,58,"2243/4060/2244/2266/7448/1277/7057/1278/2200/1295/1293/1307/1291/1311/1292/3383/2335/999/1281/3689/3371/6696/3690/3687/3339/3684/1290/80781/1280/3683/50509/5175"
"R-HSA-1236975","Antigen processing-Cross presentation",2.21603307701213,3.76423869828891e-09,1.9328547402953e-07,85,"6280/6279/2243/2244/2266/3107/3106/929/1536/3105/6891/6890/1535/4360/8673/6892/5699/567/2209/5696/5721/5720/1520/9902"
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures",2.23397554281931,1.08515604168379e-08,5.33987202178565e-07,31,"4318/1277/1278/1295/1293/1303/5118/1291/1292/1281/977/1306/1290/7373/80781/1280/1520/50509/1508"
"R-HSA-1236974","ER-Phagosome pathway",2.18640995719724,2.42812985080835e-08,1.14704854152186e-06,75,"6280/6279/2243/2244/2266/3107/3106/929/3105/6891/6890/8673/6892/5699/567/5696/5721/5720"
"R-HSA-1474290","Collagen formation",2.22411858648076,3.66836086063233e-08,1.6200526079928e-06,43,"4318/340267/1277/1278/1295/1293/1303/1307/5118/1291/1292/1281/871/977/1306/1290/7373/80781/1280/1520/50509/1508/79709/81578/5033"
"R-HSA-6803157","Antimicrobial peptides",2.21045724596113,3.70376125451359e-08,1.6200526079928e-06,19,"6280/6279/1511/1991/4069/5657/6037/4057/820/3934/671"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",2.19072987973485,3.9301283857636e-08,1.65767200842386e-06,72,"1511/5265/2243/2266/718/2147/1356/335/462/3827/197/348/4240/5340/2200/338/3698/720/2335/3912/3371/3488/64856/8542/6696/336/3053/7018/6383/3489/813/4313"
"R-HSA-3000178","ECM proteoglycans",2.19926474486525,4.44423818698046e-08,1.80987768924963e-06,54,"4060/7448/1634/54829/1277/1278/633/1293/1291/1311/1292/2335/1281/3910/3912/3371/3690/3687/3339/1290/1280/2331/7148/50509/1605"
"R-HSA-9609507","Protein localization",-2.14065161904712,5.02248835311987e-08,1.97718624834485e-06,125,"351/50/100287932/10063/23417/8504/10165/9804/10440/131474/6804/10245/4580/54927/29090/1962/79145/506/80273/3313/2053/1384/26521/8799/10901/1678/2671/10651/10452/293/2395/84896/92609/6844/1891/498/131118/7314/3421/3329/26517/26519/225/23600/9868/7416/1431/388753/56993/51025/197257/54332/8604/291/4714/26520/100272147/10455/26063"
"R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane",2.17016881477484,6.39595658687453e-08,2.15817849402824e-06,67,"6288/6280/6279/2243/2244/2266/929"
"R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade",2.17016881477484,6.39595658687453e-08,2.15817849402824e-06,67,"6288/6280/6279/2243/2244/2266/929"
