PROBEID	SYMBOL	ORIGINAL_ID
ILMN_2053103	SLC40A1	ILMN_2053103
ILMN_1819608	ARRB1	ILMN_1819608
ILMN_1766054	ABCA1	ILMN_1766054
ILMN_1743032	CTSS	ILMN_1743032
ILMN_1798804	SRPK1	ILMN_1798804
ILMN_1741727	QPCT	ILMN_1741727
ILMN_1770803	BNIP2	ILMN_1770803
ILMN_1729318	TOR1AIP1	ILMN_1729318
ILMN_2307740	CD46	ILMN_2307740
ILMN_1752117	PIP4P2	ILMN_1752117
ILMN_1738632	PRKAR1A	ILMN_1738632
ILMN_1803279	TMED5	ILMN_1803279
ILMN_2101278	RGS18	ILMN_2101278
ILMN_1674402	TMEM71	ILMN_1674402
ILMN_1717337	MARCHF7	ILMN_1717337
ILMN_1768870	CAPZA2	ILMN_1768870
ILMN_1903159	PPM1A	ILMN_1903159
ILMN_1727361	LEMD3	ILMN_1727361
ILMN_1711069	YPEL5	ILMN_1711069
ILMN_1715068	AQP9	ILMN_1715068
ILMN_1737462	OXR1	ILMN_1737462
ILMN_1696494	CMTM6	ILMN_1696494
ILMN_1756937	ST8SIA4	ILMN_1756937
ILMN_1807994	PCNP	ILMN_1807994
ILMN_1738784	PPP2R5A	ILMN_1738784
ILMN_1657515	RPS6KA5	ILMN_1657515
ILMN_1682180	VCPIP1	ILMN_1682180
ILMN_2405018	PPP1CB	ILMN_2405018
ILMN_1744534	ETFRF1	ILMN_1744534
ILMN_1742230	BAZ1A	ILMN_1742230
ILMN_1720850	BAZ2B	ILMN_1720850
ILMN_1665557	USP15	ILMN_1665557
ILMN_1792587	VPS4B	ILMN_1792587
ILMN_1813491	SPTLC1	ILMN_1813491
ILMN_1651628	EXOC6	ILMN_1651628
ILMN_1750693	SSR1	ILMN_1750693
ILMN_2307598	SLC37A3	ILMN_2307598
ILMN_1703074	CPD	ILMN_1703074
ILMN_1810729	UBL3	ILMN_1810729
ILMN_1794190	CCPG1	ILMN_1794190
ILMN_1794190	DNAAF4-CCPG1	ILMN_1794190
ILMN_2214678	MXD1	ILMN_2214678
ILMN_1783120	SLMAP	ILMN_1783120
ILMN_1679195	RAB5IF	ILMN_1679195
ILMN_1679195	TGIF2-RAB5IF	ILMN_1679195
ILMN_1725862	USP3	ILMN_1725862
ILMN_1726245	TGFBR2	ILMN_1726245
ILMN_1814247	TCFL5	ILMN_1814247
ILMN_1691559	ELF2	ILMN_1691559
ILMN_1730611	RTN4	ILMN_1730611
ILMN_1795893	TMEM167B	ILMN_1795893
ILMN_1736796	RB1CC1	ILMN_1736796
ILMN_2155322	ZNF652	ILMN_2155322
ILMN_1781580	BRI3	ILMN_1781580
ILMN_1766408	CBFB	ILMN_1766408
ILMN_2358202	SRRT	ILMN_2358202
ILMN_1667430	DEGS1	ILMN_1667430
ILMN_1688702	PJA2	ILMN_1688702
ILMN_1784753	PAIP2	ILMN_1784753
ILMN_1669905	DCP2	ILMN_1669905
ILMN_2087692	CYBRD1	ILMN_2087692
ILMN_1789510	STIP1	ILMN_1789510
ILMN_1697024	STYX	ILMN_1697024
ILMN_1780132	PELI2	ILMN_1780132
ILMN_2076463	SLC15A4	ILMN_2076463
ILMN_1713978	SDF2	ILMN_1713978
ILMN_1769566	ATG3	ILMN_1769566
ILMN_1703330	FEM1C	ILMN_1703330
ILMN_1716797	CD302	ILMN_1716797
ILMN_1716797	LY75-CD302	ILMN_1716797
ILMN_1682316	TRIM33	ILMN_1682316
ILMN_1715991	CAVIN2	ILMN_1715991
ILMN_1797813	SUZ12	ILMN_1797813
ILMN_2316974	LILRB1	ILMN_2316974
ILMN_1661554	DIAPH1	ILMN_1661554
ILMN_1808148	SMCHD1	ILMN_1808148
ILMN_1732985	PHF20L1	ILMN_1732985
ILMN_1719518	ARF4	ILMN_1719518
ILMN_2413259	SOCS4	ILMN_2413259
ILMN_1744963	ERO1A	ILMN_1744963
ILMN_1697153	ZDHHC17	ILMN_1697153
ILMN_1712748	GSKIP	ILMN_1712748
ILMN_1724544	PPP4R1	ILMN_1724544
ILMN_1724139	TMEM123	ILMN_1724139
ILMN_1766798	ACAP2	ILMN_1766798
ILMN_1795089	RASAL3	ILMN_1795089
ILMN_1664776	EFR3A	ILMN_1664776
ILMN_1752927	FHIP2A	ILMN_1752927
ILMN_1768197	PTBP3	ILMN_1768197
ILMN_1688346	ZNF800	ILMN_1688346
ILMN_1788468	ARGLU1	ILMN_1788468
ILMN_1682095	RCOR3	ILMN_1682095
ILMN_1784766	MCM3AP	ILMN_1784766
ILMN_1679268	PELI1	ILMN_1679268
ILMN_1733579	EVI2A	ILMN_1733579
ILMN_1681008	CGRRF1	ILMN_1681008
ILMN_1792508	TMEM59	ILMN_1792508
ILMN_1739586	FEZ2	ILMN_1739586
ILMN_1724533	LY96	ILMN_1724533
ILMN_2155228	CRLF3	ILMN_2155228
ILMN_1770085	BTG2	ILMN_1770085
ILMN_1707286	PLBD1	ILMN_1707286
ILMN_2206272	D2HGDH	ILMN_2206272
ILMN_1760360	LTN1	ILMN_1760360
ILMN_1724753	NIN	ILMN_1724753
ILMN_1656413	ZMPSTE24	ILMN_1656413
ILMN_1700733	ATOSA	ILMN_1700733
ILMN_1666727	ZNF586	ILMN_1666727
ILMN_1691181	TMX1	ILMN_1691181
ILMN_2378100	FBXL5	ILMN_2378100
ILMN_2054297	PTGS2	ILMN_2054297
ILMN_2389376	DCAF11	ILMN_2389376
ILMN_1736510	FOXN2	ILMN_1736510
ILMN_1737426	PCMTD1	ILMN_1737426
ILMN_1737146	TRAM1	ILMN_1737146
ILMN_1750079	PURB	ILMN_1750079
ILMN_1721669	IDH3B	ILMN_1721669
ILMN_1720303	OSTM1	ILMN_1720303
ILMN_2381753	G3BP2	ILMN_2381753
ILMN_1666208	MIS18BP1	ILMN_1666208
