SYMBOL	ORIGINAL_ID
CCDC125	CCDC125
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
DSC2	DSC2
DUSP6	DUSP6
FMN1	FMN1
ZNF90	ZNF90
ENTPD3	ENTPD3
SLC41A2	SLC41A2
NR4A2	NR4A2
ORC5	ORC5
HIST1H2BM	HIST1H2BM
HGF	HGF
DIAPH3	DIAPH3
DSP	DSP
LAMA1	LAMA1
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
CLIC4	CLIC4
PDE1C	PDE1C
EPB41L3	EPB41L3
LRP2	LRP2
TMEM63C	TMEM63C
NPAS2	NPAS2
GSTCD	GSTCD
ID4	ID4
PTPN13	PTPN13
SLC2A12	SLC2A12
C11orf70	C11orf70
LIN28B	LIN28B
BARD1	BARD1
VTRNA2-1	VTRNA2-1
PAX3	PAX3
DCHS2	DCHS2
NARG2	NARG2
AGT	AGT
SYNPR	SYNPR
SFRP2	SFRP2
HMGA2	HMGA2
MIR4687;STIM1	MIR4687;STIM1
VIP	VIP
CALCA	CALCA
ZNF850	ZNF850
TTC3;TTC3P1	TTC3;TTC3P1
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
CD177	CD177
ZNF730	ZNF730
IGF2BP3	IGF2BP3
ROR2	ROR2
ARF4	ARF4
CD177P1	CD177P1
TMOD1	TMOD1
NSD1	NSD1
HIST1H2BH	HIST1H2BH
FGFR2	FGFR2
GALNT6	GALNT6
OTTHUMG00000067411;RP11-706O15.3	OTTHUMG00000067411;RP11-706O15.3
CLIP4	CLIP4
HSPA13	HSPA13
OTTHUMG00000161955;RP11-184E9.4	OTTHUMG00000161955;RP11-184E9.4
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
TTC13	TTC13
CLCN6;NPPA-AS1	CLCN6;NPPA-AS1
SYT13	SYT13
ZNF217	ZNF217
PTPRG	PTPRG
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
CNTN3	CNTN3
MFSD6	MFSD6
ANKDD1A	ANKDD1A
STXBP5-AS1	STXBP5-AS1
GJC1	GJC1
SH3D19	SH3D19
AKT3	AKT3
ODAM	ODAM
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
COMMD10	COMMD10
SLC16A7	SLC16A7
NBLA00301;OTTHUMG00000160783;RP11-471J12.1	NBLA00301;OTTHUMG00000160783;RP11-471J12.1
KRT18	KRT18
NT5DC1	NT5DC1
TPST1	TPST1
CENPE	CENPE
TAPT1	TAPT1
C19orf82	C19orf82
CYTH1	CYTH1
LOC100506453;OTTHUMG00000067421;RP11-706O15.5	LOC100506453;OTTHUMG00000067421;RP11-706O15.5
C1orf126;TMEM51-AS1	C1orf126;TMEM51-AS1
EXD2	EXD2
GPR155	GPR155
INSIG2	INSIG2
ZNF93	ZNF93
AQP4	AQP4
ANKEF1;ANKRD5	ANKEF1;ANKRD5
HYDIN;LOC101060699	HYDIN;LOC101060699
OTTHUMG00000014257;RP11-716O23.2	OTTHUMG00000014257;RP11-716O23.2
CRISPLD2	CRISPLD2
NSMCE4A	NSMCE4A
MAP9	MAP9
AC092168.2;OTTHUMG00000153029	AC092168.2;OTTHUMG00000153029
NBN	NBN
NR3C1	NR3C1
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
OTTHUMG00000067420;RP11-706O15.7	OTTHUMG00000067420;RP11-706O15.7
PNPLA8	PNPLA8
CACHD1	CACHD1
CFH	CFH
ANKRD18A	ANKRD18A
PNRC2	PNRC2
ZNF630	ZNF630
MPDU1	MPDU1
LOC100996626;PNRC2	LOC100996626;PNRC2
B4GALT5	B4GALT5
DHFR	DHFR
HIF1A	HIF1A
CACNB2	CACNB2
ATP6V1G2	ATP6V1G2
TRIM71	TRIM71
MAN2A2	MAN2A2
GAL	GAL
ERP27	ERP27
HIST1H2BD	HIST1H2BD
TREM1	TREM1
PSAT1	PSAT1
SLC6A17	SLC6A17
PRDX3	PRDX3
PCDHB10;PCDHB9	PCDHB10;PCDHB9
SYNM	SYNM
KCTD15	KCTD15
COG1	COG1
PHF17	PHF17
LIN28A	LIN28A
PREPL	PREPL
ALG3	ALG3
TMEM66	TMEM66
SPP1	SPP1
GARNL3	GARNL3
C2CD2L	C2CD2L
KIAA1009	KIAA1009
ZNRF3	ZNRF3
MEF2D	MEF2D
RPS6KC1	RPS6KC1
MICAL3;OTTHUMG00000150085;XXbac-B461K10.4	MICAL3;OTTHUMG00000150085;XXbac-B461K10.4
ATP1B2	ATP1B2
HIST2H3A;HIST2H3C;HIST2H3D	HIST2H3A;HIST2H3C;HIST2H3D
MAGEH1	MAGEH1
