SYMBOL	ORIGINAL_ID
CLU	CLU
BX571672.1;OTTHUMG00000013471	BX571672.1;OTTHUMG00000013471
POLR2J2;POLR2J3;UPK3BL	POLR2J2;POLR2J3;UPK3BL
OTTHUMG00000021054;RP11-309M23.1	OTTHUMG00000021054;RP11-309M23.1
SLC15A4	SLC15A4
OTTHUMG00000020572;PSMD5-AS1;RP11-27I1.2	OTTHUMG00000020572;PSMD5-AS1;RP11-27I1.2
NRN1	NRN1
VSIG10	VSIG10
LOC100287894;LOC100996328;LOC100996502;LOC101059936;LOC101060494;LOC101060495	LOC100287894;LOC100996328;LOC100996502;LOC101059936;LOC101060494;LOC101060495
POLR2J3;UPK3BL	POLR2J3;UPK3BL
LY6E	LY6E
CLIC6	CLIC6
ZNF454	ZNF454
SHOX2	SHOX2
ZNF568	ZNF568
CENPVP1;CENPVP2	CENPVP1;CENPVP2
KIF13B	KIF13B
CDH12	CDH12
RRN3	RRN3
AMOT;MIR4329	AMOT;MIR4329
LOC100286914;LOC100288646;LOC100653358;LOC101060626	LOC100286914;LOC100288646;LOC100653358;LOC101060626
OTTHUMG00000002331;RP5-857K21.4	OTTHUMG00000002331;RP5-857K21.4
ZIC3	ZIC3
PIFO	PIFO
ATP6V1B1	ATP6V1B1
CACHD1	CACHD1
SAT1	SAT1
ISL1	ISL1
HIATL1	HIATL1
BX004987.4;OTTHUMG00000013470	BX004987.4;OTTHUMG00000013470
HOXA10-HOXA9;HOXA9;MIR196B;OTTHUMG00000170193;RP1-170O19.20	HOXA10-HOXA9;HOXA9;MIR196B;OTTHUMG00000170193;RP1-170O19.20
BOD1L1	BOD1L1
ZNF217	ZNF217
KDM6A	KDM6A
MYO5C	MYO5C
GM2A	GM2A
RFT1	RFT1
TNFRSF11B	TNFRSF11B
CDON	CDON
NOC2L	NOC2L
LOC100233156;LOC389834	LOC100233156;LOC389834
CTNNB1	CTNNB1
KIAA1324L	KIAA1324L
CLIC4	CLIC4
FTLP3	FTLP3
ZNF667-AS1	ZNF667-AS1
TTN-AS1	TTN-AS1
ZNRF2	ZNRF2
MIR221	MIR221
SLC2A14	SLC2A14
ZNF667	ZNF667
HLA-DRB5	HLA-DRB5
ARNT2	ARNT2
KRT8	KRT8
CDKL5	CDKL5
ZNF502	ZNF502
DIAPH3	DIAPH3
PDE9A	PDE9A
FTL	FTL
PABPC1L	PABPC1L
OTTHUMG00000067411;RP11-706O15.3	OTTHUMG00000067411;RP11-706O15.3
LINC00266-1	LINC00266-1
SLFN12	SLFN12
AC009784.3;OTTHUMG00000155618	AC009784.3;OTTHUMG00000155618
OR4F2P	OR4F2P
SLC30A6	SLC30A6
LOC90784	LOC90784
LOC389906;OTTHUMG00000067412;RP11-706O15.1	LOC389906;OTTHUMG00000067412;RP11-706O15.1
POLR2J4	POLR2J4
HERC2P3	HERC2P3
ZFP28	ZFP28
PLAGL1	PLAGL1
PCP4	PCP4
MID1	MID1
MLLT3	MLLT3
TMEM47	TMEM47
MTM1	MTM1
STX1A	STX1A
SLC48A1	SLC48A1
JPX	JPX
STX16	STX16
NSF;NSFP1	NSF;NSFP1
WDR17	WDR17
PHKA2	PHKA2
OTTHUMG00000013250;RP11-187C18.2	OTTHUMG00000013250;RP11-187C18.2
MRPL52	MRPL52
AGTRAP	AGTRAP
SLFN13	SLFN13
MYO5B	MYO5B
ESRP1	ESRP1
JRK	JRK
CFTR	CFTR
HLA-DRB1	HLA-DRB1
HERC2P2	HERC2P2
RRN3P3	RRN3P3
OTTHUMG00000161235;RP11-745L13.2	OTTHUMG00000161235;RP11-745L13.2
MYOM2	MYOM2
KBTBD11	KBTBD11
SLC2A3	SLC2A3
MAFIP;TEKT4P2	MAFIP;TEKT4P2
ACCS	ACCS
IGLL3P	IGLL3P
CYP2S1	CYP2S1
TSPAN6	TSPAN6
MCCC2	MCCC2
AIFM1	AIFM1
AC138035.1;LOC100286914;LOC100288646;LOC100653358;LOC101060626;OTTHUMG00000162985	AC138035.1;LOC100286914;LOC100288646;LOC100653358;LOC101060626;OTTHUMG00000162985
KRT18	KRT18
MIR622	MIR622
HLA-DRB1;LOC100507709;LOC100507714	HLA-DRB1;LOC100507709;LOC100507714
FAM78B	FAM78B
PARN	PARN
LOC643837;OTTHUMG00000002468;RP11-206L10.11	LOC643837;OTTHUMG00000002468;RP11-206L10.11
HERC2P9	HERC2P9
SORD	SORD
MOSPD1	MOSPD1
PRRG1	PRRG1
OTTHUMG00000022425;RP5-842K24.2	OTTHUMG00000022425;RP5-842K24.2
HYMAI	HYMAI
OTTHUMG00000021411;RP5-1158E12.3	OTTHUMG00000021411;RP5-1158E12.3
LOC100506453;OTTHUMG00000067421;RP11-706O15.5	LOC100506453;OTTHUMG00000067421;RP11-706O15.5
LOC100996747;RPS26	LOC100996747;RPS26
RABL3	RABL3
LOC100130219;RAD52	LOC100130219;RAD52
RRN3P2	RRN3P2
MIR4450	MIR4450
RAP2C	RAP2C
RPS26P11	RPS26P11
SCNN1A	SCNN1A
OTTHUMG00000019963;RP11-561O23.8	OTTHUMG00000019963;RP11-561O23.8
ACAA2	ACAA2
BX571672.3;OTTHUMG00000013473	BX571672.3;OTTHUMG00000013473
SHISA2	SHISA2
PLTP	PLTP
PHF17	PHF17
ADCY7	ADCY7
RAD51B	RAD51B
SLC8A1	SLC8A1
MCM8	MCM8
NKX6-1	NKX6-1
C20orf166-AS1	C20orf166-AS1
BLOC1S2	BLOC1S2
NETO1	NETO1
RAPGEF6	RAPGEF6
GPC4	GPC4
LRRFIP1	LRRFIP1
FERMT1	FERMT1
C8orf37	C8orf37
DCAF16	DCAF16
WEE1	WEE1
M6PR	M6PR
NYAP2	NYAP2
AC067961.1;OTTHUMG00000153466	AC067961.1;OTTHUMG00000153466
LSR	LSR
NEK9	NEK9
TAF1C	TAF1C
GALNT12	GALNT12
RPS6KA3	RPS6KA3
SH3D19	SH3D19
KC6	KC6
TSPAN31	TSPAN31
BCKDHB	BCKDHB
JUN	JUN
HLA-DRB1;HLA-DRB3	HLA-DRB1;HLA-DRB3
CPNE7	CPNE7
CTDSP2	CTDSP2
SPTLC3	SPTLC3
NKAIN2	NKAIN2
DDR1	DDR1
OTTHUMG00000163579;RP11-281O15.4	OTTHUMG00000163579;RP11-281O15.4
OTTHUMG00000039860;RP11-261C10.2	OTTHUMG00000039860;RP11-261C10.2
ALG10;ALG10B	ALG10;ALG10B
ZFHX3	ZFHX3
RBM47	RBM47
ATG4A	ATG4A
ITPRIPL1	ITPRIPL1
COL4A5	COL4A5
LEO1	LEO1
ACPP	ACPP
SLITRK5	SLITRK5
DDR1	DDR1
DDR1	DDR1
AC069277.2;OTTHUMG00000154923	AC069277.2;OTTHUMG00000154923
TMEM38B	TMEM38B
OTTHUMG00000015493;RP11-160A10.2	OTTHUMG00000015493;RP11-160A10.2
BST2	BST2
SDSL	SDSL
OTTHUMG00000018330;RP11-222A11.1	OTTHUMG00000018330;RP11-222A11.1
TMEM209	TMEM209
NCALD	NCALD
SP1	SP1
ENAH	ENAH
LYNX1	LYNX1
MCAT	MCAT
SEPT12	SEPT12
ETFB	ETFB
ZNF471	ZNF471
LOC642366	LOC642366
DLGAP1-AS1	DLGAP1-AS1
SLC35C2	SLC35C2
CXorf38	CXorf38
MAFA	MAFA
PCDH15	PCDH15
HLA-DRB1;HLA-DRB3	HLA-DRB1;HLA-DRB3
IQGAP2	IQGAP2
SMARCA1	SMARCA1
SLCO6A1	SLCO6A1
ALG6	ALG6
KRT8	KRT8
LBX1-AS1;OTTHUMG00000018928;RP11-107I14.1	LBX1-AS1;OTTHUMG00000018928;RP11-107I14.1
PCDHGA9	PCDHGA9
ALX3	ALX3
DDR1	DDR1
USP9X	USP9X
FAM83B	FAM83B
FTX	FTX
KCNH1	KCNH1
OTTHUMG00000164182;RP11-398H6.1	OTTHUMG00000164182;RP11-398H6.1
HNMT	HNMT
NQO1	NQO1
SCAPER	SCAPER
DOCK11	DOCK11
ST6GALNAC2	ST6GALNAC2
TRIM36	TRIM36
SLC27A2	SLC27A2
RNU2-4P	RNU2-4P
C6orf174;KIAA0408;OTTHUMG00000166438;SOGA3	C6orf174;KIAA0408;OTTHUMG00000166438;SOGA3
EFNB1	EFNB1
PTPRG	PTPRG
DDR1;MIR4640	DDR1;MIR4640
PIK3R4	PIK3R4
OTTHUMG00000013293;RP11-262H14.3	OTTHUMG00000013293;RP11-262H14.3
LRP2	LRP2
MOCOS	MOCOS
TMEM194A	TMEM194A
A2M	A2M
FAP	FAP
ZIC2	ZIC2
PRSS8	PRSS8
OTTHUMG00000008392;PPIEL;RP11-69E11.4	OTTHUMG00000008392;PPIEL;RP11-69E11.4
HLA-DRB1;HLA-DRB3	HLA-DRB1;HLA-DRB3
METTL17	METTL17
EXT2	EXT2
OTTHUMG00000017996;RP11-291L22.4	OTTHUMG00000017996;RP11-291L22.4
RRN3P1	RRN3P1
TAB3	TAB3
IFITM1	IFITM1
ERMP1	ERMP1
RPS26P11	RPS26P11
VRK2	VRK2
DKFZP686I15217;OTTHUMG00000014128;RP1-90J20.7	DKFZP686I15217;OTTHUMG00000014128;RP1-90J20.7
ANXA1	ANXA1
GPR108	GPR108
DPY19L2	DPY19L2
STX17	STX17
HPS3	HPS3
LOC727751;LOC80154	LOC727751;LOC80154
DPY19L1;MIR548N	DPY19L1;MIR548N
OTTHUMG00000067420;RP11-706O15.7	OTTHUMG00000067420;RP11-706O15.7
ALDH6A1	ALDH6A1
MBNL3	MBNL3
STX3	STX3
