SYMBOL	ORIGINAL_ID
SNORD133	SNORD133
SCARNA12	SCARNA12
PKHD1L1	PKHD1L1
SNORA12	SNORA12
SCARNA21	SCARNA21
ABHD17A	ABHD17A
SLC16A12	SLC16A12
ACTG2	ACTG2
SCARNA7	SCARNA7
MGP	MGP
SCARNA9	SCARNA9
CSTB	CSTB
GAR1	GAR1
SEC61G	SEC61G
PLEKHM2	PLEKHM2
C7	C7
OGN	OGN
RABL6	RABL6
TFG	TFG
ZNF853	ZNF853
SNRPF	SNRPF
ZNF358	ZNF358
ADGRG6	ADGRG6
ZNF444	ZNF444
PPP1R16A	PPP1R16A
FASTK	FASTK
COL3A1	COL3A1
MIR3609	MIR3609
FAM193B	FAM193B
FIZ1	FIZ1
COL6A3	COL6A3
NUBP2	NUBP2
SNORD17	SNORD17
SCARNA28	SCARNA28
MBD3	MBD3
SNORA28	SNORA28
NDUFB1	NDUFB1
RMRP	RMRP
FBXW5	FBXW5
F13A1	F13A1
USF2	USF2
PLN	PLN
DCN	DCN
AKT1	AKT1
SCARNA6	SCARNA6
MARCH2	MARCH2
SCARNA5	SCARNA5
PALM	PALM
MLLT6	MLLT6
ADH1B	ADH1B
COL1A2	COL1A2
EEF2	EEF2
SCARNA9L	SCARNA9L
SHARPIN	SHARPIN
SBF1	SBF1
WIZ	WIZ
ECEL1	ECEL1
GPC3	GPC3
PET100	PET100
MIR4721	MIR4721
SPHK2	SPHK2
BTBD2	BTBD2
SCARNA10	SCARNA10
TBX18	TBX18
WBP1	WBP1
DGCR6L	DGCR6L
USE1	USE1
BMP5	BMP5
ZNF688	ZNF688
TNFSF12-TNFSF13	TNFSF12-TNFSF13
CFH	CFH
STK11	STK11
ARHGAP36	ARHGAP36
TRAPPC2	TRAPPC2
FER1L6	FER1L6
WDR24	WDR24
MIR4523	MIR4523
INO80B-WBP1	INO80B-WBP1
MLST8	MLST8
SENP3	SENP3
MCRS1	MCRS1
CYP1B1	CYP1B1
B4GALT2	B4GALT2
FAM98C	FAM98C
NELFB	NELFB
ATP5ME	ATP5ME
MARCO	MARCO
DVL1	DVL1
MBNL1	MBNL1
FKBP8	FKBP8
RPS29	RPS29
FGF7	FGF7
CIC	CIC
VPS51	VPS51
CPZ	CPZ
SNHG10	SNHG10
MYH11	MYH11
SNORA57	SNORA57
HDAC5	HDAC5
ITIH2	ITIH2
LRRC14	LRRC14
ZC3H7B	ZC3H7B
SNORD115-1	SNORD115-1
SCRIB	SCRIB
CBLL1	CBLL1
IGF2	IGF2
7SK:RNA:RNA	7SK:RNA:RNA
SCARNA13	SCARNA13
DSP	DSP
FRZB	FRZB
CSNK1G2	CSNK1G2
INS-IGF2	INS-IGF2
ITM2B	ITM2B
DEAF1	DEAF1
CAPN15	CAPN15
ZNF213	ZNF213
COL1A1	COL1A1
REPIN1	REPIN1
TNK2	TNK2
MRPL33	MRPL33
MRPL41	MRPL41
MIR636	MIR636
WDR13	WDR13
LTBP2	LTBP2
GAS2L1	GAS2L1
GAL	GAL
GNG7	GNG7
ADAP1	ADAP1
TMEM41B	TMEM41B
TSR3	TSR3
ERCC1	ERCC1
FMO2	FMO2
NR1H2	NR1H2
SNHG21	SNHG21
PPP1R12C	PPP1R12C
MIR6501	MIR6501
SLC5A5	SLC5A5
UBE2E2	UBE2E2
C8orf82	C8orf82
ZNF771	ZNF771
FAAP20	FAAP20
GPR137	GPR137
FAM89B	FAM89B
SLC25A39	SLC25A39
TADA3	TADA3
GLI4	GLI4
Kanga11a:TcMar-Tc2:DNA	Kanga11a:TcMar-Tc2:DNA
CACTIN	CACTIN
ZNF219	ZNF219
THOP1	THOP1
FHL5	FHL5
CLEC2B	CLEC2B
THTPA	THTPA
SLC22A8	SLC22A8
C19orf47	C19orf47
SNRPG	SNRPG
NSMF	NSMF
C19orf25	C19orf25
B4GALNT4	B4GALNT4
GNA11	GNA11
ERO1B	ERO1B
CALCR	CALCR
MCRIP1	MCRIP1
CD46	CD46
FOXC1	FOXC1
SLC39A13	SLC39A13
TTLL12	TTLL12
LEPR	LEPR
CDYL	CDYL
ZNRF2P2	ZNRF2P2
TNFSF12	TNFSF12
AKR1E2	AKR1E2
NUDT22	NUDT22
HSF1	HSF1
VGLL3	VGLL3
MAP3K10	MAP3K10
MIB2	MIB2
GUK1	GUK1
ZBTB17	ZBTB17
VWA5B2	VWA5B2
DCXR	DCXR
GIPC1	GIPC1
SLC6A20	SLC6A20
SNORA72	SNORA72
UCK1	UCK1
RCC1L	RCC1L
TMUB1	TMUB1
DEF8	DEF8
COL8A1	COL8A1
BRSK1	BRSK1
OMD	OMD
CNEP1R1	CNEP1R1
ERH	ERH
LINC00840	LINC00840
SNORD115-42	SNORD115-42
EPN1	EPN1
CHIC2	CHIC2
ZMAT5	ZMAT5
MUM1	MUM1
MMRN1	MMRN1
BAG6	BAG6
NDRG2	NDRG2
DENND4B	DENND4B
SLC13A4	SLC13A4
CIB2	CIB2
RPL13P5	RPL13P5
RPL18	RPL18
PARP3	PARP3
LVRN	LVRN
SSNA1	SSNA1
CHIT1	CHIT1
PI15	PI15
UBXN6	UBXN6
GP1BB	GP1BB
TBC1D16	TBC1D16
MXD1	MXD1
INMT	INMT
ARHGEF10L	ARHGEF10L
AIFM3	AIFM3
MFSD3	MFSD3
REXO1	REXO1
SMARCD3	SMARCD3
KRT19	KRT19
ANKRD13D	ANKRD13D
C5orf15	C5orf15
SNTA1	SNTA1
ST6GALNAC6	ST6GALNAC6
GRK6	GRK6
PCBP2-OT1	PCBP2-OT1
NME4	NME4
GPR108	GPR108
IRAK1	IRAK1
TBKBP1	TBKBP1
POLRMT	POLRMT
RPUSD1	RPUSD1
AMMECR1	AMMECR1
LPXN	LPXN
KRBA1	KRBA1
RSG1	RSG1
PTGFR	PTGFR
UGDH	UGDH
FMOD	FMOD
MIR4458HG	MIR4458HG
FAM46A	FAM46A
TMEM71	TMEM71
CAPN10	CAPN10
PPP1R1B	PPP1R1B
ZNF414	ZNF414
ARMC5	ARMC5
ZBTB45	ZBTB45
POMC	POMC
UBE2B	UBE2B
MPZL2	MPZL2
TXNRD2	TXNRD2
ZNF768	ZNF768
ASPSCR1	ASPSCR1
LRP3	LRP3
ATN1	ATN1
PPP1R1A	PPP1R1A
TIMM13	TIMM13
C7orf50	C7orf50
LRRC4B	LRRC4B
PGR	PGR
UBAC1	UBAC1
SNORD115-39	SNORD115-39
MZT2B	MZT2B
PDLIM1	PDLIM1
RBMS3	RBMS3
ITPK1	ITPK1
PPP6R1	PPP6R1
RAB21	RAB21
H19	H19
DNAJC4	DNAJC4
SNHG19	SNHG19
IRF6	IRF6
DPP7	DPP7
PINK1	PINK1
UBE2D1	UBE2D1
PC	PC
SGPP1	SGPP1
PCAT19	PCAT19
TMEM8A	TMEM8A
MTSS1L	MTSS1L
PERP	PERP
KDELR2	KDELR2
TMEM129	TMEM129
CCNT2	CCNT2
LOC108783654	LOC108783654
TESK1	TESK1
SNORA81	SNORA81
DEXI	DEXI
ZNRF2P1	ZNRF2P1
KRT10	KRT10
ERP44	ERP44
CMC1	CMC1
FUBP1	FUBP1
TMEM33	TMEM33
MAP4K3	MAP4K3
SCAF1	SCAF1
CDK16	CDK16
RFXANK	RFXANK
PPARD	PPARD
PLEKHJ1	PLEKHJ1
PPP1R3F	PPP1R3F
PITPNM1	PITPNM1
SNORA100	SNORA100
CHMP6	CHMP6
MSRB1	MSRB1
THAP7	THAP7
RALGPS2	RALGPS2
POLR2E	POLR2E
SARDH	SARDH
UBTD1	UBTD1
ALG10	ALG10
AUH	AUH
ECSCR	ECSCR
ZSWIM9	ZSWIM9
TMEM135	TMEM135
SNORA53	SNORA53
BAP1	BAP1
GTPBP6	GTPBP6
MRC1	MRC1
PDCD4	PDCD4
C8orf59	C8orf59
MCRIP2	MCRIP2
MAP4K2	MAP4K2
RBM15B	RBM15B
FAM173A	FAM173A
PLAC8	PLAC8
SORBS3	SORBS3
PPP1R9B	PPP1R9B
HSPB6	HSPB6
CSNK1E	CSNK1E
MOSPD3	MOSPD3
SLC16A4	SLC16A4
GABRE	GABRE
TAF6	TAF6
HERPUD1	HERPUD1
EVI5L	EVI5L
CSTF3	CSTF3
MIR937	MIR937
TNFSF13B	TNFSF13B
CCDC85B	CCDC85B
SLC25A23	SLC25A23
ARC	ARC
TBC1D13	TBC1D13
NTNG2	NTNG2
GLIS1	GLIS1
KIF5A	KIF5A
UBAP2	UBAP2
MIR1909	MIR1909
CDC23	CDC23
PRRC2A	PRRC2A
MELTF	MELTF
FBRSL1	FBRSL1
RC3H1	RC3H1
TRMT2A	TRMT2A
DNLZ	DNLZ
TELO2	TELO2
R3HDM4	R3HDM4
KCNN1	KCNN1
ARL6IP4	ARL6IP4
PEX16	PEX16
ERCC2	ERCC2
TFPT	TFPT
SSBP4	SSBP4
POLR2J3	POLR2J3
MIR658	MIR658
MYCT1	MYCT1
SH3GL1	SH3GL1
CTU2	CTU2
DDX5	DDX5
GLIS2	GLIS2
ECI1	ECI1
PXMP2	PXMP2
LOC400927-CSNK1E	LOC400927-CSNK1E
STEAP4	STEAP4
INO80E	INO80E
EHMT2	EHMT2
GON4L	GON4L
SAMD1	SAMD1
CCDC97	CCDC97
DDX54	DDX54
LRCH2	LRCH2
FBXW4	FBXW4
GPS2	GPS2
SCARNA17	SCARNA17
SMARCC2	SMARCC2
ASPHD1	ASPHD1
HSPE1	HSPE1
SNORD5	SNORD5
SEPT9	SEPT9
CRIPT	CRIPT
MLYCD	MLYCD
TRIM8	TRIM8
SCAND1	SCAND1
INPP5K	INPP5K
ENHO	ENHO
RSRC2	RSRC2
ZNF205	ZNF205
SMIM27	SMIM27
VEGFB	VEGFB
MAPKAP1	MAPKAP1
CXADR	CXADR
SVA_D:SVA_D:Other	SVA_D:SVA_D:Other
RPS6KA4	RPS6KA4
WDR86-AS1	WDR86-AS1
GPX8	GPX8
TRIM41	TRIM41
GJA5	GJA5
E4F1	E4F1
CLIC2	CLIC2
CTDNEP1	CTDNEP1
EGLN2	EGLN2
HIRA	HIRA
RPS19BP1	RPS19BP1
RNF126	RNF126
ATP6V1G2-DDX39B	ATP6V1G2-DDX39B
TRAF7	TRAF7
TMEM65	TMEM65
GOLT1B	GOLT1B
GABRQ	GABRQ
ALDH4A1	ALDH4A1
TMEM201	TMEM201
MIR4687	MIR4687
LRRC75B	LRRC75B
PCYT2	PCYT2
SNORA48	SNORA48
GIT1	GIT1
WDTC1	WDTC1
ZNF385A	ZNF385A
FCHO2	FCHO2
TRMT61A	TRMT61A
CLIP2	CLIP2
TMEM30B	TMEM30B
KRT18	KRT18
TMEM263	TMEM263
THRA	THRA
LINC00982	LINC00982
CNOT6L	CNOT6L
TSSC4	TSSC4
SGSM2	SGSM2
LOX	LOX
ADCY5	ADCY5
PELP1	PELP1
ZNF428	ZNF428
ARRDC1-AS1	ARRDC1-AS1
BAD	BAD
DIRAS3	DIRAS3
HCN2	HCN2
NEU4	NEU4
KIFC2	KIFC2
FAM219A	FAM219A
MXD4	MXD4
LENG9	LENG9
MZT2A	MZT2A
SYMPK	SYMPK
FBXO27	FBXO27
CTNNBIP1	CTNNBIP1
NOL3	NOL3
HPS1	HPS1
SLPI	SLPI
TFPI	TFPI
SNORD50A	SNORD50A
MFSD14A	MFSD14A
TAF6L	TAF6L
BRI3	BRI3
ASRGL1	ASRGL1
TARBP2	TARBP2
LINC00924	LINC00924
ANKRD9	ANKRD9
CDK11B	CDK11B
NARFL	NARFL
ERLIN1	ERLIN1
ATL3	ATL3
ATG4D	ATG4D
RAB4B-EGLN2	RAB4B-EGLN2
SPTBN5	SPTBN5
TMEM54	TMEM54
SNORA25	SNORA25
PQLC1	PQLC1
DUS3L	DUS3L
C9orf16	C9orf16
MGLL	MGLL
SERINC3	SERINC3
AGBL5	AGBL5
AP1G1	AP1G1
ZNF575	ZNF575
CDC34	CDC34
SEC24A	SEC24A
STMP1	STMP1
HSPA1A	HSPA1A
NSFL1C	NSFL1C
LUM	LUM
DKFZP434A062	DKFZP434A062
BCL7C	BCL7C
CXXC1	CXXC1
ZNF579	ZNF579
SMAD1	SMAD1
C19orf57	C19orf57
ZDHHC1	ZDHHC1
C10orf143	C10orf143
MLLT1	MLLT1
SCARF2	SCARF2
AURKAIP1	AURKAIP1
LOC102724532	LOC102724532
PKN1	PKN1
ZNF425	ZNF425
HDHD5	HDHD5
PTGES2	PTGES2
RECQL4	RECQL4
GRK2	GRK2
RNR2	RNR2
RPL13	RPL13
MIR6084	MIR6084
FNDC3A	FNDC3A
SNORD54	SNORD54
PCSK1N	PCSK1N
C1QL1	C1QL1
DES	DES
AARS2	AARS2
ZNF706	ZNF706
VCAM1	VCAM1
RRP8	RRP8
TTC32	TTC32
MAF1	MAF1
FNDC4	FNDC4
ACBD4	ACBD4
UBE4A	UBE4A
MIR4800	MIR4800
RPS15	RPS15
COX6C	COX6C
GPANK1	GPANK1
GATAD2A	GATAD2A
HGH1	HGH1
ACAP3	ACAP3
C2orf66	C2orf66
SNX21	SNX21
AIG1	AIG1
FAM91A1	FAM91A1
PARD6A	PARD6A
PCIF1	PCIF1
NFIC	NFIC
CCDC124	CCDC124
AGFG1	AGFG1
LOC100289333	LOC100289333
CHMP1A	CHMP1A
ORMDL1	ORMDL1
SNHG6	SNHG6
KCNK12	KCNK12
NOC4L	NOC4L
TMEM250	TMEM250
MCF2L2	MCF2L2
NUFIP2	NUFIP2
ASPDH	ASPDH
REEP6	REEP6
LONP1	LONP1
SNRNP27	SNRNP27
MAZ	MAZ
ZMIZ2	ZMIZ2
IMMP2L	IMMP2L
ALG2	ALG2
LINC00665	LINC00665
RNF31	RNF31
TMED5	TMED5
ST3GAL2	ST3GAL2
STAM	STAM
SH2B2	SH2B2
ADGRL4	ADGRL4
FBRS	FBRS
FAM109A	FAM109A
HCFC1	HCFC1
ZNF668	ZNF668
ZBTB4	ZBTB4
STKLD1	STKLD1
TRIM52-AS1	TRIM52-AS1
HDHD3	HDHD3
FLYWCH2	FLYWCH2
SLC2A4RG	SLC2A4RG
PPID	PPID
BET1	BET1
TIGD5	TIGD5
TANGO6	TANGO6
HAGHL	HAGHL
ZC3H18	ZC3H18
KCTD17	KCTD17
MITD1	MITD1
PRR5	PRR5
MAP2K2	MAP2K2
PDCD5	PDCD5
ZBTB47	ZBTB47
ZNF335	ZNF335
GPR183	GPR183
PHRF1	PHRF1
TONSL	TONSL
MIR639	MIR639
SEM1	SEM1
GOPC	GOPC
DALRD3	DALRD3
RPL18A	RPL18A
ROBO3	ROBO3
TANGO2	TANGO2
SVA_F:SVA_F:Other	SVA_F:SVA_F:Other
TNFAIP8	TNFAIP8
KAT5	KAT5
ARF6	ARF6
PRR22	PRR22
COQ8B	COQ8B
