ENTREZID	SYMBOL
7917	BAG6
166	TLE5
388	RHOB
7363	UGT2B4
6675	UAP1
4072	EPCAM
3105	HLA-A
23032	USP33
8217	IGLJ
5345	SERPINF2
1778	DYNC1H1
2792	GNGT1
23683	PRKD3
5360	PLTP
23028	KDM1A
3549	IHH
9828	ARHGEF17
1428	CRYM
6818	SULT1A3
9401	RECQL4
1445	CSK
910	CD1B
6936	GCFC2
9880	ZBTB39
10266	RAMP2
2783	GNB2
4968	OGG1
4600	MX2
22978	NT5C2
10526	IPO8
4490	MT1B
3788	KCNS2
3274	HRH2
8556	CDC14A
9382	COG1
8382	NME5
5437	POLR2H
4017	LOXL2
6347	CCL2
11018	TMED1
5499	PPP1CA
10831	NPM1P7
1315	COPB1
5083	PAX9
9997	SCO2
1501	CTNND2
3612	IMPA1
2593	GAMT
7239	TRV-AAC1-4
5509	PPP1R3D
1254	CMTX3
4320	MMP11
10858	CYP46A1
10232	MSLN
5683	PSMA2
4706	NDUFAB1
8509	NDST2
943	TNFRSF8
7517	XRCC3
6222	RPS18
8642	DCHS1
631	BFSP1
4744	NEFH
22977	AKR7A3
7105	TSPAN6
2398	FRA5E
11124	FAF1
1303	COL12A1
3665	IRF7
1537	CYC1
22861	NLRP1
1396	CRIP1
2123	EVI2A
6678	SPARC
3099	HK2
10603	SH2B2
5343	PLGLB1
1496	CTNNA2
22845	DOLK
5218	CDK14
6235	RPS29
7690	ZNF131
10278	EFS
6019	RLN2
8434	RECK
3534	IGKV1OR-4
10356	HMGB1P3
5436	POLR2G
8345	H2BC9
6055	RNR4
2437	FRA10G
1180	CLCN1
9104	RGN
22863	ATG14
9376	SLC22A8
10320	IKZF1
5530	PPP3CA
5961	PRPH2
1068	CETN1
6007	RHD
6449	SGTA
8625	RFXANK
9356	SLC22A6
2501	FTH1P8
5143	PDE4C
2078	ERG
898	CCNE1
1720	DHFRP3
9383	TSIX
22952	CYP2G1P
9703	BLTP2
5971	RELB
2054	STX2
1907	EDN2
9468	PCYT1B
9757	KMT2B
688	KLF5
6210	RPS15A
4738	NEDD8
9379	NRXN2
9923	ZBTB40
4883	NPR3
11162	NUDT6
9513	FXR2
653	BMP5
8201	MLRL
5531	PPP4C
10948	STARD3
7234	TRU-TCA1-1
5319	PLA2G1B
2436	FRA10F
3661	IRF3
2720	GLB1
5604	MAP2K1
7342	UBP1
8830	PTLAH
11014	KDELR2
2879	GPX4
7111	TMOD1
417	ART1
118	ADD1
8431	NR0B2
5955	RCN2
11040	PIM2
9637	FEZ2
11339	OIP5
2304	FOXE1
390	RND3
4794	NFKBIE
7626	ZNF75D
1135	CHRNA2
5321	PLA2G4A
1821	DRP2
5937	RBMS1
10268	RAMP3
265	AMELX
3604	TNFRSF9
5318	PKP2
1826	DSCAM
63	ACTBP3
25817	TAFA5
9768	PCLAF
4308	TRPM1
8694	DGAT1
925	CD8A
6228	RPS23
5094	PCBP2
398	ARHGDIG
23739	C3CER1
10352	WARS2
6466	SHC1P2
8270	LAGE3
699	BUB1
10393	ANAPC10
11010	GLIPR1
9715	FAM131B
3445	IFNA8
11091	WDR5
6006	RHCE
9671	WSCD2
11131	CAPN11
10161	LPAR6
278	AMY1C
2847	MCHR1
5675	PSG6
22843	PPM1E
8327	GABPAP
8173	CNSN
8788	DLK1
23780	APOL2
7168	TPM1
7766	ZNF223
3424	IDSP1
3850	KRT3
92	ACVR2A
9790	BMS1
7209	TRNAL47P
577	ADGRB3
8187	ZNF239
11276	SYNRG
9355	LHX2
6969	TRGJ2
3446	IFNA10
1113	CHGA
6555	SLC10A2
3362	HTR6
8667	EIF3H
1511	CTSG
8536	CAMK1
3981	LIG4
2135	EXTL2
3214	HOXB4
2744	GLS
5660	PSAP
6785	ELOVL4
1233	CCR4
23610	MKRN6P
2168	FABP1
936	CD24P2
10081	PDCD7
1969	EPHA2
3104	ZBTB48
10586	MAB21L2
5871	MAP4K2
4291	MLF1
10940	POP1
311	ANXA11
4336	MOBP
3770	KCNJ14
3868	KRT16
5934	RBL2
5325	PLAGL1
2825	CMKLR2
673	BRAF
5168	ENPP2
2542	SLC37A4
3203	HOXA6
4534	MTM1
1818	DRD5P2
4904	YBX1
1200	TPP1
6071	RNU6V
5491	PPIAP9
