gene,log2FC,p_value,t_statistic,mean_ALS,mean_Control,adj_p_value,neg_log10_pval,dataset,description
Gene_0,1.0336005277808096,0.013858003130568768,2.7109448854883405,0.44806111169875623,-0.5855394160820533,0.975368368848156,1.858299344894038,GSE76220,Blood gene expression in ALS
Gene_1,-0.2840768129871244,0.4814997279487043,-0.7179894922385379,-0.42857910278454947,-0.1445022897974251,0.975368368848156,0.3174039539193218,GSE76220,Blood gene expression in ALS
Gene_2,-0.375745889928178,0.30229099320715,-1.0603235574625753,-0.3499054898296331,0.025840400098544866,0.975368368848156,0.5195747924804928,GSE76220,Blood gene expression in ALS
Gene_3,0.4615025182913435,0.35219712083955934,0.9537308333537698,0.3484204406502982,-0.11308207764104528,0.975368368848156,0.45321419864870444,GSE76220,Blood gene expression in ALS
Gene_4,0.4199066919620404,0.14093368227260075,1.5363702517889453,-0.004658289036383939,-0.4245649809984243,0.975368368848156,0.850985200808417,GSE76220,Blood gene expression in ALS
Gene_5,-0.028699454384684242,0.9552357191724198,-0.05687871137613165,0.3033745312710437,0.33207398565572793,0.99149419013211,0.019889446317884488,GSE76220,Blood gene expression in ALS
Gene_6,-0.19408202399648453,0.6406977881367284,-0.4742908711505769,-0.34009599123293105,-0.14601396723644652,0.975368368848156,0.19334677530839184,GSE76220,Blood gene expression in ALS
Gene_7,-0.27118733408854395,0.5095955823241523,-0.6721249241870211,0.10921352276082423,0.3804008568493682,0.975368368848156,0.29277434554821524,GSE76220,Blood gene expression in ALS
Gene_8,-0.13970384798720314,0.7337644739660569,-0.34516183813954965,0.013001128785248506,0.15270497677245165,0.9780154802725023,0.13444331892784928,GSE76220,Blood gene expression in ALS
Gene_9,-0.6789634515336691,0.19551226131252677,-1.3416925062070153,-0.22500337232407835,0.45396007920959075,0.975368368848156,0.7088260011663665,GSE76220,Blood gene expression in ALS
Gene_10,0.3834762208561433,0.3997651160712534,0.8613879869887673,0.23424159118053267,-0.14923462967561066,0.975368368848156,0.39819510556242566,GSE76220,Blood gene expression in ALS
Gene_11,-0.04344033004188906,0.9244179132824903,-0.09613781160327074,-0.0052268946769735815,0.03821343536491548,0.9893581318592127,0.03413164739418177,GSE76220,Blood gene expression in ALS
Gene_12,0.6219043490937609,0.29420480896296275,1.0787488777171592,0.194225675624704,-0.4276786734690569,0.975368368848156,0.531350232733542,GSE76220,Blood gene expression in ALS
Gene_13,0.24112161260308945,0.560391489495287,0.5926684263258041,0.11358240266954878,-0.12753920993354068,0.975368368848156,0.25150846884183126,GSE76220,Blood gene expression in ALS
Gene_14,-0.22206745381821621,0.4537258785758802,-0.7649029813940726,0.228198406721451,0.4502658605396672,0.975368368848156,0.3432064497351113,GSE76220,Blood gene expression in ALS
Gene_15,0.03604207056040443,0.9221471810445456,0.09903591598207252,0.1547015555836942,0.11865948502328977,0.9893581318592127,0.03519975702209081,GSE76220,Blood gene expression in ALS
Gene_16,-0.0246707637585194,0.9394286282761293,-0.07699998333004608,-0.23771742935714676,-0.21304666559862737,0.9893581318592127,0.027136209201840164,GSE76220,Blood gene expression in ALS
Gene_17,-0.22184627031967882,0.527241234216645,-0.6440513778262676,0.20648819803871551,0.42833446835839434,0.975368368848156,0.2779906320019174,GSE76220,Blood gene expression in ALS
Gene_18,-0.17478114730682043,0.7502321485192118,-0.32298764067667723,-0.10980726458372896,0.06497388272309147,0.9809898939675816,0.12480432964764397,GSE76220,Blood gene expression in ALS
Gene_19,-0.3950176463738225,0.3351050554638565,-0.9889718314527602,-0.18206818981154868,0.2129494565622738,0.975368368848156,0.4748190202593423,GSE76220,Blood gene expression in ALS
Gene_20,0.7686474293594352,0.1682805191710571,1.4323885191181793,0.5573516076762777,-0.21129582168315758,0.975368368848156,0.7739661567882867,GSE76220,Blood gene expression in ALS
Gene_21,-0.3448114137529905,0.39710814598496624,-0.8663478841293754,-0.5033094916050896,-0.15849807785209913,0.975368368848156,0.40109120404658094,GSE76220,Blood gene expression in ALS
Gene_22,-0.6443364145026149,0.23073853414928147,-1.2381586708904564,-0.3130661086534122,0.33127030584920275,0.975368368848156,0.636879870711226,GSE76220,Blood gene expression in ALS
Gene_23,0.06741840778803701,0.8921107300456403,0.13746349106098354,0.04148594903713664,-0.025932458750900375,0.9893581318592127,0.049581237032829996,GSE76220,Blood gene expression in ALS
Gene_24,-0.3004121338073841,0.3164375549787265,-1.0289220950724673,-0.4302874127848725,-0.12987527897748843,0.975368368848156,0.49971197981356585,GSE76220,Blood gene expression in ALS
Gene_25,-0.4835928881224444,0.2917524482420726,-1.084409167296687,-0.6980793424972745,-0.21448645437483013,0.975368368848156,0.5349854908830676,GSE76220,Blood gene expression in ALS
Gene_26,0.07667612258456456,0.8410201370590766,0.2033543310848979,0.14200285807876112,0.06532673549419656,0.9893581318592127,0.0751936054994249,GSE76220,Blood gene expression in ALS
Gene_27,-0.4740731423073123,0.3366443555506754,-0.9857477898398954,-0.25738243492802654,0.21669070737928575,0.975368368848156,0.47282866286466974,GSE76220,Blood gene expression in ALS
Gene_28,-0.07822586379218738,0.8547796058909578,-0.18553002972527113,-0.03403123935495321,0.04419462443723417,0.9893581318592127,0.06814584817698935,GSE76220,Blood gene expression in ALS
Gene_29,0.12778867703234448,0.7654504152154746,0.30264284194489843,0.5140448687786583,0.3862561917463138,0.9852880126669333,0.11608293703074231,GSE76220,Blood gene expression in ALS
Gene_30,-0.38442993627196675,0.4695893963699458,-0.7379037492418308,-0.5103315446560903,-0.1259016083841236,0.975368368848156,0.32828171829794905,GSE76220,Blood gene expression in ALS
Gene_31,0.4460144998641006,0.39379236724626077,0.8725680520930097,0.1853595214282224,-0.2606549784358782,0.975368368848156,0.4047327059098253,GSE76220,Blood gene expression in ALS
Gene_32,-0.01970923726918317,0.9629658198241986,-0.047048205864260395,-0.045790846345941674,-0.026081609076758504,0.9921520588394855,0.01638912775104614,GSE76220,Blood gene expression in ALS
Gene_33,0.2628002128787274,0.5823930899602783,0.5594457093152423,0.053557726899447475,-0.2092424859792799,0.975368368848156,0.23478378652799323,GSE76220,Blood gene expression in ALS
Gene_34,0.07322320739553048,0.8384588584909017,0.20667959111471587,-0.10976491980668976,-0.18298812720222024,0.9893581318592127,0.07651824250182328,GSE76220,Blood gene expression in ALS
Gene_35,0.4668465744125674,0.36634827900188816,0.9254295678095213,0.11896430050700704,-0.3478822739055603,0.975368368848156,0.43610584430987787,GSE76220,Blood gene expression in ALS
Gene_36,0.02529732336486612,0.9565389533552371,0.05522098725545455,0.29765996519150617,0.27236264182664005,0.99149419013211,0.01929733940274457,GSE76220,Blood gene expression in ALS
Gene_37,0.35388704554782946,0.3176920027566762,1.0261861789138458,0.26063535994466314,-0.09325168560316634,0.975368368848156,0.49799371750637605,GSE76220,Blood gene expression in ALS
Gene_38,-0.2852785936567742,0.38649610656764555,-0.8863771680815105,-0.08861241193099482,0.1966661817257794,0.975368368848156,0.4128548766608023,GSE76220,Blood gene expression in ALS
Gene_39,0.8078747591673283,0.08070352909273351,1.8448704048138096,0.5538006185528667,-0.25407414061446165,0.975368368848156,1.09310747355564,GSE76220,Blood gene expression in ALS
Gene_40,0.19874411056823357,0.6146748722890687,0.5118194323804289,0.21196788239227068,0.013223771824037117,0.975368368848156,0.21135454033489934,GSE76220,Blood gene expression in ALS
Gene_41,0.23691858545009958,0.6483343626761697,0.4634108589982825,0.39392722736650415,0.15700864191640457,0.975368368848156,0.1882009595398501,GSE76220,Blood gene expression in ALS
Gene_42,0.2116809713686575,0.5018228615944691,0.6846646346143827,0.6335070968031978,0.42182612543454034,0.975368368848156,0.2994495573734182,GSE76220,Blood gene expression in ALS
Gene_43,0.2250691771949833,0.5487140639698661,0.610577674107889,0.3871879584698881,0.16211878127490484,0.975368368848156,0.26065390835462116,GSE76220,Blood gene expression in ALS
Gene_44,-0.2507867138502696,0.6274244600111331,-0.4933426005508486,-0.13309387941935816,0.11769283443091144,0.975368368848156,0.20243855442884606,GSE76220,Blood gene expression in ALS
Gene_45,-0.9379809393854308,0.006251307398035476,-3.0736580078343505,-0.28688712340167283,0.6510938159837579,0.975368368848156,2.2040291448360954,GSE76220,Blood gene expression in ALS
Gene_46,-0.01727890147936273,0.9721817019285302,-0.035334372506273144,-0.30470367589489145,-0.2874247744155287,0.992350918727013,0.01225255732674498,GSE76220,Blood gene expression in ALS
Gene_47,-0.6110629952366655,0.11350918168384694,-1.6591146822672165,-0.15642635111859432,0.45463664411807125,0.975368368848156,0.9449690072519192,GSE76220,Blood gene expression in ALS
Gene_48,-0.04281263915533351,0.9174898022760144,-0.10498283227384385,0.4213954977580318,0.4642081369133653,0.9893581318592127,0.03739875414929817,GSE76220,Blood gene expression in ALS
Gene_49,-0.8691685408743797,0.06561937540084492,-1.9537049475083712,-0.327722253785285,0.5414462870890947,0.975368368848156,1.182967907769804,GSE76220,Blood gene expression in ALS
Gene_50,0.46703364977725254,0.3032560761656494,1.0581483152422242,0.06231770330272997,-0.4047159464745226,0.975368368848156,0.5181904886682287,GSE76220,Blood gene expression in ALS
Gene_51,-0.28659773397018307,0.4563438531679054,-0.7604083643715538,-0.02089869309050843,0.26569904087967466,0.975368368848156,0.34070779492728337,GSE76220,Blood gene expression in ALS
Gene_52,-0.4544860143946089,0.394417934101282,-0.8713919214573841,-0.11234956853983036,0.34213644585477854,0.975368368848156,0.4040433460022586,GSE76220,Blood gene expression in ALS
Gene_53,0.5751181718202433,0.13462926037832132,1.5626857724072352,0.7539898487057226,0.1788716768854793,0.975368368848156,0.8708605401135014,GSE76220,Blood gene expression in ALS
Gene_54,0.7953206445614855,0.09385184299886815,1.7637291898360092,0.30340301953367566,-0.49191762502780984,0.975368368848156,1.0275571945782807,GSE76220,Blood gene expression in ALS
Gene_55,-0.43381841522949327,0.45469103163564695,-0.7632441454873279,0.10101727289985121,0.5348356881293445,0.975368368848156,0.34228361177149563,GSE76220,Blood gene expression in ALS
Gene_56,0.09035653463503518,0.8285946417215884,0.21950893199745616,-0.30126213740617314,-0.3916186720412083,0.9893581318592127,0.08165787948362287,GSE76220,Blood gene expression in ALS
Gene_57,0.3269314390873458,0.3882877818417312,0.8829704264048764,0.18894190857698107,-0.1379895305103647,0.975368368848156,0.4108462750789846,GSE76220,Blood gene expression in ALS
Gene_58,-0.4636037209738926,0.36855648731865054,-0.9210804028442755,0.1061301455834229,0.5697338665573155,0.975368368848156,0.4334959399603817,GSE76220,Blood gene expression in ALS
Gene_59,-0.2323955250408472,0.6071108879941381,-0.5228671882330236,-0.2926070785439753,-0.06021155350312808,0.975368368848156,0.21673197837170374,GSE76220,Blood gene expression in ALS
Gene_60,-0.5484384509941522,0.1662582562118552,-1.4395843366635872,-0.1506509439760585,0.3977875070180938,0.975368368848156,0.7792167788776734,GSE76220,Blood gene expression in ALS
Gene_61,-0.9210049389259669,0.045832925206848056,-2.136841548236693,-0.48007738977492426,0.44092754915104265,0.975368368848156,1.3388224237796276,GSE76220,Blood gene expression in ALS
Gene_62,0.19928629077714627,0.525562890071263,0.6466988309388368,0.10797322454827114,-0.09131306622887511,0.975368368848156,0.2793753078437432,GSE76220,Blood gene expression in ALS
Gene_63,-0.23633179501512758,0.5499071072993692,-0.6087387427469284,-0.05816096569920161,0.17817082931592595,0.975368368848156,0.259710667223103,GSE76220,Blood gene expression in ALS
Gene_64,-0.20449009093009868,0.694483981555807,-0.3988042330281341,-0.5418064732111311,-0.3373163822810324,0.975368368848156,0.15833776692010257,GSE76220,Blood gene expression in ALS
Gene_65,-0.6208987876529438,0.1918951930149075,-1.3531334891358198,-0.24227168299240778,0.37862710466053606,0.975368368848156,0.7169359042288217,GSE76220,Blood gene expression in ALS
Gene_66,0.5314630992466584,0.24345599054190814,1.2037864914810867,0.3893376871194405,-0.14212541212721783,0.975368368848156,0.6135795346227675,GSE76220,Blood gene expression in ALS
Gene_67,0.5180496940339292,0.29101022389859127,1.0861290980685843,0.5774470087488891,0.05939731471495995,0.975368368848156,0.5360917529221904,GSE76220,Blood gene expression in ALS
Gene_68,-0.03422860413321108,0.9167586561248648,-0.10591676774229973,0.23765857232028456,0.27188717645349564,0.9893581318592127,0.03774498069704002,GSE76220,Blood gene expression in ALS
Gene_69,0.6492633642842532,0.16250375876537232,1.4531347436679793,0.6103755474185009,-0.03888781686575237,0.975368368848156,0.7891365891947639,GSE76220,Blood gene expression in ALS
Gene_70,0.03590387055627976,0.933452427405967,0.08461534107196399,-0.06954644516820971,-0.10545031572448947,0.9893581318592127,0.029907810592826864,GSE76220,Blood gene expression in ALS
Gene_71,1.1495063170300892,0.006648090560038994,3.045977722619725,1.1391526189343724,-0.01035369809571675,0.975368368848156,2.1773030732405907,GSE76220,Blood gene expression in ALS
Gene_72,0.19480604525990414,0.7051760765213859,0.3840905175029819,0.19895114368940123,0.0041450984294970775,0.975368368848156,0.15170242979725956,GSE76220,Blood gene expression in ALS
Gene_73,-0.1679257971872502,0.7326521085933201,-0.3466659635129227,-0.2863626031350862,-0.118436805947836,0.9780154802725023,0.13510219614138488,GSE76220,Blood gene expression in ALS
Gene_74,0.1082056959976646,0.8054151843235033,0.24981012045557216,-0.08359165790236427,-0.19179735390002886,0.9887528699675242,0.09398018698864871,GSE76220,Blood gene expression in ALS
Gene_75,0.448808039724103,0.3587425239216092,0.940546331445438,-0.12069968796984462,-0.5695077276939476,0.975368368848156,0.445217140720453,GSE76220,Blood gene expression in ALS
Gene_76,-0.342864930518736,0.49530220135532455,-0.6952703064827749,0.028019215899098115,0.3708841464178341,0.975368368848156,0.3051297418048534,GSE76220,Blood gene expression in ALS
Gene_77,0.053286612147370765,0.8963145725812318,0.13207374580155368,0.14023982904260773,0.08695321689523697,0.9893581318592127,0.04753954261504779,GSE76220,Blood gene expression in ALS
Gene_78,-0.1618788798243157,0.7108934925433422,-0.3762583108677332,0.2968661721817161,0.45874505200603183,0.975368368848156,0.14819546124714983,GSE76220,Blood gene expression in ALS
Gene_79,-0.2711927065663939,0.5503737243694138,-0.6080200873741904,0.021991757261845647,0.29318446382823954,0.975368368848156,0.2593423081187754,GSE76220,Blood gene expression in ALS
Gene_80,-0.1401570310807822,0.7020703746832639,-0.3883552801593086,-0.04302432413445596,0.09713270694632622,0.975368368848156,0.15361935253580708,GSE76220,Blood gene expression in ALS
Gene_81,0.590316626418538,0.11490009743514654,1.652316247019408,0.49745426973073315,-0.09286235668780486,0.975368368848156,0.9396796030303524,GSE76220,Blood gene expression in ALS
Gene_82,0.41392778075416786,0.3126897916166339,1.0371419801940889,0.34095039439045033,-0.07297738636371752,0.975368368848156,0.504886296937219,GSE76220,Blood gene expression in ALS
Gene_83,-0.3769079759670764,0.48034335151095053,-0.7199101095693762,0.04603810034448078,0.42294607631155723,0.975368368848156,0.3184482160419263,GSE76220,Blood gene expression in ALS
Gene_84,0.8331658569269371,0.03385005988674616,2.2868740345648875,0.28910495847502876,-0.5440608984519084,0.975368368848156,1.4704405586343645,GSE76220,Blood gene expression in ALS
Gene_85,0.22309629873098832,0.6338356084962126,0.4841176214078637,-0.18950345070398653,-0.41259974943497485,0.975368368848156,0.19802336606239435,GSE76220,Blood gene expression in ALS
Gene_86,0.608308276213497,0.11354450130074825,1.6589411747742915,0.1102768317387346,-0.4980314444747625,0.975368368848156,0.9448338928186691,GSE76220,Blood gene expression in ALS
Gene_87,0.49067155872463053,0.1636947481549296,1.4488089829863189,0.2118225167286986,-0.27884904199593197,0.975368368848156,0.7859652539046248,GSE76220,Blood gene expression in ALS
Gene_88,0.28321743697667573,0.548999367691033,0.6101377193476951,0.37236333814493616,0.08914590116826045,0.975368368848156,0.2604281557474552,GSE76220,Blood gene expression in ALS
Gene_89,-0.03974425175258842,0.9222244884650885,-0.09893723533650693,-0.10086492742798729,-0.06112067567539887,0.9893581318592127,0.03516334984155702,GSE76220,Blood gene expression in ALS
Gene_90,0.09443488963726968,0.8041767362422292,0.2514356061766401,0.11536270720244679,0.02092781756517711,0.9887528699675242,0.0946484946100843,GSE76220,Blood gene expression in ALS
Gene_91,-0.35283169554252974,0.5510122547349293,-0.607037186612065,-0.3001701368125974,0.05266155872993235,0.975368368848156,0.2588387421562494,GSE76220,Blood gene expression in ALS
Gene_92,0.2224857528921621,0.6099288223741066,0.5187437165318931,0.23917184912902528,0.016686096236863176,0.975368368848156,0.2147208434380549,GSE76220,Blood gene expression in ALS
Gene_93,0.2808657638132617,0.6099124519569799,0.5187676448091624,0.31581630059757243,0.0349505367843107,0.975368368848156,0.21473250000678173,GSE76220,Blood gene expression in ALS
Gene_94,-0.6545459123431381,0.044326456687125475,-2.153577706415913,-0.08170120596624092,0.5728447063768972,0.975368368848156,1.353336983402502,GSE76220,Blood gene expression in ALS
Gene_95,-0.23331310415146403,0.510754594202784,-0.6702644149598102,-0.455990834419325,-0.22267773026786095,0.975368368848156,0.2917877182286635,GSE76220,Blood gene expression in ALS
Gene_96,-1.2396160601154937,0.026727927607883707,-2.4013853587390357,-0.5318732416484682,0.7077428184670255,0.975368368848156,1.573034713647208,GSE76220,Blood gene expression in ALS
Gene_97,-0.07961257755635537,0.8027423053151055,-0.2533191948353435,-0.34805251380311764,-0.26843993624676227,0.9887528699675242,0.09542384867046746,GSE76220,Blood gene expression in ALS
Gene_98,-0.6508980847452532,0.07708129803040172,-1.8692539655387685,-0.14335721175402488,0.5075408729912284,0.975368368848156,1.1130509805410493,GSE76220,Blood gene expression in ALS
Gene_99,-0.773178349272216,0.06570235244007801,-1.953048004459541,-0.6468908527230017,0.12628749654921426,0.975368368848156,1.1824190804637382,GSE76220,Blood gene expression in ALS
Gene_100,0.29268760627942186,0.5545939617480233,0.6015349741190887,0.019573088156258946,-0.2731145181231629,0.975368368848156,0.2560248631998982,GSE76220,Blood gene expression in ALS
Gene_101,0.3317096844436431,0.3388947900939344,0.9810526690249011,0.2877589746261551,-0.04395070981748808,0.975368368848156,0.4699351076183533,GSE76220,Blood gene expression in ALS
Gene_102,-0.023786655742063248,0.9543082307233473,-0.05805858389580497,-0.10062727670178437,-0.07684062095972112,0.99149419013211,0.020311330451170995,GSE76220,Blood gene expression in ALS
Gene_103,-0.19558851363620894,0.6795953835867551,-0.41944492219321183,0.04610346481679052,0.24169197845299947,0.975368368848156,0.1677495799054168,GSE76220,Blood gene expression in ALS
Gene_104,-0.2596033340960531,0.6144956385854895,-0.5120804621723842,-0.2684544909353446,-0.008851156839291547,0.975368368848156,0.21148119519408864,GSE76220,Blood gene expression in ALS
Gene_105,-0.03643580703114921,0.9217641013525213,-0.09952492091811893,0.13126772042186788,0.1677035274530171,0.9893581318592127,0.03538020973731329,GSE76220,Blood gene expression in ALS
Gene_106,-0.26416804871823907,0.611003302907221,-0.517173845180846,-0.14917653389727806,0.11499151482096102,0.975368368848156,0.21395644208068101,GSE76220,Blood gene expression in ALS
Gene_107,0.05992993000556898,0.9051261870102578,0.12078925910389414,-0.06793169043102151,-0.1278616204365905,0.9893581318592127,0.04329086996389342,GSE76220,Blood gene expression in ALS
Gene_108,-0.2982460560884233,0.39008457282525677,-0.8795643322033949,-0.4009302066308261,-0.10268415054240282,0.975368368848156,0.40884122494928554,GSE76220,Blood gene expression in ALS
Gene_109,0.06994155263664825,0.8886085347251605,0.14195685627907628,0.5579696602282425,0.4880281075915942,0.9893581318592127,0.05128951985247221,GSE76220,Blood gene expression in ALS
Gene_110,-0.1588464788439332,0.6538879130828785,-0.45553436329446734,0.18530997683118075,0.34415645567511394,0.975368368848156,0.18449669036307229,GSE76220,Blood gene expression in ALS
Gene_111,0.014458480350601068,0.9700605840075065,0.03802990280484886,0.011509582820030062,-0.002948897530571007,0.992350918727013,0.013201141529101849,GSE76220,Blood gene expression in ALS
Gene_112,-0.12090265913036427,0.7972220637090486,-0.2605768390265258,-0.3184704758727007,-0.19756781674233645,0.988496049236266,0.09842069038488117,GSE76220,Blood gene expression in ALS
